 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,O25,O26,C27,O28,O29,H30
N1,0.0,1.8624846624556284,1.637179154455982,2.960001413796999,0.0982530326437665,0.1786419344929162,0.02594634976278498,0.005159089331992384,0.027390470647809972,0.007286632977385091,0.006977603413420186,0.20243740382504372,0.07665437133768631,0.030116476042197096,0.0019399038543753688,0.007006242132637119,0.00021375188058803118,0.0010881332547114791,3.062171061773977e-05,2.086099265508068e-05,0.0003309784670799537,2.338625114228776e-06,1.5386901839109512e-05,9.311272287196304e-05,1.1564976088118684e-05,4.337298096291492e-05,0.0008033139313315396,0.0001753066911186138,0.0001284878817265772,1.748230079945401e-05
H2,0.0,0.0,0.028146242204631466,0.10104589966182076,0.003029339732453007,0.028122939021506088,0.00193728840645635,9.722619961261003e-05,0.004261161327620111,0.0008252468142112557,0.0014179616533128714,0.03716213798368995,0.11393415532871742,0.006495290431684175,0.0002170935378713601,0.0007495812156187442,4.998046367576947e-05,0.00013353422819517569,9.690898689962424e-06,1.4799183233993318e-05,2.6789903704527163e-05,1.1144274889574035e-06,2.032914079741488e-06,6.8384382488906326e-06,1.0397241564374937e-06,3.0915032556144695e-06,0.00016063336041627352,8.489126292443583e-05,3.928245810425057e-05,6.835590466991448e-07
H3,0.0,0.0,0.0,0.0994309072400319,0.03325905996261769,0.0282061591357069,0.00716768187503658,0.004095659781931271,0.0029048736064823943,0.002094371310136234,0.0008219354530937251,0.005731511095032116,0.004420484603358421,0.0008347685412219974,0.00015086046364287675,0.0002731141639945589,2.2949567595409448e-05,1.983214233958197e-05,1.5599578864211594e-06,1.371851258369361e-06,5.3610594529240885e-06,2.2252456854943148e-07,5.555447051275308e-07,1.816798448239787e-06,3.655037049687948e-07,1.0033579279644655e-06,3.652301340051345e-05,4.6102887962806705e-06,5.463562203100736e-06,5.521602322033914e-07
C4,0.0,0.0,0.0,0.0,1.895095421033025,2.705422960296144,0.09097275796433624,0.08070154332590374,0.1428629113606273,0.04254952292739367,0.04207966427920308,2.541454002779389,0.26948163861554086,0.22219255437322363,0.012872683735577928,0.037413680723158094,0.002155162699102986,0.0037797839389852317,9.641874854948718e-05,0.00010620631694635563,0.0014306682847502195,1.8244511691190013e-05,4.376909721992561e-05,0.000293547231994179,3.692072262667656e-05,0.0001585459278824891,0.006135840211746513,0.001321844590060281,0.0009685816705774508,5.81577392426702e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07660191266159355,0.0016083423545716347,0.029848632713447287,0.01708340953844245,0.014383149715819554,0.003126030664249657,0.10530158211395757,0.02614352500696404,0.013203313162342134,0.001269723856863525,0.0012573097453301152,0.00021418595400590767,7.334116205792718e-05,6.041792891542386e-06,1.4434339081326186e-05,1.583778650160461e-05,4.101160644642832e-06,4.800652140479755e-06,1.3614506673143012e-06,4.835029849825645e-07,8.691393208470899e-07,0.0008863639737175522,0.00010984252450507714,8.229451523478204e-05,1.2406550049082199e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8147668183845067,2.040415520636775,2.515485391869876,0.28605549505947164,0.30865378379082603,0.16966141854816702,0.03458302947925967,0.026762150291615924,0.004784592376115504,0.002970187961374132,0.000926909014937416,0.0003047780314245768,1.4266493768788635e-05,2.7408214934743214e-05,7.189872236966488e-05,7.264921631389143e-06,1.0822360164031153e-05,1.1776543384550697e-05,2.021019734899099e-06,9.555952951476043e-06,0.000992760600048992,0.0004830233303755038,0.00017067589259647797,1.614938997740456e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024570687289313442,0.08556723805549216,0.02359655836993091,0.022459852780412293,0.0252530545459273,0.0038350326040751392,0.004732069021133656,0.0005015039930216236,0.0004895976961016846,0.00023313519896395185,3.510933772976621e-05,4.01700952723516e-06,4.016480111390663e-06,8.666205967511331e-06,2.104802047986354e-06,1.1927145773249492e-06,9.519784296418976e-07,3.4705403262336176e-07,6.191251601395109e-07,0.0003054834651907701,6.698362066015484e-05,5.046618508375289e-05,3.8552753860443545e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08093361928896581,0.01593905494312886,0.022587205365649732,0.017234234731054787,0.0022830054855758064,0.0036741231843022693,0.00031201683980697226,0.00037895998819603705,0.00014988152544925804,5.1776458716012996e-05,1.9507758406422937e-06,8.871887474226625e-06,1.6512572093674294e-05,1.2910927207343548e-06,1.0927787901238162e-06,2.170464490802715e-06,9.71910702585177e-07,2.1300478734165296e-06,0.0003655785672540546,0.0010047951153561163,0.00012775753216298646,1.0339805121217793e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231622583786737,4.888348379332531,0.006912140954707963,0.0023060208157632406,0.01765552146415525,0.04211500989685224,0.0025164041868501186,0.0003109176066591335,0.00032579071095051315,2.7617056699735798e-05,0.0001284110920345416,3.2264219112065895e-05,1.3583368758673942e-06,1.7776031033367445e-05,2.9965587795555138e-06,2.068588078552036e-06,1.337992512132069e-06,0.00018790311926442094,3.089863531507975e-05,9.367392856368673e-05,4.226160499709586e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5873165427362184,0.01105708883972617,0.0029806086629713333,0.1403887400952767,0.340448551401909,0.01419234307631169,0.0015586224064673138,0.001817768331958708,0.00011612777048308764,0.0007276227695243165,0.00012299918928956877,5.600634912950042e-06,9.883765156204483e-05,1.0578477071393477e-05,1.260724407298186e-05,4.974738748893259e-06,0.001325520249789769,0.00018693460253305788,0.0005630535324051972,0.0002616670500259488
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041035436768089295,0.0014545113364479792,0.0073321452293355766,0.011260693587679005,0.0008574549864698577,0.00010546848662662534,0.00018154168916936775,1.1281441088084598e-05,9.59558040436459e-05,1.8336193878032425e-05,3.2068986755007245e-07,9.049259570126367e-06,1.0717780373203922e-06,1.1139201209903193e-06,3.098122492301014e-07,0.00016141836112767982,3.9639402023963766e-05,5.202927562514281e-05,2.3651791637546715e-05
