,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24C,25O,26O,27C,28O,29O,30H
1N,0.0,1.024885956950535,1.0229928761472826,1.4802842323021184,2.099207527358017,2.4803574088110345,2.4905775291083914,2.9501768343979413,3.857596393574513,4.356304093042483,4.673111286571755,2.48263718685662,2.704562446317702,3.7150061021077883,3.9859276205151657,4.903656266292651,5.005688947587035,6.193588626153715,6.283099792348001,6.36653114148756,7.484536482077426,7.843321429418196,7.457845035446077,8.751930290940026,8.683877917392165,9.838043328903485,5.28018726875232,5.386803162637087,6.049789827581351,6.498972446987584
2H,0.0,0.0,1.6004337094071752,2.0046405990493104,2.5506998996310317,3.2781896775326453,3.4629997695287242,3.595062317661919,4.617546368808875,4.9163060253628545,5.550006924442493,2.3687885960055857,2.1351550080620023,3.6989248768990004,4.209990277747635,4.664962752691435,4.568883851595336,6.06470451892457,6.183421391409395,6.395448098831632,7.22538967305426,7.59315035121269,7.055770365914994,8.543820958792692,8.535088470665448,9.601588149211308,5.000890865825223,5.2743688556110975,5.56715026335413,6.045573371977719
3H,0.0,0.0,0.0,2.021015001572357,2.9003509352082575,2.4930233317906256,2.3615091698079866,2.6313382834218353,4.035267689941219,4.704203923374995,4.735722244356856,2.8490953575973657,2.9607791787802364,4.05557550598615,4.34107144172308,5.182003287500992,5.398894158109348,6.511337672862855,6.750419015578044,6.58225376669076,7.7671247708730355,7.990326148763042,7.788368187556747,9.110514641684896,9.153756661448512,10.133278025092915,5.277901270964056,5.181179049610236,6.05572638835753,6.358301570798611
4C,0.0,0.0,0.0,0.0,1.0995185764125044,1.545261500263852,2.1520066719368827,2.1741350736122205,2.6517270774139674,2.9326202681434896,3.6903838105018507,1.5519590300630486,2.4315334499174885,2.4678532033407867,2.547294972700293,3.8281842086038047,4.121515467056757,4.941373232777156,4.982349115570557,5.029538302067981,6.335401143421583,6.742466454049826,6.449981944861638,7.513309540259809,7.390096774102311,8.62781890997289,4.428889530373244,4.5554094550832955,5.409148418412637,5.944045785857793
5H,0.0,0.0,0.0,0.0,0.0,2.1531009400910923,2.6550153475201115,3.0333562907117133,2.6977115395266824,2.7437105860357693,3.713712116920285,2.1420072301713615,3.065594956992292,2.747500198750436,2.6298991345698894,4.110076570813714,4.2972396650537625,5.025739351782918,4.82380216941796,5.179638127580028,6.455505736016891,7.017760257198882,6.558993424252266,7.46983169965376,7.167340808403526,8.65346980123632,5.019547517631259,5.298528469011472,5.980736949808911,6.630003086693724
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0966099831801182,1.1017352387128696,1.5679568140450062,2.416493560378216,2.3890174506556026,2.6010117342899224,3.5922261034880765,3.040627825134746,2.707618529290989,4.427092160712983,5.030767490925867,5.301483626772769,5.4347526455894135,5.059232557406506,6.75919231610218,7.032550653343422,7.099507449869004,7.87502510010974,7.774758472374463,8.939016249289944,4.829157296231099,4.590105684084434,6.011799922680136,6.4010387335316565
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666212713079867,2.1633268074739744,3.255322240622627,2.479050722349287,3.4751424152652035,4.3081446293165655,4.095484894806552,3.7815598378148314,5.48431926315643,6.027775212613997,6.3955378679939265,6.500438022929829,6.146470638545122,7.851846784205643,8.114519499410497,8.168673104060916,8.967019673043751,8.839443492891412,10.03491532761742,5.823385964326286,5.525065924610028,6.958112497929641,7.298616912974662
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1802756457535937,2.9160010209792024,2.8924400936154804,2.688621506509532,3.521956955464022,3.0463950968243463,2.866089075622065,4.2372595496559615,4.9556781218038255,5.156256444762826,5.506787046886644,4.823702260575654,6.5178995420277674,6.622870570769176,6.898047343472098,7.73092957501612,7.799897237990712,8.699105225417215,4.298867718003998,3.8335213991682,5.494810789512767,5.741309671562425
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2709421780839225,1.2485042085770188,3.4680331621224645,4.657804442218189,3.324757215395256,2.521589034580557,4.662031470646368,5.394269140332113,5.088373329846789,5.0508059173658575,4.657136248709191,6.60376802063509,6.951375341401638,7.123268033541483,7.463412113778379,7.203492966278818,8.54657188226711,5.305333321336732,5.077560129565563,6.601079782963537,7.053160178197435
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2656863468371498,3.2938816561505626,4.5372080105130586,2.7255017140935998,1.7258967314758877,3.924951723279729,4.654542962865364,4.088250437095982,3.9079597490009834,3.6949698961982618,5.60987543936658,6.072043794269499,6.162695400323193,6.338029547156895,5.990060909426605,7.457813415969549,4.825087897205963,4.800508401719884,6.102744165899845,6.664872414776521
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662501184570924,5.813964621142153,4.556053817685464,3.7254029144851706,5.858204176923526,6.62909904642786,6.18398248475247,6.137376741985723,5.631438300713458,7.678665692526619,7.97653594061959,8.270892562806448,8.452722929022125,8.158933837932477,9.500063284352528,6.41329168697367,6.046732114639604,7.734416375944078,8.118885568270592
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2451204277817016,1.3456886473550491,2.0395793138089267,2.421912994993566,2.6543582198435534,3.7497252857138137,3.9654729234276345,4.026848476940319,5.004224770827926,5.378845096581641,5.022579157881173,6.306935161829713,6.346619278600209,7.365988563003121,3.0019848827188045,3.377568203288895,3.895807377644807,4.504466815869186
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2773564510158053,3.181928661781073,2.752338821196752,2.6244486023307125,4.269817662940816,4.600257843520591,4.723527873139774,5.2528318654125625,5.548805516371568,5.042866194939882,6.671378269545244,6.8516526820395045,7.643852435767253,2.967896215142605,3.486962583461313,3.4571993262411094,4.024877745994945
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0472776277097269,1.4553448860726994,2.0866677217479865,2.4935267304755278,2.729073448336184,2.711976620709653,3.8751840944114804,4.307419592054743,4.0868480401577365,5.091779761451873,5.114659366527603,6.173091468001864,2.445806049921218,2.9086616735653568,3.5472122320895747,4.2341016986956195
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2173183100776943,2.961506785956562,2.69398673750786,2.731543726784607,2.5927519551755633,4.212717119058165,4.677169755072667,4.6278130891269225,5.210848618812635,5.073273925703467,6.328761560987363,3.214642452305606,3.4455221763033883,4.428784740592395,5.064664935195004
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966729936864625,1.548016453371539,2.164801312310656,2.163609498773725,2.5948961577142216,3.000468092909633,2.7037398724576884,3.9897511534590624,4.267403013770465,4.977762451557167,1.52864919205542,2.457364600259513,2.4042698419047017,3.212623138477806
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167374677420257,2.493723406167314,3.0642496254685216,2.822631639152736,3.378984764982529,2.4938307213889677,4.163100427914797,4.398601066054134,5.145955533224771,2.1153112169656643,3.2476300946288847,2.4022460849072664,3.3511411405691875
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957185292277984,1.0984470115229914,1.5346854875178604,2.193444421271337,2.1626132488184138,2.6227745206642834,2.8554430109302693,3.691851357125835,2.5263520673460067,3.2355664321345188,3.2784765026154075,4.008807326535162
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614470991588425,2.1343473770746413,3.0532132709658377,2.5928630973443045,2.6813682994554586,2.411947809445269,3.9109558387321792,3.4668631267746877,4.216715434317821,4.1734047513060535,4.9861996189465785
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1788407722569576,2.4697608471472163,3.0675160059527316,3.0156237246322966,3.247363834271077,3.95704265047974,2.7991484681399497,3.092331864556531,3.7993282793232366,4.3474798175597416
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977392826767731,1.1029544628616395,1.5811239076957349,2.4115288019989762,2.3961906518853935,3.046075598365532,3.8353622325374688,3.225206865114677,3.869478684543165
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7561157914441152,2.1921248129726223,3.2630667685665364,2.5085747473676787,2.8916963524571977,3.457152045886151,2.965273374858098,3.356863133522849
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169600963240774,2.899223579436223,2.8511727735614163,3.1500503580371317,4.161791274050064,2.933613545558236,3.6833659509766785
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2579551676352676,1.2579556042892728,4.602716795070925,5.301809405746028,4.778297834968114,5.381978422906874
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275128551289327,5.214986533666906,5.944436312949309,5.553534246225087,6.265422234497724
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.308554028841845,5.91660351842573,5.296848857084781,5.743731467458638
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213688993470616,1.364813037033627,1.8600898998102047
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.242899478637843,2.2246631626424023
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755076023388831
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
