 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,O32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,1.7388011704512063,1.8449836367501242,2.9481619052687535,0.08606439514814057,0.20320685599008076,0.01877511029445389,0.008001718183636708,0.03314021919752909,0.006761242022480213,8.277936383849216e-05,0.003894871921991644,0.0019515024789424351,8.058970028423929e-05,0.0010862284944259948,0.00036063791657883065,9.024468736262836e-05,0.00020662644924891727,3.4135262752865714e-05,0.00021415235002517075,1.0270559955838365e-06,0.0001569794760760551,7.783904922842311e-07,0.22655383593060968,0.05170812299747698,0.0349692280960521,0.002467690291103053,0.00643361968808305,0.0005545774160617967,0.00116572169129453,4.1668612402956384e-05,0.0004163106362442062,7.0801812129817066e-06,8.074402768928901e-05,3.857268759288601e-06,2.519493478025936e-05,5.715718726095886e-06,0.0007293573843385054,0.00011679209248775108,0.00018648856808114317,3.061522317282517e-05
H2,0.0,0.0,0.02717914474094485,0.10738667552972903,0.007354754688663645,0.03253733209924137,0.000854109592503205,0.0007997987318966171,0.004480411404756746,0.0012148119039473437,2.0242778773882364e-05,0.0005275361376863019,0.0003423270030544767,3.2135644011832554e-05,0.00014936740513504798,5.1600626258085924e-05,6.626749524896169e-06,3.615900842690589e-05,7.1243445738389255e-06,3.657499205012016e-05,7.274462499040624e-08,1.6732385902828995e-05,3.682413818317798e-08,0.007403935858985244,0.002283411477988051,0.0004919970381530581,4.67062412459196e-05,0.00017409604753770846,1.688641881236741e-05,2.563847303560518e-05,5.0957221373604256e-06,9.964965433928441e-06,7.200834439835546e-07,3.6001791745565725e-06,1.7927944548912222e-06,2.6534947390466357e-06,9.942040213317682e-08,1.7480064261499173e-05,3.3248864534929368e-06,5.93748405042227e-06,1.4049680301386758e-06
H3,0.0,0.0,0.0,0.10396815684761862,0.03614420401738028,0.008303990508057524,0.00021434018274035793,0.004915293545534993,0.000727217430085525,0.00034132296319577815,1.809720534895476e-05,7.899528207877538e-05,5.521422774035223e-05,1.06546179146072e-05,2.3596110238055523e-05,2.3658915460855745e-05,1.745818080989281e-06,3.6274227106503076e-06,3.8114432476810123e-07,3.878117099120892e-06,1.4208068588317246e-07,9.475051228391429e-06,8.309729015998357e-08,0.02057280290704755,0.05053829076590466,0.003597011048256271,0.0007370472308358966,0.0005016074750504584,7.048652699226388e-05,3.0482038198997863e-05,1.4805514905402717e-05,7.862133994729348e-06,4.924524892313542e-07,5.876392048631551e-06,1.7218845682620554e-06,2.223601457629343e-06,1.3187793836966222e-06,6.987019132131955e-05,4.400980500229856e-05,7.334208087961258e-06,1.7010101940329037e-06
C4,0.0,0.0,0.0,0.0,1.995466326309719,2.436806029781945,0.09507848044497202,0.08301428700443436,0.1750894505047121,0.050063527728718915,0.00029425192645260445,0.019213015669138106,0.013305208677187319,0.00020516854055918632,0.004587343217387491,0.0020146218631851565,0.0006128904459610229,0.0007101118874367207,4.582203490066661e-05,0.0015755643013012077,3.07895524565005e-06,0.0009079952473966812,4.8458018455654894e-06,2.6238213016179843,0.27788408457303826,0.22844097775510613,0.01637399617862001,0.03563078799714009,0.004648839845287522,0.0035848632403355785,0.0006122779325310468,0.001219823269794057,5.750008277749519e-05,0.00029183281615424717,3.7049887178008944e-05,5.9496674247094816e-05,1.296714559373413e-05,0.003681977656687374,0.00046809707718169224,0.001071606137134029,0.00021137513629554405
H5,0.0,0.0,0.0,0.0,0.0,0.08030933638085203,0.005365968168790536,0.033924832582664655,0.008777469408938865,0.003180509691745881,0.0001847344653476135,0.00039419148781583147,0.0004896722956606592,3.130348519886361e-05,0.00043712343803181675,0.0003158500345937787,0.00013737769466137806,4.3155315724852095e-05,8.337327370711023e-07,4.8764009073387626e-05,2.244453247035594e-06,0.00015860218121943603,3.908559611520701e-07,0.09113656193390796,0.023361284923242853,0.012248062074171395,0.009175144561821114,0.0018628315374433768,0.0003343556707540163,7.878352540480194e-05,4.448208060336967e-05,3.701387288013169e-05,7.721336633181863e-06,1.2469440939355536e-05,1.0631449962605899e-06,1.1226877608461194e-05,1.0519955762067212e-06,0.00010809458222738044,0.00011311943862746254,3.5381912099841095e-05,1.4830639429641579e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.971557140855844,2.00787399737397,2.804884542854998,0.25276323490969044,0.0061200175782074595,0.18816087199616088,0.04891586705634908,0.002514842814078322,0.03327908608903676,0.014330022963572511,0.003307848443415917,0.00490459677808594,0.0010621601787308421,0.0037744549024520263,0.0001417709025832714,0.002128779559036939,6.500773225415202e-05,0.18713216363535054,0.038179015557067084,0.02965575396150169,0.0011439044652388208,0.003747089358014155,0.000316001236831398,0.0009355713018877609,0.00016113691758445903,0.00010339109859730522,1.1537954319740251e-05,9.785371634199458e-05,7.168488731945644e-06,3.1717428252697744e-05,6.40345900437822e-06,0.0007487925969101028,9.755480898750168e-05,0.00023571298515537298,8.924077773198036e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024132842702127233,0.10516188646492886,0.01750107876309026,0.0021546297030607953,0.023392957517534008,0.0029581906515674383,8.615985564897066e-05,0.0031051914067385944,0.0012470468976679694,8.686187239881349e-05,0.0006714271544737693,0.00010039173378340038,0.0006144587247685074,1.7618045096368107e-05,0.00021950452692065525,3.7087191817608556e-06,0.02894671482258082,0.005838528115695518,0.003330898006595473,4.581196866859649e-05,0.0007028154358652561,3.832176969820189e-05,5.097470255899239e-05,2.941969671432787e-06,6.129611421323844e-06,1.3627405572869122e-06,9.22619062482255e-06,1.744318567808989e-06,3.0109895732266523e-07,2.8832551879354185e-07,0.00014299754277691257,1.3544125977316135e-05,4.4442182133841435e-05,1.1386186954398525e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10405849193780092,0.030857418497094447,0.00018246579283021092,0.011224011641563392,0.005237068352573315,0.000640352143672418,0.001520189035624453,0.003913734705579763,0.003821370550301628,0.00045151982735258667,4.8527880923465716e-05,0.0008503973227080852,5.084570637059471e-05,0.0005890122875480408,2.5298636372683703e-05,0.010777608737202904,0.006831441435216079,0.0012734822050184391,0.0005721570730086167,0.00012129469221555667,4.7895841020384466e-05,2.0962690518766536e-05,3.898662388923668e-06,5.572381877261279e-06,2.0078247620070044e-07,5.00626389854375e-06,3.122791296661376e-07,9.134802190224889e-07,1.0520758222387627e-06,1.4471540621618928e-05,6.074847041404041e-06,2.9687131661848554e-06,8.899900441061703e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236563051427788,0.11769228482356642,3.1935753556737745,0.49313848757687795,0.02561993949755892,0.3386965536914105,0.22165095448376526,0.008033045462138677,0.0385162039331919,0.0037651463407730734,0.07085067364828737,0.00287669668542323,0.024503920547690128,0.00035931240110786966,0.01519027207237919,0.003382149601070375,0.010711284586344766,0.009409693628299465,0.0009594252943391224,0.00025328923232403877,0.0004176300124170418,1.163459879371942e-05,8.717623538267993e-05,1.936426862303442e-06,3.6719110095145835e-05,2.823567727183729e-06,1.0271622096436062e-05,3.231040001105967e-06,0.0002478913980626385,0.00028871226936355576,8.31759608076188e-05,4.740413495363249e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650300361782247,0.3932504783032878,3.3870133699894454,0.11092105284715248,0.456241883766546,0.10978875673029992,0.000838938060048644,0.07489369498174184,0.0006829126942911046,0.031239389599202666,0.0009463724774654292,0.07930620015936773,0.0009151410478114297,0.003423987442314508,0.0015257464979456653,0.002521339473160633,0.005306592956840217,0.0007040871959418382,8.332241276409746e-05,0.00019536501588793276,4.848009796942776e-06,4.4166777213791586e-05,1.2310560448813845e-06,1.4745594639042903e-05,5.408230039360973e-06,1.1992029145257987e-06,2.4408984522494848e-06,0.0003741369052431831,0.00027136941215789856,5.094993259281699e-05,7.41932812189372e-05
