,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32O,33H,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.020437327935645,1.022038892077773,1.4642389062870058,2.0869037732724314,2.4520935307485288,2.5845518857100553,2.674837411903883,3.8257196272352205,4.712840702907521,4.816007524721192,4.828136720838865,5.925042875877321,6.77850284280387,6.01010019369754,5.184482318895338,4.638509194659335,7.233419549376381,8.142975926008756,6.53636117437283,7.055552995457427,7.437964772451851,8.478449921505986,2.4886021467764428,2.8503107364674296,3.628692464005695,3.9127227035469794,4.898429817594785,4.992268341146736,5.518526339694129,4.983995222661479,6.822317707767975,6.855984595911246,5.950306959711785,6.607974487440258,5.224669205136625,6.667345595984476,5.995037421712044,6.157647230361347,7.064368076660851,7.7576035605444
2H,0.0,0.0,1.6198426826810548,2.040870599221418,2.326541591432599,3.341923487679598,3.4895950383502314,3.63994219232855,4.592698106987644,5.388191549022019,5.4312131143642315,5.556075513653163,6.571475056701154,7.381396713352766,6.683915199352812,5.8897302764876285,5.344271656126308,7.879632083471897,8.764892969265686,7.192945877798362,7.681093675155387,8.081219633561604,9.099831595462703,2.746969823749219,3.104797976979652,3.708427480080074,4.016717337621716,4.936871168735065,5.157241969004755,5.277100670108099,4.6601878022000935,6.616357778369332,6.749150615077382,5.544201991664012,6.079303256838821,4.754799169947993,6.345237028473392,6.114140072527802,6.273643902198818,7.229892534574117,7.947614451136192
3H,0.0,0.0,0.0,2.0154017364941783,2.9086607667591013,2.7451118921197257,3.043311069949056,2.5481933752104378,4.141360454343376,5.2251501130133,5.480161036625714,4.929293990600138,6.353444506891158,7.272840706783668,6.236692282993118,5.016107402298262,4.288800733424633,7.366527091106229,8.345535600459977,6.338178103421339,6.7190517281879405,7.388101726320327,8.392205003270606,2.5493468290090284,2.442961931233139,3.863095714340358,4.357403669154539,4.93877783142113,4.819394084649096,5.538226095997625,4.892322884335488,6.734629214522228,6.636531334013407,6.196717123880439,6.808954045671275,5.609506337365768,6.973299944751045,6.152716930019012,6.498371867758914,7.086462144847,7.850902227358968
4C,0.0,0.0,0.0,0.0,1.097483835991915,1.5535839021701916,2.1354346250314387,2.1571725549171457,2.5830755637981455,3.478383626822047,3.7504269973391278,3.544216472841126,4.589408492804029,5.453046054462243,4.646513734740694,4.057525798598905,3.7343779935597237,5.864705194602793,6.746594983749855,5.379800428737825,6.018834021496277,6.149933419271665,7.1976377962287765,1.538426590712656,2.4160071322834367,2.4670097707726595,2.6025840450258397,3.8274193261832603,4.017145183263061,4.7298976559187045,4.460982698849419,6.026379425356476,6.088872440186523,5.171076392938604,6.002763791756302,4.503590758681038,5.717288828695899,4.720405066994045,4.798054476762538,5.824778610507574,6.443043954487108
5H,0.0,0.0,0.0,0.0,0.0,2.1642027674286575,2.4687621859964373,3.0549543883033676,2.8114842648138656,3.2861775744989394,3.331928405164001,3.9011750250287096,4.418810453024504,5.149752202540225,4.737796284963724,4.663280291220954,4.542465944170239,5.999399875204152,6.7609121468259925,5.9134940203673585,6.653984428621378,6.482647297604081,7.527016064324347,2.170537932146805,3.2689169448752464,2.553664063709252,2.3080104842302283,4.006500887650901,4.461420413832638,4.8233330237414105,4.694251802437547,6.1844239326530515,6.406689967012664,4.941853413214328,5.791980082412139,4.1278455889007075,5.391355434075291,4.700777436984151,4.5243594589264235,5.936333856750355,6.452820641383393
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0955296160983954,1.0981008546544508,1.5038722501537036,2.5702854128820944,2.978645521014437,2.6457027885137085,3.7179719420246653,4.636415559151228,3.7776796995046897,3.342616933757228,3.1653398061227724,5.061172040506053,5.949927298647342,4.712058737243921,5.4481274838128595,5.418114395084885,6.497885696336318,2.5324364244071846,3.1836424893265143,3.355286433192275,3.3434650923969857,4.548879651252874,4.5377196968613065,5.758942356745304,5.617932244731818,6.921808566031034,6.854774147562363,6.338812760977464,7.263001324306295,5.7720295385272085,6.73102821420607,5.154495801815231,5.17556320615584,6.110034371452325,6.6214908988872425
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7582473332603201,2.1520971634062893,2.7675471736372694,2.801641695649755,3.476192510843378,4.073709689639512,4.877661827696241,4.419856011927319,4.3065720300125125,4.162894310810276,5.766394571661072,6.567654702765132,5.651162792187627,6.418077236943015,6.262491676244241,7.3453776701944875,3.451686424016524,4.107990958676262,4.271510168889342,4.135558609023731,5.5541680446165245,5.608651847090564,6.6985441983149565,6.520317276986757,7.919050713844313,7.896301985218438,7.147860498756513,8.048136612725905,6.47009716430395,7.544019823354185,6.124399940236047,6.017413610359744,7.131636644516312,7.595891516838734
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1438402318358762,3.3901006230590536,3.92153825493269,2.8270656411167994,4.363098787030575,5.330994428329254,4.13907440931424,3.092753483141756,2.6373654293050963,5.274923262010462,6.25029543830438,4.46542854154453,5.0414484520521246,5.383525782373466,6.424249766630535,2.752393003720253,2.9641360295220878,3.7938615184433933,4.025784896337099,4.788775774734222,4.524998573190624,5.991275297735212,5.743409431958387,7.0479908948225605,6.835216783222046,6.790210986723358,7.670050160597811,6.333497081858109,7.252271742061045,5.520890346576841,5.750225856338376,6.310364897435213,6.8969605888217105
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3749794379218232,2.2254621963374146,1.4457877622401605,2.2615423235849668,3.227404344277197,2.311508302219724,2.6260789560724644,2.9626841511497553,3.653157756221412,4.481479045101534,3.8229450776758567,4.748717963610983,4.220134632867362,5.305480940149487,3.075536553555587,3.8642480940657653,3.348369654164148,3.073688525306335,4.330190565855535,4.379707416592955,5.752116931730366,5.891003200898303,6.785761222338643,6.734966088785739,6.294422465446584,7.324487418902539,5.843784947842849,6.447115850313334,4.486824784811757,4.342311100314294,5.360535758950761,5.694340816699512
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082359285155326,2.2544881755931785,1.3824451645722151,2.12993045202844,2.2515683403227547,3.6487971000753867,4.211393162382597,3.6253280461162483,4.165899920898949,4.595012003580171,5.628451589142423,4.586015937512469,5.614675539434614,4.127217646757824,5.0816606571284035,4.100245857249134,3.501829096847927,5.088072052518659,5.340568393292975,6.4772684195128925,6.758715935211894,7.517281572349697,7.587255566301022,6.763309416414333,7.823123994351093,6.244102212678433,6.747565839892366,4.924217960237643,4.439550253243101,5.847518399569976,5.9804391663622125
