 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
N1,0.0,1.887752747251185,1.9964334370011223,2.9216030571738956,0.10250599297055074,0.18814894426877343,0.03213039920692207,0.004314702073163423,0.028547919907068994,0.004583533312675081,0.0005599218912992754,0.005887576231009023,0.0002087179940496453,0.0007491303549281708,3.0410096718669344e-05,0.001284183029821584,0.00013738387604012026,0.0010723781114774095,9.120456373912234e-06,0.22863270459884177,0.053116287340826115,0.03532008702317961,0.0019145741007108308,0.007640424348726679,0.00041296522845812866,0.0006364016620875323,3.268677144552257e-05,0.0001899674489495018,7.735214051853012e-05,2.322719731912698e-05,0.0003149526812280534,0.0003574513473423302,1.920945236433269e-05,0.0010607161130613274,9.96133374633612e-05,0.00031290862615885456,0.00010324695212182711
H2,0.0,0.0,0.027452936140807127,0.11027994782406725,0.003937258409928646,0.03435775379832284,0.00234049222656485,0.00011879859120522696,0.00450323599175706,0.0004061222290294708,3.847284016122998e-05,0.0011926466043823414,5.3237641891801246e-05,5.461492852776306e-05,8.201563299170544e-06,0.0002497366878914109,5.163831003529573e-05,0.00013597575530810424,8.780369085137352e-07,0.020184455130985213,0.0567922026713118,0.0033622961847209476,0.00010429468460881886,0.0005371879284602477,5.199462689731149e-05,3.2724594295818754e-05,1.1692868693513603e-05,2.958988560619602e-06,1.2982839015962533e-05,1.0624025708505513e-05,8.946185843194954e-05,9.257439315346616e-06,1.1864986725562687e-05,7.429359600796825e-05,2.9037447890178925e-05,1.192687025686201e-05,2.6443894931560408e-06
H3,0.0,0.0,0.0,0.10361122516045929,0.03672316190970504,0.014769076437737505,0.0020886839925555734,0.0031349409164407316,0.0013279287511591686,0.0007767354925798386,0.0001209791691816342,0.0002239936454572211,2.0719534330471134e-05,0.0001771706200669465,2.017594866776662e-05,7.359545306628856e-05,9.267927219003269e-06,2.8551183816616366e-05,1.7585034874922911e-06,0.007546001889234488,0.005800194309572904,0.0008591325975010333,7.644903691361726e-05,0.0001812275855579415,1.1091720935274552e-05,4.584078833291816e-05,1.0697352759159173e-06,9.955528979421757e-06,1.3394997167681666e-05,1.0033506914419732e-05,9.979676649063407e-05,4.0224688418577514e-05,5.033322809877561e-06,1.2421698256992464e-05,3.975672449474388e-06,1.7208240842281342e-06,1.623209504586498e-07
C4,0.0,0.0,0.0,0.0,2.0529113779880994,2.646188989946009,0.0961775534447944,0.07921882986929463,0.16602192896451684,0.03629053232447593,0.004372821713645614,0.033195971918653755,0.0008144766222581978,0.004672480821103886,0.00010649504246273978,0.005210448698425241,0.00033205904219824056,0.010715723750891859,7.917258682965667e-05,2.4204694703073772,0.2701833458167056,0.20937062439340612,0.009473340250345852,0.03488799477437543,0.00477331156307792,0.0033156525629799427,0.0001584743875910899,0.0009876650683395827,0.0004981848336439165,0.00022512755369713533,0.0026258988534793443,0.006270451657389597,4.711507650689839e-05,0.003281419960425691,0.0003075838010474924,0.0009519705991187788,0.00021349345763876926
H5,0.0,0.0,0.0,0.0,0.0,0.0780073454142507,0.0021513825837788936,0.02961546624153022,0.015200424109463428,0.012666913250636846,0.0070623517002481595,0.001490714231915824,0.0002448776311263501,0.001305305787179245,5.6553828415628615e-05,0.0008209392383466962,5.028967855635891e-05,0.0006788997966853394,3.507870602392771e-05,0.11007336092584907,0.026334121712768055,0.014354071415902947,0.00027911007313341507,0.0014041773185105022,0.00012191026176600062,0.0006492558326123277,7.70601970634388e-06,6.066295710716041e-05,9.628367269409743e-05,6.756686423536884e-05,0.0005105984747956205,0.0003740759490749035,1.0877019690935796e-05,0.0003039885394118258,3.584811489609763e-05,4.6820046755713385e-05,1.0674150624723211e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9716612418046147,2.0917806415273605,2.6703769585873594,0.2285355005566134,0.012583668077611243,0.24305015704358535,0.01523282406322668,0.03626901445587119,0.0026379715342730314,0.034467079080964025,0.002618201452707858,0.021314177416356966,0.0005239254494739942,0.15985161723667926,0.03579621077561816,0.023399120930276546,0.007313259650007398,0.0026416472719157924,0.00038841926374155733,0.0008129739249326251,1.0487398544256621e-05,0.00011302393680912015,4.5357355498071295e-05,3.0263999738114333e-05,0.00020172427402428972,0.0003943743853853654,3.85325633489586e-06,0.0004249124383527425,0.00035307077397121744,0.00010579777314520533,2.445644569015748e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025633482973379085,0.0990439023425207,0.01890805354194114,0.001732624160559748,0.030675314799230913,0.0002859165823434484,0.002121745171395073,3.5996740787913595e-05,0.0028218785145759373,0.00031580421358445854,0.008608514231367215,8.548065613345202e-06,0.026143651600329276,0.0036221002449352557,0.003407159456476627,0.0007713961937139135,0.0003433805507913057,0.00014937181840135594,0.00010737870613408695,3.8526681356287895e-07,8.067884568196959e-06,6.58086082716558e-06,4.647493275222736e-06,4.721534628815416e-05,9.37326174930142e-05,6.605484306199116e-07,0.00012060123787893673,5.239221421815543e-05,2.6166957520112888e-05,8.179098305305388e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977649039037638,0.02287954041050755,0.0009078895391343433,0.01904238094158095,0.008620934279678805,0.0028102844627209134,0.0008543283918112099,0.0015833717177164974,7.326991537159877e-05,0.0006849958544021817,5.1938167352494347e-05,0.012870639730001132,0.0016657370600925425,0.0040558582495022755,0.0005119644178657179,0.00027993753914690167,4.043159902145099e-05,0.00016612770618951167,1.5470757546154346e-06,1.4234084216413478e-05,1.956992668694646e-05,1.06055621346135e-05,5.5849606879099234e-05,4.3607287368629954e-05,1.7809919092837134e-06,0.00013956880877863398,0.00030631091162747204,3.816029564773782e-05,5.563591861434958e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7851071567005015,0.1262104041917942,3.7628036832136713,0.12732498459519226,0.33068741069994395,0.02669784844612466,0.3237344386686358,0.02601325457231618,0.2979839999201366,0.004053152011652905,0.008318989020251244,0.0023114788889252447,0.01822985093370022,0.05067696018817547,0.0023801175701571864,0.0005477216198513934,0.0001152445725344231,2.8145507166232875e-05,2.6099654998557043e-05,8.611181288892267e-06,6.205622086780105e-06,1.5385656539801396e-05,1.6162491640936416e-05,7.336291315551691e-07,0.0007242725590420884,0.0027790216467943885,0.0002655388261331437,2.323292591477344e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9797922540556117,0.32782434274392047,0.028664558577257138,3.864238157527334,0.13117216887338823,0.3183125639773027,0.003566082449717012,0.3285470339397334,0.026822109529818672,0.0025742978599127553,0.0011316598868532507,0.0038702685156523364,0.00329233575238308,0.0007351305017538057,0.00017613033366414843,4.89550740358502e-05,1.8646332394900433e-05,8.041356485577467e-06,3.5312042179769243e-06,3.1498209237118546e-06,1.5329393875440633e-05,1.6508014687222072e-05,5.346043918663668e-07,0.0001275781767500761,0.0003552293639760007,3.688686707271904e-05,8.536898633337842e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02825624114018055,0.0016061317776079331,0.12700363513020596,0.008420661042067845,0.003856262383342912,0.0005160036525704292,0.02700673445908186,0.0012025535051602976,0.00041980415498765744,0.00026110613922747383,0.00013866635737036503,9.919756884269049e-05,1.804960293028124e-05,2.419624597127523e-06,9.74530695874165e-06,7.94405849990909e-08,1.7550148487810446e-06,1.2577519135081872e-06,9.638321353255819e-07,6.417205355435662e-06,5.6425672445570285e-06,2.0644666931524114e-07,7.289045896197166e-06,2.727925861156777e-05,1.4967010519839619e-06,2.9023588377086185e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1277920613553762,0.3081328067257318,0.003535110195907798,3.7792167576296967,0.12835228360978235,0.332541210173437,0.027341926590962684,0.003373405767005261,0.001167805916267417,0.019073345953607837,0.05944439556052816,0.0020734904758513972,0.0003995213507440587,0.00018653080250122245,3.571146812864079e-05,2.4999520512269946e-05,1.1679769882116942e-05,8.364198655463895e-06,1.3172891654048002e-05,9.069485379376019e-06,4.903668050504351e-07,0.0023285120168563267,0.013362393770401465,0.0008588054676455792,6.80240130799259e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003807353092758481,0.0004893165725330384,0.12811977671962627,0.008280676274499355,0.026408084750214167,0.0011829585215077376,0.0002174080942674017,0.00010107715769092085,0.0018434151795228004,0.004762967142047714,0.00020527472347908748,2.4539090378583595e-05,5.6920192893494814e-05,3.6188819243498926e-06,4.142759585823441e-06,4.143311804538641e-06,2.231741165203971e-06,1.1969570770098414e-06,3.2137684513600107e-07,1.1086090712097985e-08,0.0027730957924285704,0.021591990504345016,0.0010602177789106326,3.157314574142589e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14785677609561,0.33817010313946755,0.027742178475338886,3.8288629433379224,0.12718084532895335,0.0008633645583376592,0.0004648406202234501,0.0026191663830520406,0.00483378931891143,0.0002594038996357739,8.057949316486734e-05,1.8478198023363923e-05,4.742904037957629e-06,3.407265258381642e-06,2.5260413071270804e-06,1.414201936805748e-06,8.452914661422062e-06,8.297641039600734e-06,1.6639691602371443e-07,0.0001643197687823672,0.00048111645603808595,5.7761879436041275e-05,1.2000549460489118e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02744836746252277,0.0013698350832291872,0.12739972997714855,0.007983709492652702,7.540217503931856e-06,1.9655073201230167e-06,3.498162771009561e-06,1.0646820057580442e-05,1.3819579667284643e-06,2.734750603750058e-08,9.439348902517963e-08,3.318853414313594e-09,3.7515342388161343e-08,1.819795003576985e-08,5.260709978749389e-09,1.694009721386891e-08,2.5445561879777756e-08,6.723017698107014e-10,9.792388468987667e-07,3.0800916619444507e-06,1.9095000547419971e-07,3.7821713760877174e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9787624725720712,3.9601868587599056,0.1297804917702594,0.0007941739066949505,0.00038535169654005386,0.004376282976200602,0.006157240320053714,0.0004244154139969314,0.00013916111342382464,5.3260151817613455e-05,2.231309256539582e-05,7.494676917962906e-06,3.7152998882961086e-06,2.213344462445588e-06,5.377941204601222e-06,4.098893219062205e-06,1.0265293270972364e-07,0.0004296660073531966,0.0016326524254218489,0.0001480821655557435,2.5374577761860806e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12880792187915713,0.008059852311584015,6.768255051969874e-06,4.290757018465818e-06,9.627127881106645e-06,6.39311045522728e-05,2.1874530113930035e-06,4.812396756648241e-07,1.0134698495978256e-06,1.398048736778179e-07,2.615323779764367e-08,5.805194325247953e-08,8.421829222893251e-08,1.5085147575533142e-08,5.458780094613758e-09,8.900877812578756e-10,2.354511766466949e-05,9.660367310670992e-05,8.83027016762572e-06,5.835997411995919e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9111289113500747,0.000899822918569021,0.0003730821796530809,0.002561958182153559,0.00350981750881596,0.0004234292501509307,7.36209882827854e-05,2.8081060461482288e-05,1.9132647415709414e-05,3.5258131753090893e-06,9.858204628176992e-07,1.3912301462942755e-06,2.0346255443920436e-06,2.353536511345844e-06,2.9599355189091625e-08,8.749286198656003e-05,0.00022138555082973355,2.827160617158153e-05,5.144251634670027e-06
