,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.0197871086944894,1.4675727308022626,2.125543965646999,2.4305743054939892,3.340232079379245,2.956074612361813,2.4070878762474566,2.824812069034145,3.368609109560788,1.475226981520189,2.119530415990819,2.11669850562159,2.4690472748614694,2.73114198289882,3.6967152834642594,3.895310067611954,4.959444008336534,5.75107784170249,5.506781976139658,5.077793935990254,6.990402858883923,7.572307334441452,7.523141100042102,7.247026542932362,5.639976270132568,6.338522036906713,6.264362440492136,4.784699703882702,5.327198220428171,4.799401620082831,6.676757672678122,7.016363161335361
2H,0.0,0.0,2.0125019873576124,2.773124222641681,3.0795098090991986,3.8056561754484393,3.8065408444847884,2.8848489625336353,2.927448006432204,3.9135099756219307,2.0568636762773136,2.257299046096031,2.9104320837358544,2.3395731787701237,2.1289699059776637,3.6943832263933665,4.133730226770175,4.755411922706901,5.673598034403967,5.085176969833232,4.4869612718513245,6.525189748953858,7.224676941915972,6.973996143756283,6.733239776490078,5.323412937951287,5.912144803563744,6.090013288100631,4.533614781944897,5.055194307982543,4.491903150102442,6.410457821678984,6.72387033507742
3C,0.0,0.0,0.0,1.1010018097989798,1.5639602476932974,2.228641373638876,2.188627595817189,2.4285110750885193,2.836489332005722,3.400218537971482,2.3858807878708355,3.2753957449045936,2.9419238958776424,1.5433098889847268,2.423429865850519,2.44879026641039,2.49351309207555,3.849148054926702,4.48979038011545,4.612315734479877,4.450452819128228,6.096891963009979,6.521122158215035,6.740478517744106,6.432036652989882,4.700248749188114,5.558211783992332,5.149635697853552,3.901350335385187,4.412972480253811,4.13420839309438,5.711570003836071,6.172401566101399
4H,0.0,0.0,0.0,0.0,2.1986082719228053,2.790009605529312,2.3534074744516777,3.3239600655884134,3.881220760599179,4.164842775875371,3.144471270833262,4.094838555255168,3.3961995241408633,2.1512252512742784,3.1791037168052023,2.6168494764634476,2.2931515831726066,3.971765862628429,4.485661046910481,5.041334163791277,4.989384711692527,6.427104007058599,6.755803699752987,7.200222620937713,6.658015322791031,5.304439751661089,6.256952228541276,5.62392966940712,4.636371863440981,4.2957893908192455,3.9374971869692406,5.51854088697067,5.894488715560244
5C,0.0,0.0,0.0,0.0,0.0,1.0949191584428852,1.0969991478236707,1.5363930362600757,2.175341805747497,2.207503611922768,2.379522286760852,3.3582904024776457,2.797300804190429,2.5701626754024036,3.4003503678338363,3.131384797198429,3.03454254641131,4.550221058297919,4.958822977892484,5.155007094666644,5.1723038586774415,6.6550958495427395,6.9393585862991145,7.209616007130932,7.201392303031273,4.768171042630736,5.580579509798844,5.032061188859451,3.815122982956834,5.4751797635151505,5.445757045392909,6.683788379478866,7.285492885982852
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7692687386804442,2.2167998486089746,2.4645440515530592,2.7281667412521817,3.359698467401453,4.237718365394364,3.8592244698121676,2.6478464830780024,3.5147436170674045,2.7992338735776015,2.7159031361129973,4.087350663346421,4.330517508617532,4.611511386821473,4.821115027994895,6.050610008719034,6.218235043258022,6.586768205947518,6.709925285837626,4.02037953261791,4.857893441232405,4.125503726278236,3.1094010529160543,5.241098058029553,5.4543891531496635,6.33932731980534,7.0511492725626885
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1735804139156043,3.066585807876893,2.4484677945782836,2.787092680256927,3.851042424267296,2.769299643771462,3.439436649153599,4.378044418424373,3.830830775662538,3.460821102958656,5.2706327734671765,5.551565549414739,6.056911315355166,6.147483860055779,7.51790424553586,7.712686872216798,8.141189737329798,8.036557378759554,5.696083355613305,6.557378583690272,5.828586588615427,4.790469383714064,6.104121519846221,6.034532285831974,7.262601941185836,7.8269187175713375
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973129140880087,1.0958345777715797,1.5370469626986305,2.2171269364471953,2.173679637539747,3.3094870096896734,3.6614714216809507,4.225287594087293,4.381171713361034,5.544829142587925,6.099417403574322,5.813848722725837,5.615576758549229,7.342015749255155,7.767788933683492,7.716034487354797,7.920327465054431,5.28932651799057,5.872474015865971,5.736020277999054,4.2216893515031435,6.472360332439004,6.350388417025825,7.743951683732968,8.32581900602367
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7766069002629357,2.1743618849933766,2.460141274398606,3.064319651849076,3.2027286461344917,3.257291549570207,4.143474177009208,4.526995530726541,5.286461993185131,5.899627552409836,5.265919678905192,5.000579129963098,6.76225719971095,7.253536322643971,7.0070441803955,7.394595294634942,4.629958000786041,5.062667787547793,5.189341872696905,3.5481245110680435,6.306842292623821,6.273652013856023,7.554779581274153,8.17935487676208
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2179303603887908,2.745367083786614,2.451525985262894,4.348915680966448,4.732747225711038,5.143015364836178,5.200144169856574,6.465330608198129,6.919766602786447,6.713691590818311,6.583502097735953,8.220488725588167,8.578844305247525,8.557805744615372,8.865075735303035,6.0232751622304805,6.555691765197755,6.363317696056703,4.941313624492494,7.468979606909955,7.3946619898841774,8.708982704296654,9.323335956773668
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951622125092904,1.1002091431637016,3.489018383003531,3.6855863889737694,4.661477214488114,4.825683147223554,5.98550772999593,6.695864530962115,6.363736472413073,5.969918234816066,7.89170545176004,8.44066668380716,8.313102217830604,8.292155146294533,6.165741702851781,6.760569156806804,6.748762838972576,5.165041037553128,6.588884735175431,6.1840359542423595,7.929472845869815,8.353422421787892
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7673554924997978,4.109153662920795,3.9874285290696023,5.387632672861239,5.693439271038278,6.601020697040278,7.399114460811219,6.781285245836561,6.244238242448375,8.27957642898321,8.927295107506637,8.590003648427139,8.661138343125742,6.58134014017196,7.032867402599256,7.2786754654024834,5.586310729870222,7.163965042623745,6.705857282191955,8.515803525597171,8.908905185475852
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.291033209295456,4.650136438114734,5.3542302032270825,5.336783812269469,6.746869098197601,7.383729351904749,7.2806377385789816,6.946787313681595,8.808938023718714,9.300416333741795,9.29183661655482,9.189006556331378,7.091528255654603,7.745389045681872,7.586962668384789,6.090770484136538,7.286677638155073,6.828222387886321,8.611542482807248,8.997816771467182
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2250354867497717,1.3731967239524476,2.021811500423932,2.5231226674407066,3.358567978145245,3.1198537862318303,2.9183484168449465,4.599894414024356,5.114969411530371,5.231852109754128,4.927097710058207,3.428491732916182,4.2802480081587415,4.021668117137108,2.8169354865950247,3.1914293054674276,3.1034029486262904,4.503565993675015,5.040467298598112
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296020536858459,3.1460348170208134,2.9336021026504815,3.938284593403517,2.980166666187044,2.372387469968779,4.4099592120443045,5.146209621932548,4.851299667439486,4.68629720053188,3.382226574727275,3.9815648266969883,4.2410013361797425,2.826995426309626,3.4616206275954995,3.282936443018549,4.753598830912688,5.230009307813923
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122311385638887,1.4617967889980452,2.0602906717991507,2.5365809045994356,2.8162103044305495,3.8788646249792285,4.154791710320241,4.685797556762176,4.2535594124737806,2.940758798724928,3.9734802208483697,3.232585378374769,2.6457522502544735,2.4427103992239325,2.8083201187863156,3.584841077716585,4.271269188058915
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0971114355009255,2.27812523076824,3.4015746284188464,3.7976136254891215,4.609164908100649,4.701682994489887,5.490127285997901,4.951955687315151,3.7061547257015977,4.78408895660834,3.7552242773029274,3.396494611629161,2.8564665438494807,3.1783234936785134,3.8574841892046,4.502495426129272
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097263798294639,1.5609826577536887,2.1549634042082966,2.565245894035303,2.821845744951645,3.50957588881962,2.8618223473768643,2.5402525177301403,3.4944689465023653,2.790529604631214,2.8183663440532962,1.5372046188890516,2.448363002906757,2.397014064507689,3.227891123922025
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153611721868858,3.039478480789977,2.7346791097064465,2.5400175260712783,3.7289933890967717,3.1299265356270523,2.7904001564223964,3.767685533545939,2.595320783312692,3.2170056238132316,2.130954995196118,3.2033488463059054,2.4664506163290607,3.399541963415286
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931091854742994,1.5377249240279327,2.19163556267501,2.164360456636544,2.2042400168215264,1.5365188715772724,2.1676398115248094,2.189320157403654,2.1921207800725266,2.585806716473814,3.415213651555751,3.1886490339653104,4.003547811314436
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1601753599752156,3.0825604874667167,2.508770521854498,2.5134179935748264,2.1463292544921124,2.50598474698151,3.0713428700759597,2.4739140088813225,2.7836088458394617,3.263227467064383,3.591537234134317,4.226105398686079
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098088282271766,1.0959264566875375,1.0929977328814215,2.5195272736604317,2.7115195352128794,2.814178536181534,3.483736249768771,3.0928906869608435,4.079575083022684,3.0374548740548923,3.811576352729842
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710330231918,1.7683137607612416,2.810585288749583,3.0978554447671813,2.6604888690857837,3.83575467197456,3.4548246250606507,4.590900346882544,3.130396339189816,3.988417853903486
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691322676728016,2.7113538515373428,2.4412181275047713,3.1090425992314192,3.703531121096412,4.095648094110427,4.981285294618246,4.076180421434473,4.779075672833805
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.491027992123418,3.714018323701562,3.8386312455676883,4.353103928024552,2.8026568532243097,3.685933443812082,2.4923693841622634,3.070227620533901
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961076730036161,1.0986230350294282,1.0926076469467787,3.9257168575318624,4.72669699516847,4.548869789476813,5.432548014111017
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711598655401586,1.7684859185245227,4.740728981029316,5.513576084943495,5.267086920752868,6.114693054899042
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777333495448268,4.248299107915228,5.197750178342002,4.674502314691556,5.626876392475315
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23139880501987,4.831363583991825,5.099542424526641,5.939751879886875
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2082939440281935,1.357800486847111,1.8784335922828619
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251699740914996,2.279040181811076
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770086633509232
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
