 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.848494624617418,2.6943069227584546,0.09810193874425777,0.19462807793102502,0.018147077509426124,0.003096136928899096,0.22005095444542855,0.003928741616360698,0.028644113251643066,2.6543432301226986,0.0848150521076636,0.1041024792063654,0.18856633700468228,0.06476591096769109,0.02800801925569965,0.00418200834974769,0.006267340694647905,0.000505971043734843,0.0008630398528274991,0.0002209079753551224,0.00016757504749347063,2.8126724621380106e-05,2.773116918941554e-05,3.056753158592329e-06,0.00013497450931665433,3.6680362180963044e-06,4.411422932726339e-06,8.736254278707278e-05,0.00034534201852493007,8.582294080716757e-05,0.00015163095070887256,6.301288861310095e-05
H2,0.0,0.0,0.10287930847674931,0.012965010075672856,0.014474139730732305,0.00042391432591615263,9.405511617144313e-05,0.006431592743510017,0.0004231991093262,9.300786404398131e-05,0.09746943286665477,0.012014712432937502,0.021293658245413738,0.04620428808452792,0.11068394327386033,0.007965454434820551,0.0006844223423434492,0.0005925172019278779,0.00010367032607638826,0.0003338992144441555,8.507385821321378e-05,6.453137387363306e-05,3.451044781521695e-05,9.321323040101248e-07,1.4136379757889728e-06,4.7399499123024214e-05,3.291770342084277e-06,8.710618526475145e-07,5.851650348276394e-06,3.2959193035475565e-05,2.5382516921967913e-05,1.1184316152990093e-05,5.3160544430941314e-06
C3,0.0,0.0,0.0,2.089410083724226,2.582867516727856,0.07287276531490572,0.0826256318907519,0.19739164573522322,0.004260405490963404,0.02834887599646585,0.24318434608792838,0.02496473044400993,0.005611007639322763,2.510145898917193,0.2810520760267157,0.2225134673482171,0.022916035792614253,0.0347102181703936,0.0017881360821727643,0.0046453788307542765,0.0023533176327901195,0.001090743822633522,6.98008387558513e-05,0.00010129455194562986,2.7117097762596742e-05,0.0008686034437748458,5.194578978451325e-05,3.120954502611184e-05,0.0007815933798158703,0.002503597771653293,0.0008258242776733177,0.0006987728226948431,0.00014496683770215402
H4,0.0,0.0,0.0,0.0,0.07573765255456422,0.0030313799427654775,0.011619776867836773,0.019453940419992266,0.0005465487846025852,0.0002522164351941303,0.014268782670728175,0.00036941297416359653,0.0007814153874476926,0.10402883963577203,0.028723382281575116,0.012725658875109902,0.01085529649881778,0.0011636702949564537,1.9955891847001084e-05,0.00056791316437943,3.64134934396354e-05,8.275212000297127e-05,9.260223341689411e-06,2.312773723400774e-05,8.870010237416182e-08,0.00013038922963359845,2.142006054306478e-06,4.852457633486296e-06,0.0001700468084873119,0.00026903693197799505,0.00033896812157641065,4.5752682524491384e-05,8.348190811968692e-06
C5,0.0,0.0,0.0,0.0,0.0,2.025690677057794,1.8428609590394653,2.790857606179668,0.08345566660721015,0.07702940026090532,0.2179315585751217,0.027808159640029695,0.006918144404138626,0.18677579813380174,0.04147665578561191,0.03122839663371063,0.0028370418125811536,0.0034356965343544654,0.00025426909790426944,0.0004747340863398286,0.00010968107140985062,0.0001033468643287655,7.015511198416036e-06,6.7061299713344624e-06,9.521290506242508e-06,0.0007270231972505009,4.4348966126595e-05,8.20341887419751e-06,0.0008250538259342299,0.0015706787929299637,0.0003759132370534518,0.000278153017257754,5.79759739702812e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.025728214064431487,0.07677598392169616,0.008130376572562437,0.0011280335045775747,0.02792220368621412,0.0013101189046840211,0.00041098547686369,0.01776953083047994,0.0035081974924282555,0.012295811577789584,0.0018645648059070208,0.0006415051256241089,3.828870247413185e-05,0.00018270447378654353,1.693546083259001e-05,5.2462170139655484e-05,3.3000848627118273e-06,1.0656129776354106e-06,1.8572355678037056e-05,0.00062909188551874,7.086747175555352e-05,5.079038109645495e-06,0.0009617456675961034,0.0004687776504213037,0.00011588885176072594,6.576100363142601e-05,2.792425534470233e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08410091842745393,0.03145172261718332,0.007969869749112402,0.006439279345136217,0.0003246551000646303,0.0017828268979671602,0.02000450143602972,0.004584556421857733,0.0018159192938211888,0.00016965668028912084,0.00025425524050759485,4.208150707118996e-05,7.256268904520802e-05,4.254442181284013e-05,3.0952064860478856e-05,1.6756794627426075e-06,1.2988638711242118e-06,1.913689651189543e-08,1.7969175934773318e-05,3.0741739709405635e-07,1.1900938456932408e-07,2.625168791237087e-06,6.33912321104102e-05,1.7890409070520086e-05,4.4845475236643395e-06,6.605452700370051e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7350826076695811,1.93303005353099,2.834349156657347,0.0758600040868167,0.08239288433685843,0.013689362787392662,0.00440837400084175,0.004174520222054473,0.00038874649083853186,0.00068566622375546,4.278638691856962e-05,6.014929612047082e-05,5.636731976954579e-06,1.817572810977608e-05,1.1668593136171523e-06,1.5498779859512979e-06,2.3152187134112268e-06,0.00018354431680696337,6.657571000268092e-06,3.3733813420422365e-06,0.00022207991985156994,0.0002211622729240692,4.836025044517578e-05,4.985109005851973e-05,1.173076896510139e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025120652997720594,0.08118563691628111,0.008307951803485425,0.030712055891443102,0.0024502625401603417,0.0033869150959972005,0.0003676643630792231,7.431393012291565e-06,3.314502828044574e-05,2.1189682832822854e-06,2.6877280535408943e-05,2.408600272119088e-06,1.1678037498796812e-05,2.3561580486664013e-07,5.257305002448476e-07,5.3440932825665755e-06,0.0001711756951877641,1.268303266632742e-05,1.2608172737627044e-05,0.00031151649027050254,1.6863798558031107e-05,3.2383906771071835e-05,4.927431447088182e-06,1.234193248045301e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778896470751147,0.0011985447475511002,0.006617211029959602,0.0020055523280058107,0.0004064510481744943,0.0005222710581764822,4.6891933360493354e-05,7.12417368688989e-05,5.227871834323494e-06,8.636537874640027e-06,1.3043760920261604e-06,7.755657878139033e-07,1.828150228977421e-07,1.8534388757096565e-07,1.1728162396806852e-07,2.8294313588528297e-05,5.400692186796618e-07,8.508718130073589e-08,7.1037152745701e-05,4.035166351057384e-05,9.011057870544903e-06,8.761881376218028e-06,1.8068334535215058e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9650464322781056,1.7108508112589815,0.023983367124285504,0.005527565739161591,0.005823398963574547,0.0011392796123257387,0.001216865015212426,9.920990736789204e-05,0.00010369354169947886,1.5122558749580683e-05,3.281040793795542e-05,4.20647761423254e-06,6.84942296214075e-06,6.804535379600907e-07,3.9926931330522275e-05,2.1636806220026727e-06,2.0938963392058696e-06,5.428312429001103e-05,7.543911113636059e-05,1.876354640059641e-05,2.3118545731615203e-05,6.76377056352262e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02430260377969895,0.000772082373151628,0.0002995668267925522,0.0007073792902285714,0.00028287040178831546,0.00017140815854554958,5.942037968331704e-06,1.560526977528731e-05,2.488782629095354e-06,8.25845794327762e-06,3.064553224518818e-07,1.5410827831630058e-06,3.4976649865292586e-07,8.889189516803064e-06,2.825381013593642e-07,3.523888025824817e-08,1.550234915281834e-05,1.1924488759973428e-05,3.005761827545861e-06,4.591340970971913e-06,1.4845105980043627e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002324708024203259,0.0010748278575127834,0.00027474073386546394,0.00012223088988183584,7.277513953241055e-05,1.35321243537323e-05,2.003623692559131e-05,1.1024776581880502e-05,2.355032236556198e-06,8.202748074115362e-07,2.6662682750533406e-07,3.4114794922324165e-07,2.506058101281461e-05,1.3495044393074807e-07,4.784037153093834e-07,4.998520210608426e-05,2.291805630161292e-06,1.303781668626769e-06,1.3544233856688237e-06,1.0958609484301718e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.747831077048791,3.408682815879606,0.14074650365196828,0.2452553076386313,0.02293668088533951,0.023374101182836587,0.007741790894778333,0.003478964745035368,0.0006094424103570972,0.0003417781312442525,6.191090806262345e-05,0.010434668463760954,0.00047100838217861707,0.00033480229781068793,0.01089544190608227,0.040356225702221415,0.027236198573623915,0.00805971356301688,0.0013844458301947027
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5069257083757341,0.029263831364766846,0.03608902064012881,0.0019728405735862653,0.045693072236272364,0.048322981085198946,0.005703685472999431,0.0009578946981527725,0.00015639896716868051,0.0001811846188157773,0.007547815480727707,0.00018171132638644671,0.0004328885501649893,0.005967945525367613,0.012237914276025719,0.006231688695990278,0.0025735014159640746,0.0009741650986886397
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8855051330412336,2.866248389275735,0.10538618434371139,0.15287493940012584,0.004333523003485884,0.029137893425154784,0.0007251345757630645,0.0038530725763379348,0.00038787703947185115,0.02940867123089759,0.0035207621989199467,0.000896245608099866,0.009021301038967922,0.20222087325183816,0.03428707181019544,0.028338726996415917,0.005029814977539404
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10052616462339159,0.008313658549781389,0.02181630643641097,0.00035929165889858616,0.002401306296089145,1.5863977527619255e-05,0.0008314249468306389,5.100482525355332e-05,0.0008359238880306652,4.543901127940231e-05,6.2781849138549e-05,8.93742495260419e-05,0.005459135054377229,0.0014814453749500966,0.0004335797041723488,7.801928191208951e-05
