 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6198024928403882,2.639011318077576,0.0857647347438748,0.16287045550228962,0.009917300814132224,0.03086456251688241,0.005379184296501638,0.16542938454893846,0.030057606741049625,0.01035157313300128,0.006107166201192005,2.5421259667987375,0.27354480601463865,0.20945256656777858,0.05472445953016836
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08162790534204634,0.03218119624125393,0.010992255556642405,0.005581756176598507,0.0006531522576322946,0.00016497613897215047,0.009074755754897135,0.00042460736212857064,0.004659251624846483,0.00011992034155428044,0.10433381918261797,0.02751810392336196,0.013592297429930733,0.0009100553810086343
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6236717581588662,2.8668748165953772,0.08500762978590393,0.09003526011587737,0.08426465811953476,2.589551733654262,0.0883728442969447,0.08271305451531874,0.08449167011294989,0.17249276665780508,0.03679248674046742,0.019601622727006704,0.00204445545823162
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08637411849116083,0.033479447327246614,0.0039710532067538384,0.0048638928295150485,0.08441502679476187,0.0038398736748261886,0.03342548598491879,0.005300518890168249,0.008773432753008903,0.0020126371204117754,0.0009389874257289543,7.728637622417267e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6839895640692966,2.002998490539639,1.8403779924534296,0.1738664163093015,0.012318261443157397,0.008390975460054628,0.03064864202281825,0.016557198673003454,0.0030373259675701147,0.026559555738589577,0.0012229636088880724
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023167842699535868,0.023693183819512686,0.008620108381903968,0.00016292064738832046,0.003933495104192275,0.0004166030220378314,0.0008066409106788353,0.0002409713168110006,0.001407141503362297,7.154971325040727e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025524700748080997,0.012701782082043866,0.005981607177689696,0.00015383568396409864,0.0009207055284334853,0.0015223141132605367,0.0007198896229270169,0.0023231188523678004,0.00033462530004446656
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318086421743321,0.0008909119685003297,0.00046243423985981025,0.002947458910519174,0.008289738491572773,0.0009126610589553774,0.024937842920698117,0.0008613216730786188
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94791796656656,1.7082444724216828,2.151700203533955,0.03140799675755984,0.007793281745716252,0.0034936936239658434,0.0009957476902382467
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022878329381973428,0.025477705479325596,0.004339220385684239,0.001654080046573858,0.0005954472362832419,6.73928144814262e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02386514768455128,0.001003923233881654,0.0003731536060913587,0.00010616693357845541,9.383750116054301e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006539925122315271,0.0002508976701479648,0.0001401611318121443,1.648017064703744e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.155699483606995,3.5468989916095124,0.1691243115691594
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5241026156140275,0.06752643557488869
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6404503253713578
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
