 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.939042524040108,1.654154428390572,2.9734756105288223,0.09580426233844219,0.19392698647385465,0.03357273456759913,0.003611724009608852,0.028738274322999302,0.0040093721742469265,0.0003359260003030773,0.005897255172953628,0.0002197829851862121,0.0007365652191917774,3.8714044758858535e-05,0.0012672226339617634,0.00011860741810298947,0.0013747241046644515,5.8664750935966126e-06,0.23009422850065275,0.05058258403421518,0.03384873584529394,0.002185148983709362,0.007412148725693429,0.00020853625498218342,0.0015369556038799317,3.27812133401606e-05,0.0003165954941192206,4.269672105061684e-05,0.0005043584595429834,0.00010507304204144391,8.044898747685408e-05,1.6533053254996766e-05
H2,0.0,0.0,0.026707283203181387,0.10950285890991451,0.007098666062918868,0.03388674987083651,0.0021344753581760134,0.00017671327599266817,0.004292135139137621,0.0005964388853487712,3.5646745673911795e-05,0.0010608100553409772,4.717770128470633e-05,8.55319524918352e-05,1.3852039444817166e-05,0.0002296026813068952,4.1910492827090806e-05,0.0002334512585322468,7.612203636320203e-07,0.00900507830460262,0.009484955703625064,0.0009969023579103897,2.0431548284349788e-05,0.0002141069386999428,1.1789558024499769e-05,1.919580707343549e-05,8.435199472245358e-07,2.204289252905056e-06,1.164549016108296e-06,3.884280428190223e-05,3.3482152599795256e-05,8.06239155193289e-06,1.410475412244594e-06
H3,0.0,0.0,0.0,0.10859171642573262,0.037274791181062694,0.00766879650577601,0.0006262636605349758,0.0023441867252593784,0.0009315437567819496,0.00045597482715875604,5.6079377148687826e-05,0.00015443164400685827,9.429772005242754e-06,0.0001319613828738575,1.2046362598105986e-05,5.1762240659392056e-05,5.158259020587863e-06,1.674014431807258e-05,4.29292638770562e-07,0.017862143803712094,0.041533581864464986,0.002923983783240769,0.00032295280434380125,0.00041429476560039813,2.7117655610142677e-05,8.24419365555995e-05,1.141420817662997e-05,8.215127187405358e-06,1.3582566460446088e-06,4.533134968265351e-05,1.1752202858539285e-05,5.626307721828816e-06,1.7131277547655088e-06
C4,0.0,0.0,0.0,0.0,1.7962301945397132,2.666918458311028,0.09427734299833612,0.07921892286960097,0.17022560498189393,0.035100170774104184,0.0018058469136390531,0.03444829659407446,0.000612034744785106,0.004412864814179157,0.0001164598619876056,0.005007025105122548,0.00021700852771844303,0.012901925460644503,4.7538646918310334e-05,2.682605967019156,0.2805782290054429,0.21134774973258427,0.011678610710328718,0.0343912827507038,0.0024579398271405983,0.004264567071502592,0.00013737498187760266,0.0014847641391824151,0.00013389431293875376,0.004357404020178812,0.0011616656298442107,0.0007958065447294937,9.790537301324065e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07801401599930169,0.002257676572364087,0.03076503514792872,0.015240051494058271,0.007999300711334034,0.0023391169200179807,0.0014172611692482295,0.00016238868878515333,0.0008691101742657192,6.0901025873860704e-05,0.0007324888227348003,2.8379060502903286e-05,0.0006333521568665512,1.3902065261639507e-05,0.09773845210935339,0.026779116857453378,0.010071616491789337,0.002180538993608927,0.00134298759557816,5.912564891641381e-05,4.561222808119325e-05,7.180484760116457e-06,8.454723163797695e-07,1.1007848843336276e-05,0.0006368457196701538,5.8316854439022237e-05,9.627300825243434e-05,2.4967277624687867e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9969829844734859,1.7997006583285333,2.769323998931621,0.2294113462175022,0.013825525539518546,0.23340777483259523,0.014216023691053126,0.035607971259740134,0.002613490561710341,0.03462574920921711,0.0025514928725574038,0.02069703649137021,0.0005147650219756716,0.18214963269195386,0.0401535566633196,0.02450809870354896,0.0026193593871011167,0.002506938961482047,0.0005799209957445539,0.00032478882014938537,1.9205902866081814e-05,3.77287078809907e-05,2.2558296501440367e-05,0.0013544374824554783,0.001385127281850751,0.00032991281590102894,5.0439320902984086e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025751142252229187,0.10182524124974668,0.01871282743151137,0.0037614245858996753,0.028774972252165743,0.00043857419043225043,0.002023103751649047,4.535412338202427e-05,0.0029856057291269833,0.0004952235108865999,0.006025516943599318,1.725376052275074e-05,0.02755943844185027,0.0041341765687501475,0.004549353321225191,0.0004962058747950415,0.0004933584148607562,0.000141914596680337,5.321229854970966e-05,8.666248861421977e-06,1.1306234066310594e-05,4.830656766152686e-06,0.00032825768279076684,6.354792194251946e-05,8.938103532374342e-05,1.3510964461671549e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09431091713853734,0.023828914515797495,0.0008092552084471016,0.01689370409807478,0.006477612279278011,0.0028276950398407052,0.0007643859878925241,0.0014864878530248538,6.84804168278319e-05,0.0013287036154840948,3.615756748676091e-05,0.01607413181517381,0.0034819255497258172,0.0012293797409965723,6.315993984062906e-05,0.00014938391909358195,1.2898899661939467e-05,3.5538898816578346e-05,2.652710400230518e-06,5.2516681328107495e-06,2.8836565988399343e-06,0.00044097711199064804,0.0020964459505878885,0.00018543197524301114,6.7994397210391355e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.338690240952537,0.12083326148956752,3.6792953988848374,0.12432387003654777,0.32593003964544476,0.026075591317196833,0.3305319690044835,0.02614451722464195,0.2993659735928667,0.0039137251324177225,0.009788412609220865,0.0032300757097409177,0.015586199289271865,0.039445897072066693,0.0017553348922886292,0.0005281360949684899,0.0002555446104463427,0.00012508803658706213,1.2062229471365704e-05,8.17981723821859e-06,0.0005225610429634153,0.0022115406068375365,0.00018095920388307152,2.1687037161099987e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9703844941483881,0.32242734511013516,0.027282537788125727,3.7802623997458085,0.12743830401306422,0.3127928025092558,0.003482909217285446,0.33625815300448963,0.026922633944736374,0.002814492263272711,0.0017055674801613047,0.003266418633269777,0.004004972270477358,0.0006085398496210176,0.00014101648752751217,0.00016887164103900065,0.0003546588625840119,3.384542317852457e-06,2.397452129376809e-06,0.00010900011926123776,0.00040584775791429467,3.9483545564378275e-05,1.1135200502554454e-05
