 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,C32,H33,C34,N35,H36,C37,C38,H39,C40,H41,C42,H43,C44,H45,C46,O47,O48,H49
N1,0.0,1.9619226818850257,1.9091016447754374,2.9522996839766207,0.09637046447582176,0.20019148400078757,0.028298591324296685,0.00365372265220254,0.030914189704673203,0.0010821709060282458,0.0008944843898737176,0.005377922044459554,8.27478798420822e-05,0.00017123171200861265,0.0017237339056597745,4.295300079282249e-05,1.5806813421725963e-05,0.0006089176755914999,1.4655914138184123e-05,9.600001358189836e-05,1.598405430169869e-05,0.19831241009022685,0.03992696120966638,0.04955490994889389,0.06634791090188319,0.006275624302619354,0.0009986641950314734,0.0005795018422062592,0.00010142710601979132,2.033881231133794e-05,0.00016499912545571427,5.776118331206337e-05,2.478455635168686e-07,4.7076885875962926e-05,2.366762973279868e-05,9.445995473589264e-07,9.228679306166887e-06,0.0002640791276859039,0.0005505955472540069,1.6991197569760086e-06,1.608424127219621e-07,3.1238307314912506e-05,1.8818421815280928e-06,8.191027950493757e-06,1.3232283300190772e-06,0.0011458367840272432,0.0008020527611623113,0.00022891649754001875,1.6286760229244912e-05
H2,0.0,0.0,0.02725872816125019,0.10174026167334616,0.03625477377778785,0.008447391382475078,0.0006881692570248621,0.0024405443782948844,0.0012445728720180682,0.0001062114925276525,0.00030366672965365105,0.00017873155991776635,1.7039711186939144e-05,1.6432051601622533e-05,2.949129912732662e-05,5.112543191021501e-07,2.312249958613677e-06,8.924774255736345e-06,8.59189981383679e-07,5.567104695014535e-07,1.6502561894782275e-07,0.0071474170696289585,0.0013256056678966344,0.011330559613282998,0.008417004005681017,0.001227916253450534,0.0006273591652445898,0.00012242088971192722,1.9255474104751258e-05,2.6614392274026955e-05,9.784434152337873e-06,2.7015318382339615e-06,5.5821590905225094e-08,3.3366059414285942e-06,1.1784247675450388e-06,3.845598617324697e-08,9.800223957912024e-07,7.704401793318105e-06,7.692324298425035e-06,6.259901695893078e-07,8.54387449678029e-10,1.3558500406851692e-06,2.630929696323392e-08,1.112434238059734e-06,3.310692053837272e-08,0.00010838927284950728,4.530071348429754e-05,3.846746279401181e-05,6.210323022282083e-06
H3,0.0,0.0,0.0,0.10676520856781413,0.0068750536677713026,0.031742693347630135,0.001665058037780387,0.00018203171187436418,0.004104223517282235,5.73311488754058e-05,1.9701137094818577e-05,0.0011541227488973682,2.7468531349050807e-05,4.704781656283963e-05,0.00042641344044291873,7.354849316243417e-06,3.5439224610467335e-06,0.00014149021260023709,1.6993234355222597e-06,2.1295463235704304e-05,2.692342534027503e-06,0.0046069677773973305,0.0012711713906398137,0.0078017864318925545,0.009440130204286357,0.0008978367903935691,4.291252845023408e-05,0.0004044841623676021,1.6750194093528847e-05,1.9421921384488172e-06,9.79775962606233e-05,3.8013259480162986e-05,1.0973494202204392e-07,1.2111628657107687e-05,1.3933349848449517e-05,7.634848639970215e-07,3.5389401892294003e-06,5.322863709245063e-06,5.574110743200578e-06,6.656783061442795e-07,7.457861928017451e-08,1.7933227243194239e-06,6.659929518981755e-08,7.251821535492198e-07,2.3444546970452507e-08,0.00010576577477483529,0.00019805940358352814,2.8053225295421313e-05,3.508149094999524e-06
C4,0.0,0.0,0.0,0.0,1.9418730503308188,2.718923170940386,0.09097722466269587,0.07561137170481436,0.16259997500630954,0.008604889054133702,0.007729537086320404,0.031644393231533535,0.0008251342949634477,0.0009609919341573292,0.006097707652226031,6.699461165171616e-05,6.510295603057159e-05,0.0018008924641389618,5.236621848903056e-05,0.0003121877198951628,5.378442057268895e-05,2.3636608620192634,0.2774767821822328,0.22382571431268714,0.012942499937925622,0.03882131388224161,0.002643802401445572,0.0034330408207068897,0.0009061840486292994,0.0001022035368754004,0.0007051463746501896,0.00022872939840121176,3.4014918282032625e-06,0.00013515936014557584,7.151089048235137e-05,7.000925704381267e-06,2.631202950548195e-05,0.0007694808550276766,0.002190077731362594,9.756318175027645e-06,6.793632585377907e-07,9.439214818862673e-05,4.82129679113541e-06,2.4925414773072085e-05,3.1986006023831948e-06,0.0045487228027354665,0.0003786041609938756,0.0013361485313893307,0.0002691800864395022
H5,0.0,0.0,0.0,0.0,0.0,0.07790405894185137,0.002260034899135288,0.03213556504077375,0.015920349234434306,0.0005345838170491835,0.005317228548671116,0.0015042095887195517,4.15964456819129e-05,0.00047405959429891453,0.00022759727117294126,9.636708888871581e-06,2.1228651607252402e-05,9.148184817941996e-05,1.1249014090886078e-05,1.1084947598272166e-05,2.434855138622183e-06,0.10837512529619531,0.018323646771872037,0.022048935653409707,0.0009048011344225948,0.0020595576288560125,0.00023947693587067498,0.0007415743707710476,0.00033020388251370214,2.3733912646983768e-05,5.7148723671129886e-05,2.2075484556793867e-05,4.5057838304884967e-07,3.999717848701678e-06,5.824682663746472e-06,5.554605670976542e-07,2.6244964363986156e-06,4.719410491182963e-06,1.8248959223754468e-06,8.31532557588055e-07,3.728887754128607e-08,1.3171269674927544e-06,3.0589032640193636e-08,1.335910245980898e-06,2.5369021550147863e-08,0.0005138686820473914,2.4271707406597898e-05,0.0001455411965476383,5.617029914817273e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6854057564633105,2.018496979278631,2.566354623421222,0.08640126158721961,0.08110931380535047,0.17880739952229002,0.008615905275776825,0.010778795680694175,0.03691649354764537,0.0009987555308202944,0.0008212104231417605,0.007869902063607381,0.00015551352594278534,0.0009871340179937738,0.00017751183858261133,0.1846511198739751,0.03446453075545597,0.028390590882751074,0.0020613834099244555,0.0040126616046129715,0.0004303804715902748,0.001031886525551029,0.00012062697764503305,2.233097973958209e-05,0.00019193848468393448,7.896951055477719e-05,8.658822221452311e-07,2.438611083613318e-05,2.4298719201676366e-05,1.7330276794735866e-06,9.790699033146444e-06,2.1678929432805694e-05,5.310024957383419e-05,2.784279998405137e-06,2.3807219884375286e-07,6.543416502718946e-06,1.5846261636198733e-07,3.7176677631922672e-06,9.540026146837022e-08,0.0005150225722745372,7.430703296977537e-05,0.0001640292853007097,2.5365038750613245e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02378338809791103,0.08832448293179462,0.030989248954365722,0.006033695728048016,0.007426188447866355,0.003379930599475278,0.00021936870030359046,0.0009204045008455175,0.00037544773604758497,2.899500021968926e-05,0.00010467314568884944,1.8001732851491425e-05,1.5834278131787727e-05,2.2546889986596597e-05,0.02663480061707202,0.005074033191289518,0.003167773440673094,0.00013009742340552855,0.0007833199490829834,5.5725718457466655e-05,8.750103981580715e-05,1.2187888517090073e-05,3.7570544155762775e-06,2.1909279333431897e-05,9.760420628390776e-06,1.4587883589989303e-07,2.95079052192726e-06,2.9482300836214392e-06,1.8817944424931454e-07,9.843548749444153e-07,6.440064876933604e-06,2.3423776079223302e-05,3.190569429767365e-07,2.027606371690638e-08,9.54840550404512e-07,2.2501626562032584e-08,4.740844485873197e-07,1.817663530800928e-08,0.00010616781497541083,7.502246971324844e-06,3.189556274318939e-05,7.453333291218556e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08068427283197255,0.00392287594285734,0.03366508971291826,0.011593666652560897,0.00022341307333939575,0.005570384446205612,0.0012065554774085552,3.483669237747122e-05,0.00036401012344300376,0.00012060506274191862,2.3176320365969616e-05,2.8751104923063764e-05,1.6115661636062484e-05,0.014126453775235026,0.00220603686518539,0.0013996665857229917,2.1929945136056617e-05,0.0003375106755751922,2.143944266363995e-05,9.256953743852492e-05,0.00012803653294235495,1.3341246813958207e-06,2.0440329949966696e-05,1.4319507472659865e-05,3.4604936471893666e-08,2.531255443027902e-06,5.291963352860307e-06,1.1099288421689835e-07,1.7015956617072447e-06,5.976725353962209e-06,1.523647461088018e-05,7.378721700312951e-07,5.003235381551008e-09,1.0716459866166872e-06,2.4965452150027545e-08,1.0870215920721904e-06,1.3479403593308348e-08,6.0487762487904106e-05,2.3930669046379194e-06,2.0394156088121562e-05,6.814928157572453e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6994878030867082,2.0790306978856625,2.760801802751297,0.08101586499569868,0.07880638266628925,0.20215483579084745,0.009935425579044588,0.007960857304772695,0.04113816144806294,0.0017244891053675993,0.003854795580267023,0.0018288653288685008,0.01838078161920806,0.05442315321786195,0.004646901131157441,0.00047204024639480036,0.0006124817891288437,0.00013964817235723181,0.0001329763170166698,2.944112348424177e-05,4.71682202118906e-06,2.2445539617776955e-05,8.989087462593637e-06,1.1381488151940289e-07,4.576931734445733e-06,2.9608784840595703e-06,4.3386568959746796e-07,1.1384328292562973e-06,4.241416752667759e-05,4.4477768776474136e-05,5.451147175317139e-07,2.0718711857270478e-08,6.629759676954339e-06,3.199481322102571e-07,1.93351644098283e-06,3.582021659287449e-07,8.947250370164306e-05,6.162083276171904e-05,1.3266844150192081e-05,4.027517246374401e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025402880836541186,0.08918953117651918,0.03210707040894856,0.004417463059384952,0.01166626863194975,0.004308930105808795,0.00016646401897069119,0.0010888863051038422,2.603978894244463e-05,4.078811954655315e-05,0.0007173227488648237,0.01267620404577774,0.08623619558892914,0.0030084146448153826,0.00012555320985430107,0.00022203074935034373,3.5127893754927086e-05,2.3792224153051933e-05,5.593206490850378e-06,1.5156922490433544e-06,4.2469049168492035e-06,1.4598513291552706e-06,2.249785957531003e-08,1.7251520303407375e-06,6.797335200259269e-07,1.851222124482632e-07,5.843488990464607e-07,1.516741672347166e-05,1.9765738792587584e-05,1.323963892962965e-07,2.808894050687627e-08,3.794627901676506e-06,2.6021762855599206e-07,1.1536956013857846e-06,2.8871746016179145e-07,2.282731240810243e-05,4.6450381123830375e-05,3.2790780094549277e-06,1.469387732822014e-06
