,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32C,33H,34C,35N,36H,37C,38C,39H,40C,41H,42C,43H,44C,45H,46C,47O,48O,49H
1N,0.0,1.017929233001444,1.016878477130834,1.459651216161224,2.0627281612721786,2.4487418109506356,2.4768514838319753,2.850319416051697,3.8025900065871943,4.159302252969621,4.003114650928287,4.985356379563487,5.071865832923131,5.169386899017802,6.276730966303669,6.535362397471695,6.48771909424236,7.502187733805123,7.629583551967667,8.370098087530831,7.588472443825721,2.5796162467401427,3.7090716049913155,2.832397199880822,2.4129925907958403,4.277514853503578,4.804562507315305,5.110776103711352,4.842561866081976,5.158921440301453,6.545374796602631,7.63095340024138,7.812777644655984,7.251710577977943,8.77551287832971,9.701461550746936,8.608145497172963,7.110071425098379,6.2035787863458065,9.673631832473312,10.689513116323228,8.345224390082365,8.515371113773057,9.535042465063917,10.47827463300987,4.800196607833746,4.409018058212575,6.109348968605898,6.542950703475885
2H,0.0,0.0,1.6520264167101748,2.0748957499619056,2.9412124240184068,2.739898718202064,2.786471660082175,2.741673590878209,4.228697489506714,4.555281721036983,4.639918730945729,5.235232949449528,5.319438784276526,5.213296974579554,6.621678331860187,6.866887001870827,6.973849617573192,7.735200009405697,7.734068819131753,8.6522546671908,7.81846717236808,2.837237157193795,3.997341399198525,2.7941393321246215,2.2528586632343943,4.157624947519457,4.87913745632784,4.763202207780245,4.52451506784856,4.615923863055049,6.249662458398234,7.235934399197299,7.307393996058877,7.114802636918003,8.458062501112707,9.348313389831292,8.426775419561379,7.144179404580536,6.314341035837559,9.578091075383588,10.56141566379173,8.448445746965648,8.726210060418367,9.565640133104337,10.554924258356758,4.61272588402827,4.14859218493265,5.9503690620979794,6.351622016205859
3H,0.0,0.0,0.0,2.0758448742002105,2.344986910669489,3.357336704764954,3.421151136037201,3.8007840057474302,4.580372499912999,4.824454694774926,4.6523382500953865,5.872454636741918,5.992419114921079,6.103596714445458,7.083164847708262,7.282051044895144,7.221306984072365,8.376763861295384,8.540832395294647,9.206636747945726,8.490060796628946,2.880354307895786,4.048123386929178,2.8424644188921993,2.234066014323459,4.189689802779499,4.67836618709386,5.262237606940338,5.187219738646468,5.3203527517353155,6.644450664850271,7.678028021668873,7.833778700087248,7.364521495595459,8.813925247704525,9.717112124500764,8.67968490695935,7.268094986321358,6.409023642538481,9.747101016144372,10.741087016480455,8.491215564061445,8.685452896945009,9.641396198970744,10.58250470964413,4.442274221941832,3.923786145764597,5.71697373373549,6.049859207083026
4C,0.0,0.0,0.0,0.0,1.0987924739958272,1.549278341158857,2.140151351130172,2.1745510657296676,2.5841315467427415,2.758746398810041,2.8525623162844447,3.9489296781468877,4.281577142546838,4.198277605061303,5.092588555239861,5.222915271135657,5.322245820867993,6.422350174111129,6.577677079636421,7.223870951118068,6.649142892359809,1.5514027847139205,2.4306461843618745,2.466680030246203,2.61055328102551,3.8489056432944206,4.130742658513341,4.618296063690709,4.150526344298287,4.942741331549778,5.942105107319673,7.172674677265544,7.543830217772667,6.406653767868536,8.181488198465878,9.156708727401679,7.813748699714415,6.0462923686470935,5.057263661035483,8.7572834699909,9.811703989606345,7.199234599289144,7.264362320080277,8.46594024119847,9.356900977846609,4.774324785896105,4.752633322056508,5.982949180874504,6.599636870640878
5H,0.0,0.0,0.0,0.0,0.0,2.1560254694501007,2.573944861002511,3.053765630770901,2.6804100670672457,2.852227173563738,2.5183232581733703,4.166868928827289,4.476036580576193,4.6594886306281165,5.096220724239442,5.232692121655661,5.106083452257716,6.525563268980138,6.837702735245523,7.237710844178684,6.74714689957148,2.123443352314523,2.7171628655525777,3.1095447672265863,3.2791333362196196,4.388828296511716,4.442820786634142,5.350567345128772,4.926251469960795,5.798649646328214,6.564924151363737,7.835292846531213,8.28179296146057,6.863781274706044,8.752590365930953,9.738734121764528,8.268282882199717,6.337607493436377,5.309537867834046,9.102926655318635,10.169424052827313,7.3689668435396465,7.303253646431068,8.684037808715955,9.505247057421968,5.261021683302578,5.26704145017501,6.387155147987778,6.993085098887225
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0963382506863664,1.1002080532185134,1.5355237472180872,2.1497585139561215,2.1626510202182896,2.5535381703990043,2.811523346117574,2.7727655265276465,3.8894362375031633,4.204299701255273,4.254350364027363,5.070897903508542,5.188514093461683,5.950869943322534,5.223136316175262,2.5388215138934336,2.9528333248784513,3.5946232871545245,3.8403640824872167,4.861076735353522,5.1574603150459675,5.2213315052348035,4.478477670459071,5.500109841252611,6.5112609418387395,7.752741302933595,8.141927517150917,6.911183266088216,8.73081688538654,9.708254774749369,8.317852583481352,6.471267464667309,5.459601998227993,9.212768498277155,10.273529149009033,7.563373982167631,7.556034270687935,8.858066027304062,9.713665047435665,5.967152420814956,6.009253542278931,7.157300522173791,7.835844063561038
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7657635605985664,2.1742149779305033,3.0615383728058547,2.4777126054781875,2.8451745776785478,2.6616009632795303,3.1828090126946993,4.242828059661392,4.789456061829397,4.479631815812672,5.283281077463884,5.4743800565186245,6.202412521963261,5.220767844441551,3.4554420098718865,4.0053343543655,4.376463531007433,4.409950887481488,5.734740029038723,6.1009312803702445,6.143772321651709,5.449543412070823,6.305170578550182,7.493705660851468,8.694635509659365,9.008913407543682,7.967679805962759,9.727985170495508,10.693828614456976,9.370567618340887,7.561365294378677,6.550216950235724,10.293530140811878,11.3504255130824,8.657036459635158,8.633966809006537,9.953157630884714,10.808306274420564,6.698378664579116,6.57041363711431,7.949068242860705,8.553086689580974
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16868106961533,2.5429742021127657,3.0707074072238028,2.739314218022919,3.071362013469288,2.5022066888021097,4.149695307101493,4.383180207869687,4.75020413159297,5.136354737274004,5.033677068003536,6.0661798955890305,5.330032320653387,2.6951930368213044,3.089806835646089,3.5268334891812003,3.7975846539779075,4.6656539970708995,5.106613531223203,4.715620512848475,3.9004803954080804,4.871374852826218,6.016652810391468,7.1859177893142565,7.513697555721388,6.528429747176503,8.205618355045129,9.154807164551864,7.89291215681827,6.24242827696055,5.316400412799646,8.85509710553752,9.885942112917087,7.397618879092785,7.5059359253810864,8.61565863142594,9.513893854675242,5.804104707711317,5.878662665821615,6.982014328581687,7.672186352861292
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941402525107247,1.0992991996704677,1.5393893666684886,2.181044107604229,2.167609063802771,2.5113256782823012,2.7805223710524447,2.8185279477814453,3.880172768990564,4.158433562834894,4.647575131935834,4.180901049929769,3.1734574915081097,2.9818750255456674,4.465018373774156,4.95112619576188,5.523593054407723,5.546488350818518,5.822128784313742,4.956147175744714,6.316401626206784,6.894776958518861,8.213650642759902,8.766295580908277,6.98428984792381,9.005671679065559,10.001363010800304,8.375435899545657,6.265237571258183,5.21073523215169,9.071013581084346,10.146941513388846,7.144826906407838,6.935841741848855,8.504391914247654,9.241412515457657,6.8079416615639365,7.0570258599709845,7.861565499235325,8.637169216736488
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666348100336442,2.1741570201214513,3.085517776505528,2.52580925659158,2.7307899505252142,2.547953189695456,3.135162106352827,4.153308406664977,4.337950416904534,4.7962857131757595,4.681877378331549,2.779442971966248,2.1999482269364323,4.091938810488172,4.768532899945493,4.928802325820275,4.806303417071354,5.179208247760309,4.302753259300839,5.81894717217956,6.102541020538277,7.448207936544076,8.092233421529238,6.044973503788833,8.138928167008405,9.137981415697066,7.420304955930891,5.2359822135850616,4.179934122482419,8.047783683594645,9.125743467135022,6.066194996490222,5.841773255937976,7.4341636933586335,8.154995663154859,6.313634993462667,6.7382039005921746,7.247778082038711,8.085120659749125
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1667133775041374,2.5139458993654937,3.072616008629882,2.7500785331809112,3.1231682824221423,2.6090113783071813,4.183239646271233,4.690029991554103,4.832089719108239,4.388274074555517,3.6502017423313755,3.4959547751574562,4.963288426062844,5.383987234532329,6.071552626852556,5.992910548363211,6.585242484707515,5.803121681705812,7.125431342471337,7.644855260296393,8.98895657383233,9.566695922841966,7.66624235448586,9.751684836005753,10.757020558449417,9.06239345629077,6.851954415236094,5.7703382920941335,9.696336752132941,10.781128971340507,7.648320040843391,7.333903494100039,9.042647750556391,9.725840998951591,7.273676233066812,7.474267788840143,8.319053777957809,9.0629103706589
