 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
N1,0.0,1.995556834709309,1.9004913955282223,2.847142938309303,0.09206953487420466,0.1921653191529199,0.027997133184097245,0.030267485903448618,0.0006966938488240926,0.03127412354295839,0.017092738332941115,0.002550980992412244,0.0007182431577756887,0.19805758086888586,0.03672049741238102,0.08459740293508614,0.12657451592917912,0.01058828630604075,0.0021913601634622193,0.0006075642567178047,0.00011582802693843597,7.572306662106953e-05,0.00010149969482328713,5.278909828189404e-05,0.0006797148636788208,0.0008442745997322421,2.2090054092371858e-05,0.0011215107910915734,0.0007477545115792128,0.00024204425725844747,3.770974199612809e-05
H2,0.0,0.0,0.02908418607195662,0.10414576482791627,0.033948092156348864,0.01470338785021763,0.0025995927519812945,0.04233815683152753,0.00030346052836205395,0.0023386541805830996,0.002235798861907279,0.0001708057945630781,0.00015637827276515637,0.006477993810171001,0.0008742907672352196,0.0029491023554314433,0.0012943449648117333,0.0002693447473499644,9.249267048305754e-05,7.305515649991268e-05,1.1161759692512874e-05,2.5335633619949505e-06,7.621083311648569e-06,3.761837653715183e-06,1.5532043632471293e-05,3.2196854978572276e-05,3.772865482254417e-07,6.046463520192891e-05,7.896790331307635e-06,1.5877826230026315e-05,4.159589686691945e-06
H3,0.0,0.0,0.0,0.10689835557321448,0.009151000065061643,0.003997697529622979,5.7535964696375785e-05,0.0005539580626241492,1.9316444997974358e-05,0.008444827011377054,0.006466125065498707,0.0007722492345301202,0.00022232062390004081,0.02872889926459321,0.004917949192297377,0.005007623881092216,0.0007761674093933468,0.0005087545025861395,0.00039192729697390405,9.851744283218e-05,4.985823238934373e-06,8.30003483831554e-06,1.9266314515986593e-05,6.250707233812491e-06,0.000125819839830843,0.0002650663925369834,3.883001872484471e-06,3.835359168369301e-05,2.0108128301998818e-05,1.318606213029927e-05,5.9974567103715515e-06
C4,0.0,0.0,0.0,0.0,1.9700069973465262,2.7125368501252516,0.09785622600557842,0.21656934288749335,0.007491452565308254,0.1658954952125633,0.008905362227873415,0.030372326935003358,0.0073378755496604775,2.5893648035644232,0.26784466889040104,0.23369247659720077,0.02257078039479632,0.037071675594594095,0.0033269735359859887,0.0038213747456996433,0.0001640674386794716,0.0010049147228837763,0.0005428812520685278,0.0002559996403323356,0.002998465076468851,0.006861808322809249,5.285352719708314e-05,0.0032681602712736624,0.0002675700897523253,0.0009893318024522396,0.00021493352836354784
H5,0.0,0.0,0.0,0.0,0.0,0.08949982474530027,0.004035084121021271,0.029306800418804402,0.000321502105414595,0.006468148876992208,4.874980978275545e-05,0.0006164116153837274,0.0026158622772609608,0.10480899498902052,0.02307009971931473,0.019160611314909204,0.0005065979340463933,0.001605654826801528,7.251538669006408e-05,0.0006582185933248219,2.1463546844735504e-05,5.9354848787496195e-05,4.5863197095208363e-05,2.104512466249986e-05,0.00017862898277121175,0.000263621812157,4.223558251803539e-06,0.0005011674512480635,5.214970309042055e-05,0.00011757052777527921,4.749467439024713e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8427396114174435,2.932898670325226,0.11448362212399243,2.749006193488324,0.09351746028247399,0.09714445844939457,0.09744956269139449,0.17838654140391258,0.05067475748079947,0.026620745494651626,0.005474310387463488,0.0048414666736874,0.0003608376503041466,0.0010917436685060483,2.1301790724237435e-05,0.00020945626578772192,7.722392400155709e-05,5.164792599371415e-05,0.00027136714290831865,0.00022435284632016383,2.4059262290321293e-05,0.00046074356027886454,8.372560892959402e-05,0.00012090277277669592,2.3564337265358226e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09783996567954922,0.011578548554588508,0.08979982633049632,0.0363961147049916,0.005974600925526374,0.003412693403448186,0.010665189632565575,0.021465967040640632,0.0016862325522244426,2.4448139260391244e-05,0.00016390490492534937,2.335443496948031e-05,1.1528167882079998e-05,1.2770588004862304e-06,1.8899610405576084e-06,1.1215250367291318e-05,9.363607335388657e-06,9.880736009826308e-05,2.51542486087164e-05,9.225470038787265e-06,1.9987610526461808e-05,1.4582540082908046e-05,2.83888474217342e-06,6.951467799165556e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8049862331533935,0.19276886911013724,0.009220424456246601,0.009380154935339724,0.02939751341146679,0.03236146033919421,0.025458776999911545,0.0032415954317814577,0.00024146971145444507,0.0004962298431882561,0.00013304217081566705,8.656625250941241e-05,4.755601551331701e-06,1.382033451391429e-05,6.142855098856259e-05,6.7438086511315e-05,0.0004798311355396767,0.00020493661408882424,3.154721678355621e-05,7.040634905111642e-05,1.646356550611544e-05,1.406298459076527e-05,4.455854785034852e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219625049242414,0.0010295999183767002,0.0005100758991352095,0.002828298434360832,0.025422773030558954,0.058711550578563254,0.0042705917469118004,2.593602762424041e-05,0.0004518052563837749,0.0001077659687402921,9.633038234058144e-05,7.763775355051905e-06,5.587716971344747e-07,0.0004013840139048819,0.0004445571399438464,0.00341397944124211,0.00044872385369876255,4.058477492185908e-05,8.069134316479598e-05,2.1868264817315186e-05,1.1405234670358588e-05,3.050404043580812e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.862385558696316,2.1164075416504735,2.009715843545219,0.028752939040009973,0.005721051336169819,0.0060333725251321135,0.0007195972264331107,0.0014488641568259353,6.598103619326334e-05,0.00020721297969715502,5.944977684690933e-06,5.870054689027793e-05,2.3775613998217038e-05,1.251484075076581e-05,4.947784683792533e-05,6.516538396439397e-05,6.551923096509427e-06,0.00013130853853973723,1.2475285892155075e-05,4.0769208904001264e-05,1.0871146481572502e-05
