,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
1N,0.0,1.0213016536325998,1.0172093237558273,1.4658611296127042,2.083578842420935,2.550500319966719,3.4532724266433377,2.9950523808482714,3.4159932187494046,3.065398901816796,2.782409086992744,4.076297422230026,3.386339466878663,2.4535203209613563,3.5810602719886875,2.6618728900612814,2.182356677875844,4.097398438177229,4.667982911332525,4.851359806040026,4.635083045207856,5.8687917279947115,5.2844445551812385,6.073531223773913,5.2833335693963175,4.728680168826588,5.8746453105133725,4.721152267292016,4.4291056519539715,6.036979425043998,6.5247112307809845
2H,0.0,0.0,1.63889782683905,2.031074892719599,2.9124760441036983,2.6249437335083936,3.6433461696764673,2.5643943928596906,3.046778167937518,3.1266788436017867,2.6661498377489568,3.9848964766401616,3.7329371545605263,2.8132004702862776,3.8033141211010673,3.035387097608386,2.6657158610096063,4.400071939878671,5.001668673223832,4.855422112841217,4.556589583379948,5.926239028490011,5.048111223089224,5.684934499875151,5.0810426524845855,4.667624636564251,5.542091793688605,5.214105616819706,5.029877711822906,6.510146459919344,7.064440989939793
3H,0.0,0.0,0.0,2.0559045172032073,2.3002207330874063,2.892853270977659,3.81624860357554,3.5275402741636355,4.126231197679611,2.891374144435921,2.4293566539213995,3.942706324603631,3.013791147507394,3.3302263781794963,4.415970764572297,3.5842749513311847,3.0018410026744626,5.009382458580655,5.569661730544159,5.820648633727572,5.55248011561003,6.815122643121732,6.297848782490435,7.064709776594509,6.2884800911520875,5.70487693867594,6.858700710984894,5.470246055311577,5.013493939901724,6.7960439781518,7.195121132791822
4C,0.0,0.0,0.0,0.0,1.1000958227387774,1.547772351757002,2.151717023090734,2.428798193246454,2.6665158874741044,2.5605988559539936,2.839189996351034,3.50178956495152,2.815434997545763,1.5423319764390981,2.4321431527660677,2.437878988200585,2.4901746279083143,3.82112165089632,4.049925786875767,4.810413142375563,4.926081790676506,5.795050207832048,5.102636769923258,6.067511607770433,4.752019396215859,3.988216145997373,5.3245701651667865,4.6408113029957665,4.6174721542955695,5.827603495827918,6.422272701623788
5H,0.0,0.0,0.0,0.0,0.0,2.1674170760906413,2.44227783075388,3.3671657363021334,3.6076702338756403,2.8304372584102575,3.242441669841546,3.808756116809942,2.6432093684451012,2.1258241538029274,2.9052253650498647,2.9017145453388635,2.8766903553188254,4.176360829595165,4.312625443928431,5.398166296517231,5.565651529154156,6.288009214884636,5.876123853473498,6.917324617241824,5.505889402191477,4.653761141081591,6.147815226313148,4.718838172044317,4.574062077035132,5.856236996588929,6.3481428140276055
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097975293668996,1.4286936191829458,1.9369112395708192,1.5232454541145173,2.1719731518865966,2.1553230021855843,2.172823538244073,2.5185856033637104,2.789383517709558,3.6983773161893723,3.917836201897529,4.9704742755659765,5.014620509305827,5.782455897151962,5.971137432565625,6.796908710341448,5.693375313197744,6.573687517705375,5.072387037257867,4.318453158474136,5.381305218069548,6.004104393202994,6.110737581243458,7.1107547885492695,7.788179188631358
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0791945235335128,2.2044324450382913,2.153310530896247,3.0721802068349517,2.477148350320951,2.5089386473898556,2.706109933268032,2.5385687110735553,4.032295477852662,4.44722314701883,5.126331739485322,4.933796921402285,6.043123322843315,6.412862114789747,6.979111854372918,5.900256580851776,6.8648899088750674,5.072244789341058,4.210484949720393,5.35027406421041,6.183463471159247,6.421580534372173,7.155555413786893,7.866116122800117
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9720734936204872,2.3807865270267996,2.6363961537474117,2.631613616611486,3.34609558506383,2.9017261643050682,3.0242757884293683,3.9211985481051395,4.2130507047867765,5.074073494705079,5.180656655514186,5.510817763409592,5.6438888291351335,6.562839170513243,5.100014535640166,5.791138850994859,4.491763669912526,3.9601359120507458,4.5961213577156155,6.316056005375595,6.5460745962954,7.397610819487779,8.157056414212331
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.198017419879734,3.5667764105950357,3.422861698183276,4.058038800733258,2.589156156582993,2.401819572598084,3.617245194649854,4.123150292012935,4.56591714670243,4.549823393757443,4.926956736703988,5.205202523468292,5.932916444669112,4.374175883547796,5.107208971880096,3.620995389627342,3.0895095335127363,3.6862422560410244,5.926409133203896,6.328192194640064,6.897264240814471,7.720970785691234
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958560735054081,1.0939847435222634,1.0966011942089693,3.8977587900765656,4.288727814477892,4.94817004127423,4.935031128358742,6.314205969854941,6.440886537260573,7.140291162886681,7.1994208730498785,8.176533759296158,7.102169121382949,7.911285283581396,6.550909465925475,5.832116908642573,6.813678678759688,7.201273591156059,7.115929124200117,8.376992548484347,8.97163239554669
