,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7689243300751547,1.7808936864169396,4.246232510488976,4.849194845859406,5.081924981142241,4.8852428689909155,6.50507346855651,6.8039643412502215,7.206413653992834,7.099263326314643,8.274216407315187,7.209267725804149,7.912396989349771,6.838730062066417,6.22656990121712,7.109569633518009,7.335764016606609,7.13423982479205,8.588688510471561,9.141957324715639
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7782759529924042,4.672011975710891,4.839106234075274,5.81196175118359,5.895932390519387,7.119150001231141,7.1578041923397375,7.86653909596491,7.975550535226618,8.904464424449772,7.649028304094028,8.405662803685251,6.975061965903837,6.285400079141626,7.09445603002358,8.112408026088572,8.111207664923281,9.244092558054513,9.888408409526077
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2254822753235715,4.657093051325871,5.244493996961201,5.172086241749143,6.601871036375387,6.691794532236573,7.608530365533968,7.694843967090721,8.599284195037422,7.7388779883776655,8.634346187872918,7.190627378273172,6.386008773027331,7.5466873222485304,7.313212732430932,7.1329886276601835,8.469839576982329,8.98676536987569
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2409745402529853,1.3483800767328145,2.0146540527804624,2.4731719883271803,2.5643022847677335,3.4976044199154313,3.8580968533517037,4.427985136649874,3.7903717620268056,4.876384917848331,3.3952788880974913,2.5864490381083884,4.102881884693481,3.5616848990073993,3.897666940350709,4.614735585239939,5.34263382967191
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2840273200286063,3.156147464373177,2.862555692612506,2.4827584601749,3.764423311768526,4.389956563334909,4.581468968695097,3.7137339048018116,4.841772539486749,2.903066705578545,1.922864427091152,3.4897769785028974,4.12034405759005,4.719635541126027,4.907219937297267,5.7382174252538025
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0180677827424292,1.4519765259990636,2.0727306731456343,2.5172350576323774,2.7317562533497672,3.4254057984446113,3.276618700262318,4.3267436901953,3.3671045690831223,2.8163806331721335,4.248961725206675,2.4071144158268645,2.7185556009100553,3.590295619029425,4.272336222061615
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139755137424162,2.958747940174172,3.0307681915439346,2.8871337434124484,3.912758841864044,3.944329268574233,4.850291089401839,4.239340418095205,3.7790979275281575,5.090131268010441,2.5755889219104553,2.420912178099789,3.903806246399159,4.40495501309779
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945760141254672,1.5479874470413881,2.1746850652427203,2.161981014054203,2.6658987537316916,3.7620590885170686,2.9607342365665166,2.615447102538559,3.964946984407124,1.5278753646111098,2.4330714239671183,2.380193007155588,3.2165228739906153
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1782814221771103,3.0767535783591664,2.5547818036429986,2.881462286730333,4.07147554866591,2.7368041056683587,2.2046406128012004,3.714807284312202,2.140484149609995,3.1795220969830154,2.5412019695310875,3.463197617385724
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951455322993153,1.0966036680585016,1.5377532044506022,2.381726108743348,2.4864333149772655,2.7192824617709666,3.389107960874403,2.498237179897798,3.359870811646982,2.9936589841895422,3.813443834423538
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7561089529388951,2.12714425573252,2.568281549184023,3.267064480508096,3.5437933127091132,4.0614475043120555,2.786150751327638,3.2979389450489305,3.4846024477989874,4.124574049226564
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1139400009528018,2.6992769535242758,3.06786121970683,3.3998201688104484,3.915284832462195,2.622434611152821,3.6011376329585785,2.6035132116263195,3.381537813252417
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2237906527676872,1.3626487186664842,2.101184606690295,2.0129949512762755,3.9375367491194067,4.819920924099591,4.347692125582401,5.235515128402166
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276047453512306,3.1862529196395313,2.4668670994043906,4.879586535256568,5.686195657892423,5.219148240160602,6.038680649866072
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196110309272512,1.012198177757973,4.419657410560202,5.365255872960056,4.81871805995675,5.776844867303435
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7368371934787203,4.106832804372285,5.01196629469667,4.607287047010806,5.5619174601864385
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.429283104109103,6.358602093848939,5.8032178494668605,6.763324030669693
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2108016735656406,1.3496448426019545,1.879234689079132
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25702586024854,2.3002364690541834
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976721485208427
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
