,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23S,24H,25C,26O,27O,28H
1N,0.0,1.0127751150719353,1.4547807899233205,2.1137734967340664,2.3296481199767296,3.295052430376088,2.720075002240625,2.3867762343549423,2.994756457376814,3.2624594271459815,1.4730458052607907,2.1583744880194367,2.116872433341115,2.5738959140578332,3.6916162955376843,2.85135958896815,2.4289109178656942,4.270973542210251,4.692435277488078,5.264548435899592,6.254735334922138,5.27858119200317,5.624020053524095,4.647296303893929,4.798341111562218,4.40428866951609,6.130637197866583,6.566506460318856
2H,0.0,0.0,2.118440749344444,2.5873374676512655,3.2802101709011073,4.168028786674795,3.6987738693631704,3.272967228124924,3.7111681323685106,4.17151729296951,2.1309380544206724,2.40730796807465,2.6975401784417548,2.827513319234119,3.9727199721291404,2.78024769597965,2.16150448927,4.057783569208462,4.44520653408706,5.261602203767839,6.162396258880172,5.446755445555217,5.698614447427522,4.89942336599033,4.312326773388933,3.767893133385625,5.633184460880836,5.969153384486597
3C,0.0,0.0,0.0,1.0975772148778338,1.5448728448620537,2.202990387713461,2.1624847474490765,2.4148805630197567,2.860262802652451,3.374341921313014,2.426148992244844,3.142278415925554,3.2154514042786455,1.5442878886052904,2.4213893130528605,2.4770228930949356,2.6154051160925147,3.8335938371281593,4.057391165974181,4.666971912377258,5.653587675928067,4.419883458585766,5.337860142615207,4.397815265073973,4.781838400725056,4.753843152029088,6.020199206829002,6.641257132226728
4H,0.0,0.0,0.0,0.0,2.1873713068316674,2.694177292391142,2.382660022675829,3.363148386387827,3.9043629647559213,4.202254314314644,3.320312096051903,4.1117401648803416,3.9172363254398292,2.107852944611894,2.591725551946361,3.2202937847925974,3.4336998047313525,4.42902118305808,4.396468516997654,5.357118203712294,6.260317589102746,5.035304625403636,6.2554219775683855,5.40031853318736,5.393682829095443,5.401309380621455,6.570315422523823,7.203201524926104
5C,0.0,0.0,0.0,0.0,0.0,1.0929896584266905,1.0954992789133675,1.54077157258959,2.174401088861778,2.2079185703010116,2.438608875796845,3.3116688393133864,3.063155445687176,2.5398138480100654,3.123502095538998,3.439949124130497,3.6110861890395616,4.753441472331774,5.111583325004684,5.177735122252273,6.232772331463743,4.745874241808336,5.520813080152833,4.3593028185478016,5.815195222850338,5.831172677002564,7.028254475268927,7.68651439654919
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7746898058900156,2.2203283333089847,2.440774092064501,2.749827330519115,3.3986920959960787,4.132640567621127,4.089618387226415,2.6338252232256143,2.8069547075338774,3.6507429431112874,4.076406817308055,4.758113494540814,5.036727914673866,4.914073011454007,5.9270527264362824,4.280961227882886,5.348224176288308,4.253230420055476,6.010870125077804,6.234810693681192,7.109611751048808,7.861625720031558
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1819669869767493,3.0617957015007375,2.446135733757591,2.87313498870943,3.90738471942022,3.134166339988493,3.4371995654693057,3.9329336016472163,4.414624305506561,4.505566519728926,5.75836526527852,6.040607985193658,6.253061883805022,7.297095055901337,5.793364717185932,6.608344692871266,5.423047554617471,6.780209470691038,6.715821915249888,8.018062165039014,8.651661953565577
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096663042555886,1.0942327003561554,1.5475446635121197,2.1978158368636636,2.2018401287818277,3.191172950200127,4.052830950450349,3.5169872786195198,3.3831379281657963,4.831452964178902,5.482564572776957,5.149265497912204,6.2419432956272525,4.937687805427949,4.984553802430198,3.689152947101084,5.637651476107676,5.477084851005921,6.883299401373987,7.42833729976199
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641239926387686,2.184406260188437,2.3503960845244385,3.0206951389541747,3.0885907537450654,3.8802483230535256,3.1517677157402617,3.130387350376253,4.272043262377353,5.036467425344705,4.336593894855647,5.41970464103993,4.158584338112058,3.977625864393098,2.6508707910211946,5.1020855017828275,5.073684829855522,6.259386516811174,6.833141819913175
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209663987275647,2.8262121821233945,2.3921327147578717,4.2450251613203145,5.016991917060221,4.595872872642842,4.433033930840619,5.875923990592441,6.548458958661282,6.069760616405724,7.158631921906962,5.812043480153007,5.71318910335529,4.370363478884514,6.659509963165144,6.460455768265957,7.889517206043819,8.412657858516816
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1003319585719729,1.0990712723984493,3.3653567218202824,4.491771505871673,3.3842335099347496,2.8452163281483718,4.768381419167602,5.441846631294561,5.4640508794268845,6.513421799439054,5.513792500444868,5.338324410457087,4.185680738081996,5.218489231733167,4.753592350117044,6.545778077236684,6.932807323603565
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766389847646226,3.679895056141655,4.859150676031947,3.269436070814996,2.538203555673687,4.4882481586351215,5.313910860501852,5.146674554642372,6.1478260937818305,5.393016969222852,4.7770313034848755,3.7206787024333043,4.681710305425935,4.100314465045307,5.974881850081918,6.262934228988131
