 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,S23,H24,C25,O26,O27,H28
N1,0.0,1.9218494142053602,2.908552905559996,0.1015757669937517,0.22405482064523488,0.02627722180860581,0.004732507733183011,0.1986950715917512,0.00453540064973823,0.019980782633506333,2.89160897222468,0.10106081770181552,0.1117946938487493,0.2061193556872953,0.04067140826568133,0.04317463840583326,0.048310640075414524,0.00525094982627014,0.0008294063381801831,0.0008976782301602787,0.00013703812219312272,0.00012731185693837244,0.0001270614778207807,5.6359972835151595e-05,0.0011462709348307176,0.0006277668803116726,0.00021745040282074302,1.7881360452554063e-05
H2,0.0,0.0,0.09376893243469375,0.002549948630439891,0.03259267993985393,0.0018378309848545715,0.00014564661527383116,0.025156736498460952,0.00020046675796958624,0.00044129546209559223,0.08568365705717529,0.007883119768217206,0.0036722326166596098,0.00735104271155429,0.0012707721193144783,0.012178507482305867,0.011683188188213789,0.0011550036639244032,4.741451584022727e-05,0.0006398100060518441,0.00010828069122803541,8.406871836230678e-06,5.228972401161158e-05,3.211352215704011e-05,0.0001954842754242625,0.0005263280480475307,6.329291376439006e-05,6.4843590688035135e-06
C3,0.0,0.0,0.0,1.8285745635890969,2.552976965947004,0.07520179887298961,0.08867057300168213,0.20295829205903157,0.00441352212840318,0.026332235897765788,0.23842297525513828,0.01612963559548941,0.017452518121106042,2.7409336609255552,0.29469497395895716,0.2225755483413075,0.011496804160666452,0.036445972504487056,0.003427641580788454,0.003125662768744236,0.0006731534145369977,0.0012396002259995598,0.00037842313989128185,7.863870899393888e-05,0.004680877917262377,0.00035183695125221015,0.0013099880813942366,0.00026644759260141537
H4,0.0,0.0,0.0,0.0,0.07820683081119428,0.0016394534985562093,0.009264787701578792,0.024591457510847348,0.0003721892126307136,0.0004568209895896569,0.027073383072067858,0.0011187841271833587,9.907149972265827e-05,0.11558544374092095,0.020061819381613,0.024831790167956558,0.0015037250824927462,0.002967536754196809,0.00014657336367052132,0.0004511643580397129,9.519297949678318e-06,0.00014215570866826788,8.247443157405332e-05,7.0443759618843416e-06,0.0008663807383801903,2.674785434519933e-05,0.00022177221824115634,7.588083732401607e-05
C5,0.0,0.0,0.0,0.0,0.0,1.7266973552617837,2.1436910712262702,2.6595916074228336,0.08280749248257768,0.07808346574360714,0.1939796046081828,0.018247962513613603,0.004152307363264773,0.1851203125610264,0.042309917318192336,0.027446951825644716,0.0010578864163465207,0.0032634322904951385,0.0006014486927371498,0.0009638494996401237,0.00014702540726196922,9.206337676093135e-05,0.0003202450373195054,0.0004458182110458342,0.00034383222842501726,7.021759812048112e-05,0.00011353353800315491,1.8185634534817474e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02656929423289811,0.07571304273063828,0.008714348691647666,0.0010302844094709496,0.02633239969237655,0.000308376227694529,8.287840117660039e-05,0.01737037715780576,0.01066171040040953,0.002741942700084099,6.76791190616921e-05,0.00027393867499259095,1.6014430668898072e-05,5.6849078155396526e-05,7.351973493330277e-06,3.680697980845693e-06,3.8539412427485154e-05,4.331257325773663e-05,2.6944326791511486e-05,7.972331841465952e-06,5.848340461467316e-06,1.6147238517394413e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07950052700011812,0.029654941994585293,0.008983662437844098,0.0037310492225346437,0.00022868399431907882,0.0002263314495247748,0.025259346955749384,0.004011310413270852,0.003986443852395993,0.00021641933244187506,0.0007482489625210142,8.052060526519966e-05,0.00012467328082443885,1.961894785829088e-05,2.314734955466413e-05,0.00014761344237812501,0.0002366844227121856,7.714735406749718e-05,2.139014631641345e-06,2.5861236195412474e-05,7.272866615837259e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102475456851389,1.6854705598676263,2.6871373021735647,0.07776977174079658,0.07578607455856634,0.013995846111466093,0.004544201049984084,0.007223600524389251,0.0003099338833632004,0.0007225419427800694,0.00027976117888017793,0.0003718133489392511,0.00010560056916386618,1.7984673915338867e-05,0.002869410071460368,0.003399621674382569,6.943165833128706e-05,1.6918960399556204e-05,2.9779238895702442e-05,4.9683759325569454e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541108894636479,0.07913485623094352,0.012831531095810922,0.019591816176210086,0.0031255978238731164,0.0003471836800263972,0.005483894290023494,5.8810877455961474e-05,0.00039178676261109047,0.00018233140423373762,0.0004099530412100538,0.0001626980984392734,1.2064520368282317e-05,0.004021667154513131,0.005453139819354469,4.224773985894714e-05,6.348091025731861e-06,2.646167914344133e-05,3.152140323203767e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07630903169729963,0.0032910107425645485,0.009776308812607937,0.0017986231548117182,0.0007515714524986006,0.00038269415104585924,7.12627746526362e-05,5.7530898543545206e-05,2.3581281926032815e-05,1.833730377365228e-05,1.0197722231097828e-06,1.1464232760882709e-06,0.00013169495219256255,0.00034633049551269224,1.38398000579798e-05,1.2219029871252118e-06,4.0854866439898885e-06,1.3936712861539746e-06
