,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16S,17H,18C,19O,20O,21H
1N,0.0,1.019757927820498,1.0202766497056899,1.4539904533795402,2.0940922297482514,2.087956566374538,2.518278417461106,2.8248018120704677,3.7293067781232923,4.025192216610343,4.97113077203076,5.054138551568274,5.5903811884283225,6.563146860506063,5.096927411136064,6.29568887751841,5.280069167164151,6.087910810965377,6.159734073720705,7.260412590029337,7.949967642272445
2H,0.0,0.0,1.6128039405357637,2.0278372667004327,2.363039326660748,2.9310111180692378,2.7639000390180524,2.918136374163558,3.938903528826403,4.3289566149626335,5.1176821773807575,5.29317089355933,5.457864503818913,6.454750717982189,4.848319571695249,6.011480100374196,4.935508671513797,6.337051046402105,6.497283722635067,7.470514905788392,8.205602008408178
3H,0.0,0.0,0.0,2.015677387976126,2.92399431823292,2.4374307064653706,2.616692103371213,2.523713885910925,3.9531432436789866,4.4133919410160285,5.005381216363961,4.868526090783326,5.635351212649393,6.51224400436598,5.056286590853462,6.602751862036851,5.731838997293342,6.211465508058931,6.420469208693249,7.283851891579678,8.026833388181801
4C,0.0,0.0,0.0,0.0,1.0974850304309338,1.100071197083124,1.53875544652473,2.42428023658389,2.4613058961178598,2.6046981220245877,3.821353183248066,4.050825010248888,4.655797514906113,5.643910112824233,4.4138462879366465,5.317116209123877,4.364745664132756,4.766540975702039,4.73631386663718,6.004475876828073,6.6253802959600785
5H,0.0,0.0,0.0,0.0,0.0,1.7560890807326173,2.1733064663168262,3.2148030716194147,2.638164918055444,2.4878339141949195,4.081524666031236,4.568288959969863,4.806287810525748,5.857338982209266,4.677723190556475,5.078471589996396,3.9711710644422804,4.853651265567068,4.652701739058735,6.153653310255886,6.6935419321966485
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.143731512092156,3.02372605733235,2.8156376551295814,2.735470097662284,4.1056181919403,4.215910768563511,5.213932221381003,6.123497057134673,5.111015380632758,5.9757062419808245,5.1290365103764195,4.813415816619231,4.6256744422187746,6.059819908254525,6.587162251963415
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272788102740333,1.3678856370461225,2.0752368327623416,2.456063108505113,2.6203936081336865,3.236070065508229,4.170108911224975,2.984753110460507,4.222234403156418,3.5463867580359834,3.664726825170065,3.9788491575615814,4.770112123064378,5.512570365569689
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2747730269581674,3.1732010871676763,2.7909193087136903,2.585749702656482,3.2459600046068093,4.028395290813647,2.668240562072068,4.547703481569025,4.055828840894691,4.2171660913839535,4.797225986540703,5.086706421157275,5.943173487926004
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014524001830515,1.451078510061981,2.086622209940069,2.501135932973159,3.4252761624893897,2.7309073733389293,3.3189224226661147,2.8426141113720944,2.4023518017421397,2.6822509953424825,3.605392936552393,4.276843758493191
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0967707581194968,2.825122214861357,3.2180042221597507,4.099342374172648,3.624249911911021,3.6463383801091176,3.087717763323694,2.4117007531846992,2.2013507966707158,3.747001237789755,4.216281691894665
