,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16S,17H,18C,19O,20O,21H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1003218113684619,1.543237950350945,2.167450344546684,2.150716368010863,2.8532083257438803,3.0146726732095757,1.5236123475248007,2.427365568984182,2.377362745510681,3.2129791393341343
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131138697244165,2.429792830634463,2.4343280756687933,3.7800747245700443,3.9938816447843077,2.1376892787159956,3.0917601008004834,2.649033148359971,3.5315062861007647
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092934753383955,1.0915855572524131,1.8377836791802509,2.3981814981713856,2.5500414566331657,3.543856889238476,2.8922525147662137,3.7789011504552463
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729066551028156,2.374301009126973,3.3039183538190704,2.797219366481988,3.937041411096826,2.600350516668828,3.4962490057869227
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4420301575683188,2.6457514363066763,3.4731822506262318,4.422669214052525,3.883652081675999,4.807553051678478
16S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3503697932176832,3.261623295034393,3.863736323629356,3.649695042837571,4.2473352692826625
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.653558295769665,4.000581526608986,4.433600199961093,5.029331988608571
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212140005842225,1.3461656071458912,1.8762163171590074
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2554912637797435,2.2985965773879866
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764530593309946
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
