 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,S16,H17,C18,O19,O20,H21
N1,0.0,1.831593839640036,1.859175649053053,3.1901553669709783,0.09071348462165996,0.10004945387999165,0.23133262294512832,0.04307437672695708,0.035179334211643334,0.002734373946889135,0.007371271241018482,0.0003314088844975638,0.0006930929128281249,0.00015119698626842037,9.426240924204077e-05,6.989215781093294e-05,1.8748269484669677e-05,0.0011804870769672182,9.422117256835394e-05,0.00036131817925866283,0.00011503478029672998
H2,0.0,0.0,0.026671230779089283,0.10597045311205122,0.0072056725555440515,0.03571941892020636,0.00805051306991389,0.006239559306117859,0.0008663250203576611,0.00021032699379874842,0.00023814117283615932,1.6424421528382638e-05,2.3249464818797527e-05,2.447707769137608e-06,2.1959370832824732e-07,7.197538170244933e-06,9.981546966741917e-07,3.600059722230764e-05,6.860839563249677e-06,9.517382950186004e-06,2.630379312140718e-06
H3,0.0,0.0,0.0,0.10875441487302095,0.03619529791999998,0.004439990606544875,0.015812634557479166,0.036127008013782325,0.0028578052974497226,0.0006193058486643199,0.00034227200935632585,3.139225595827355e-05,6.602009079303972e-05,3.16140632805606e-06,3.18088226409774e-05,1.735107864930807e-05,8.161939633044568e-07,4.926925022707973e-05,2.66622541870154e-05,8.236358875257643e-06,1.6414624433025438e-06
C4,0.0,0.0,0.0,0.0,2.0038821443402544,1.9803885969105302,2.709937973811209,0.2797670394421446,0.22397372207469068,0.013615244442401253,0.035942086688658115,0.0031262302715122647,0.003960516204893516,0.0007748049863793849,0.0013436114247058484,0.0004204134953586791,7.058719968577876e-05,0.004335945731868879,0.0004636211962889131,0.0011958770376327976,0.00023752504362239968
H5,0.0,0.0,0.0,0.0,0.0,0.026079188231427075,0.10188520437333826,0.029253898297628256,0.010565040086779831,0.004010282917051189,0.0015111137108849704,0.00035878631928398796,0.00022246523055646783,1.0259297764658726e-05,0.00010053100865037301,7.318018574775653e-05,1.8457439021846156e-05,6.334301214150351e-05,4.159099179934511e-05,3.153172815895111e-05,7.803141739426422e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10853893768140432,0.029670635765574382,0.01461645365425357,0.0012877702884284137,0.0013733495124157447,0.00018768679293335033,0.0007065469849727446,7.528152901570273e-05,7.864175511240745e-05,9.980856389846249e-05,1.758888568481609e-05,0.0001894453160391496,2.5551615516539172e-05,5.515929962407462e-05,1.3094284639025844e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.292095266913437,3.5935459368256026,0.136951887349127,0.2748248695395663,0.025886565647852633,0.030701329133034833,0.0026826959209509393,0.006047575336419753,0.004916973981006226,0.001517845522488681,0.02849755317730876,0.006999844232057809,0.005548911902996279,0.0011958428123058917
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534022573801058,0.026577185744197096,0.06727436986147785,0.029825961655701172,0.022982656018736232,0.0008571920294760949,0.023291087697882462,0.00346134790051688,0.0008359049223678472,0.007976560295680085,0.004224595729953505,0.00122257274930207,0.00023785770920459193
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6424704804592012,2.8766430690871774,0.09812202303984907,0.1771533095217671,0.02588266059737998,0.006915442768014923,0.03163680857241563,0.012549460429299275,0.19130857483238436,0.060567847821891854,0.026804953637590487,0.005203914826149791
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09720063939315127,0.014601323327352755,0.01135797082439105,0.0006599412616454803,0.00019399484573390247,0.0018137508941343805,0.0002998922400336834,0.037294601336197,0.08682836611629496,0.005907304033025973,0.0001989932312789211
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9836174527347894,2.7947081434234553,0.09623833961507333,0.09570327764793818,0.18815629613890164,0.005280559012433406,2.7613392919392834,0.2803556782671394,0.21898475188952377,0.0534943935600769
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08744211308902183,0.004776694187325292,0.005285131596420634,0.04147689352013939,0.00040073701878662327,0.11319221554906345,0.030844715573662085,0.010425221267472695,0.00041683689652582956
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083965930068035,2.117944771654114,2.8662891274629096,0.05170504595783276,0.1761249755548822,0.04380617028469515,0.032337779909594966,0.0023122002869486735
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028125764021085464,0.082849350186331,0.025777583222682088,0.007044722743609011,0.001123083533593916,0.013830744822140861,0.0003519228663926288
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09206612489456811,0.004887490572769604,0.02606921424262132,0.004488698324989215,0.0039020201105114394,0.00030047097189944694
S16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015002161997452,0.045121644795921886,0.008343263202771664,0.008667177464854979,0.0005950287902428686
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000627779788674232,2.4716569603899785e-05,0.0008455120020238738,5.967414846708152e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.037958393637388,3.5630906542894096,0.1718516634285594
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507155014339257,0.06393968106099523
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8116655712718868
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
