 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,O35,C36,O37,O38,H39
N1,0.0,1.967657570545639,1.7169960735270364,2.6272367428815846,0.08851668496346732,0.19400519070229127,0.03769486378035514,0.0032624913755785467,0.027249591766022402,0.0013209886141811733,0.0004174435383852426,0.0054770834354182785,0.0008714621109233711,0.0001455992248846627,0.0005145690237007006,0.0002980411329668309,6.832692238659122e-05,9.503810368924337e-05,0.00012042384035115816,1.360632892066782e-05,1.3493825845214968e-05,1.9255633930681526e-06,1.1592046418318347e-06,0.22388285841013056,0.05666681104129086,0.035281124547755977,0.0025856779287010134,0.007230234003653954,0.0004012289579717887,0.0015793824117158184,0.00025618873512445184,8.268879927353368e-05,9.268485890873146e-05,3.908981579038573e-05,5.1475510551193815e-05,0.00030773644298109915,0.00017095225778594736,6.708722560830327e-05,9.242927893282626e-06
H2,0.0,0.0,0.027253546446389,0.11028662836933023,0.008303652686670882,0.033084088819150814,0.0024114879196266426,0.00013107720080962615,0.0035452374945503795,2.957680299564558e-05,7.610933563606537e-06,0.0011456537511174147,0.0002245289334454892,5.406044350797501e-05,7.304019167253539e-05,3.230214671079423e-05,1.1370559637513544e-05,2.0417026324270893e-05,3.014744617790832e-05,2.853440520089734e-06,2.7742881620884674e-06,4.797533776912388e-07,2.288027332042475e-07,0.007155094676764229,0.004575732148510481,0.00055173206855752,3.054406611457949e-05,0.00017711846558521316,4.212091023747533e-06,1.1679741039216651e-05,1.8327894002467815e-06,1.4373829992919696e-06,2.732439963182287e-06,3.4139802406185638e-06,1.5232385452979003e-06,2.5981756385351495e-05,3.3795051726737135e-05,7.4299582797365815e-06,6.810502510834482e-07
H3,0.0,0.0,0.0,0.10782073978027362,0.03580926874478996,0.005875675457865603,0.0009007427552580882,0.001024426132937739,0.0013742109641156075,0.0002528390415674764,7.457755383821763e-05,0.0002770468389406977,1.6476422175726313e-05,1.5134236522440503e-05,2.255210166390853e-05,4.7302373777924345e-06,4.8877962188775825e-06,2.093380865209049e-06,1.5524104921560422e-06,6.95729220900887e-08,9.411819279492306e-07,1.300951972815767e-07,1.596095655642671e-08,0.024532444641570006,0.06648252261155252,0.004308144273619585,0.0005340535206215247,0.000529700095701191,6.371824423312411e-05,9.297447115175217e-05,1.4181588188000305e-05,3.776302010427557e-06,2.9585447695157363e-05,8.217965039691855e-06,9.601141002790747e-06,1.116845762816343e-05,5.172203115688667e-06,2.1929789267849387e-06,1.0658553617481914e-07
C4,0.0,0.0,0.0,0.0,1.756624169040908,2.649208246767387,0.08404093466125628,0.07973471483237304,0.1664820480541988,0.016848793873649903,0.003268370165976142,0.02906802365500874,0.0027321778764863858,0.0010007887064522603,0.0019416839349783999,0.00089192434994112,0.0003350037485955748,0.0002898162500441781,0.00033107105714214047,3.385484720641596e-05,7.273187528974989e-05,1.5438493049191315e-05,8.692884926331246e-06,2.697195350704421,0.2915759024290561,0.22173570644793966,0.015787918780240995,0.034538340616466406,0.0043536210230026295,0.004605468545546276,0.00120383279501457,0.0002734254807386094,0.0002456597073363098,0.0002480154771824228,0.00011054498238888266,0.0021779290814933072,0.001125325263462984,0.000696510094566033,6.155182875489107e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07567223553173386,0.0015427259655640402,0.025729515728227126,0.02153789992593058,0.0038489644034296333,0.0015856616584248862,0.0020536489170466243,4.2133611782624314e-05,0.00034857225310247486,0.0003241236782121071,4.145860649584776e-05,8.487031785175958e-05,2.5480664844534928e-05,1.2068362893691287e-05,5.739153499106919e-07,1.6042868161925128e-05,1.9401567334931258e-06,1.767640709582352e-06,0.09038881062260185,0.02518495550158506,0.00931767522837701,0.0058244853852948975,0.001488760801752198,0.00010300230545534639,5.178112298165338e-05,1.4052756627247476e-06,1.62448577631924e-05,1.2865343292256526e-05,3.0799139649762e-05,2.0822177112522766e-06,0.00032021649079161385,4.449793073812991e-05,0.00011414881122417952,9.858667344486705e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.01686771747403,1.7273357758594203,2.8191414597561133,0.07527784567664364,0.08394760024949366,0.1606272472620418,0.02639681707581598,0.010547103365496246,0.018460884324721843,0.0077852107114727565,0.0030134025077192816,0.0016146405046975204,0.0015140420078341155,0.00015618437670772423,0.0007390644877302704,6.272624197811716e-05,5.855955509115329e-05,0.19147804324029344,0.041905525531150345,0.02881768810739206,0.001507895480589383,0.0029542097340816975,0.00039072158796926715,0.0005334380895105073,3.906723348501284e-05,4.487725479607185e-05,6.736054913997203e-05,0.00030442158433591215,2.480227959394954e-05,0.0018992480937093104,0.005663939432086068,0.0005643361848354511,6.393220709099978e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027447910524990737,0.09001633967122435,0.02716544831768508,0.011808726398223612,0.0036066044826357224,2.1114451043802163e-05,0.0015772088838148512,0.0009170352789098501,0.00024936646933815254,0.0003305438237997116,8.256258857841647e-05,1.0101730305134282e-05,7.2361580316648855e-06,9.228756403378835e-05,1.039776358080502e-05,4.150876237174472e-06,0.023580870930396625,0.0036676855533472885,0.005853986714413506,0.0004889032841046692,0.0007411059792057362,0.00010163715784039518,9.489320662559031e-05,1.9604406749085257e-06,1.5602183521812307e-05,1.7869381342183743e-05,7.7381065428761e-05,3.0507878896468554e-06,0.0004228340244010198,0.0004409891503307506,0.00012921456191350433,1.947984714401052e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08157881225235897,0.0015819000824770502,0.02614109577318624,0.015285388524826082,0.0019178649745432708,0.0006466006588108364,0.009598393821451223,0.008274344579861426,0.0011081724612544974,0.00048241133522575197,5.0794071747573e-05,2.3643438266773842e-05,0.0003900869821058528,4.823126531317001e-05,2.3451297245458136e-05,0.026186436823294912,0.006432058348015857,0.002428836339113727,6.495418815699594e-05,0.00039723474441033524,3.828407621964125e-05,6.188780422911044e-05,7.830205480896524e-06,4.32683830497993e-06,3.6774978281028936e-05,0.00023517940947570537,2.1665551524607807e-05,0.0009210999599145175,0.008751642917929292,0.00035916813504976997,1.8262238960842225e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0578926536828845,2.0293158493881616,2.9103900241169396,0.08947273256199195,0.08164581959477712,0.18707872936412268,0.015086207304939814,0.02977353957298265,0.005476992500079589,0.0029780623530901718,0.0003060952264174466,0.005260828312524807,0.00016232647379688103,0.0009965231978869005,0.011251486526283633,0.00494951854433183,0.015960037150444917,0.018103315797970088,0.0015766528947021713,0.0006602673474923604,0.00014651551029068455,1.2101733258385039e-05,8.31436608117464e-06,0.00010922265309654122,0.0003179540575939249,3.125174027984734e-05,0.0005826272398049559,0.002589425874666748,0.00018072746286466879,3.107510203292918e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025104705118700332,0.09178047049302851,0.004048558977214567,0.034482277324866306,0.01242236238568628,0.0024023129611947525,0.0011074279882943294,0.0004420136904272898,6.977380816430845e-05,3.332669913214126e-05,0.0005115758467326703,1.3694264982655469e-05,3.1233602795666116e-05,0.002305487365342307,0.001219788638116892,0.01668628768529845,0.02501513256655752,0.0015205430948095344,0.0007448514039658516,7.025647872116458e-05,1.758025467868407e-06,1.7068044982027075e-05,0.00024205968106683073,0.00054058469393925,3.7490656828120805e-05,0.0003487291301864648,0.00033884974853837235,6.87508530170522e-05,6.6845443760232826e-06
