,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35O,36C,37O,38O,39H
1N,0.0,1.0209270477339192,1.0231028010865744,1.4629201081361483,2.0806925011276163,2.4713948335086884,2.442972486237076,2.9776030954792363,3.767645952703066,4.068728493672799,3.9888348609119877,5.0402982665937275,5.887297166110969,5.188650433219366,5.452310743583223,4.969265673991438,6.720573283987801,7.663664620225983,7.621670982869935,8.618223446892443,7.238680085282793,6.674863009745203,8.228797500777889,2.4943090619032198,2.7688520023445453,3.7034936359107626,3.957362838372029,4.964835869818821,4.97966477657594,6.115734024939842,6.946367187972307,6.036575910219645,6.7451039167277616,6.521333872692065,7.598206327460715,5.7187415444987675,5.310859324193629,6.843039890163818,6.944439734262407
2H,0.0,0.0,1.6076301348726243,2.0303398990089567,2.2986344938416843,3.3506585896805685,3.4128193379013383,3.875886170152676,4.501415477960656,4.6191057040810986,4.664118466324087,5.8676458495748705,6.652653920875199,6.111395818590832,6.243153972329282,5.686638091465423,7.520599852245395,8.505068909590104,8.454960214369292,9.454625848742126,7.987736229656638,7.3543944360749505,8.957653291472985,2.750552809952452,2.9444174036711366,3.8692386280747537,4.157661588458242,5.1000979170400065,5.020264085168743,6.125069050612505,6.908478047363185,5.900365529001835,6.9284776010823705,6.884557044719098,7.7521980353929845,6.088254403253894,5.873981529405926,7.147454449202332,7.335976570918158
3H,0.0,0.0,0.0,2.0072727201616916,2.894513010653661,2.779222107520557,2.7689767800293215,2.9067940845239906,4.250480288712247,4.591354183254455,4.647999637825783,5.333010314429833,6.286799611419963,5.400058402552546,5.541456722218835,4.97102309392889,6.727260432107559,7.741195974255061,7.821415139641434,8.65270627248674,7.09569651147877,6.475314498418865,8.09017141071937,2.518259103848093,2.343132597543276,3.868165618684757,4.334746378813346,4.928104963886158,4.770277927419501,6.231524010111674,6.959208108798923,6.289036146573253,6.9272207864289514,6.586130257037456,7.889517438896598,5.5799002443197026,5.087583677686638,6.573877641059767,6.559058986959599
4C,0.0,0.0,0.0,0.0,1.0990133498362236,1.555357534597506,2.147844788898533,2.1728437191043426,2.5973000013458445,2.690697625174956,3.0377350648930626,3.9268214340852547,4.726884109677005,4.321225359023882,4.246275575687837,3.731439622277924,5.54005428072763,6.521489264938433,6.479372001700638,7.469223236762748,6.083597139784454,5.527340461666719,7.04398016718302,1.5503912677896048,2.413812556155961,2.4791078679548377,2.5771128370404712,3.8430554193373694,4.116158012788531,4.9244061683938245,5.844073334500121,4.901639080074947,5.383598943353126,5.155811638347163,6.2020047481798395,4.525981990899972,4.187524115601958,5.7715945673899,5.968670041185762
5H,0.0,0.0,0.0,0.0,0.0,2.1749000918061734,2.7073731200822704,3.025958937126894,2.620947167829027,2.471432796207562,2.7801033513222135,4.119431000041457,4.705821777564622,4.650808738662331,4.614765040596817,4.199445421347391,5.927115856406788,6.818839597013027,6.647264253516309,7.779245929884948,6.577831976416175,6.072374588236238,7.490227796939065,2.186982046839909,3.2265458727746674,2.6473891090237425,2.397637372830856,4.102449440799229,4.522303106991542,4.885214433837413,5.8791453459217795,4.651211021913921,5.293680525249402,5.288189094632694,5.940347734774625,4.934108910468174,4.787322254913078,6.230349866499279,6.567257746249586
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0954565821344906,1.097180142631367,1.542511165120539,2.1927311318625375,2.171648495583854,2.584937678163151,3.5086775067744616,2.8031720337628934,3.0876003003484684,2.860463843771452,4.374182896957432,5.219976926260439,5.151348483608775,6.193039839287801,5.101023445375514,4.756395861124971,6.083431937894726,2.520593727038255,3.2921410506936253,3.1752762392749743,3.0914709799008477,4.363449851973656,4.804807734298794,5.490939614356227,6.436215548821264,5.676124311168491,5.562762672850483,5.020838224311841,6.3427675942926784,4.5168858197823845,3.8114388588774726,5.828440972421704,5.878287841186308
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761966842739207,2.1671195121622953,3.0481874576991776,2.359425125738405,3.0443048806177466,3.919698359942875,2.893763695062723,3.807121168584123,3.761777543522826,5.0219469310775375,5.695653521965971,5.546634466431294,6.677646911564612,5.833945317597356,5.5909505507618755,6.819452505882121,3.376503346316049,3.973760461598245,4.202937451654803,4.123767011113121,5.416112815753775,5.777373391545631,6.565776517349347,7.506598336300669,6.706789391140496,6.6511628190798335,6.0926587257897165,7.4016631835118405,5.565479417019923,4.769329697676098,6.8426249386971785,6.819418776228267
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185250669700897,2.739449942461076,3.048320371152791,2.667853672452135,3.733911269209373,2.791009991677637,2.6954081892114425,2.312187210550768,3.8561272477611745,4.837448407172626,4.974469364382301,5.747674200694969,4.384140310997551,3.9788193601944077,5.391556131603916,2.5230294614524937,3.0046201419093252,3.1955381157105127,3.3496276034862102,4.096135352980653,4.443229226912457,5.383742755370944,6.223411337954582,5.7663250600741485,5.445518824372818,4.69806815911915,6.348369411270169,3.979899737975466,3.064850493015422,5.184336398673684,5.08767557103006
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971240604623724,1.096682241908298,1.5326200446606038,2.1529538686799548,2.181069386862349,2.444763234659421,2.5935410825720617,3.722098909026207,4.359611020082343,4.084327247088867,5.35471075341415,4.707964521737098,4.571077041652046,5.59055410040526,3.3996245850045734,4.4171883386350075,3.463521807526303,2.9487082468319037,4.582545203400854,5.312073798027322,5.3813309737780415,6.408980564292401,5.532959170261342,5.0759690907022454,4.577012001249817,5.617780136011659,4.566597930007443,3.9802299528592866,5.964119847810579,6.136245763178569
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7518795294956935,2.1270304305996857,2.473702269237784,3.055458508220437,2.6064399510207976,2.536040940706147,3.8306959980257806,4.583060094911145,4.3485474936648805,5.5187040944664485,4.685313685955847,4.438654896788934,5.4981137695210895,3.1515908310360783,4.297537326383093,2.814794611479647,2.0860019573628477,3.8894785138979744,4.741736090045822,4.468948890817463,5.52916273329195,4.557141727966132,4.1233185843454025,3.81518949318946,4.599399603345002,4.007511354903693,3.72178899694606,5.421002095580445,5.752125917709862
