,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
1N,0.0,1.0149610401218587,1.4838640095185098,2.139431033408793,2.422417005898878,2.9251984029308375,3.3405705355059774,2.4075189290802097,3.362465803973336,2.843644099376399,1.4818766466118014,2.117630921745639,2.1286403661991895,2.5275161346067154,3.665231354553663,2.699617176311008,2.1591241594032367,4.121243181327332,4.657631365132495,4.958324587714504,4.8509234736865965,5.976870124077146,5.1513979106503,6.078124778784075,6.574322822095524,4.898479014941349,4.491418763595021,6.687875417612817,7.550612286116989,5.637278757231314,5.829202869866397,6.49489247242961,7.24508213043818,4.702104372346816,4.3989153418089,6.020586491692424,6.485066624982899
2H,0.0,0.0,2.0647111471676456,2.2305759339407523,3.1477711942082567,3.8291049236396595,3.9061775839883737,2.9592879121878934,3.973115441893326,3.047476936269457,2.0675425775414564,2.8845838501937595,2.251015110665393,3.1419805849654807,4.202585003976165,3.3426360967670457,2.7503831273422414,4.701606928414568,5.203172266208658,5.703740486201628,5.584126730432192,6.665797587618567,6.042608509426096,6.9467139470462005,7.356475944787178,5.877070563493688,5.450393999237029,7.608821361470476,8.437633790921709,6.64686500493739,6.8415846809709135,7.4767062680716005,8.22538776301862,5.035730899035053,4.554483527769166,6.341495579290306,6.692242214877
3C,0.0,0.0,0.0,1.0977374146199272,1.5532880043018387,2.184633255417563,2.2046589486016703,2.4209477691925696,3.3964158710257015,2.8230948582675737,2.4091824327309723,2.9889489327187655,3.2845901009339737,1.533860918254922,2.4093453905594977,2.4338806485073627,2.4905787115266245,3.803377927379204,4.0045408131488465,4.752398658439418,4.97007716738532,5.728977763207183,4.710588608820711,5.339005916816303,5.770024031089062,4.6367783233587785,4.566673219180815,5.839972645930157,6.574107652564103,5.206752208175162,5.550282594542298,5.782831153113249,6.484672622616999,4.692716322849929,4.728030440232141,5.875115337053718,6.489698469797288
4H,0.0,0.0,0.0,0.0,2.180298263483762,3.0381700028728704,2.38458041197134,2.9334058705955295,3.9729058654914184,2.931801161422159,3.113674122274007,3.8993214656566377,3.780207918109227,2.1167285652004124,2.6318171867293545,3.17650988528005,3.2801246619700404,4.438678669173699,4.468570959389132,5.579774425473032,5.877175967255356,6.4800218505228875,5.6045216896568935,6.089767465435243,6.395241902232502,5.654395271910838,5.643636971341813,6.5784847383136436,7.202532875175204,6.179163276954252,6.5470939840317435,6.622792570470172,7.27587283278463,5.17794512007304,5.168501855748732,6.289378048560689,6.850741279085731
5C,0.0,0.0,0.0,0.0,0.0,1.0968165094984446,1.0926808520803875,1.5355301002336872,2.2089692914787262,2.178472839509308,2.3856029432461856,2.8139516084911613,3.3607650887027187,2.542886183941706,3.0742256141093613,3.4556892090891655,3.5762291021284125,4.730238973812705,4.88016029117151,5.311887090881265,5.530946788041973,6.334591232121223,4.8267818779673295,5.336593447717455,5.972412042178237,4.411409711117061,4.432156278485827,5.469517195644773,6.181696593989874,4.571122515442415,4.710687221494509,5.112690329923063,5.612746866528496,5.869875148961627,6.025054658682781,7.008808837377159,7.715319165201272
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7658947202679063,2.1740481308113497,2.455601925729499,3.070910706783823,2.7851133304236617,2.7804872604331794,3.8512182320345114,2.6002464912170455,3.075577429845768,3.2790221536849913,3.5058920158441964,4.382912181339552,4.566171889695233,4.667411385830736,4.896071363467914,5.68958781989251,3.9674375095233727,4.483277350098706,5.239176329845722,3.417911255882824,3.5328879378723155,4.530184297343496,5.309805828182029,3.478443797054502,3.636398302628783,4.066319124891904,4.593769731083799,5.673762822466965,5.967998556141882,6.751412495653648,7.5233096645302995
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220954110016882,2.733395773003835,2.47730561615148,3.3681687736249053,3.872939913187118,4.243552673744079,3.0250628422850103,3.1534268653407893,4.173818551095129,4.456089298082926,5.339470521387988,5.279899591817144,5.981383369251508,6.345692533967073,6.937997669082467,5.382912306404282,5.636872228079412,6.2032645569754585,5.071218618468716,5.267919968272623,5.608213971920481,6.1572390124835525,5.039733647559213,5.2142476298058655,5.317446642956043,5.6809329105979,6.529527530265869,6.779007488221137,7.574688390474807,8.318296910935539
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956345721905603,1.098291973012187,1.5369622021617007,2.1742764388787656,2.219396646477565,3.7467638417076863,4.500488609496468,4.381955288954107,4.153631726670074,5.760961354568204,6.109819646449565,6.266845849459585,6.24438073290161,7.344362534877115,5.869302638030309,6.577228890049686,7.295883388764298,5.203029358482173,4.94154977202759,6.692406208207325,7.478702586389587,5.346324830428801,5.206210226550416,6.120640632306758,6.549518544352445,6.726576458976235,6.6429594222267285,7.977321826163417,8.586330682294872
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737692534306133,2.210328423997443,2.439502865195677,2.7461191770009505,4.56417417858583,5.248485353199726,5.126708872090671,4.915147097011857,6.431989823394722,6.799354182976185,6.715441595355113,6.646568463302325,7.79757610122738,6.131302274866779,6.81641670675696,7.643584772405888,5.256302714261772,4.989042042951641,6.747986471259396,7.5344655598399966,5.164542203054085,4.816701139408101,5.970021838880386,6.257588471170031,7.485970763084443,7.45141337823223,8.717189231926337,9.361537866080917
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1765911752944564,3.0632693541956475,2.457477032895757,4.301808092698937,4.969097229889334,5.075755451871333,4.835905043475442,6.4880924217289495,6.766429545936053,7.159993428038391,7.172877776914157,8.219922395641179,6.831158400823052,7.473919497012427,8.123101818251993,6.252281149272048,6.01294016856064,7.587365357981125,8.307087362513899,6.386341054343041,6.2582594691156554,7.07415710026462,7.45815869959408,7.360237829032174,7.2019824240583485,8.613203234533746,9.178561156933963
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989798886127935,1.0951690002465782,3.600441313990707,4.657739768818258,3.784810526981309,3.2344663201695143,5.173953979743507,5.758770644894221,5.681238292288949,5.444521768178744,6.761988965834784,5.601525239184683,6.57151115581388,7.254845467243546,4.974177995620682,4.448045952997809,6.953701359831521,7.860213933771796,5.467548050653929,5.3782855336771,6.460165443861214,7.071092571750141,5.892991681728803,5.605580851467167,7.216807241024672,7.7118478419492895
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665010966924892,3.8277459240741414,4.905787828710516,3.7304630070616187,3.153930505771833,4.982733872822003,5.679587147073683,5.195733615435073,4.830198334864947,6.281811936673835,5.052493228331579,6.133638331801158,6.905778731581309,4.253803184786333,3.5905507050346746,6.50348760379376,7.480521988538917,4.769119396465146,4.598103014569188,5.90588435515813,6.5386127896499024,5.7546291136796235,5.525633537918896,7.053099292505538,7.5709636237296705
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.541476726341108,5.623808356916334,4.649111380507544,3.958106686465085,6.025280229260477,6.667392429935327,6.564927679459512,6.221339970846118,7.628913194534961,6.596615343995506,7.622777256332911,8.293573320472843,5.944731743142266,5.312785475685,8.030409192741553,8.948633539776008,6.457298738071009,6.285332975345219,7.50398499618873,8.094521396097388,6.5599306706061045,6.0952338640216315,7.908820653131288,8.304866478657775
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2271485465218521,1.3623326862557252,2.023037957131651,2.45396185789268,2.489319595505589,3.5236697510696064,3.98230443533128,4.397051371887861,3.594692670834975,4.112572704069655,4.382957766744345,3.927505575674492,4.0741173695276025,4.8329513956704755,5.534816720685813,4.67874603777457,5.297462932029852,5.087802987166316,5.928755285113702,3.5301513580891077,3.8923455688899042,4.571800716718664,5.294495450496305
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2937228468996578,3.1525661351938616,2.8351283800346687,2.361129942271879,3.868405172930761,4.588504622317434,4.559035319157043,3.745813891529429,3.826640393455501,3.917243595351511,4.305661868078736,4.726704885379165,4.443536842936575,4.939125561976804,4.8654045582939975,5.607392861304059,4.929196606538272,5.7025081354444795,3.9964571128290207,4.603172250683601,4.7557088267726435,5.560453761930123
