 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130695232919223,2.0426145106060902,0.021741105702911573,0.005834569944714943,0.006156813672071354,0.006251516176928873,0.000961550999662858,0.000329124890039445,9.754192431707387e-05,1.0097198049896505e-05,1.1475614625666708e-05,5.89536166193394e-05,2.160122939109943e-05,4.04975299495014e-06,0.00023390843173226594,0.00025059526672110977,2.261821165705502e-05,1.2514886971182193e-07,5.5989750322477105e-05,2.5299920167753953e-06,9.658158429348696e-06,8.89100027379186e-07,0.00011664091602997528,3.341883627702713e-05,1.9901811740122288e-05,2.657941755801474e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02462148900528116,0.0008542044404544757,0.00017959069160244923,0.001393312355489007,0.0007641970156517797,0.00022818797512447198,8.166972506429282e-05,2.443328365275832e-05,1.0157675002231414e-05,1.4567598798365111e-06,7.379524947936922e-05,3.071850905089768e-05,4.708512600037906e-06,0.0004534051018458829,0.0004435054175655484,3.561941792140644e-05,4.100014228125559e-07,8.984000394196556e-05,1.7458259318203773e-06,1.4953617875956837e-05,2.0578939683435493e-06,2.4656456412808225e-05,3.4567088768033827e-06,6.135450435484913e-06,1.3407247945185219e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024133064878453236,0.000885469952480622,0.00047428713742392326,0.00033821273750511693,7.456129889593655e-05,2.1439119413324548e-05,7.332016338956748e-06,2.0861103378067014e-07,1.406557382788165e-06,9.78367973458738e-06,1.6116964292045566e-06,3.890816400176078e-07,2.1442916985581206e-05,3.175072429772996e-05,6.259142444342558e-07,5.948479930850681e-09,3.4738461707206625e-06,3.70646383363038e-07,6.211958574198206e-07,6.074574598891047e-08,8.311595414811634e-06,1.0142023102455155e-06,7.627038520752194e-07,1.0353973012300344e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.746675225368577,3.5339010388095207,0.14284404023957642,0.27687473263508433,0.029890383786751462,0.03579377636765299,0.00078841092475046,0.003915407868573695,0.005254799225955342,0.0019246249420944161,6.093303147891582e-05,0.003486947466974699,0.00025070908152136084,0.00037010780468071935,4.986008149465704e-06,0.00035338053471106745,8.520224646479946e-06,0.0004874626364824164,3.1555192128163156e-06,0.03170027927679328,0.004602333647015289,0.005545183014756622,0.001352592630037286
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511217340652015,0.02193771913583542,0.07000312235035977,0.05626046495057524,0.011361660663582976,0.0010298195005760125,0.0017357408949697506,0.0019512591866276685,0.003070670036499093,0.0001626990867825695,0.0017113184200834436,0.00020113814969402455,0.0006028913512126644,1.8338889387070623e-06,0.00035460856572956667,1.5480361450492808e-06,0.00018516471249402366,1.6561107639700978e-06,0.01097489893180481,0.003089028866617112,0.0017281628716210168,0.0004090396156107845
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7793655991255504,2.915712930556013,0.10429368856373433,0.186416587080296,0.007235356507514057,0.02576099466605486,0.019081426949291186,0.0032551766798114834,0.00017011678022993415,0.010584375943499036,0.0017034626239553763,0.0013173223181043442,4.080445120679954e-06,0.0017493518153280097,2.2065170659280042e-05,0.0009652972648549613,9.924020286655733e-06,0.20005588393226137,0.03960790705580383,0.028245241465538487,0.005151579396227568
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09853140761253587,0.028496093233419506,0.004340434278705341,0.0016958434415816903,7.499482692119308e-05,0.00031892321666104895,0.0001964433863588244,6.05569469296352e-05,0.00033221120760851264,0.00021934672104650943,9.540123860085625e-05,3.7004263711004626e-06,6.344206265007646e-05,3.8948464742283306e-07,3.6889349401603155e-05,4.036556521036516e-06,0.015296057443952349,0.031904355767154,0.002545826672505802,9.454421471688512e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954235422606758,2.758402356507686,0.08202135948777145,0.09154094284990211,0.17041337866218187,0.03408792692940665,0.0014687416449967738,0.037021721271370656,0.0007731014254546142,0.00395437205034993,0.00011376177799804488,0.00494059248005399,0.00024826378124442883,0.013016780426085256,4.6584654467274333e-05,2.7007844888529817,0.2742756233633594,0.21583196260389145,0.05384645158451884
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07961279312824399,0.030803681514407266,0.0046038327760475894,0.008468777775953562,0.00419747506173096,0.001992167180131954,0.0007628400021508774,0.0002676694518266576,0.0005419145796062841,2.787000036374998e-05,0.0004002174840656014,1.6337426448798098e-05,0.00033958861726557377,1.4832260074371106e-05,0.10781523578634311,0.027013069386888744,0.01097449130577377,0.0008319733657902173
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.050124196544574,2.006503812396741,2.804106502895989,0.23762805353836491,0.013771566312036132,0.24075899207216334,0.015540499170292321,0.03653471943436172,0.002636375865644247,0.034857056842902856,0.0025899976721350804,0.021684275956481036,0.0005238330745733766,0.19621721946256138,0.04304070987231157,0.030766803674908555,0.0019435086111554423
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024516200603411642,0.09775245824557022,0.024078404443095947,0.0008166617054035097,0.018825685636824963,0.008197839751184377,0.002872800192651237,0.0007715933439529366,0.0016205497570289662,6.401902902486434e-05,0.001535481929660465,4.636903204113807e-05,0.011387457906641085,0.0024511957707901155,0.0009233980966506516,0.00014371560634218739
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09684659345643576,0.016748129285235835,0.0035455203857062134,0.027588964846536834,0.00048536791236775123,0.0017510363109340954,4.25170924764906e-05,0.0028118581040945667,0.0004989224618960897,0.005138766315986754,1.8506583553179468e-05,0.009843849451656617,0.0017870709520719785,0.013064108105451111,0.00024519663847200057
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7270517999837747,0.12553057625231134,3.6464516509364215,0.12250678476076837,0.3372110474753798,0.026381944044589378,0.3294944571652105,0.026175974298669358,0.3023354984690797,0.004026349630438686,0.02842608883731651,0.007486826108710237,0.005052453810374169,0.00042341932596123844
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.861077546281905,0.32642080747849495,0.028432485684908748,3.895587252001086,0.13225456329274166,0.31718095605194957,0.003621934388886361,0.33304996303677115,0.02721573920858522,0.005071925577675829,0.0020667670546234,0.0006473853876610286,0.00017124213109920294
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028272435495869663,0.0015325986364420618,0.12824658878986184,0.008334933948386691,0.0038991063340252374,0.0005249128426150218,0.02699800322895629,0.001214880995654699,0.0003201959609120397,0.00019299263923855392,5.212101072205044e-05,2.484989896744949e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184852973233425,0.3118750172390855,0.003542765008967219,3.8661702788746233,0.1297913266198707,0.3369925798310194,0.02736855275778982,0.006583081740058255,0.001963305277943722,0.001254132841111491,0.00022702374440852768
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038421258003773495,0.0005178049033336407,0.12821039296792058,0.008193231365810183,0.027052200551473504,0.0012492620035591262,0.00018271860347862656,7.538140404295124e-05,4.4761993688968715e-05,1.5977102905129215e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.021021187719905,0.3327411842382827,0.027312801930733377,3.7213225110539487,0.12516905009290924,0.0009692377632808946,0.0003812141795594415,0.00013870177712999032,2.9044754391804872e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02729760680786497,0.001358686979118895,0.12407322642221685,0.008011227510778651,7.743625967582268e-05,2.6892193062844072e-05,1.0465063274400777e-05,1.0786864490519577e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8615919443724582,3.8319811846683827,0.12778204833228157,0.0011973583300124158,0.0003300903850844694,0.0002502454630130546,3.301854132919946e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1257087679973683,0.008024349675119558,0.00010869477631647584,3.769998224489868e-05,3.2038264414113726e-05,1.801032516457468e-07
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0377822640887917,0.0019505829301041666,0.000839575949059132,0.00021683685519270635,0.00011483415123014762
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0448543989571846e-05,3.7937042606239757e-06,1.8738673439600007e-06,7.145599445479434e-09
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.030543091519114,3.4741277077503394,0.16765991905496846
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5159159153403912,0.06902613176091088
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7433212913127525
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
