 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
N1,0.0,1.8348705617044327,2.921992738678044,0.08774670105118254,0.18748526713281075,0.002731562008837285,0.019679596062801563,0.2096012992622922,0.027711893155797807,0.003537952958283297,2.7969588815877624,0.10042614453819088,0.08157827948635799,0.18521802137133137,0.03850093927649238,0.07939700786558992,0.13190273686107612,0.010028956540114098,0.002467634531136076,0.000584245591903676,9.016248460436138e-05,9.208218896805676e-05,6.817091977845413e-05,5.169857982161019e-05,2.14870485322205e-05,5.1496298258707496e-05,4.685639448331891e-05,1.5371470770325635e-05,1.8811245006133959e-07,1.7808596510723862e-05,1.8955893230643284e-06,1.3095571997162603e-05,2.2786972286858997e-07,0.001001688954513913,0.000557553080533707,0.00020158443954920724,1.8050572826444622e-05
H2,0.0,0.0,0.10447580016349012,0.014033295095501552,0.01514417520641087,0.0003602078214230975,0.0008312625701230036,0.007102165473259481,0.00014870561031576912,0.0003259239892468013,0.09290000363060036,0.020110893019252618,0.01201110739865574,0.008920873038719912,0.002108397574290599,0.0011216985841060456,0.0013072644214715545,0.00016306987962144692,0.0001509275531257348,1.609961116411096e-05,1.010747949559132e-06,2.404722566851092e-06,3.992015126907944e-06,1.1706367263331074e-06,5.359229449108938e-07,3.103285665995159e-06,4.464795943182054e-06,1.8354278086274434e-07,2.4450466096226364e-09,1.8589738496332942e-06,1.8025210657413027e-08,1.3767281137333498e-07,2.271022303546033e-08,4.202792577845393e-06,8.18621423959165e-06,3.8314183334886565e-06,1.2243535674194561e-06
C3,0.0,0.0,0.0,2.088967408337446,2.753026915289884,0.07722150483629342,0.08376525258607681,0.20582561278030329,0.027601239841965608,0.0052028619735204895,0.229792314095007,0.0069211723243187695,0.02081159380786657,2.7120927437873013,0.2963903592462135,0.23289339221019478,0.021123139785964362,0.03731282749105247,0.0062164348732765,0.0033711318627785702,0.00011985658234880958,0.0009227398095645878,0.0004535274950765722,0.0002262565371562164,1.749389449878791e-05,0.0002334183618576402,2.2519058274550474e-05,2.95812711405552e-05,3.818883098638537e-07,0.00015669641589796668,9.495218252331128e-06,5.9365250240306366e-05,1.6547134995548163e-07,0.004033890120669736,0.00035918944306459477,0.0011479800596467943,0.00024744006302279686
H4,0.0,0.0,0.0,0.0,0.08118912336713702,0.025467629366990874,0.009307086717592394,0.004554116229665617,6.198857710026928e-05,0.0007165330301419637,0.01263149170392519,0.0005521694780157294,7.516664663675954e-05,0.10701510432238903,0.017471973274553076,0.024960808222882713,0.0032114796240958476,0.00277370334900362,3.1025039909371444e-05,0.0002906755799886307,5.670958804104842e-06,3.939757946547218e-06,0.0001217269373365859,1.4950326208129638e-05,8.4028509350631e-07,0.00010557587589143935,1.2764343792825983e-05,2.6290043366739013e-06,1.5613119463964154e-08,4.4476084207767386e-05,3.3327680983852304e-06,1.1754993004098324e-05,5.647327605551311e-08,0.0012696252746176029,7.14746714663983e-05,0.0002614622804087974,9.686354312310463e-05
C5,0.0,0.0,0.0,0.0,0.0,2.086390687039883,2.13290980158662,2.820734746760495,0.07932898114615261,0.08033851794439784,0.2181443638663335,0.006421127610854227,0.026484345870230297,0.18334303839893576,0.043407851259159705,0.030082508094420188,0.0021327795834096275,0.0036777896158274592,0.00033961536618254407,0.0014846252964726275,1.9735210101679e-05,0.00019597013026595445,0.0005831012793428292,0.00022573073922647902,2.484569836869177e-06,0.0020441598836134084,0.00010890389694384606,0.00024314205269035383,5.813096926043926e-08,0.0018108201493081538,5.742440701272944e-05,0.0004348383208967743,3.047506862419169e-07,0.0005151331984182272,6.278111698506533e-05,9.959224811749434e-05,2.0989553799588556e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02638787707345247,0.08197967719856125,0.007602482619352369,0.031215720750449316,0.006730802623655885,0.0015130691587643685,0.0003666641999762188,0.020560698561731927,0.0023884896503295616,0.0023332054877927,6.518732649762882e-05,0.00043913465363099036,2.675192918810687e-05,0.00010641002158973123,7.309606932404122e-06,3.1907592592306244e-05,0.0006246579858861789,0.0004988957265008587,3.816969831316186e-07,0.006171490266479118,0.00015181607326031354,0.000434153874096177,2.807152545969416e-07,0.0057662401972990995,9.626016577990448e-05,0.000692170037843054,1.968549506070616e-06,0.00010176117334470547,4.590348510080666e-06,2.566460875375043e-05,1.0335211895640128e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07741688563375915,0.0011830213127916878,0.007682528963345092,0.029097815234907953,0.0003688745419638817,0.0014951335576987024,0.003073022476899556,0.002270671035519367,0.0009159743206614834,3.612566919874993e-05,0.00013805491663765324,2.2392307766683217e-05,4.536004312105657e-05,1.6782946963278533e-06,1.0819609048029477e-05,2.5238763520452068e-05,2.0369897271166337e-06,1.3635850204529731e-07,8.02231894145855e-05,1.209621596820476e-05,8.467318241223154e-06,1.6178614004047631e-09,4.8882021674856446e-05,4.344932395428103e-06,3.7389184774916373e-06,2.4767167206007912e-08,2.048655113817688e-05,4.958306856872596e-06,1.4204272321682865e-06,2.2447274439230114e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033432426218135,1.9990783524231275,2.7850232474912744,0.08340033458268703,0.07708838771263293,0.02682514366581515,0.008246457515888872,0.005351120399851195,0.00243578906005415,0.0010274999878154834,9.99218401264157e-05,0.000249898263505674,4.895582639052876e-06,4.768875906391301e-05,5.938788112064275e-05,2.0188148093430724e-05,1.0018492180297045e-06,0.0002067375026710283,6.348440373060704e-05,1.5867226965199377e-05,4.721059032597452e-08,0.00014613188009973688,6.273663101019622e-06,3.59663578693159e-05,1.2668458948539296e-07,8.332206718994484e-05,1.5269043329990684e-05,1.7857026156239963e-05,2.4822964468373954e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024924460411126947,0.07980740703917744,0.006872485581267629,0.0012498959358597794,0.0022463090050812706,0.00044775684844533536,0.0011981612239602146,0.00022562390436609014,0.0002326059764281574,2.870710807068022e-06,7.170297072689458e-05,1.931857465553577e-06,1.3842472188274613e-05,1.0520048990159125e-05,3.3047672938213424e-06,8.68989502578188e-09,1.917231227333005e-05,6.574017397564802e-06,2.546235480682668e-06,2.948508903699576e-08,1.3690363022567098e-05,1.7554548505938072e-06,4.658664779277899e-06,2.231475759728596e-08,9.95917397217383e-06,2.2167675792772457e-06,8.820866981285036e-07,1.8411760627223828e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08177220699486742,0.03050182701016424,0.00856963703859015,0.0011319509155101048,0.00014865068206959542,0.0002345236595724387,7.046440578517554e-05,4.139435552352744e-05,8.95770292830278e-07,7.923792748165681e-06,2.9401261514294674e-07,1.5020588086667175e-06,2.76902192486439e-05,4.5225490952205405e-06,6.223611093147952e-08,8.393402092621294e-05,3.3156948693546795e-05,8.765957707490557e-06,5.8844225048204635e-09,5.428026065379399e-05,2.026951579026104e-06,1.2614734492988333e-05,5.002089120687003e-08,7.927018405462505e-06,8.557046280444069e-07,1.9530014920832173e-06,6.557457339351203e-07
