 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.9312653387823286,1.89868338082982,2.8696810977548535,0.10071175994359938,0.18842522191831834,0.013322268963103956,0.011830798340669135,0.032060984387623434,0.0063771791681839565,0.0006058043234786759,0.005664102666930924,0.000163136041413936,0.0012323308185012774,6.074068171812996e-05,0.0012812344733844627,9.019682404687313e-05,0.0014158625702515165,0.00042744911871338276,1.0213902478684034e-05,0.19290692749359917,0.038932697231123664,0.07178089149693044,0.10938755159559133,0.008839347161026384,0.0008665324715138034,0.0016403117790066701,9.699443769695115e-05,4.698171376504856e-05,0.0002927817671496413,0.0013622109086083717,0.0008158617470177681,0.00022455222671399766,1.0999459442606607e-05
H2,0.0,0.0,0.028680878361895035,0.10510503816456906,0.0029700735423279223,0.021435385333806845,0.011955543946178038,0.00043135566235275036,0.001910623953106927,0.00037657751172093246,2.88660634282234e-05,0.0008168484354516004,1.747952135122688e-05,5.0944125771001936e-05,2.1283788358417155e-06,0.00017658939830256237,3.0195625210005517e-05,0.00018576518163704314,5.3152025267233505e-05,8.834305644800367e-07,0.03208754446372852,0.006033601431715496,0.005177418777316256,0.0008645891365599567,0.00046917868426699094,8.52071958488132e-05,0.00025487132201862384,2.3835378661907214e-05,8.237919646436609e-07,3.8046287159865244e-05,0.00011209464429695615,3.1522937821271135e-05,1.868125248560837e-05,3.4590236901443916e-06
H3,0.0,0.0,0.0,0.10335094322429039,0.007021304540892226,0.031920290690282904,0.0007495631767167055,0.0009824484642111386,0.004550915525690313,0.0008662401788935847,4.3485906044526956e-05,0.0008463974642654026,4.855939649162089e-05,0.00016372965590250033,2.7690636378308042e-05,0.00016541756561450072,2.9261578441630576e-05,0.00022670947360292626,5.564071571562135e-05,3.6499448707871807e-06,0.0065674523787528916,0.0007910543157809702,0.003649971443308586,0.001610815742825622,0.00024532343050764904,1.8287787105775166e-05,0.00020114800029635838,9.020435651097003e-06,1.3288313926995698e-06,3.5368081029218956e-05,1.745394626062602e-05,3.6037760872353886e-05,3.894882068311567e-06,1.1409718454480355e-06
C4,0.0,0.0,0.0,0.0,2.0069858228387116,2.567133238933111,0.09120934939921321,0.0839331224690496,0.16816750529637156,0.03504577584428062,0.0011086483930877744,0.034295112919180276,0.0005739817106937828,0.00464306201476547,0.00010723946973345555,0.0050026944427068315,0.0001848720302082274,0.01151381628454412,0.00291634349587995,1.871104353035058e-05,2.6887454315952484,0.2900843784323848,0.22334220175631345,0.017869688381264348,0.036830132421117406,0.003469510697792222,0.0029613278447851443,0.0009452549278539113,9.098386431616312e-05,0.0007393653566021285,0.004808014198734306,0.0003857001597325632,0.001360169375409323,0.00027770653392078515
H5,0.0,0.0,0.0,0.0,0.0,0.08057737600147963,0.005231461086451228,0.035156607885728386,0.00804952863134445,0.004385625147594996,0.0013944965607950444,0.000649634458832149,0.00019282504632878172,0.00040476558664193085,1.899991837039927e-05,0.0004898777559195766,8.10442771448372e-06,0.00034592960129353756,8.621611359793668e-05,1.881864462927041e-06,0.11012189693351582,0.01907778880273836,0.022957886473228717,0.00567086463183597,0.0030414742587432375,9.673311514801775e-05,0.0003014050873224594,0.00011751854523889271,1.8281053200563946e-05,6.099078338372976e-06,0.0010389612835517426,4.546990378706539e-05,0.00025334240469088165,8.3104034773962e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9945661510031367,2.0098876423758583,2.751807064705937,0.235592686602404,0.013953422668892435,0.23755850549671487,0.014503334094683185,0.03884824023367503,0.0023156343043162497,0.035742499592732624,0.002429150107555511,0.021527177179658047,0.005921956691528382,0.00027632464804161483,0.18115626352483372,0.04045285478131551,0.027815422794174538,0.0009754333798271952,0.002833043412894254,0.0007371037149637161,0.0011228409043871485,0.00016506007206151807,5.6369473922623925e-05,0.00017776057455609617,0.0003247918754459289,3.1885718745822134e-05,0.00010365254063404716,1.7274739859574062e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02352977067437778,0.09741681625030929,0.017512932299483475,0.004504573658383526,0.02755280027709761,0.0005502383652424836,0.001966407611870835,4.467406093966453e-05,0.0028619309613313604,0.0005404660069816547,0.003970500298202895,0.0009618098606080094,1.2953284695083056e-05,0.02975875382681581,0.004756110232190802,0.00446978348853122,7.608954066284923e-05,0.0006241516779013079,0.00021811182390329975,0.00023859623177369116,6.968668908058362e-05,4.417433062231524e-06,5.522789634304637e-05,5.283685978341168e-05,3.1174825350088753e-06,1.566173217781852e-05,1.1532699220051512e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09473867743277964,0.024813854638074062,0.0007106981257334333,0.017275660584452845,0.006639392549070866,0.0028456409064433474,0.0006634826572429198,0.001566024453181436,6.400341454870784e-05,0.001769672757084173,0.0004082294611377213,7.238728086766955e-05,0.010153734155085692,0.0011896515020132226,0.006616032801474159,0.0011077444577543005,0.0005665615511629696,0.0002521825805117395,0.00019390873384972362,9.194533325151966e-06,5.562914949153175e-05,3.343459629157053e-06,0.00010182456071627932,1.587600011243584e-05,3.180724647688926e-05,7.296651998389692e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5115554587590223,0.1224499229035294,3.286658652174926,0.11884673951721014,0.3337021650865148,0.02542282967025833,0.3288790827654503,0.02605208097539835,0.26079420577636503,0.054809748334131964,0.001334611196644131,0.01789920173718043,0.010474596792482013,0.0032277394270167487,0.00012491147986781748,0.00037690460147413174,5.823134086868631e-05,0.0003446145070786083,0.0002526819513861689,3.738237122141719e-05,3.6937365662126354e-05,5.1397889824111864e-05,1.0481727010569486e-05,1.1561105432128516e-05,1.7758483717988938e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.728546713411801,0.3268411715877676,0.02862196952022722,3.6771623588971694,0.12521481163941162,0.29778979321222515,0.003962171211985055,0.34242713782994694,0.0451769784239115,0.002710435146024648,0.0032960951430034274,0.0015454528145099483,0.0008730187940144685,5.076988887087186e-05,0.00011590143406874087,2.664675336294664e-05,8.672578889822036e-05,8.632432448385519e-05,1.3553345179384557e-05,1.1591099761787405e-05,2.2246113475093976e-05,3.651657164677191e-06,4.821048952136087e-06,1.0355308504017557e-06
