,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0187703168310671,1.0190129552938259,1.469916064206335,2.1674581912409123,2.4485700492400873,2.617080408923912,2.6469725304087657,3.834642966744529,4.622354096820374,4.445869703603169,4.744324633807262,4.662530076500339,5.955792766673926,6.68834518475725,6.050807588350332,6.848131642205812,6.568816807945857,7.919021398215569,8.283588767469846,2.463324597171267,3.568043610592373,2.7017294385780475,2.244331331158576,4.101232844679489,4.491427865173801,5.136658288478944,5.178361186395833,5.194584234725646,6.123505172133535,4.616189501092875,4.272733981565857,5.928240590313529,6.364113124608241
2H,0.0,0.0,1.6353011155395605,2.057805955567291,2.5478701121723555,2.5604934540993365,2.284110147765959,2.8157536065437108,4.001347489256087,4.635755062367241,4.289823799490063,5.06964693494977,5.0866638108845486,6.022869014750082,6.677350030935096,6.364297130805156,7.228398479498051,6.771075112358484,8.133664338300044,8.432847953234392,3.351821431194675,4.404248381724617,3.655308047591084,3.129256648535746,5.07495870600909,5.502391659885851,6.02673660001513,6.030712547333107,5.9850731894410165,7.044032549944945,5.544128873937176,5.091834378570208,6.874147391638283,7.262108213062655
3H,0.0,0.0,0.0,2.0602466364030043,2.4016125015382928,3.341252685951881,3.4937357805579814,3.6307479985803677,4.61180846103299,5.269514229306103,5.003172279942371,5.529767624362233,5.4752373546581286,6.56846958979558,7.22888330795648,6.780041401914348,7.577464187556903,7.232240244287913,8.554056355926685,8.87387741184006,2.7715029203358896,3.740559071737422,3.001287970034727,2.5922927221823264,4.244121771904281,4.444280291593219,5.487299748250283,5.583644155221095,5.690795186452811,6.3837234739777164,4.634266638401665,4.2811418275376285,5.875667325217684,6.2686009839136245
4C,0.0,0.0,0.0,0.0,1.100447625807482,1.552483997598181,2.146957425422979,2.1577171227798413,2.590366801666858,3.366734607119019,3.368134029165164,3.5115596275354295,3.615296188158432,4.623167123355147,5.3959045227943,4.7303104563018685,5.566307899171371,5.189619171484375,6.519524353877578,6.886363090823578,1.5382064920269864,2.424690030278,2.439739466706651,2.538518867825378,3.8102725670147555,4.072956171614654,4.589269246664252,4.338118204756133,4.775502349369947,5.608333471148224,4.775392300795075,4.790922817640981,6.00360478617395,6.62987083471338
5H,0.0,0.0,0.0,0.0,0.0,2.1669814770256304,2.5092700802912202,3.0582727378581045,2.7835976971431085,3.0962892886335895,2.8829711873743418,3.868056545720934,4.228101235938497,4.295441224120489,4.901262328293019,4.885882348596921,5.807082934263262,5.062889986592864,6.339232986834347,6.568373253152972,2.1143108409940723,2.5284539921376448,3.2820339504738576,3.5045019077334594,4.522440741022041,4.548882216826095,5.323149222268074,4.938787584066296,5.65097200970214,6.284279840082353,5.565820243468623,5.659779622729782,6.718922726397787,7.382715003146077
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1000666120185054,1.0966473142745115,1.5125677016858217,2.5349836508435177,2.7387464646433997,2.5410882733532074,2.7422054980913075,3.8244641164286453,4.692134105240659,3.8278383315055833,4.705255017730524,4.332831832977092,5.700811004867107,6.112464532651973,2.5454262833072487,3.274083901932564,3.2494947072164924,3.294704474098649,4.567523703649746,5.038533233559052,4.914695811312419,4.542056079373444,4.834838186687112,5.997561376917676,5.5774919956255165,5.569473479741505,6.811994994098372,7.444078255292051
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760741663204459,2.1442875424098338,2.703045915596053,2.5379691495981516,3.352713922490443,3.6674505274383624,4.063003635382716,4.7692498104391765,4.523676563376189,5.464989500779793,4.809721641662505,6.1601784798304005,6.451744830382875,3.4712255688294222,4.22399328038904,4.150009423257902,4.010458569116275,5.536059424490548,6.006256315396507,5.970108559682289,5.637680477228138,5.8354564074671655,7.05788142977986,6.425176576235072,6.264011285448486,7.708598393805193,8.275691280303517
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1574113109594992,3.404204027730621,3.7438962485873604,2.672514429551856,2.453578477845299,4.570275154969047,5.518774282319054,4.049110687113302,4.750921247008943,4.829325266936353,6.163570876392541,6.695459616140897,2.7768495841302037,3.6674107220283463,3.0132432350320353,2.9046802082691463,4.261723176350506,4.9458261884735615,4.476916768770845,4.265795236466622,4.178899529441803,5.569094095096698,5.119014034976926,5.030801962585882,6.362214318966052,6.933306565534205
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399979900071129,2.1567508043689974,1.4023024365261632,2.1549206337336613,2.437479415857921,3.420685031804832,2.439398202043034,3.4272687160894484,2.820266682343621,4.188337613525368,4.619352325406549,3.1010040274736066,3.29676904764774,4.021771586615107,4.373384046569695,5.088415912811416,5.426940268069559,5.089089059605542,4.420006566306726,5.093735105855642,6.106244080473706,6.338873485893333,6.569743415412546,7.43430858689609,8.1831212188401
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884654013781612,2.399028139774399,3.387749840035523,1.3947097617214332,2.157796969140907,2.7846217901845276,3.8702740331548724,2.4169663153629783,3.688026460445343,3.8367553575595417,4.052865128089351,4.01304342226933,5.174238390331916,5.547327080647922,6.240085698875025,6.415245556302892,6.301288974852522,5.5374720554000945,6.411890708003851,7.272109268487369,7.539657179725578,7.787831549621242,8.61517993450361,9.389907701139515
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.390858980526257,4.294864875396939,2.144574275555096,2.4679821685249066,3.872997261365191,4.958584321196589,3.397083743352418,4.568778782967615,4.544998790695774,4.361288635276633,4.432330906573855,5.527333874040651,5.782359522441659,6.714882381908432,6.852895500455055,6.9890895091742316,6.305321131017124,7.121200221148513,7.98500359384989,7.931468020665629,8.069439377780881,9.06930880290596,9.79923442286637
