 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
N1,0.0,1.6965491847605536,1.7765988088685,3.0129113977418385,0.08334726758158162,0.21061090319341558,0.018561692434354793,0.008221797853785295,0.03457053812147019,0.0073384368741015865,8.45216771500068e-05,0.004215892642210686,0.0020803313941860496,8.731718542698275e-05,0.001177320807713475,0.00043999196875718627,0.00011692284629294392,0.00022921596367000974,3.5169203187135345e-05,0.0002485352953861264,8.889586360361079e-07,0.00016220257546721573,7.617392713266113e-07,0.22955547666047496,0.051965016557579555,0.03592144888673075,0.002608043491955203,0.006183916865042258,0.000533553711196566,0.0015577824820062064,0.00025607149510087357,0.00018421032279008348,1.7348921310889054e-05,3.0421712498007736e-05,9.856220122983483e-05,0.00011159803275080649,2.956700467171558e-05,1.894591528661671e-06,6.7140080804994895e-06,0.0005436050534640968,0.00010374922238321621,0.00015340958594529247,2.7891779695865537e-05
H2,0.0,0.0,0.027133885140739444,0.10858064085863128,0.007114585162329989,0.03269673710310583,0.0008705628963592282,0.0008017369504091931,0.004423912832499766,0.0011946739283025254,2.058548395544868e-05,0.000513139354434422,0.0003204160573212489,3.3311485686526865e-05,0.000145105429600334,5.488321571633925e-05,6.441746124519199e-06,3.6137023709637006e-05,7.202087288105119e-06,3.7189224312172975e-05,7.968209625452971e-08,1.757548041381174e-05,4.13940044463601e-08,0.0077891502776995525,0.0020034930094522396,0.00063902512080527,5.245187233926529e-05,0.00018029672193375923,1.996933810000101e-05,5.377375926562955e-05,2.225785986631479e-05,7.38859212043863e-05,9.025400827811225e-06,3.8088521512325e-06,0.0001259020946280387,3.968404242882251e-06,3.2898900044209256e-06,3.545915494562735e-08,1.5624832567784352e-06,1.7794986041597127e-05,2.4031572103400123e-06,6.144358740134415e-06,1.4966134365135275e-06
H3,0.0,0.0,0.0,0.10275714769177757,0.03626112186231323,0.008660873227155363,0.00021868842081884665,0.005197050435515882,0.0007433677287342899,0.0003364962592464771,1.6905219821561346e-05,8.203196210543329e-05,5.775837856103472e-05,1.0939974370627326e-05,2.3647791050018796e-05,2.585088577555794e-05,1.7686933106997316e-06,3.87110589439299e-06,3.837184550103956e-07,4.297272189757173e-06,1.3215940231070533e-07,9.32408638520954e-06,5.965686034059559e-08,0.01986239601488171,0.048626060010949046,0.0034562216093042553,0.0007653670268583657,0.0005059676112557643,7.805151665363219e-05,3.785284244128828e-05,1.38836599172798e-06,3.0218625413303002e-05,5.412940907056907e-06,9.822135228709783e-06,6.913859190271765e-06,1.3479679377370601e-05,3.125939618708884e-06,1.3421477129682557e-07,2.5225410780205237e-06,6.589460606498676e-05,3.834133351610092e-05,7.64771388739316e-06,1.9232530366064537e-06
C4,0.0,0.0,0.0,0.0,1.9030880770584344,2.3580295916989815,0.09239846338104418,0.0832504883643328,0.17601889261701031,0.04960581483400767,0.00028156980114424357,0.01904811156317343,0.012801859249953584,0.0002284242831929184,0.004487043674588798,0.0020687199323772554,0.0006245889870584165,0.0006948513790617505,4.4572858148628214e-05,0.0015985031892852275,3.3444884417477283e-06,0.0008833572833176484,4.69880190934191e-06,2.6559853192706706,0.2751806551073647,0.23363751534488572,0.017941433174468724,0.03620664209733879,0.005038906967411161,0.0038259452706279062,0.0008585351655356899,0.0010373201179281477,0.00012030183317346399,0.0004724744842765638,0.00032000635625539786,0.00038622565268735254,7.467918350734237e-05,7.662889318638122e-06,4.538916232288415e-05,0.003325512372742645,0.00043008476739683776,0.0009810550230861664,0.00020905717213992592
H5,0.0,0.0,0.0,0.0,0.0,0.07893264746013484,0.005277217127238387,0.03402651820189262,0.008698720975903962,0.003064178567249165,0.0001652114054790932,0.0003879333379097627,0.00047812178488193524,2.9423130961658828e-05,0.00043635436339162226,0.0003086589651486449,0.00011816523791963185,4.439168848757724e-05,8.466145589025587e-07,4.87938770235008e-05,2.0986358431063223e-06,0.00015743434514337018,3.3915256336669586e-07,0.09199165300746182,0.022616035124696454,0.012609208475189204,0.010419581394901511,0.002001014174187077,0.0003575925257044421,6.648681177723326e-05,1.8150632997260274e-05,7.5763202439183e-05,1.6729160281281352e-05,3.526201854509026e-05,1.91585528728222e-05,2.1241046002429265e-05,5.092195765499241e-06,7.782938027389719e-08,1.2183372481988641e-06,0.00011189013970613892,0.00011475947506733863,3.774325814942525e-05,1.3941259934258099e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8962808426210644,1.8870668826303967,2.8717220574245195,0.2540219064496552,0.006137853226446666,0.18614515393955997,0.04847342182337003,0.002494329181795485,0.033710838619603695,0.014548151106045543,0.0030845097294578405,0.004917130672599163,0.001056876580190158,0.003881364607453447,0.00013818227841699837,0.002166399974240993,6.171110046548911e-05,0.1895538082561676,0.03756939116189453,0.03050407092365906,0.0011691183504648484,0.0038353365013458762,0.0002731026420016436,0.0007296178030660183,4.4686867594956325e-05,0.0002504291408867154,1.2154901571248544e-05,2.038915444346756e-05,0.0002074143135284423,7.959469424310972e-05,2.4419309701873004e-05,3.7081252508563978e-06,6.073406642714829e-06,0.0008991148547047578,0.00010391424687236639,0.00025289755289596705,9.390803556441618e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024030809508095663,0.1081605389072906,0.017245930451623037,0.002274915252320042,0.023246281047925477,0.0027521076107498432,9.09754233502369e-05,0.0030691053817546443,0.0012585444319207495,6.696410370055084e-05,0.0006618654670869084,0.00010128249532459499,0.0006023024905865704,1.721472693150261e-05,0.00021011603869491857,3.283821270461118e-06,0.02980211817073375,0.005899804683516585,0.003341297052606107,5.4252359345863255e-05,0.0007421580661852722,4.7839090141277296e-05,4.5453096920833325e-05,1.1513760140191565e-05,1.5648889046704362e-05,9.72419440081751e-07,1.3616243585978793e-06,6.753805070980334e-06,8.160755863850788e-06,1.3460157699540787e-07,3.5885250504463784e-07,1.6528768189694176e-06,0.00015124007426070563,1.1205451404761035e-05,4.4734715917704726e-05,1.069032883860288e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10046733323142343,0.03111082781832919,0.00018427078183158585,0.010974410431441761,0.005356012899483509,0.0006164588483921207,0.0015760184502429109,0.0036999641700008468,0.003418080521572442,0.00045244932051446973,4.6210153900050344e-05,0.000827160611142963,4.9300016818243364e-05,0.000589248722545066,2.2411968965796447e-05,0.01100899738821659,0.008490426217736324,0.0014386218790491956,0.0005907318901590131,0.00013086140337970065,5.080385361488915e-05,1.6912886253939163e-05,3.4542425275674304e-06,1.3194897954371676e-05,5.2822273264307995e-06,4.653484161787347e-06,3.2649099650505775e-06,4.681899543612644e-06,1.3349545766594417e-06,7.064251272836941e-08,4.3633587765157245e-07,1.462181221212333e-05,8.540238762400065e-06,2.86887957456905e-06,1.0857571526301513e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8942051035927334,0.11653947425318179,2.947960980121084,0.4848882540972874,0.025423368678537894,0.3443383096470242,0.23099727709818102,0.007957051151251449,0.03977496715286155,0.0037170360208738096,0.0723131970946917,0.0028493889393197414,0.026299185480606488,0.000363931209758972,0.01580751312893261,0.0033545402704549393,0.008384075197892832,0.006939419597972063,0.0007559190065584975,0.00021255911628936808,0.00031069358197910457,1.9580482870207305e-05,4.9181721334681794e-05,2.3925320444817544e-06,3.1646073128666075e-06,2.5285177256417768e-05,2.889455531446261e-05,8.352118436416589e-06,1.699005268696041e-06,3.0218781967850106e-06,0.0003754945605681792,0.0005113315772121568,0.00011543529314501921,6.257109392959759e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9674545369426204,0.39205346540908165,3.384769740976422,0.11037050159723827,0.47076114098088856,0.1105709408990978,0.0008243861597458935,0.0752736221668582,0.0006782528219089201,0.031481462357866835,0.0009106891034811326,0.07929402584462598,0.000916216829059513,0.0033810921998712606,0.001349343713044307,0.0018932621520151016,0.003940186370679721,0.0005422786731112128,7.689659827092576e-05,0.00015317868905073695,1.2055195467430835e-05,1.1286279930203258e-05,2.2531813872461726e-06,1.269210412546684e-06,2.2706817661699574e-06,1.2622884957194658e-05,1.352396854725768e-06,2.322617243422087e-06,5.280302976196083e-06,0.00037318119520912685,0.0004588915057814891,6.81372159952176e-05,9.757196457649275e-05
