,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
1N,0.0,1.0205293131789623,1.0220255430991796,1.4657968819021192,2.0869889181965946,2.4508386427834954,2.5845157966192263,2.6717718615438906,3.8254120009583295,4.716161652572701,4.82187173678588,4.824983638918028,5.9276012667401705,6.7805092511076985,6.008980075300534,5.178027064294088,4.630013301600405,7.230870272481031,8.14136840493246,6.529545582914065,7.046531066112463,7.433249150014182,8.473489948423634,2.487729256689206,2.8657195802589914,3.602614680652289,3.8697161706843417,4.892082496133217,4.968556651018724,5.643237084622635,6.62426061024143,5.263894994544667,6.156677106426952,5.3032351744958595,4.397763219688313,6.082985265569645,5.364244075802562,6.686057247334786,6.847120191304543,5.93571752159039,6.035132642041418,7.06475932012964,7.722108576385631
2H,0.0,0.0,1.6211258486746756,2.04267139364225,2.3326511926723215,3.342137976313891,3.494867445535986,3.6344229932308325,4.5944134482610615,5.400142959500107,5.451549204902144,5.548681982742986,6.58025286501293,7.391130989383363,6.682192715335202,5.871292683663102,5.3193259295880475,7.873342526145734,8.761774625254967,7.172456766779921,7.654294129376488,8.06693338654832,9.084062679641367,2.7398237541213164,3.134787248643597,3.6491300690144155,3.9441881761250968,4.907738179447342,5.10565057328058,5.388393374192246,6.422304592928539,4.873154567744447,5.650950557717447,5.050537318256394,3.890782373338108,5.682378348641247,4.8861260787277745,6.381130563423252,6.334165910953296,6.052759790261939,6.180345112818793,7.204043728109523,7.900338866277258
3H,0.0,0.0,0.0,2.0165380972286373,2.9102034217927026,2.733723855064244,3.030317562432786,2.5321369758109373,4.1330179131033775,5.218912175608632,5.474068204022756,4.922114546484232,6.348740249148035,7.267796525902933,6.231279924544352,5.009096108968961,4.280745633253133,7.36190932098937,8.341474673186413,6.3327593368016215,6.713252783903056,7.383754519044295,8.38859549916031,2.553934649283176,2.4617981902921913,3.8504579221751527,4.329383571436855,4.9489549034336,4.808949658320002,5.6906780078456,6.592282808810243,5.145788470861877,6.043802680500962,4.982661014140848,4.359104287616303,6.358921781781878,5.766771421955052,7.0284029287411265,7.0870453955520905,6.105838234110302,6.381832592425515,7.107072149681854,7.8309658184283
4C,0.0,0.0,0.0,0.0,1.0975087299795534,1.5522267736280246,2.135141191811661,2.155442538123126,2.582162618518109,3.4846352688882205,3.761784880692571,3.5369081367394157,4.593234684545512,5.456482807487563,4.643316586975618,4.043656763474525,3.71674787853308,5.858777088567407,6.74261660093099,5.365564588709338,6.001507266441738,6.139555443731381,7.186848814693855,1.5384118928708002,2.410377931920403,2.4682730764534724,2.583562565293984,3.829045260164539,4.003908006451217,4.8389514652447065,5.778784801283957,4.844209369487047,5.8427431268063295,4.944828065789836,4.155292546879819,5.273032552714774,4.640000757369447,5.698972305289413,6.183553490951382,4.656067604313011,4.65704051108904,5.826970301511204,6.404437989860647
5H,0.0,0.0,0.0,0.0,0.0,2.164634146667759,2.4687664401429066,3.0546864125965563,2.8133253601638573,3.2992421197219937,3.3546861850847955,3.8932981432189266,4.426987818416184,5.157550457615852,4.73495545198184,4.6463243636357925,4.521559746446581,5.991934304177875,6.756171015473199,5.894603265261089,6.630875879513146,6.468442029037574,7.511776762809517,2.173758994883093,3.2758708531568392,2.544101495100398,2.271866135042885,3.9970574956043854,4.440524750216875,4.908102553692935,5.900595439457791,5.0925940593824555,6.023893900455218,5.409893207383083,4.364217105690584,5.018975997390489,4.250997651220045,5.343745852239569,5.936889687725168,4.634485968871818,4.396857532885155,5.918728695325672,6.403088660876064
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0955714054312173,1.098080516197722,1.5040291530100225,2.5684005061649335,2.9751000157803964,2.6480467985451157,3.7173253975217664,4.635153886404922,3.7786837534219755,3.347289103412404,3.1715511101086804,5.062845065297623,5.950811924044549,4.716732414514342,5.4530879670804415,5.421740163671548,6.501748592864444,2.5307777856056832,3.1369464104782327,3.4039384822399406,3.382188164744383,4.575250023882455,4.558371846916679,5.863634615262937,6.667744028070843,6.030399924291217,7.08937052102102,5.969152563561229,5.493569974848978,6.4193808262911,5.902627130088815,6.682247136875514,7.409671040481514,5.092051833653551,4.991016489234455,6.147152725596444,6.597164984411267
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75883113149854,2.1506650017706304,2.758337737602997,2.786538486971054,3.4798416147253235,4.067210754629159,4.869941348846106,4.419150525177537,4.316374872475585,4.176901456420213,5.7675271710388225,6.566459153186565,5.660893347469054,6.429872239684685,6.268609564651355,7.351961431439471,3.4508900745598097,4.071038007157244,4.3086314567896755,4.162385998202016,5.574544495517217,5.6249816829064745,6.800999114367701,7.658145712306296,6.918540196837994,7.945669713517759,6.909427163311813,6.277035231326177,7.226382695105299,6.597931234436427,7.485172948097349,8.197921145102232,6.059027603424063,5.830867714617471,7.163153368014883,7.566758814686135
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1446240850100513,3.385706828434202,3.9126775387784165,2.835707295398698,4.362120770174265,5.32948579033783,4.144054343840344,3.1096076581699337,2.6596656032222237,5.28284284688106,6.256275533749876,4.482427858380796,5.060403112105454,5.396793448842408,6.438191838308204,2.748223146899053,2.9015134246520597,3.8440357252082156,4.066394824427646,4.823682279824443,4.555304186117928,6.11057389022768,6.836210281759956,6.118868050948437,7.186364859631672,5.862399519468485,5.645669768422511,6.887664124541412,6.469258190696518,7.228808674432351,7.842081736016136,5.465643306106121,5.568857305985104,6.366726087540329,6.8863208440337385
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3746572771232766,2.2249564639414605,1.4462035375892042,2.2615659387072764,3.2272560140171977,2.311593633428304,2.626990171675017,2.9639507285871094,3.653236612840371,4.481273486993095,3.82385327706292,4.74946771154287,4.220980890641169,5.306425673269713,3.07625638560552,3.8080420077182158,3.4326173630614947,3.1614543757860716,4.371050615419995,4.42078651524113,5.831431288960232,6.499493467649725,6.357203069979896,7.431022324212177,6.339871721746784,6.016292382502325,6.335868815757716,5.958872834646837,6.357186173930121,7.404217486599221,4.427635663473518,4.133959459698255,5.410435942883386,5.673595765312489
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082389569239688,2.254467343597412,1.3824000398273992,2.1298668138009607,2.251229647459291,3.648939509050303,4.211894133359477,3.6246018088788294,4.164828430835337,4.594915447729903,5.628295110892348,4.585868809577027,5.614561027989108,4.140352613186053,5.04266132403977,4.197221698334048,3.6118289799974965,5.1396321462890775,5.391696346770608,6.550622662399498,7.215332609507446,7.258213032290062,8.290384025641385,7.385640709712281,6.905531104765655,6.792681566161842,6.361846788125487,6.637104851689539,7.8749843227500005,4.883788050616322,4.2526329855503,5.901130627962786,5.967366671041277
