 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024849219840293868,0.026032492401147245,0.00042513463815430086,4.479567955861796e-05,0.0004304507386457823,0.0001037331085695925,4.9343895805131766e-05,4.4159928188403086e-05,1.4078242198789503e-05,2.959529957102802e-06,5.395651569983784e-08,4.3018866555666335e-06,6.95621132362767e-06,1.136091505316017e-07,4.772089416960057e-07,4.718945390003171e-08,1.1671546729097315e-07,8.009885952287021e-07,4.048479540497141e-07,6.804697672002646e-08,9.73130467318839e-08,1.6192254204128176e-09,8.813798579865306e-09,3.0348120017009705e-08,1.9982859909006834e-06,4.287068392505589e-06,4.692385915383568e-07,1.1206843142375078e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02479369038520285,0.010061343816627044,0.0005285774708212454,0.005740098102272384,0.000620783855765028,0.0004005778911106983,0.00029977478272669167,5.61473442461935e-05,2.601648582567506e-06,3.2034628179022917e-06,9.253279850818252e-05,4.25263157828315e-05,1.0163082174496907e-05,1.7191906094504716e-05,1.7258610225390214e-06,1.9024347939211594e-06,1.3263160129950435e-05,2.3237076278270763e-05,2.73888759894092e-07,1.4797088474516329e-06,8.707421517151204e-08,3.908852619360914e-08,3.2123524662530656e-07,2.4518041128462897e-05,2.171142482043642e-05,3.0357134586100898e-06,2.95948436646043e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018997784425400788,0.00016794434311973028,0.00015310468600804317,6.617800743402569e-06,3.471748810901509e-05,3.6176431866152825e-05,5.2872205003051675e-06,4.902869004119736e-07,4.420042845065808e-07,5.568424310098408e-06,8.438273601640844e-06,1.9163514419773264e-07,7.792694025621216e-07,1.3766781936652706e-07,2.1581175779772366e-07,2.5859020529317434e-06,1.4009837754347387e-06,5.958052862187202e-07,3.3238852303885125e-07,4.099198980256347e-09,1.4961448746575456e-08,8.633655634859849e-08,2.8899630890588668e-06,7.836088492529925e-07,3.9304328891542895e-07,2.5542616688412068e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.401747134632062,3.6740763371537564,0.14332718699463476,0.2567552384317295,0.027175059239301635,0.027340386771057504,0.002682231698843074,0.00719668861458489,0.006722547391744965,0.006907438011637845,0.0003954093344282761,0.001694942586934256,0.0002672433188337653,0.00016049685611130293,0.012788671525133966,0.016674586786128542,0.00012598143760611524,0.0017044527505367668,4.6669547225208774e-05,5.3213688419040395e-05,0.00033822268192529314,0.028037590912983745,0.006096116897468487,0.005850975874375844,0.0011153741375872217
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202536619328862,0.02371583330141802,0.039727087378222475,0.011850876326809257,0.04925689806515303,0.0037081300166700304,0.0487842586821412,0.003869885292553485,0.000889220018498893,0.0005183305958104123,0.004279014937949549,0.0011165979622067557,0.000223488823866691,0.051305235508245964,0.12142442434120337,0.000829856454284239,0.005513285530259052,0.00010273644678138183,0.0001685328722784707,0.0009661228955910595,0.003342456169748667,0.002401527100308637,0.0009487226656203496,0.00013383341590811337
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6728727033621047,2.5220943302065457,0.0971775435899277,0.15665570062031195,0.023849469499302667,0.004574138720022103,0.02327978653436212,0.0206172612117409,0.0004965299330770279,0.002823544996705979,0.00029601539403711907,0.0006057825856110588,0.0038925507717511437,0.0034876019226051103,3.915931297360231e-05,0.0005677856608421045,2.039693777944329e-05,2.8500579141166327e-05,9.280457674043507e-05,0.1879828658496278,0.053840307302304866,0.02632537542583721,0.004947691966600942
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10083103951988115,0.0038467498411940415,0.019305282602522067,0.0009771698673601836,0.00025147891595822536,0.0006752947429837786,0.00020782876856850763,6.686992247484369e-06,0.00011950495037749143,5.020071804917592e-06,3.618245963554756e-05,3.100704162029011e-05,8.59305373213104e-06,1.5178159320505813e-06,3.6922817332474267e-06,2.837307770953146e-07,1.6049220246117102e-06,3.252440188283856e-07,0.03073421263299403,0.06323358610551255,0.005142325091905153,0.0001356843370001748
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8549266770153086,2.7874184209477475,0.10032659796128973,0.09494099760781127,0.1514062383114862,0.015413426725925605,0.003107144891046243,0.029636664209110902,0.0032293524142137375,0.0015751990719357067,0.002027491299207901,0.0010598819697107409,8.341047944049329e-05,0.00039898919044989434,3.1253759740890175e-05,4.65748611699901e-05,0.00014436212437773932,2.579247072904131,0.27945052742566995,0.22178960181055335,0.05309863330943876
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09499226586097209,0.0042274121480192495,0.007546860027149771,0.025654408978425414,0.0026004567407800216,5.3050306724644614e-05,0.002478340129755896,0.000649223742761551,8.08412857913332e-05,0.0003016502253869735,0.00010973673800296346,4.710116954909083e-06,9.426573410498129e-05,4.0382793280446805e-06,5.342912850592185e-06,5.2235748243090185e-05,0.11886131852239923,0.03412208887118762,0.011169296728943734,0.00023058106226958586
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6955628327807872,1.9257358114608785,2.6583980964462244,0.07727904829924181,0.08352048542219126,0.17293625692076933,0.024844841502062565,0.017968649079122767,0.018027635872661193,0.007264864428547679,0.0010597715700749744,0.00201373494508017,0.0002774608106956844,0.00015215672290136428,0.0005230692400640669,0.17364685539316865,0.04117919352368257,0.03508292953318798,0.0026653573246248063
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02804091700978195,0.08487393846765845,0.025807283558101357,0.011158081135489217,0.004053242938738655,2.60196469319407e-05,0.0019441223117053763,0.0010747596455946695,0.00020494673673798758,0.00023893123989759957,0.00014422451232543043,1.443534211742481e-05,1.669817552452102e-06,1.7021850770460034e-05,0.010342754881603966,0.0015608897604757477,0.019808349469335407,0.0004723216715212253
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07788839231759925,0.0015416321552934598,0.02571798107055101,0.019033429871554097,0.0018051594912227298,0.002227821246689299,0.007290773838455333,0.010478698850420187,0.00019645460893880085,0.0007477182576910435,0.00016141108883704902,5.199098013530801e-05,6.213584646030945e-05,0.026751243122568713,0.004484082703430037,0.0037942394132123303,0.00022570541449162818
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757101064485628,2.153491280972082,2.594382271966651,0.07913212412713899,0.08002846272660369,0.2028619159802416,0.01154070775541527,0.004779262000402462,0.03967620625929098,0.0014856198286602451,0.0035764033495730985,0.0016278881149048852,0.014654343050685442,0.0027795191627056903,0.0033675154013429187,0.00030062907533323635
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02539267976468995,0.0806554079638806,0.0014374496013001004,0.03152683403199452,0.020104609150124242,0.000643184222132609,0.0023298988638980056,0.001939551776493964,0.000661123263862029,8.157968952016148e-05,0.00020885139444182244,0.0011061376356831243,0.0006713544991681086,0.000231218390899679,1.3890881452205406e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09373789847128355,0.007901640103139318,0.0017624593830325441,0.02815818807872572,0.0012793167072617795,0.00012894433273369366,0.004907088427087758,0.00019214636148445763,0.0007596236359490582,8.602652757372375e-05,0.002538072886959064,0.0004377762952084696,0.001993075583037962,3.48854606970761e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6724707453320176,1.9208867180440325,2.9236309664751854,0.08214350549021443,0.08043725318897144,0.16363029004656204,0.013382815274400661,0.02377156484663867,0.010705761685897985,0.002794773513755844,0.0005552471202105586,0.00043101891275634796,3.8860297218668016e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02369583334095049,0.09484050823276813,0.029172499598123958,0.009186600831440739,0.004340723470201202,0.0002928624127167545,7.34654012097824e-05,0.004000985188609585,0.0002649951127393635,0.0001739715144722931,7.274341206953139e-05,2.2590048160964216e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08265396575671113,0.0023281479436121355,0.029954278647386534,0.013348906369184732,0.008710334787926266,0.001437637038188111,0.0005327230286169549,0.0003865489076073647,0.0001362000958921028,3.8909220744121065e-05,1.0935188169858279e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6590243176363701,1.920289014123246,2.447709657374411,0.07788323460223678,0.07737651471267881,0.07988081690999871,0.0007241092332308796,0.00016643908200705826,0.00019913853720028574,5.488488801552727e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030250766736666046,0.09127392807361101,0.0049059802056024004,0.004539598084739582,0.025959650966752124,0.00028024698957662686,7.273905679683335e-05,7.557240493638595e-05,2.261140566783837e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08992992526322496,0.02772754192408655,0.004887428017394946,0.004669693516911488,3.627216470403205e-05,1.560070689266002e-05,9.19364569329506e-06,3.855843582201146e-07
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8482018273408976,1.9691338081195364,1.6435320522332266,9.901597318881517e-05,2.2534700730630908e-05,2.8397056064416448e-05,9.576150898915614e-07
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03012299762470949,0.028945844970158063,1.2773553854095177e-05,8.158745809727641e-06,2.47035123313033e-06,2.5130661240879704e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02954898390937455,1.3510235247760072e-05,1.943759705413939e-06,2.089447617037443e-06,7.389167211435677e-08
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60921718307084e-06,1.5542553607472698e-06,1.3767193735025884e-06,1.3054059722072964e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053007961099048,3.1845014346143823,0.16486275781033888
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509355860803916,0.06096929768375936
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5969580887183477
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
