 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.958820401135387,1.9866153013154513,3.0546624951437447,0.08981750342705497,0.21138511696428872,0.017805026553243897,0.03995183128626757,0.001287739858327086,0.01853507853147697,0.007253592502611039,0.0006989890229660567,0.0022690482022196257,0.21781505197986076,0.04385997704799166,0.03405608567590071,0.002569039295172826,0.007725452877434896,0.0001781720584457247,0.0006204261190609212,6.870955132087797e-05,0.0001502739667348374,6.015091123046101e-05,1.4951537988583397e-05,4.222200955306121e-06,2.149489943040206e-05,3.2750543885740058e-06,3.6234624496422896e-06,0.00011722272595997285,6.871155559706743e-05,2.579063055652142e-05,1.8571499375813483e-05,1.1195847314793284e-06,2.9538694308328672e-06,2.694627561861118e-06,0.0010907621958732572,7.247481410375956e-05,0.0004003631759604692,0.00012956595053870146
H2,0.0,0.0,0.02739967945701638,0.11307398352778075,0.008164740059321662,0.03298567200072533,0.0005257822902837717,0.005022719986250701,0.00015503656889248596,0.0021168049441333547,0.000650213059858018,0.00014377879709703834,2.3369991678068303e-05,0.007652615311558253,0.015741000466731103,0.001308447778945565,6.996528900837795e-05,0.000192104296748985,1.9266751939417404e-05,6.508036286201335e-05,5.521453969148382e-06,2.42320568555332e-05,8.504631180850097e-06,1.2642621201042203e-06,3.9140815921712147e-08,2.2635479706600847e-05,1.4923998992166787e-06,7.890662109932833e-06,6.845450693016009e-05,7.186132064518347e-05,1.933447523305709e-05,9.243097976008308e-06,6.817307205420065e-07,1.1394472891890217e-06,2.636801239574993e-07,5.260188805755739e-06,5.492352902813913e-06,2.938713912770119e-06,1.1738727334620336e-06
H3,0.0,0.0,0.0,0.10485752561468431,0.03617225493453824,0.006155728793050708,0.00013741829339797285,0.0008897905074765067,0.0003896935824754255,0.009602070818318431,0.009521280004002541,4.666727164592821e-05,0.0008466095114780803,0.014350783363024089,0.02335839849439658,0.00200597953185766,0.0002707179293934825,0.00024579923031575746,2.0879340199897456e-05,0.00010647732487889527,1.3543614708400042e-05,2.424172109072309e-05,7.271785316231849e-06,2.267054469706764e-06,2.32427681989833e-07,5.825241444101792e-06,3.706466367825456e-06,6.826093230660746e-07,6.904187857492694e-05,2.1793746559195526e-05,1.4312305121055857e-06,1.0793435828992948e-05,2.1392911597750697e-07,2.545119230923376e-07,3.2949291008943504e-06,4.549245355234266e-05,7.008420074616772e-06,1.1507627051376978e-05,2.853297027316515e-06
C4,0.0,0.0,0.0,0.0,1.939186369817378,2.6985717098530935,0.0964456769667319,0.20536859972230148,0.008125808394938927,0.15300533177374506,0.00466998346142522,0.008907170911717888,0.03236384355261901,2.430200934602254,0.2654990385949063,0.22021395235143085,0.014576228104197342,0.03525601408347678,0.001553816400735264,0.003904803300538523,0.0009433671571967839,0.0024099087473197223,0.0004889341890858545,0.00019892359490358835,2.0847881947227975e-05,0.00020356004816113327,4.5572616860889426e-05,6.4176356964207315e-06,0.0012500112012708287,0.002198978452541467,1.218531864322081e-05,0.00018570435042605804,4.691721134375548e-06,6.025844048962448e-06,3.3732486504622905e-05,0.0041288448644339615,0.000376894708138939,0.0012647361241975574,0.0002421048342871046
H5,0.0,0.0,0.0,0.0,0.0,0.09066949587366246,0.005585089691568568,0.012967920385296705,0.004384323324268191,0.026376236906895834,0.0009848688573284026,0.00051079371185625,0.0012098985691544328,0.10775318814440937,0.025976169458894804,0.01328480224500217,0.0012668004043547842,0.0013405367696035508,0.0005958545365067902,0.00018809344051917698,2.419143214038577e-05,1.109655434872181e-05,0.00012289990884761792,7.08404442042454e-05,1.2917624719221976e-05,3.951076641295348e-05,9.244541398611972e-06,3.436122555822152e-06,0.0003939127344341209,0.0002716932059880772,2.9458750423483337e-06,5.079032186749988e-05,1.094457175554453e-06,1.4896836166844452e-06,1.4886030692995433e-05,0.0001236300272999813,1.2486870075600898e-05,2.6536268778798444e-05,1.196762379418459e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6945327849834988,2.913040617118918,0.10978056985599605,2.7700812722646777,0.09828415014454306,0.0891023487110425,0.09930587188538387,0.16460267451766503,0.03544050506522679,0.02670188034763067,0.014538156324682139,0.0025883746274908137,0.0004750666413972926,0.0010143311569887764,7.469105003710119e-05,0.00019506580890471525,0.00011787804159335558,4.047880467483722e-05,1.1893918825611749e-05,2.904064224956704e-05,3.780981937540062e-06,5.163668753915829e-06,0.00012194489550840237,0.00017579192634864516,2.505847297329389e-06,2.0422780883211367e-05,1.2023961067919586e-06,1.2988060336116547e-06,2.401041776955992e-06,0.0003361918970147537,0.0003335697382920999,0.00010843390282905263,8.960239529676173e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09035128762688494,0.012105571734030596,0.08857191812579701,0.003950577807537936,0.035443619052879294,0.005420669236905873,0.02729967594220173,0.004057878941170601,0.003964392047967058,0.0040214900985977575,0.0005394186154059621,8.498936258360956e-05,0.0001226804697644912,9.891180566823365e-06,8.090839758767565e-05,1.6749770546997667e-05,1.0727315451486419e-06,1.775655801949938e-06,5.280338951196839e-06,2.036036791164264e-06,1.3662908837641652e-06,2.3204517757280385e-05,5.965057002343954e-05,5.154217925795734e-07,3.283058933600813e-06,2.415389832588488e-07,1.1828944446179435e-07,5.874059516575159e-07,5.012046511754242e-05,9.337389905528237e-05,2.0282378839886483e-05,1.2087869831756137e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8719392823414736,0.19357032727240964,0.029915440867179566,0.007025732164835485,0.010546247331875147,0.014020407436373047,0.004182657439390086,0.07674637307110097,0.19251125490783383,0.007828826950914011,0.00012030731081391632,0.001912846853961106,0.00026138805342634797,3.0371169860266e-05,0.00011990144146695192,3.277936142154214e-05,2.03125141362559e-06,1.3883310383502878e-05,1.196262497282774e-06,9.472691168910252e-06,2.1831353450962876e-05,1.362670453153303e-05,9.751473649677322e-07,4.166999728952292e-06,1.9602830692022621e-07,2.149616119551112e-07,7.412044370491699e-07,0.001166281776773359,0.0019508723612575996,0.00022076915863275537,9.072432881951364e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029076391673510393,0.0027930153413553427,0.0011327609817737283,0.0005211491529697465,0.0006119154997905607,0.0002650794343722618,0.0018801595390925963,0.0025621939439777197,0.0003952253704985198,1.3676355662628481e-05,0.00014219393849568274,3.2641639197805716e-05,9.22350859910992e-07,8.674689112697642e-06,6.131625419181219e-06,1.3614465732558756e-07,1.3682484480970203e-06,1.134091944798854e-07,4.631919157116471e-07,2.4674401485347275e-06,1.3225145778505976e-06,8.774420967583296e-09,3.0806559669915856e-07,9.146477575328049e-09,7.48106532277859e-09,6.267050989272605e-08,4.491084634705711e-05,0.00019647213653517515,2.115347023690095e-05,1.8931815080058811e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01795208406078,1.7114969880489668,2.06300910669831,0.023392822276879416,0.0033008503196490027,0.00739875104020131,0.0010481953276150202,0.0007117466899700664,0.0005238510816533148,9.820443041516635e-05,1.4283442754337017e-05,1.4805099337156236e-05,9.12991295154153e-05,8.855093596993324e-05,6.918799048349911e-06,1.3212888466826445e-05,1.608665621710692e-06,2.2883402682749576e-06,3.506550326223823e-05,3.436753329721931e-05,1.934831555638894e-06,4.3934274747553514e-06,2.0708828107895982e-07,1.6144335346357508e-07,1.2670049907015368e-06,5.2431401958430435e-05,2.7943075856295962e-05,1.0560207738666283e-05,1.1119585230368045e-06
