,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29S,30C,31H,32H,33H,34C,35O,36O,37H
1N,0.0,1.0207522744006041,1.022292849541389,1.4630842703492961,2.078730282360336,2.4746006251862585,2.4217288386579336,3.03873276814661,3.7108209282041993,4.491409358552661,4.655241543360162,4.898378008554219,5.60633513711122,6.518968848064693,5.735155235606311,6.637558311883322,2.4967768115264297,2.7560358151918285,3.7281933185299376,3.9968516827560605,4.9275823306827,4.974110583777546,6.173430645549987,6.375582875574226,7.052784811119115,6.398126566454448,6.552115766058017,5.709362489927488,8.0919638326928,8.086390322883453,7.92747058113706,9.141738958657195,7.5161469916271715,5.412784419909342,5.172496989818728,6.570141856141203,6.991965063790466
2H,0.0,0.0,1.6017471558089689,2.02643239685787,2.312843693705497,3.355091987248392,3.40820263029466,3.91632530711194,4.461879163552353,5.053652069735435,5.436342127969513,5.7362606417251385,6.168489655198971,6.997706604975088,6.408664868231401,7.306701384388984,2.7077443125499716,2.772813495633151,3.927792479774668,4.330802093208631,5.062108182048233,4.933845375057052,6.248886322861473,6.578637887888207,7.126582536378583,6.2557546053831175,6.280283779078091,5.529868713196189,7.942259892220677,8.075925145884103,8.051611662484913,9.117143963673382,7.466696240940601,5.759638346575642,5.718476792646431,6.833653737825417,7.3552399394864
3H,0.0,0.0,0.0,2.0163151923455875,2.9032634803371167,2.7701326087140443,2.6903213161410156,2.9754583590673196,4.198330161102615,4.999127920634804,5.195095081699563,5.403339773411302,6.183403630322415,7.10698961035879,6.330689346811424,7.255278828199498,2.566733986172092,2.443151826535527,3.9000954204098863,4.316272642369985,4.892337108978277,4.843500566579003,6.285014112248027,6.562726620328277,7.055042698951603,6.665542959716713,6.736297836456472,6.115349861943139,8.434559460575189,8.565980314693562,8.352197972901967,9.64498113209395,8.098978652243469,5.1561323933619185,4.875013560411522,6.216756767090847,6.552712123771498
4C,0.0,0.0,0.0,0.0,1.0968006837932998,1.5616144769348221,2.148116815310882,2.1899569429455314,2.5781772990821823,3.1148121974806,3.7557345471164294,4.282903895334916,4.3083776433530705,5.170631005047287,4.652136769604776,5.617760105733413,1.5488880097591522,2.4248529598796513,2.4727519978967636,2.567143733316225,3.8127435246248327,4.1071294935306755,4.933647245373774,5.009830926513341,5.869468997745448,5.2484597506057735,5.578715244191383,4.56943169768921,6.885125159078172,6.755139009050147,6.52277142244967,7.8137728349007745,6.232164831557512,4.37345085082979,4.15001793571519,5.634230818241599,6.104897410512554
5H,0.0,0.0,0.0,0.0,0.0,2.1729425984052035,2.7320105716351937,3.0154935615208363,2.590695137581086,2.886530557517041,3.63766008913712,4.247716035495987,3.9296455372470125,4.707819946759295,4.329545469083134,5.248498015018785,2.1638233470216663,3.1545340228105916,2.6911860264622853,2.578182286738329,4.121909945195613,4.4608660263893265,4.9666410222069945,4.975223418455894,5.995245054245354,5.0173479292827405,5.423906081530557,4.168271687392133,6.510287349180295,6.235243109483324,6.111005904816765,7.251342092319113,5.574728428773702,4.946272126266399,4.842763839102272,6.210577963951281,6.774082506936684
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0945691402965971,1.0985309018537666,1.5018474354245854,2.5292909896855793,2.5901602969525745,3.05326550646785,3.5998389230176127,4.602906082538412,3.673118133411532,4.621651802592768,2.5538704441985383,3.4521084740137344,3.073860036446023,2.7806628567558267,4.301509344719966,4.869824207572261,5.356020736239816,5.159707604274161,6.237371989741669,5.982732276420435,6.495131854891491,5.403058974832834,7.500918887259969,7.111980515051703,6.6576392756173846,8.137195660769311,6.666528824747817,4.423605433516133,3.8017248623936433,5.751800332960186,6.020102065670041
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7682547635580306,2.1239720686910015,3.4021114703710356,2.7135149795364573,2.7693375701439846,4.276620554816953,5.336924692098501,4.017004234296237,4.852361406403973,3.3818851167890718,4.08874799817119,4.10706799481122,3.8636039992329048,5.328859751018823,5.814223115863237,6.437803202448569,6.253469080407851,7.309116099065263,7.028997305427757,7.499317073651362,6.405105593524838,8.55815955014433,8.138223853366933,7.6972239422857625,9.149135841390173,7.636146776736661,5.377511877781509,4.671226655959157,6.671603095653236,6.868352296553971
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1366294484642845,2.9128219573635916,3.215153014414866,3.6766778589523597,4.024213611468462,4.960933108518193,4.206008693899565,5.150034623428831,2.5644012857451868,3.272207890904014,2.997345452514606,2.834647655874368,3.9378875089887555,4.5297070421613155,5.101048596191035,4.929214121368463,5.846743128989708,5.9720996317979065,6.451831222387572,5.579331091262498,7.5289850612239535,7.2626196505353855,6.71011873465458,8.300889058228194,6.974814103283341,3.7070154148170658,2.9117829531208907,4.984651932656089,5.129426137785149
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3857540201211764,1.374051465235893,2.2448692672212327,2.1631097888930673,3.216723698665994,2.1992515550085,3.1793802050102706,3.4535949003393527,4.567429806910147,3.4270889352112364,2.695070568747374,4.649062281051853,5.436415790243148,5.317937490750895,4.843625916763965,6.251195294983016,5.899929898356319,6.623713800131191,5.273417338709836,7.148412765369822,6.413312283843177,5.884076112901429,7.353460475518392,5.9309380856748515,4.858366107632976,4.248180711917933,6.205486696234086,6.494736947214047
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251177255101474,3.3135153623788236,1.316715628121135,2.140028175520924,2.2098204005959756,3.1780596336580382,3.5100426517868333,4.712915608413622,2.9519491519238596,1.9761687811954467,4.02773775991336,4.940455751433411,4.335865059983456,3.7146875966527864,5.288403538184988,4.869191207466517,5.723697175832516,4.288511354962103,5.929320191433123,5.074994911810725,4.513164612335737,5.994809829390916,4.645822364273794,4.423783944331882,4.044924122651705,5.7150721925874075,6.111067196316116
