 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,S29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.9550742520420075,1.8151407748358261,2.8785374855074544,0.09247415344995646,0.19413734079121092,0.03966010867230807,0.004139388277794476,0.02382144840500197,0.003590071788516974,0.005095126046742504,2.7347572723046554e-05,0.0008704126640527721,3.715591787201156e-05,0.001642068356773968,0.00011500892997196033,0.22654408857946634,0.05162876843478721,0.033759337098721476,0.0020715949939760225,0.007494878314358952,0.0003286831417674829,0.0014854248525287411,4.260005495282382e-05,0.0002970556300688765,8.55876961322749e-05,7.399220108839089e-07,1.7383925900671393e-05,2.4329016113863733e-05,3.2348138658891412e-06,9.937697811324142e-07,3.625816431540585e-07,1.2180540565065456e-07,0.0003727325226257072,0.00011972656291923262,8.297795109560302e-05,2.3946383274409122e-05
H2,0.0,0.0,0.02681208532976953,0.1110852409886035,0.007669911913865679,0.034232985277430794,0.0026843589621929898,0.00019683070806086889,0.0035538397212355743,0.0004021158648259693,0.0013520564263493906,7.411984161320717e-06,0.00017917436648584584,1.3125765845778403e-05,0.0002995851052493004,2.5993590988759863e-05,0.008300108906606263,0.010402586893470622,0.0010344681084595297,9.654418695848044e-05,0.00023712567974065735,1.4179916855816543e-05,1.3796994250525607e-05,1.2830303806055099e-06,1.9249396185916368e-06,3.7387329250293533e-06,6.887930692478506e-08,1.8169763553732565e-06,1.464602763512346e-06,1.0067710631833648e-07,5.6829053907136995e-08,5.293008031870272e-09,3.5993037439396858e-09,3.5551062431471436e-05,2.2155278687319147e-05,9.436041126686945e-06,1.1447368983841244e-06
H3,0.0,0.0,0.0,0.10746578006856766,0.03672754006241696,0.006534728487499142,0.0014544680468595583,0.0007785274614602322,0.0011017130484186621,0.0003917256353446197,0.00019629960989586692,5.136423040896787e-06,0.00010299991696272048,7.0267605509766184e-06,5.870336386792907e-05,4.038791407090514e-06,0.01977641448540568,0.045494294528958035,0.003200524196035115,0.00025539845521960203,0.0004699727778040286,4.429710348285987e-05,8.48011393523862e-05,1.3121110226110844e-05,9.554105150577641e-06,5.3287737759033504e-06,2.9111711330465084e-07,1.3475583000577274e-06,1.2646311881026051e-06,3.2964889884468107e-07,2.7448240391692025e-07,4.4873179838589294e-08,1.3296104883764315e-08,2.5711561342012246e-05,5.588820226165581e-06,3.084561735700042e-06,1.3458555507828152e-06
C4,0.0,0.0,0.0,0.0,1.952845676733141,2.6469894933236846,0.08288548809978158,0.07433283840433136,0.17680470943750037,0.02196025231993537,0.04092873685587625,0.0003568871443073718,0.005425835766965037,0.00013870072584842852,0.00939011376679344,0.0005936329127919082,2.6294423438591403,0.28425271187700946,0.21244717276204841,0.012332784297510946,0.03508402284669235,0.00371414510108381,0.004304220657836533,0.00017396922730594788,0.0013791881431184372,0.0002687641940145591,3.6638892741969187e-06,0.00010483348829515293,6.870357453904463e-05,1.2089716903460057e-05,3.182242783505984e-06,1.3579213011816194e-06,7.75681407994e-07,0.0032625679151210285,0.0013390076388395539,0.0007084606399927751,0.00012489266852944159
H5,0.0,0.0,0.0,0.0,0.0,0.07577442066023132,0.0019576678579631412,0.022569346691964753,0.02333386981940877,0.0061449386779840465,0.0023557118400923116,4.7380434756272294e-05,0.0005241688419248547,4.47861533996452e-05,0.0013653924383916216,7.329135032940748e-05,0.09489398492571932,0.027294282008799686,0.009579614297753114,0.0020886810041857995,0.0013787156645963528,3.43743173574218e-05,5.653818450634951e-05,5.182702633721448e-06,2.3679554936872904e-06,2.9048036905399144e-05,1.9235217951774075e-07,2.648164638374695e-05,9.774008635554665e-06,8.02632083796162e-07,1.355669903002621e-07,5.7834508293552744e-09,5.281408810287047e-07,0.0006053377052657183,9.903803903887898e-05,9.024535423274305e-05,2.2831878649043347e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.009519937721323,1.7424901589470054,2.8030949788774624,0.18617038322791535,0.2453095238805151,0.004362402389992193,0.04663237021729891,0.0023397851782049894,0.04168311478316561,0.002325482334487372,0.18458998762290707,0.04035343136439655,0.02837857225781726,0.003311527523682911,0.0028523622497789447,0.0006278577701377408,0.00041823785204544994,1.527632792952538e-05,4.0962501753116776e-05,7.994212444638327e-05,3.160958743309017e-06,4.278458960782494e-05,2.2144567949813898e-05,2.462439376030301e-06,8.707054064416297e-07,1.786703578421367e-07,6.76614456907032e-07,0.002141075149240751,0.005538709840548599,0.0007285298659998191,0.00011116208323735943
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027415244232199543,0.11782674561016293,0.022876921903531522,0.01355011059543254,0.0020421862451796002,0.0035344634810277054,0.0008948963228412321,0.0018480251500095912,0.00015115813975952186,0.01994367097619487,0.002753328772706065,0.005137686324824697,0.000230866965885701,0.0005200981152622131,0.00019862562925587746,4.006219020724622e-05,5.546763768293772e-07,1.9633263894647257e-06,1.643905896742126e-05,7.059554461008588e-07,1.0557885468998052e-05,3.953786665289449e-06,3.498005721747077e-07,1.0299451935757986e-07,4.842440670671522e-09,9.009273305160548e-08,0.00034824169769009927,0.0001809053500242408,0.00010488468329461487,3.007484423389606e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10173253230305934,0.012074919297723197,0.04124527814794998,0.00015471665051602912,0.005064969975029143,5.199608771566666e-05,0.006939603275807116,0.0002820166319004169,0.023438415371605403,0.0036315115238414464,0.0029196792503995983,0.0007518500732530686,0.0004122228972045505,5.1770525431704684e-05,0.00012662337574753657,3.914882906075334e-06,6.4381483644293525e-06,2.202172646259548e-05,5.624974961371265e-07,5.792309130780993e-06,1.1274701923080777e-05,6.367721964162243e-07,2.451916401025045e-07,1.1412505362962122e-07,1.350964391466647e-07,0.0025617712220451505,0.017301578687021202,0.001192446062729724,5.3793928834311444e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4711793329659026,4.1313166976450555,0.11879846720398901,0.5443567589171849,0.035762337136288735,0.4794165904153408,0.02886024647727259,0.01025553287697678,0.0038670579653913295,0.00623545329437844,0.021541268807760527,0.0009105227462966048,0.0001540898209491104,0.0001692596396556667,0.00013883166723727136,1.1441293212621773e-05,1.9499928828520252e-05,3.954659382188197e-06,7.278274644528793e-06,4.646760763449276e-06,5.977170842511037e-06,3.1398329594090058e-06,1.6622168081958932e-06,3.6851121063552483e-06,0.0001576731790727537,0.0003965047428375196,4.776799804108445e-05,6.367145734320623e-06
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087447849216216,0.025845771576900267,4.212909007715135,0.11224327487533459,0.5433426314604091,0.029469392092798086,0.0073260017169573255,0.0025085769722039825,0.08629491685018187,0.26220836735832453,0.0075013645469814705,0.0020416780352197073,0.0010078576290848407,0.0012120903166750185,4.364886669572243e-05,0.00010376714786086705,2.8543158404170654e-05,3.9964035348005744e-05,3.3483781994789186e-05,4.864955202163457e-05,2.3663739841195408e-05,9.075231522825966e-06,3.701183978366274e-05,0.0003868737856820015,0.0005394993273631632,0.00011194528112798419,2.0994255263917516e-05
