 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,N34,C35,H36,C37,H38,N39,H40,C41,O42,O43,H44
N1,0.0,2.009891533440555,1.9411618070103425,3.05021596254301,0.0857113487585821,0.2042914399055585,0.018651661645680218,0.007953243610034466,0.03288165047467319,0.006870840388460087,8.507629735654554e-05,0.003935936514713134,0.0019044898862370652,8.192860149824899e-05,0.001125031172683394,0.00039315486512678244,9.37163848671041e-05,0.00021618883665741606,3.4746401613938716e-05,0.00021912960722454689,9.530437259375191e-07,0.00015648598447229323,7.728539586082661e-07,0.23207367857293912,0.05324228505093223,0.0369244234473394,0.002457538468572773,0.006530120623865265,0.00050218051364459,0.0011655963512168244,6.569459680805245e-05,2.021173536648213e-05,0.0003120737528121281,4.972841401870709e-05,0.00012424551845628684,6.498423366085859e-07,1.6975812434760762e-05,9.982284046028411e-07,3.444501340517381e-05,2.123644984419748e-06,0.0007715169156334023,0.00012340081729844687,0.00020835517847594964,3.487190703088672e-05
H2,0.0,0.0,0.02712599561421336,0.10925391144274688,0.007402052489867694,0.032371964862382585,0.0008614897732928117,0.0007929237129233879,0.004355423566381966,0.0012140634708377451,2.0335453476238996e-05,0.0005280414796164923,0.0003295450341516126,3.265470128299697e-05,0.000149530649437013,5.338404548715925e-05,6.631506501930673e-06,3.655798661705845e-05,7.198318996870512e-06,3.6995444796072974e-05,7.487347364332209e-08,1.634032589770129e-05,3.70163362184428e-08,0.007600342475603039,0.002408459966854015,0.0005108528557927761,4.900891050874101e-05,0.00016884503491298997,1.693717466100253e-05,2.57965033013674e-05,7.1492844448961534e-06,1.723494164496131e-06,3.916507969048411e-06,1.1114460215511102e-06,3.119473534485273e-06,2.5919830726195414e-09,5.833958465206734e-07,4.875820636129902e-09,9.735037432845317e-07,7.069685503680034e-09,1.563370107326989e-05,3.155427300782776e-06,5.451737884243357e-06,1.4057251380705793e-06
H3,0.0,0.0,0.0,0.10510796062697936,0.036113616299123574,0.008346372274050329,0.00021669321888695414,0.004861595411020936,0.0007321794076763366,0.0003439315498126039,1.8668092051088436e-05,7.849318865427168e-05,5.418023720904497e-05,1.0588427917346266e-05,2.400654465106733e-05,2.3595748583016274e-05,1.597851186474486e-06,3.8124324954758038e-06,3.8596290563575053e-07,4.0049815488441e-06,1.401487361718523e-07,9.78003616869394e-06,8.369524651108406e-08,0.021537375834081662,0.054237907807235364,0.003722212104451228,0.00074589192342156,0.0004783011179962937,6.452473290941008e-05,3.45026704796636e-05,1.5698274441477977e-05,1.1682220206754579e-06,4.7948023567112585e-06,1.3319049071425226e-06,1.2186744443587472e-06,1.568772043381017e-07,3.555224725726447e-07,6.061647805921666e-08,3.201825974352701e-07,2.475895710674081e-08,6.982080002448932e-05,4.493910818892388e-05,7.733837892764939e-06,1.8730542836742359e-06
C4,0.0,0.0,0.0,0.0,2.0630926975413018,2.7668321479796703,0.09187422952044577,0.08264531470088432,0.1750337549632818,0.050154038714008004,0.00029870754997807225,0.01911808489597852,0.012979744175160707,0.00021651710287740045,0.004582418469970567,0.0020467559668552043,0.0005976695994176495,0.000708338188500246,4.6186114954549495e-05,0.001566459869289799,3.1228630430479853e-06,0.0008818544574189652,4.705839374619103e-06,2.693502721611634,0.27825883939334894,0.23268747450180743,0.01631076951849575,0.03574835044123381,0.003982296513587169,0.0036749779937677307,0.0006657667274851953,9.607014158552474e-05,0.0008970795890270722,0.00014489752576363202,0.00023769657586764081,2.730546499130071e-06,4.70930822054072e-05,2.7948287686374584e-06,7.224734574999558e-05,3.8664408794630845e-06,0.003883416019809266,0.0004909336732082936,0.0011264351535688472,0.00021700912722488752
H5,0.0,0.0,0.0,0.0,0.0,0.08008302556276448,0.005312446276298122,0.03402247425941085,0.008973646621494469,0.003273275201951087,0.00019266396962125398,0.0003885828032086369,0.0004895901901611488,3.150068234969439e-05,0.00044572282889898673,0.0003193217442265528,0.00013754740649041253,4.480418437369238e-05,8.494563370486929e-07,4.747555324136066e-05,2.2158094401536488e-06,0.0001608628303677584,3.78072787521333e-07,0.09194454061313628,0.023068817432689515,0.011974212536405515,0.00941823279313514,0.0017972974690547705,0.00033967233094922555,0.00010355692363184232,5.5012659732067704e-05,1.354921781904217e-05,1.5367591479797937e-05,3.5900309607317382e-06,4.836715352007914e-06,6.73920534488559e-07,2.475872152407632e-06,1.369024735797808e-07,7.521978904190263e-07,7.059201445613894e-09,0.00010285090558892485,0.00011900159111910558,3.435757947767293e-05,1.427928811081891e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.106015780584211,2.0699913933475345,2.8685817595443086,0.25504174194172313,0.00607886277092351,0.19108063059400232,0.04882178839498581,0.0025237337462060694,0.03399081334590913,0.015056203115601685,0.0033906661673126504,0.004988739755773713,0.001066046682130617,0.00391735626806293,0.00014655699213683704,0.0021581663704926812,6.51567493265004e-05,0.17921691715969776,0.03589208478245903,0.030528381426022516,0.0011580116665794726,0.003595204529683149,0.00032225488936998836,0.0010431916064739533,0.0001800704153893662,3.074551720516627e-05,8.473141134372753e-05,1.7687230301030588e-05,2.4229372026257634e-05,2.2211700323460093e-07,5.751595078554161e-06,3.907356513899174e-07,7.343780860438742e-06,3.4808204119052277e-07,0.0006848268725891116,9.494765767178309e-05,0.00021462875667514758,8.22513698608418e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024028147350991125,0.10746474354479729,0.017754145094997398,0.0021507001941118986,0.02316780694658105,0.002869935018446901,8.749220720116746e-05,0.003093892216877725,0.0012369015337554412,8.864825329024661e-05,0.0006521372523569102,0.00010045510576550676,0.0006122522319870205,1.7746440218902038e-05,0.0002127216430547474,3.723520842102701e-06,0.02960783398609035,0.005666148538254534,0.003568092895148034,4.9539048934565955e-05,0.0007035686195080437,2.9338304171844243e-05,6.57729600826995e-05,4.5012555602852444e-06,3.0611243420075596e-06,2.4259676643101358e-06,9.800436009399505e-07,4.1654419624670425e-07,2.5670993997195524e-08,2.467212592005552e-07,2.217894601308501e-08,1.0201043165736223e-07,2.0350702012450483e-08,0.00014352588434207725,1.2940142068873506e-05,4.5064493687352325e-05,1.2199920029543065e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040245288796795,0.030450568319315474,0.00018269453798236412,0.011388343239343124,0.005048255997978535,0.0006334612013059182,0.0015489170451696843,0.0039549424266354105,0.0038682691899181165,0.00045866122019511124,4.9105460456111416e-05,0.0008397392289030137,5.071096752606863e-05,0.0005805488872068221,2.5408375793789517e-05,0.01047913595152039,0.006851182074830042,0.0012347471000693222,0.0005769017005938792,0.00012166772242316881,4.194961958936538e-05,2.257675473416043e-05,4.718629550648501e-06,1.7999639898569342e-06,2.859989803205565e-06,6.403235635055182e-07,1.1766053165107593e-06,7.585244632402066e-08,1.9241787252433085e-07,1.494018730952007e-08,3.2844010022792247e-07,3.0647548276974135e-08,1.7101078943815295e-05,5.910405099895932e-06,3.412435522043289e-06,5.428269120866247e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038139511888701,0.11622957869211392,3.1143680299388383,0.48922606763997833,0.02546278434052751,0.3435477592409849,0.22801042989437378,0.008005344921482305,0.039334598595047954,0.0037362659415245414,0.07131334830039884,0.002895163896145858,0.025527219365483106,0.0003588653739008407,0.014754534198747643,0.0033110029134881813,0.011109994501265402,0.008130513880180268,0.0009091985611195674,0.00023814638239039176,0.00044828887690315233,2.1077846861228267e-05,5.993440450380305e-06,7.5660105905484e-05,1.2041563142634049e-05,2.292431248390736e-05,1.2097558244050788e-07,4.525327478105412e-06,3.8353645415156734e-07,6.426961806388354e-06,3.636027853248791e-07,0.00019015331510080502,0.0002052738256838882,5.409842312215085e-05,2.503098127537573e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0471021093034096,0.3972771947074787,3.300150538978686,0.11024096872175326,0.4595577784854691,0.1111216391606551,0.0008347415645013623,0.0743123316195822,0.0006832397963227876,0.030744740517617747,0.00094264071388106,0.07916674759294146,0.0009001787874074463,0.003308968362634973,0.001498238870587601,0.0024355328141105748,0.0047099201618826525,0.0006668891209491434,7.787309439022394e-05,0.00018809455178735168,1.1471726230727342e-05,1.1359539822120013e-06,3.079830194344102e-05,6.687959521467501e-06,1.7859560722366385e-05,3.7267266828067136e-08,3.015270703066175e-06,1.4278886695251458e-07,4.597896163166526e-06,1.5008893705648063e-07,0.00026850022058000356,0.00016888152563272751,2.9267028639409776e-05,2.5968049621072353e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030957213269971584,0.0981541097624854,0.004843558907967838,0.02758139321904851,0.002982671199192488,6.373241427670706e-05,0.002722561946805424,4.541976856109464e-05,0.0009734333087927372,0.00011483325653727228,0.000932208519340616,0.00010907358845058113,9.445765209159518e-05,3.8600587412229714e-05,1.8832907892285533e-05,3.615668756662416e-05,2.015428680612885e-06,2.824211509100394e-08,1.0554915399474396e-06,3.585758134860839e-07,1.616569389462086e-08,1.4811415915971793e-07,4.0847858651105184e-08,3.000824588816897e-08,9.838947434559486e-10,9.97664550972388e-09,7.397200629810641e-10,7.135546598036058e-09,4.6218762150829207e-10,1.7202907873770101e-06,2.9262651359829306e-06,3.7572811317776456e-07,3.927746794474274e-08
