,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34N,35C,36H,37C,38H,39N,40H,41C,42O,43O,44H
1N,0.0,1.0205868935626898,1.022296123568581,1.464961641383543,2.087652559091156,2.452190033460669,2.5839797807587774,2.677709186255441,3.824875660136014,4.708739917641218,4.810156630944883,4.82835340090024,5.9218089868470996,6.772461353167924,6.008223458066441,5.185448109556567,4.639598489310525,7.2310878406640136,8.13951516996044,6.536523883741315,7.055735551189519,7.436501114970264,8.476382318064173,2.4882788742904824,2.845108903645435,3.6262823369654233,3.9074552957595867,4.896640908762081,5.036689859165231,5.438328828651376,4.864869604795993,5.604350833716455,6.837189387941989,7.938938263232216,7.426531571259957,7.180185814539584,8.976763854239122,10.00465882421639,8.763865539172363,9.545315047098834,6.0013024866294735,6.155135772395184,7.078149625661144,7.784097168731574
2H,0.0,0.0,1.61878546621286,2.039930971520383,2.325186659530665,3.3409170518272493,3.4887685925838925,3.6420153750894175,4.589743645402304,5.380830402240439,5.421754931940004,5.554000943998663,6.564502789892449,7.37010688518866,6.6786651779899655,5.889015383899697,5.344115842022706,7.873526665795135,8.756810713702505,7.190906530786745,7.679195328925523,8.076569717582728,9.094089161693251,2.743849014011942,3.096184934443607,3.70565594131667,3.9983744962496917,4.921271085061393,5.190864190260951,5.177308579104825,4.523294106186074,5.226085488215293,6.587806035607943,7.677733135792647,7.205108686086071,6.985211229619719,8.728142484003467,9.751876931777334,8.537609148149961,9.330616470029174,6.092198616874773,6.232057166751346,7.219754556752221,7.936858336764534
3H,0.0,0.0,0.0,2.0133174418647304,2.906926545035974,2.745919853991226,3.0448105568888355,2.5523605481593683,4.141469930626082,5.222936597187584,5.4769252142219775,4.929957676612994,6.35180443999169,7.2691034485328165,6.235745838418421,5.0169622558481075,4.289669805747924,7.364912973755858,8.343120918278956,6.3381424261330555,6.718814427590075,7.386847054997938,8.390401688656622,2.542663647755748,2.430063986007148,3.853297262832836,4.350158337277592,4.9327702560972,4.8631908087219236,5.454796943691542,4.773890904810843,5.802741000956133,6.744151200851248,7.946138826583461,7.152811774778539,6.771623590021508,8.87921156399772,9.935275564294743,8.516588432624463,9.224582253037653,6.164828991338029,6.504332656447438,7.1097929827613715,7.891859410781615
4C,0.0,0.0,0.0,0.0,1.0975167625292146,1.5529677349091202,2.1358195250492895,2.1571803342229323,2.581073072024432,3.4737873263987513,3.7452649852019557,3.5420748138730533,4.585110834814608,5.445666137949347,4.642469733946761,4.0552014593976216,3.7315201794977533,5.859672807868653,6.740522843046351,5.376381253717765,6.014945429322154,6.145168843501914,7.191957971489916,1.5395661149622661,2.4162913183440686,2.463614232940504,2.6053516872610762,3.834444746405447,4.059179164641917,4.673219215382877,4.366837849458404,4.830837245707768,6.088322394414773,7.070486079587733,6.823157016767336,6.735515091229043,8.16236128600331,9.14701691678144,8.089507215921664,8.926894496863078,4.737713847782399,4.815248603762925,5.840436314858072,6.476499713789385
5H,0.0,0.0,0.0,0.0,0.0,2.1632707892186116,2.470133946165866,3.0546997069525816,2.806792517466318,3.2775545720038277,3.322818929437076,3.895715471595431,4.409882827328764,5.136396877135232,4.729365395586607,4.658124500703676,4.537408741461528,5.989700025431429,6.749560279857141,5.906717415200251,6.646878249442,6.473696230432243,7.516757717543295,2.171489235860885,3.2690885572688493,2.553206386971958,2.3027187541687657,4.007410298783532,4.491260348301371,4.763489019947402,4.5967395887974565,4.674230756267047,6.2354867184055065,7.067446093236848,7.144976230196593,7.200744323160097,8.25294335304303,9.185978365460386,8.348708319482471,9.248061699798374,4.695250929928643,4.512551861441037,5.926867178454845,6.451330665819794
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0955432796759024,1.0981651837985649,1.5037642798001751,2.5700248633319873,2.97859485577279,2.645315600298816,3.7180827883774725,4.636385639568408,3.7773787136327033,3.3410849357932366,3.1631560935036696,5.060472111648343,5.94958298729188,4.710539399763398,5.4463489418293465,5.416768612472089,6.49652381544411,2.5352726792443576,3.188614459563856,3.350083926556564,3.364604568644667,4.574252998062019,4.589368279564159,5.729566518250651,5.548846488934182,5.995014048592688,7.036416505155475,7.969475513032072,7.710467280038913,7.599522931674438,9.012150970658944,9.965597910596117,8.928009543922789,9.72832007006701,5.215091965591894,5.256211088780322,6.161512043363874,6.713905192232572
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586533084948914,2.151650554143501,2.767960145179,2.8028362606378625,3.4755094829452933,4.074370773409684,4.8794345366174925,4.4199117406270325,4.3046835044044816,4.160545809884188,5.7663589358211915,6.5685254847324765,5.649609469866789,6.416410163205559,6.261544890955713,7.344736599324909,3.454445664799816,4.110391331215151,4.268603697871085,4.1547438726551595,5.576976343895535,5.659301389630405,6.6605396860760635,6.438509757881576,6.829092211137025,8.020395750883075,8.93968198705272,8.725639205120325,8.605402157752618,10.01957233637335,10.970506746221298,9.95896092996962,10.770684706049002,6.178990834353293,6.090998621018282,7.178310495900786,7.682766715653743
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1438206454749316,3.390868277424519,3.9229249760077085,2.8263828024669557,4.364035216382004,5.3329018112800535,4.139174595751377,3.0903502098982787,2.634381092961373,5.274629305666782,6.250829201640185,4.463314820710615,5.039149518174542,5.38215777814255,6.423196096393833,2.753244758238283,2.9679735448158135,3.7848581462162527,4.045533865227521,4.814315777129215,4.581304204262662,5.963403425749436,5.679993416887296,6.403392761387162,7.165096378180469,8.20077294643425,7.655191483572596,7.408238715174022,9.136022513194147,10.118382482552773,8.896902156017987,9.619152441573553,5.5926528896767715,5.842128734303027,6.378881524247293,7.013277540174757
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3747248230493887,2.2253232712656263,1.4457290747276346,2.2616731598353046,3.227372030302053,2.311452301088848,2.6253168737469927,2.961587047749049,3.6528775705768326,4.481478016707393,3.8222641441401266,4.747946939119538,4.219450796117894,5.304793685816967,3.079852050564903,3.875064160091541,3.343276217627153,3.1062871805739847,4.368534439701082,4.42628680113645,5.753988378888401,5.853598791392963,5.991019325002166,6.949703944461426,7.688134951365849,7.7216118719067754,7.767320178122823,8.734017819062798,9.59875483264904,8.801593521073872,9.624191025291966,4.571892746281653,4.466981272541003,5.423820490587113,5.811532024356257
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823779698035845,2.254446969895396,1.3829292564955715,2.1303587255043555,2.2519353237191306,3.648295160621238,4.21040538447842,3.625774595100271,4.166776161042734,4.594818160833513,5.628162956682191,4.586011666170422,5.614676849391697,4.128902446376242,5.089779883133756,4.094799457395576,3.5299612750966336,5.122293864070515,5.375513616335342,6.480733148132424,6.719288018461856,6.528573227283423,7.682448010071116,8.239682569219825,8.600208278587155,8.775519626904206,9.352317109257164,10.1371354131808,9.595257705937877,10.465497437427388,4.997385154257369,4.560435689599892,5.893438289065502,6.078868012739987
