,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19O,20H,21C,22O,23O,24H
1N,0.0,1.0203560872453319,1.0217679304365934,1.4616109758256863,2.0814007517089785,2.450473793814866,2.725964806843454,3.412287324221845,2.663772225419735,2.494508206394727,2.8336455606353423,3.6695088109657457,3.9115879366075776,4.912140515184717,4.8625885194631895,5.746793795275798,6.723713385303762,5.420439167045359,6.0909828793032545,6.608166105738035,5.9218521065634375,6.832379404682282,6.006254520312566,6.804982392277358
2H,0.0,0.0,1.6182302623621212,2.0396684019302294,2.327828723848184,3.338599167471186,3.681243451102715,4.193407615083749,3.5741910600364344,2.741386521108015,3.0308622670166687,3.789156707516186,4.002034529336386,4.91917759013045,4.826144225354091,5.53008311425934,6.495464721682441,5.022723677763444,5.927181264371752,6.568999065650719,6.124270196887474,7.0253375162769265,6.354169247123596,7.216304751278437
3H,0.0,0.0,0.0,2.014749352272251,2.907410021194519,2.7310789133928464,2.5880611387706693,3.71858275611956,3.1016341594725474,2.568610449120508,2.455096161485235,3.9080992777162016,4.375861716769893,4.983184195513155,4.732325218336353,5.980105132037939,6.866246692745343,5.687725941202291,6.516187494025947,6.984769674749346,5.938609585966446,6.96173499843676,5.822301964691717,6.636135056540432
4C,0.0,0.0,0.0,0.0,1.0986517045465007,1.5380566636465385,2.1725772717992435,2.192335462072702,2.163767957481955,1.5429634070729792,2.422026534517763,2.4665378478052187,2.6130726977149936,3.8484947777410325,4.045236501751014,4.7540347436115,5.763338867352109,4.650844367600049,4.94589165800754,5.3479615776330975,4.6976819462047255,5.513505923801692,4.8819651332895875,5.620127827321165
5H,0.0,0.0,0.0,0.0,0.0,2.1587438746495624,3.0696943734620596,2.51160384058214,2.4922843879404035,2.170625477433828,3.2521131802302614,2.5732244386371357,2.2986029352400736,4.000934005322904,4.415747823884383,4.596995913894213,5.6757219798394,4.445506458192249,4.518238900591476,4.991901879134986,4.898206832126196,5.528913823822603,5.343261523307491,6.043751588566323
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0963607929281285,1.0959039290546342,1.0938891719390016,2.507847766370562,3.2210623663348077,3.242910551782043,3.3450094484444266,4.566713526352098,4.832797701940327,5.678706790935169,6.633415638662664,5.812304746901943,5.7404796880749,5.914363269117158,4.967348384165627,5.69968355654795,4.893432826236285,5.434730358101997
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7745230649325834,1.7772555474633114,2.7435092371824092,3.0438926051707744,3.676146939065817,4.031128861044506,4.8163640689857266,4.878254817656572,6.105487688303897,6.968939975273029,6.266077791960375,6.365331603708061,6.490976259943006,5.1203825567835946,5.978406798070591,4.762917735907676,5.291942016768369
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.785246789674719,2.7629109467484008,3.617209747337593,3.039674592644288,3.0018248727294714,4.277056863925901,4.7338443180936,5.3768188884234975,6.2939385233208744,5.697672089442275,5.275382978086808,5.294406918797651,4.398213182001524,4.967329203050689,4.381603655580702,4.787124269318152
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4613438827872383,4.176829842118776,4.187102164740302,4.126489754913411,5.570600101998857,5.8713743274855705,6.575821896003665,7.574883768791081,6.643554612283071,6.511403542936307,6.717249116195297,5.992190235972301,6.646103443952125,5.958174369155583,6.454420531977653
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2258576382086266,1.3707374080092443,2.077663907641048,2.4807987056131213,2.51997054714213,3.5853976294225047,4.484999173096923,3.5771732167633097,4.115778589330796,4.482038533807891,3.450851522365099,4.4312704042647395,3.6279079771036544,4.483948078221144
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2809940069116785,3.1773947348123013,2.830196506823848,2.363543008486362,4.0454713064226215,4.752165283810243,3.977658664275846,4.889137164862732,5.236761170343725,3.7706570437948437,4.914056593029747,3.6345959337687566,4.550897721019118
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133138125197925,1.455385444954574,2.059534424157956,2.448162228253634,3.3985516965166385,2.7176260692201,2.81499312356252,3.1143524362472577,2.4308031302049753,3.237271917986984,3.0525557892949613,3.8507192032991844
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098071926558915,2.9325788249717397,2.5759451552935393,3.618880249132198,2.846447458609645,2.407714525729053,2.748077718262194,2.8764133449691682,3.3420775759947996,3.7126348938072864,4.37264169594794
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940850210483688,1.5368225868419587,2.171945757915694,2.156739830915201,2.437831321142681,2.5975976356288943,1.5312504854943951,2.438774531768363,2.395257825255683,3.22905997793233
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1954859386476677,2.5587841452180244,2.487918869971765,3.3881799737022678,3.613486753361074,2.154525244302031,3.237881834736382,2.5095922909592705,3.4517914042305313
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1004867674505052,1.094162856757344,1.418449363260254,1.9208468877224782,2.5122228080935023,2.82498960723697,3.6817951740397565,4.364422924516336
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7779180123979543,2.09388540412536,2.2942254760777403,2.733904798232042,2.885881432127984,3.8364759319281307,4.4184453815380555
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0269107083036046,2.8136819797000365,3.4561783981076073,3.9000285459467228,4.496746839929147,5.277114110505625
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756594518987406,2.9818236342244244,2.812566998371168,4.295252395781794,4.7963369579549315
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.590759858441325,2.069787905616689,3.922071130120199,4.247008179017114
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.219517291861327,1.3420294272688413,1.8752999629578864
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2486535200657993,2.2859839758945824
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977516492260394
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
