 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.8129751949491455,1.9888980185054352,2.9659758781958447,0.08766309917112358,0.19762474160438334,0.02229333982479753,0.005448714046649816,0.03246445982634817,0.0008968331299747945,0.0008826746517087702,0.007343807467265449,0.00037119647259348243,6.1989108536275594e-06,7.647871884541857e-05,0.0001500732585194564,0.22696509245410007,0.05176939519676026,0.03443516200434897,0.0024701517524692296,0.006351101390930716,0.00027496380453573277,0.0012202377638444867,4.4513902658138704e-05,0.0003565954008433597,1.3978810336934266e-05,8.925219372013515e-05,5.31610232346047e-06,0.00010323900588828094,3.4957607951691116e-06,1.3714951145882281e-06,2.0851464642479556e-05,0.0009859288167709257,0.00015490872482754048,7.108820409917893e-05,5.367965916769357e-06
H2,0.0,0.0,0.026993581726868054,0.10705045629975862,0.006710316443012898,0.03274268482693765,0.0013325380716595614,0.00042043257584456484,0.004529479624744814,8.559416517583962e-05,1.4301297816432523e-05,0.001922342661008658,5.827612153808115e-05,7.181938053157921e-07,1.2836333993071491e-05,3.6701332571054124e-05,0.008439195641328778,0.002409980368458964,0.0006034799549928804,3.615176850058077e-05,0.00016122537977458773,2.9579494729148337e-06,1.2629023629084912e-05,7.275134350503976e-07,5.243544116684262e-06,1.617361133909867e-07,1.2431328653139673e-06,1.265147244744469e-07,1.7931114159042139e-06,4.1017349006189363e-07,2.896918593897624e-08,7.57543757279322e-07,4.6035911356767656e-05,2.7514046329613073e-05,6.740347388012324e-06,2.0584892559405432e-06
H3,0.0,0.0,0.0,0.10673709267630205,0.036597527584350864,0.008842360019702844,0.0002825370718220199,0.004163838721688684,0.0010914303193462205,5.311133670815593e-05,0.0003924308220801809,0.00024369844242821959,4.088183901385101e-05,1.2852383683981117e-06,1.1742315798368708e-05,1.5841911048752877e-05,0.018451689518728887,0.043752192066633167,0.003257098186909335,0.0007213103920180597,0.0004074993626544954,2.8055009669181175e-05,6.98267060529334e-05,8.389367818883997e-06,8.82175839489463e-06,6.454245000675485e-07,1.8827240213514784e-06,3.3331382875978477e-07,1.1107222834150221e-05,2.012378436555551e-06,1.2294463713757864e-07,4.32462841937209e-06,6.269067369835124e-05,2.0134477851319055e-05,1.1697745184946484e-05,7.059482973748032e-07
C4,0.0,0.0,0.0,0.0,2.0182033982161043,2.6048549565616383,0.0962696532173195,0.08141847039221428,0.1576784066267613,0.007176182624266003,0.006907465666264878,0.04595054886464699,0.0020118552026304193,4.64527013199767e-05,0.000393890597429003,0.0009753151340901045,2.504699024957897,0.2763616435980047,0.22689262338115881,0.016467798959111657,0.03588491039012895,0.0026238721067569637,0.004102752249064728,0.0001388718081030138,0.00149223751191227,2.5809963355882815e-05,0.0002267932520958471,4.0587998692442895e-05,0.0002917600437081086,1.1079565673144387e-05,4.4894389319427574e-06,7.748716373701114e-05,0.00460600263219807,0.0012726378518890802,0.0007772851212522053,9.044829250659525e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07591138631638494,0.0032144563751694832,0.03436420149007602,0.010768650928563828,0.0001811175671233567,0.004239675972964818,0.001493236025819633,0.000565508108071322,8.816502399033865e-06,0.00011158165371227824,0.0002145664750448084,0.0936530580804773,0.022668274641151287,0.011967952811684723,0.009658370165687602,0.0018157655871742229,0.00011561487023215022,7.346100695238e-05,2.647740248162833e-06,2.3880690297017892e-05,9.501083102492203e-07,5.27308304421048e-06,4.684667471721582e-07,1.7974842360768406e-05,2.563058687510278e-06,9.978231951812688e-08,1.7394769268541665e-05,0.00035627003643701194,3.063911887679627e-05,7.904355029730858e-05,2.5119102957882333e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7208715084595871,2.088570280075399,2.72159037762266,0.08353814528865289,0.08192355655428907,0.19557733466262012,0.013476290577239758,0.0008175890987961454,0.0015391764590985124,0.004789531689933568,0.19046102967774517,0.040190618803953776,0.028496701046592618,0.0012747941064915613,0.003498891717929456,0.0004117315771294816,0.00033423480831121233,1.3776121680519893e-05,0.00010702834030815178,1.807940254838769e-06,1.54409272803413e-05,5.08013140732011e-06,7.078036926627673e-05,3.2084404859578086e-06,1.6301927245887526e-06,2.9836634439339704e-05,0.0014545127974358585,0.0013426380328105947,0.00027151345677554894,5.2287124662764306e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02452671245220972,0.08551872133042204,0.03213456854473096,0.006524380990362566,0.012639169266877914,0.0005840069958027438,0.0002328694197240022,6.151992539704665e-05,0.00017005137844705587,0.029678753693471505,0.005838638953014952,0.0034828113437901376,0.00011060444875243824,0.0006950202439377495,4.4356347538521135e-05,7.617455082709057e-05,4.052725870229423e-06,3.376161354440299e-05,1.6774113675843694e-07,4.554992201644126e-06,1.6471925945449328e-06,6.0649566884229955e-06,6.010082365115466e-08,2.0953904056320027e-07,1.182812543909506e-06,0.00021008903317443206,0.00033137757991730243,3.277821578051565e-05,4.893332680389051e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07885485381518986,0.003778976082686958,0.03251353484319197,0.011678679705800388,0.005964419472740179,2.907091341941559e-05,0.00063280388830389,0.006831368763820622,0.014807057127488088,0.01059893152907665,0.0020961120725175864,0.00037669958053410113,0.00014492313745617658,1.394904095142202e-05,3.4576081709758455e-05,2.7675644485025686e-06,8.754104815489328e-06,3.3977828395315157e-07,1.1229044480920436e-06,1.3737461390661565e-07,5.534380291494223e-06,2.737979598599338e-07,2.57564514161146e-08,1.7559745693063178e-06,3.885015077043086e-05,6.171665649301605e-05,6.996350604082657e-06,1.6228967283371531e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7360030036477,2.1246986153961593,2.709953746410134,0.1164221520889848,0.011608098827730506,0.026854791753831764,0.005221115896775652,0.014493153637491735,0.003181723613374182,0.011067747386539858,0.005380151724352578,0.00103208975559127,0.00033614132008596975,0.0001354630366818821,2.141205852224104e-05,1.9700920485504758e-05,2.9533777772261516e-06,1.5389663230447326e-06,4.039372633934946e-06,4.770876075296804e-05,6.909077105987649e-07,1.5657760972231927e-06,1.2077558468881477e-05,0.0036159916627948874,0.016139092929664714,0.0014582433334141415,0.00015470237594206182
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026110743402125935,0.08755285132813706,0.012808216189801325,0.00546793591650796,0.0007055044603865301,0.0005489003949037397,0.006957255865779111,0.00036815030775227964,0.011752359189969197,0.004500781642555296,0.0010924880024651973,0.00042225961522524,0.00012790551135166695,4.240984784265045e-05,1.4094287262844674e-05,2.625475682860312e-06,2.87640902429942e-07,2.9216266776987965e-06,4.287121520729631e-05,3.618904719004945e-06,1.507987409610223e-06,8.646078619056752e-06,0.007667357334836922,0.04818107585220743,0.0027711614226147985,9.649405276079825e-05
