,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0206394198942539,1.0217722170057484,1.4657256061670267,2.083371880796661,2.4523918603673316,2.552553603687945,2.7497771117203706,3.831881637228071,4.2128640895902025,4.118239921290822,5.283545281284786,5.703762212109788,5.843650258770011,6.733130340146253,5.215150914921228,2.483875047854416,2.8639986789011256,3.616313813749877,3.894779276528217,4.873246598516523,4.926256274204741,6.029302570524617,6.191530766244565,7.379257582503455,7.512508289230263,8.182221212263176,7.713184080992729,6.056679868138237,7.02010890610401,6.215988999746667,5.300539652077524,5.47289617542216,5.583637012257933,6.33106734219358,6.851237988887466
2H,0.0,0.0,1.6205107166607584,2.043303397236563,2.3410157581406357,3.344601776076888,3.494404481838387,3.686065618472832,4.5919060061765204,4.8487052164663735,4.765354868231441,6.169799932963721,6.591560295556323,6.629800123817317,7.64498418194489,6.133287076342561,2.714603657811125,3.089983413853167,3.652476107276784,3.9738673965481626,4.856784354762921,4.777440149811422,5.895564655489841,6.167909751094716,7.250836138200882,7.307756658081293,7.998276372000383,7.719604901670575,5.681427347748159,6.628339790048734,5.732538471124275,4.880611539011476,5.704167747841656,5.992225765928283,6.513701100932243,7.148890563981571
3H,0.0,0.0,0.0,2.018476912807266,2.912053958747246,2.713023332807796,2.928311976673687,2.5853594442241983,4.169879579512897,4.464057031147749,4.679289852480191,5.45694749164452,5.562282940965494,5.704426463503418,6.567094511475169,4.913954410565204,2.569361462054006,2.485768085929471,3.8801812307247485,4.360899705888571,4.941143102259227,4.852866445616878,6.261146289217068,6.527040639972841,7.487072909707975,7.516089068223994,8.375697046619802,7.754333957560774,6.414126209914179,7.44117844447758,6.461526789731101,5.786622438474797,5.374585546961291,5.544604117186738,6.0584820646584046,6.527853287464717
4C,0.0,0.0,0.0,0.0,1.0992302367794435,1.5467037339319187,2.1449361239277205,2.1540034613552277,2.582389475071131,2.819702471185436,2.882324284505803,4.2483620154676585,4.73837054364454,4.733848096568679,5.808844946299,4.477073467657121,1.5399052814220013,2.4177718982352707,2.4828892481785485,2.6032630913968533,3.8372815416310937,4.169166496262314,4.933548259088498,4.937535753304043,6.315167576422606,6.6083318371742,7.099837952562241,6.565726433677418,5.17631928803538,6.104059175153107,5.535999851871423,4.476698734047642,4.347833914091069,4.313542884931578,5.387514553051982,5.874008192997017
5H,0.0,0.0,0.0,0.0,0.0,2.170414070671844,2.542979546926922,3.0586543996383284,2.7538479970667544,3.017352523007739,2.620064499961311,4.519546892389882,5.32332691166654,5.286535593379986,6.369453994188509,5.2411787369189735,2.1754246014669736,3.276982846425766,2.565911357241601,2.310227540592338,4.021021407525823,4.479817933276996,4.80905983402649,4.680780937622086,6.294789124700731,6.694601386007818,6.94336738917348,6.638308182898802,4.857047466301453,5.666184591763528,5.348991676586561,4.012439816441876,4.738496382370195,4.676916813734572,5.8968810893206225,6.438276310412152
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947619558679802,1.0974624769269956,1.53339811978497,2.1916183726366927,2.1713727091151442,2.838429640894967,3.4327584174772854,3.683179257229475,4.448585251938805,3.1989012588394896,2.522896760473833,3.1475580507573806,3.398260327865894,3.3745406313959885,4.5901333081455284,5.084069491338852,5.7232550130226745,5.5344060651085325,7.003684155322912,7.402743074033334,7.82032985645112,7.028687877417978,6.267626199145216,7.147546469617575,6.7380303012727545,5.665663548756513,4.61420410097606,4.195566311779883,5.668607384636564,5.9125281396737295
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638926270782285,2.1681113657985525,3.0887844506463162,2.47604395451894,3.067852446838549,3.965285597296527,4.443057610949113,4.8564405633878875,3.6907334529524602,3.4462661720417764,4.044650047548472,4.346358284899569,4.232075260765073,5.61850930640394,6.083431500288331,6.696568644644578,6.4698905957582,8.029150987278108,8.436470843582246,8.809401004515257,8.087179426602953,7.119100813767968,7.967842259457017,7.595182481711471,6.414251824071854,5.706884584591692,5.261145171429754,6.757995658685264,6.9901087068751675
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171999159742854,2.5827353069869363,3.077873303492763,3.0034290107642208,3.0082807739311748,3.3057528309224886,4.012455356340288,2.471589627416886,2.6707898231749967,2.8517797163504683,3.7392654140277193,3.960896000373782,4.706507252048043,5.0696929533440835,6.019403526903485,5.947405589329726,7.156636639951273,7.4527528562332765,8.067870621476747,7.090026509966414,6.696475948572359,7.643470152803456,7.0555052647188985,6.2168196822945605,4.491279789425485,4.102418307253886,5.351832522250446,5.496735497337382
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951871240944773,1.0973213846071501,1.8374303060216204,2.8086687653697715,2.9114143259036833,3.767001959799792,3.094489022021448,3.143899362328074,3.9383005676819858,3.4637499601439923,3.128622571873622,4.492682675139449,5.260372913774607,5.368865389385511,4.914011771951947,6.582351163588619,7.177067714065528,7.308259185735969,6.471454381687297,6.117515633026148,6.856276813246842,6.785681616359729,5.615310006116932,4.298922814782844,3.5594530278102194,5.491830228048486,5.622179383712946
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7709813827027554,2.402190832545245,2.825540439032918,2.5037701184418135,3.814583228369568,3.216261833778783,2.81372197118343,3.5788371964183243,2.8296115518049483,2.54486775779776,3.6180322723816802,4.47087286142609,4.458795628448814,3.9987079465875754,5.57712520339288,6.198093464058275,6.321838543968033,5.404293749437877,5.381143685420153,6.111735446579219,6.062551638619627,5.037806058534519,3.2906451232801093,2.498995088683646,4.517539996712614,4.649950493799569
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370429716876503,3.7366133978194878,3.835729465603194,4.587041682141405,4.126577795470358,3.6495009351459693,4.641294533589768,3.73983144474866,3.1344879091067783,4.878520567569549,5.714806314148225,5.503231401475998,4.917656417063219,6.810144337459775,7.49271460256635,7.40700582622075,6.791432826853876,6.079984156621451,6.703027792277698,6.851024801103364,5.467459666844166,4.913826169644984,4.211243056184374,6.19548646722574,6.401068584787161
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8304723522759139,2.439594850019318,2.3886353659637685,2.4574864472457767,4.78141372759404,5.327914359992834,5.154548486708721,4.85614500915164,5.967189688343041,6.746841835476406,6.834054210394963,6.290112070774184,7.861357277322108,8.49627332606152,8.588856631987724,7.538130329277816,7.765451245004762,8.45499363949465,8.456093647878065,7.3563793492309255,5.3880695004376635,4.391178465193781,6.426270281211069,6.284871842032225
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943212691557849,1.0937464156138101,1.0941962892306274,4.798853238428607,4.950912500980404,5.264144670085598,5.271174665188911,5.726059506988954,6.371232154028897,6.781981366768352,6.414591054992576,7.554412801983245,8.055196412815379,8.407657376373932,7.069265617574688,7.9259526488425065,8.700110181545643,8.474993922273994,7.717733953364241,4.771083705425906,3.783835407652513,5.505795006629218,5.1583850703900485
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784216778374188,1.7890749069980172,4.474080038129141,4.612705280036575,4.724342291999215,4.771534133523857,4.960939470164381,5.644413833215006,5.9490176189246355,5.593152608533799,6.597582485046783,7.111696983298199,7.44889910779117,6.047000253513732,7.199329904711136,7.943351478137686,7.748033914068489,7.114991969006779,3.8606756762341368,2.8150344089251167,4.564895869492143,4.1757498980424845
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7772903513267702,5.8882589113554955,5.996653523812459,6.318944122721974,6.296359825663616,6.702408561397834,7.356860721204583,7.69876842931569,7.283067561523845,8.370562654844086,8.893045456937017,9.197884059894402,7.790827762318745,8.904153245456067,9.638498126741228,9.472858529083092,8.735046802438957,5.636753340495999,4.596135804158286,6.267570208035416,5.789821357221415
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.552828348724302,4.4969333856914675,5.273349774544238,5.445830557991601,5.777448637557272,6.259833107577744,7.012463737592475,6.799591494687504,7.812734601304711,8.183886955146551,8.742276648658361,7.394818788751868,8.081871335683037,8.948703890895821,8.512771368000154,7.842460205810728,4.890354997511738,4.104148074954288,5.5061846115420146,5.206029617400662
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275490250242762,1.3715737133353738,2.0498055454029225,2.452122963918037,2.676029142418199,3.7606977037021565,3.9936846744899848,5.008901562000258,5.193142500357449,5.889330109335391,5.2543907377054,4.184282324497815,5.207565970728426,4.423901983574498,3.743272181733306,3.0194066123257315,3.300407891624224,3.9518101164721933,4.542761190179197
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2712421210172193,3.1457208548314757,2.7665670211840903,2.5970412906587423,4.267743638096155,4.702906456525543,5.258272390501087,5.225902297564827,6.245689253627638,5.431693558617229,4.777717365756799,5.854919306433887,4.781926326091238,4.521332550135411,3.0560956134429533,3.526217951138972,3.599816638709889,4.157364714663715
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122267598132317,1.4556808998437234,2.0749034310620704,2.467371947035366,2.653097887250417,3.838005814819533,4.181496097600366,4.629600591632184,4.1753939488448255,2.9592532450210407,3.931162749628739,3.401075280242682,2.6162701294475728,2.443641503131494,2.8427315366124226,3.552594702912348,4.251581273091367
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1183819538007946,2.9416079973342177,2.5969757772274713,2.384415331932572,4.072835389814604,4.62758210003819,4.697364497917614,4.398693408324048,3.0131967541739146,3.801260241244753,3.7220151925816687,2.509682658172242,2.9710368396621902,3.062456882574313,4.222771436185394,4.838636627203674
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938002180116373,1.5527564173292723,2.146649949698346,2.568303652863578,2.8185383007387204,3.511614527209433,2.870211066382256,2.5395144841184334,3.4946613898254997,2.8273640793310713,2.7759828884426203,1.5337728696630868,2.4392213867099293,2.393282365392013,3.2272691456822304
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180595109508438,3.05824670247772,2.85992069669695,2.674990546346756,3.83209454001237,3.2910138665316215,2.760149404184254,3.784052632839754,2.603102569691132,3.0652567887504527,2.1357381113431297,3.2398803515121606,2.439085159011989,3.386915139584647
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101346128995213,1.5368979115930892,2.1863652173493797,2.168203150653467,2.2014766129858283,1.5374457435571196,2.1751071766673427,2.180903945314931,2.199700065287299,2.5519507781845054,3.261223131696982,3.269209772577958,4.05179692186516
