,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19C,20H,21H,22N,23H,24C,25N,26H,27H,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0191335530437162,1.0188550858919092,1.4505066390755899,2.0890741129693264,2.088719596790778,2.5196068074616935,2.829167434537515,3.7378969054796305,3.993130391421555,4.958969782795667,4.917130917200426,5.869401733686866,6.189853565724034,6.818820716013467,5.579396771306089,5.495108364933007,4.779349873970597,6.909880719617513,7.225819450157545,7.730767228130768,7.051046734190406,6.3241712132609,8.246880290152,9.281122372069987,9.264623512498158,10.20006307045875,8.596309414260315,8.038329533354702,9.554457614950492,5.945415812904543,5.9724129073983185,7.087032988764807,7.72962777927529
2H,0.0,0.0,1.618622584321779,2.0238413886432185,2.460423784972398,2.92619475935658,2.628080526411296,2.5395177944613585,3.961868735358658,4.426693281942092,5.050110215114488,4.9295270412896635,5.756765154212594,6.145430570311453,6.69866617074988,5.207643806869831,5.049973432503072,4.375005646067482,6.442851162133594,6.8257619232932685,7.289620545807043,6.39879145205782,5.59617050423356,7.541154266383683,8.647835889641803,8.724311520163111,9.534030973111514,7.781762875137334,7.1650554470963215,8.726316890203337,6.230573627339524,6.430456107474114,7.293521612905608,8.027012024094992
3H,0.0,0.0,0.0,2.0319716644214756,2.933871317059275,2.348824981546152,2.794733685653754,2.953151812153164,3.9920398047879795,4.259045226675782,5.065150580216567,4.843206074651811,6.1402510362617955,6.585867616059085,6.995415531321229,5.93035894763806,5.692346546052519,5.267983800514193,7.337203754053514,7.757941194038217,8.062199065620435,7.513209137194329,6.767578011926715,8.741672265076886,9.791329875118402,9.7664606324954,10.723957384763999,9.092667024156114,8.506653907322576,10.068600210336953,5.96088642155829,6.011979757455536,7.020878014820339,7.635367169144991
4C,0.0,0.0,0.0,0.0,1.1002601349843093,1.0974437049989736,1.5390732712884232,2.427797556957493,2.4636876101690275,2.5938668054927456,3.827745914382212,4.0356655431288475,4.764306350199659,4.953100598487692,5.7494218183282495,4.738159527824651,4.860472235694205,3.9728053820812117,6.1049434006986285,6.300815443607471,6.908021958182163,6.508462878564257,5.9475534828927445,7.756594481996752,8.644102238872852,8.487723827780718,9.601429294154679,8.314344396676622,7.911088736868669,9.284927384412994,4.717737721507669,4.666093315197488,5.943975319243946,6.549577748502936
5H,0.0,0.0,0.0,0.0,0.0,1.7534654900728235,2.1437842288149507,3.0405452135399984,2.7831488402715916,2.805550572184985,4.198509184353754,4.618078231638537,4.866328773222683,4.840658745703652,5.926852145040407,4.778848428375689,5.109461625930012,3.8757666119862946,5.985329107483925,6.008948831903172,6.885968070562207,6.360076647144329,5.860242290380137,7.536393482532025,8.371931819795973,8.213578809378038,9.30040968990711,8.096058807416641,7.746477126078713,9.026298707867182,5.095631487130465,4.979663249473152,6.3653429200284,6.962716896643212
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.171256781197557,3.208535461569295,2.6604712104172155,2.4090527114991485,4.014377993451503,4.280125455483725,5.1603405848897586,5.284682880786276,6.082798741376901,5.422891579844226,5.571582051082338,4.768511478141248,6.831695432137587,6.980307224194981,7.56381551944403,7.389437070304614,6.895555195979824,8.661268785424104,9.474814984877582,9.234763197267494,10.4497724622073,9.297122976853368,8.934995272231918,10.271842896569096,4.561352613040689,4.261860409462596,5.8315765773240305,6.29653189785603
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294006697497741,1.3707344302523106,2.064464869530968,2.4656285642814852,2.5760341622554526,3.3876500758921506,3.7934246062854573,4.318882811869112,3.3739067076662304,3.412294978123528,2.8073790267311862,4.837456070526746,5.174728831147884,5.535355675658211,5.363906327099157,4.871222998802585,6.671158491322992,7.518279658328939,7.318007054696392,8.504036272674355,7.341210578222348,7.009315612319142,8.337323265151776,3.6235291010391024,3.923203453384815,4.719417247427671,5.4515978352607695
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2773217343019563,3.1654676603007608,2.8083921945329577,2.508570370525805,3.4849165948936975,4.145928517277559,4.296132760822179,3.0518416620717868,2.7416221698817798,2.5899828827427607,4.482758865611607,5.047846410629901,5.133375512093199,4.777597639374953,4.149987685535253,6.072649996573986,7.042779815720715,6.9636715316349145,8.006530821645038,6.621837767908343,6.198384524860699,7.629783190599921,4.177369519799103,4.74591680710394,5.030956903993547,5.872637852289368
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0159811566464187,1.4538075344892136,2.0838487603776974,2.5197049330777155,2.7593957279919694,3.4289944774655257,3.0908410691452315,3.395102546466655,2.7864651263530997,4.516244524202565,4.70576247262165,5.097262867406308,5.3916788492297005,5.14517101069055,6.695046660721529,7.326610119194571,6.948078049097297,8.331797601896085,7.576308402408302,7.420729655714251,8.549887416168167,2.404433780819037,2.678561013185482,3.6053046518625735,4.282992079204909
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088210512722607,2.8412327840601446,3.173208539534143,3.14210892307816,4.017509079070586,3.9652326368876576,4.368879052966862,3.641056512576377,5.300742832155294,5.339048595262541,5.868364412377442,6.2535208691822115,6.060948972438532,7.527816610376011,8.079301968970098,7.634208635816724,9.07712347362684,8.44599388518989,8.324675677333902,9.401694166883967,2.400361281970499,2.1836274431370493,3.735568448261246,4.213002700171471
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977952115533942,1.5498274757521855,2.1683414193035677,2.157031396325841,2.563126869236148,2.765906052923061,2.816088504645261,3.926309066809659,4.255978812000925,4.222509721853082,5.011960392684039,4.934377456318181,6.293557223688267,6.79102801747904,6.321509368972967,7.796920695611405,7.296787010344994,7.250585052038316,8.251983837542486,1.528536662774473,2.4271053791072243,2.381343907144541,3.2222390042833657
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399207522406,3.062381424365334,2.4916627384822307,2.762278235308129,2.5115536006782317,3.1241261076330464,4.171393706090231,4.743540843824163,4.359704373583808,5.084291956185104,4.886852913947559,6.375704806822958,6.9843563343703075,6.610857803578069,7.979154797535955,7.278216316255533,7.140454367274505,8.251504206307303,2.142435005729699,3.1262263482660475,2.61497775502541,3.50743004883859
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098287173141904,1.0965336995216934,1.5337796422217596,2.163552070574327,2.1650482987638466,2.541801012214887,2.8009285023334676,2.7972471611578267,3.8267116195509367,4.006949210915778,5.017553984078128,5.354719344565156,4.813799954040484,6.3508817750685695,6.148160449484422,6.270761495571867,7.047630232341405,2.5246303984613947,3.468553162141668,2.9144044236137714,3.7900442691889404
