,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24S,25C,26H,27H,28H,29C,30O,31O,32H
1N,0.0,1.023981266072713,1.0228258650160849,1.474516351645797,2.0841280374580125,2.475438396351024,2.490769816701584,2.9109889066859775,3.875079644894099,4.473849461217843,4.630349144592388,2.483401077999905,2.7522282592348417,3.6875164740813884,3.939516272317359,4.910450509108256,5.066137919286355,6.115814030934888,6.228186412998918,7.030427168939517,6.3522583609260055,6.698967555099136,5.587982144375499,7.906617724853851,7.600209239155745,6.649757159065983,7.821802010703525,8.438292130831286,5.403722601884011,5.396364592759172,6.385491742344882,6.843043727437248
2H,0.0,0.0,1.6115391958492074,2.006710531192935,2.4852991887420655,3.30746008502285,3.484268807519709,3.6367867943586085,4.643214490164583,5.0377697419752945,5.509450074348737,2.4097995088264845,2.203745848002188,3.7464097918764647,4.239961057135727,4.754867285029402,4.726933060959146,6.105122231550912,6.3634869155529135,6.922106437162056,6.404029514321819,6.610463381172211,5.744750237490159,8.081990029993547,7.9914025412049945,7.108884663562856,8.213476022661057,8.88367037133395,5.164229907666166,5.275875200065717,5.972547805619262,6.425278412436431
3H,0.0,0.0,0.0,2.025471596641923,2.908315068446554,2.5446489533614027,2.4793948445136484,2.612939422778248,4.094776388811297,4.774675721901122,4.809792282748589,2.8218412278833793,3.050253367847797,3.9352969763642878,4.20024693122181,5.133299747570296,5.434962513755402,6.353181354776056,6.333161373249945,7.240849035004742,6.786984481354164,7.23048344831402,6.0865216395348005,8.302737155812624,7.864421965136341,6.936115987114011,7.952430747596564,8.72764033723178,5.372023395315461,5.141412989193123,6.4086729305779615,6.73530140169676
4C,0.0,0.0,0.0,0.0,1.1019727289036299,1.5481537174529716,2.1436864109184057,2.1709430307514737,2.671495325438795,3.0530845560078683,3.647345932429462,1.5520654234746063,2.4370802381808,2.45156982074741,2.5220766154647194,3.806389532946325,4.0866692209851685,4.825291553117647,4.913306862316174,5.80975208351725,4.962772806464515,5.399926842201374,4.160569520730354,6.455569548437785,6.135593234271031,5.192470014972814,6.396438066200177,6.9785565241568435,4.567676631571166,4.677901813053184,5.657203196695756,6.231799280477549
5H,0.0,0.0,0.0,0.0,0.0,2.159267944457424,2.618730547610918,3.0454603658492867,2.751461403077127,3.0171373282618887,3.623904977184545,2.1258464380113304,2.944233838886463,2.8344610839031024,2.7634639740982396,4.099865028235627,4.199644215514802,4.967615220183528,5.187726739730907,5.966493817975858,4.770301910281129,5.087775129901242,3.8564083218031633,6.221476962900371,6.02855290527771,5.062848812652305,6.471689842602043,6.78830387428817,5.132556152291251,5.441329435729822,6.125963993992146,6.8150247757956945
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093961984136464,1.1016283285275783,1.5662440987876305,2.4269092322259405,2.3962590631480505,2.6284322189965144,3.7032984371358086,2.9384831652024928,2.5194277453973086,4.366050278726804,4.952794676081889,5.049932905437302,4.807734205409518,6.100036194619762,5.206862770912644,5.897803071782082,4.360939355903074,6.381980421092952,5.627167735369027,4.621183682365308,5.787957285959608,6.38134201443475,5.046678145864149,4.893447586013215,6.315237793524998,6.8120368830613
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7687931275119633,2.153034616315465,3.2876758348933226,2.453603295030198,3.5007338277017146,4.433327692899364,3.9989055433545184,3.600182743331997,5.430883440373283,5.964662629187642,6.1407113949783465,5.882246815643102,7.193494904712996,6.235050815190839,6.901638847160618,5.334547275372083,7.3508158956688785,6.501970820465458,5.457272146128175,6.686628242197573,7.164153705355047,6.059992466727609,5.836294775133192,7.316360560309282,7.77504219556527
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1769725496052286,2.8206154390286113,2.9873064465123043,2.749497625550308,3.734545895404725,2.911959919232669,2.6162799672922894,4.217871589195878,4.963116448852789,4.92039759061203,4.5266981794568535,5.902836312602493,5.379471789397415,6.150435817309182,4.697773791167475,6.531216823041738,5.700102157382813,4.795108501991865,5.650545295436149,6.521270837694405,4.590842717734422,4.201968547031179,5.9136565523045626,6.280654558348517
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2871726583741094,1.2374864845123856,3.4742760692319794,4.694351436012926,3.2317608817609447,2.3526434087970016,4.530916322789489,5.1804193226657755,4.734387817481337,4.390064019008355,5.823347877801466,4.569240933349387,5.376055688928652,3.6437844687419463,5.38320984130474,4.40950827047114,3.339888129158567,4.703223722529735,5.021974889673065,5.470180294588345,5.439783382226251,6.739686124014193,7.330376068441888
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257677587038317,3.309048821979439,4.533598812579804,2.622336595811843,1.5795199600734822,3.6823700366214425,4.347292933439379,3.606551637781369,3.3098035437252484,4.688588984592892,3.3242478761393093,4.189379478232315,2.4400948360896124,4.109596925258234,3.27725830945463,2.2360428334044062,3.648565865071163,4.006652306084546,4.786807338307003,4.943714454444916,5.982760616401737,6.650469525173182
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.654279815811675,5.849999499210976,4.468441740891134,3.5634041906870606,5.748247788818207,6.397562393452843,5.832460684917388,5.407691854740147,6.910347888154898,5.544615071525225,6.365969447175496,4.5963076907990175,6.089417350817696,4.890084646356394,3.8267138983695412,5.216331198443385,5.27487862894614,6.671092000119814,6.57043835707326,7.955203875010814,8.52561817891797
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239989747031052,1.347026211411714,2.0516130165969,2.4300091200621066,2.6645402465528023,3.708670516892582,3.9690679421789823,4.567117405813547,4.143635289358603,4.490685688046559,3.6233046939030933,5.826800341097754,5.814268670920945,5.061737111820689,5.971768374592724,6.791229429902903,3.1181873032836416,3.4264209478279266,4.125210102599591,4.735915826614288
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278887978061512,3.19239728930978,2.7899320097998985,2.6762061946229405,4.286420535974441,4.70878850945085,4.939681044910892,4.852091667274712,4.987698684590311,4.500995756739783,6.6366788290213465,6.8425818269996155,6.173295566388471,6.967088723968592,7.85053736576097,3.115480844408329,3.514525801423561,3.8041774330302154,4.34681383735482
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0615421687181417,1.439749292116211,2.0944485059833076,2.4363938511735777,2.6345927051577953,3.379776849438681,2.9871308537671215,3.5243680635747823,2.6041342091288704,4.601450479537067,4.594761487230099,3.9571767607270503,4.696242090418561,5.619594124786952,2.4614782954645826,2.889043657721995,3.5993653029080757,4.290335626186061
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18575629297689,2.911777387103047,2.556757229724747,2.4811241365896017,3.632484566991826,2.77989059519849,3.5410778774383687,2.159029130767987,4.128264496163105,3.808397687921055,3.0381875120537063,3.9820699539666813,4.777901406199343,3.2718048905735637,3.548509645286301,4.4615076648135625,5.139145844906646
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989266103708526,1.5490089892329166,2.1531078121178497,2.1787355802988047,2.5577030865402426,2.8977187300686706,2.732106025734268,4.226104333635681,4.65838817083443,4.3359225756107955,4.662688707492454,5.731712038028917,1.5286743658863544,2.4568946765289623,2.3861435600566785,3.2084224619526367
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182648142829211,3.0671370807477794,2.5472336397106012,2.783687512976004,2.69298776512551,2.9960037051152346,4.563864147038916,5.3162528201165875,5.012731350609545,5.465500586509867,6.343163269072036,2.118438028961697,3.229461920057691,2.419123247331114,3.3582288245131795
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963371591449207,1.096270010713304,1.5351802390825209,2.1751655572059,2.1788613687168144,2.837371478013623,3.417844449460368,3.3960231866025823,3.393943307202429,4.476834552965235,2.5056223426754785,3.271916032782632,3.1500043177547594,3.924855572936533
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767481980200474,2.168371537841228,3.0731904390820843,2.58556157248343,2.9596609109067007,2.9539410904851024,2.949372540203744,2.6523650792408873,4.036793857090666,2.7569712399577253,3.1234666293895317,3.648600748238182,4.240979189836841
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169246907316169,2.457793673022623,3.0770151516637845,3.104026714283961,3.994006707561621,4.217112079145034,3.855898111539116,4.986277727722168,2.6679537834655993,3.516419656689282,2.8563470659568866,3.5798905105680405
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967507360962103,1.0928560043561062,1.838934956391702,2.8238736684638406,2.775770845259657,3.2866081029899403,3.7321024300248085,3.8833648171405577,4.695835657960798,4.44820100675303,5.315277942497908
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7747949820507287,2.3810234824738967,3.759956895939073,3.7635681894787463,4.28665813565557,4.549464114102335,4.221953429818293,5.214201252578753,4.500529929284502,5.432880289016762
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.401243051594892,2.8444731604661033,2.3894283911446537,3.466739920820335,3.701907076632747,4.188651903158216,4.890512872198252,4.960885208574505,5.8268759982291956
24S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.839621749356573,2.4479576479791247,2.4569899678616247,2.4021338288015213,5.340469844827978,5.997573509116648,5.861925239624388,6.633723839509847
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977354030363675,1.0946797173519613,1.0943344222686329,5.65463036249933,5.975955320620619,6.507077416050098,7.16592194017555
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7894245727810716,1.7944250560239248,5.432502712520903,5.708703087162184,6.42776479195284,7.111383754189374
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802881481763788,5.389485124923382,5.5473889448143545,6.259838250821168,6.798620727729334
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747857098772287,7.054867433060762,7.578215066943972,8.237052535516076
