 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,S28,H29,C30,O31,O32,H33
N1,0.0,1.9286197966956011,1.9433110837563654,2.9739901168662692,0.08472574795824461,0.18729440519479618,0.00807562648550919,0.02797163108013323,0.033306816959182514,0.03289836970770932,0.004369391360732999,0.0003272823331008645,0.00013830732541864066,0.0009439061433460516,0.0033898460964112906,0.00024326636661409218,0.00029736668925206544,0.0008886555644216365,0.2205708586762574,0.05046951191668371,0.034403982349539564,0.0024098520376415467,0.0068037406686148605,0.00043632243256463976,0.0007343156069117285,0.000174735997828801,8.137672238783811e-05,7.81385414578839e-05,2.1918672455267796e-05,0.0009667336705859453,0.00010606601691233453,0.0003083497292778459,9.480688726315467e-05
H2,0.0,0.0,0.027298419950384734,0.10868923295024324,0.035786883359858246,0.008233852506497108,0.004577990476175131,0.00020238414741502453,0.0006056209467897311,0.0002656362260082812,0.00010579717702074998,5.298064111869394e-07,1.2826568807078331e-05,2.897964658576946e-05,0.0003430906520383026,2.7258164061239043e-05,4.2574255127991734e-05,7.139250315524315e-05,0.020914622687979834,0.05180806491584122,0.003653584342334648,0.0007302791414380838,0.0004313329423877299,4.21877429497286e-05,6.0624705311429494e-05,4.620166743407594e-06,3.304336464382551e-05,1.5780772526730047e-05,1.3931554627699683e-06,7.162405927296778e-05,3.81193970410143e-05,1.0068425142284454e-05,2.7467197012409628e-06
H3,0.0,0.0,0.0,0.10907508462562299,0.007819853370778729,0.032515041648093934,0.0008319980798980886,0.002157466984098466,0.0016518494399189176,0.0003093779040237443,0.0002632649856736391,4.471565755537199e-05,7.196890123850608e-06,0.00011527864059979187,0.00015400294532230685,2.871648887348144e-06,2.5161515829985603e-05,4.650394112282186e-05,0.007078706654133793,0.003274041370794456,0.00048667593327633707,2.7747357462581945e-05,0.000178738023433489,1.3055600083022867e-05,9.27832530128736e-06,2.361821374474715e-06,4.269453877103757e-07,1.0706529585235991e-05,3.888411224783894e-06,1.960628197605896e-05,3.3274948850747776e-06,6.147986344573475e-06,1.6424097486478217e-06
C4,0.0,0.0,0.0,0.0,1.8577221508097514,2.7390234462322733,0.0828705581129976,0.08922210852711632,0.14933545833494133,0.009770559763428777,0.032058192365847435,0.0045711669636996355,0.0010155606726569566,0.0006927534434462146,0.02109927939758452,0.0022962867796425535,0.0006300114762278763,0.008848332846493667,2.5231828491477093,0.28043104149390063,0.22742428489362068,0.01340798200098392,0.03568185049642311,0.0033327987348689136,0.003472378166392412,0.0007134268758606233,0.0012283728229707247,0.00043648476300821304,6.998475080388644e-05,0.004169337345958785,0.0004504443520365192,0.0011789069278163866,0.00024367345860498713
H5,0.0,0.0,0.0,0.0,0.0,0.07962397668502452,0.035095603550510335,0.0036637696000128006,0.0072619880782722745,0.0001022708406994699,0.0011456776560803128,7.323570200434837e-05,0.00020544892730267605,3.538571063810281e-05,0.012176042459678516,0.0008901537728149833,3.106052464985076e-05,0.01302339850498635,0.09831296660064948,0.024029159921624355,0.011767853452488986,0.00588045910749968,0.0017172855167293388,0.00038127689197953174,0.00016739013799438318,7.467604590472021e-06,8.427394534837873e-05,5.7184942796606464e-05,1.5614039744260566e-05,7.745973175543597e-05,7.738161390813403e-05,3.667600779821978e-05,1.014920349207138e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.909406907148638,2.0154248106444577,2.6100494206851543,0.0841315914001377,0.1841397983619961,0.030697864796472407,0.010506364625987752,0.009279292525972593,0.16425361642288444,0.030867551001938498,0.010114125925571482,0.005761251635413078,0.19775435683918013,0.03881866207276183,0.030798025195888257,0.0030375869607304207,0.0033551577525642584,0.00033434304887391963,0.0011044864937124754,0.00010967990542387618,0.00015212103985817738,0.00016946477711249353,4.0655392312904937e-05,0.00047805522226121444,0.00011932500496578125,0.00014782645412457496,3.767297700074668e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022555262593453085,0.08514093375852072,0.0035370695203307267,0.014015396436559024,0.0009811187630830442,0.00622155607902708,0.00023348905836040323,0.02971549039441057,0.001595831369874734,0.0004918347464997197,0.0005199694080162409,0.011043306133974529,0.004721791226973027,0.0011893566096286001,4.835937992675454e-05,0.0001098505197887345,9.741971279897399e-06,3.736230154283149e-05,6.149017024226211e-06,7.433670415446514e-06,6.393742843169292e-06,2.6214197172969023e-06,7.703981039997032e-06,3.2646298508964833e-06,1.5416566736536907e-06,2.2511776198719247e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07803629260257905,0.03490689271937719,0.007840670534267957,0.00037789402822951956,0.00016611368230745605,0.003969958714940436,0.010251428985315947,0.0005370205299093378,0.0052178042980906,0.00013529654989796747,0.010728208519550586,0.00205505671954076,0.007051549853380745,0.0027279918248410695,0.00043630858737997436,3.538619349385819e-05,0.00032722304681809256,4.104829518158937e-05,5.9766731639321335e-06,2.8841277187385828e-05,8.560423902626013e-06,7.451222803811497e-05,0.00015341501763899146,1.9923809845723284e-05,1.9498571872667014e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9823345678743172,2.8116443179601234,0.08481609648716737,0.08362246085536285,0.08351814291183746,2.7718862586897353,0.08716833410453928,0.08213785715757949,0.08400419397703884,0.030425706218301124,0.008258710210056669,0.005078035031738273,0.0007458044077767179,0.0007213185437826841,3.859929060268108e-05,0.00014558852918702958,1.0388065187938444e-05,7.163220077543997e-06,2.8153576912062772e-05,7.972472668038577e-06,0.00015352221250211628,1.4982801139540314e-05,4.573307930176573e-05,1.149640977760047e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08560884654192169,0.004581356436953454,0.0044322965924090685,0.034817406259761485,0.08656200080745113,0.003865270495434059,0.03452456935987658,0.005086498984931742,0.0019224365400032362,0.00021233555581479102,0.0004986689525030563,0.0003207641238707204,8.75033180975926e-05,6.175155331078486e-06,1.4190095878996445e-05,5.096427804440751e-06,5.69702194308519e-07,2.6150668033242397e-06,1.7464825046165089e-06,5.248495124732244e-06,5.1875542957935394e-06,1.7924383085565765e-06,5.632364727947703e-07
