,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28S,29H,30C,31O,32O,33H
1N,0.0,1.0218170631597643,1.0199147767984482,1.4620560253820105,2.0831681510575826,2.4685596588477856,2.706285451540211,3.4109309591196926,3.032353655392786,2.6202653501109556,4.366132843763812,5.0327705299416525,4.448187341146824,5.019792659045009,3.753441257512033,4.527815588711303,4.4512479928530775,3.366081491174844,2.490102857352136,2.8165739007040305,3.677531269628256,3.983520933578912,4.926056519589441,5.060278292885369,5.474033858016703,6.467036143315987,4.967914664621222,6.1052113638750996,5.0535888096016395,6.0615851676604215,6.145539195758286,7.2349456498831435,7.931472979243942
2H,0.0,0.0,1.618641437781601,2.0151770597994663,2.903620146474089,2.7690041513882977,2.5896396384833062,3.712748120792336,3.519386054674324,3.084709815494592,4.626212401843482,5.360368575208375,4.463363323339365,5.294141179853645,4.514931985925094,5.281330981402749,5.172288102511791,4.2795850273350755,2.5468160458050217,2.4196406426090387,3.8900860032473825,4.392448122470385,4.941677329828569,4.870375205500299,5.445226469465832,6.349629658663893,4.8158377402755495,6.331971529844184,5.422100930123283,6.201860025841267,6.447171135295482,7.269160981337625,8.033984132219882
3H,0.0,0.0,0.0,2.03994688775873,2.3105418557930757,3.351921870858553,3.6652430890101337,4.182356242616595,3.9103728944097647,3.479694622862497,5.318537657287189,5.9387215207065,5.456581676510381,5.947099639983228,4.37614539951528,5.130133058864287,5.058190303174843,3.7630236892509057,2.756814025768096,3.0256184337036016,3.8219133203763245,4.174631222595277,5.0215312355534225,5.28990230061138,5.298430094342322,6.324285212859966,4.719984497205344,5.713971630368894,4.585118764249931,6.2158158531422805,6.355742706760919,7.361607630479737,8.083654950010772
4C,0.0,0.0,0.0,0.0,1.0974825645721167,1.5471475558814753,2.149723612640548,2.1725555406685224,2.6054896642046046,2.767627644158111,3.9315367691689467,4.767307123784866,4.1741920183248675,4.289330524988175,3.1679061471018732,4.165452288066897,3.542295312928321,2.882417247981396,1.541349718685313,2.4253784063840955,2.470296557087522,2.616116834238438,3.829139393771158,4.05593738681972,4.661314115194461,5.6509690235088215,4.4194558525188485,5.315795466375407,4.353761423647265,4.7765055169620565,4.748508968011389,6.013500216117525,6.6353315672273645
5H,0.0,0.0,0.0,0.0,0.0,2.170798869367896,3.0581478569362983,2.521519486412159,2.8452822921985783,3.0936364760722794,4.287251828402137,5.002948127702614,4.768191130892984,4.5600263684191775,2.829024321267439,3.830307914098402,3.126170180845044,2.251829347543609,2.1604193951685877,3.236370683904797,2.581645039132066,2.3911831524201097,4.030101846266214,4.5148702354220145,4.795748646320196,5.840205183177153,4.6983955794955845,5.072538326834337,3.976088134300417,4.770269310500365,4.547665375534035,6.076984340949813,6.604870801712434
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0996769838265197,1.100559913780481,1.5413107897214928,2.1382446054448265,2.5206062574255514,3.485088396888686,2.7598765486650105,2.7991136122353373,2.5571341111189168,3.508907858359663,2.81587750043164,2.8510920060855924,2.5080668662308456,3.256956053870041,3.2203505325937254,3.156259992560215,4.432592284976536,4.435982786818123,5.593545850707983,6.464893395176991,5.481198237234225,6.4330567885924115,5.61239348380003,5.111010861213455,4.920178645008643,6.323709271109967,6.8385183841464885
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7600407355351422,2.1684248630514027,2.508631187178043,2.6741463677321002,3.6932662564907712,2.452533580657557,3.0273346208016125,3.4963064612040227,4.326835867707314,3.788832675542953,3.868031786773705,2.7078522267740572,3.050056887659778,3.6208627677140797,3.7996539125829254,4.614174851207078,4.356059069678114,5.755691697827176,6.532645108786529,5.532173434014109,6.854616918213718,6.147432631210475,5.424121432108154,5.420689200810293,6.510728523912811,7.095890980621759
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1711355570128537,3.0527445526541372,2.7978383071508444,3.8057244231689626,3.1544634362858486,2.6279450818246115,2.78387796903726,3.7829961539283077,2.5927471745157824,3.1773441286545827,2.6826153622455187,3.569261602766513,2.9266429429717085,2.6536978431645304,4.008558088214456,4.046824726863442,5.351118426031898,6.148111807977419,5.4486951832609005,6.181775169894878,5.5019507854168594,4.396542653939006,4.070064340653017,5.602058776155563,6.013586415583915
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096928191497342,1.5368655482974736,2.1855428846437026,2.1903461293285558,2.1881854893374006,1.5365254480193582,2.1808652707727996,2.1880832774376326,2.197700892897951,3.924681371448478,4.673724952445114,4.599523070786186,4.347556194458733,5.890949700731552,5.961625097303925,7.028304136749118,7.94094982401138,6.9108333857617135,7.682120622307353,6.728797018850284,6.446055881192267,6.066408524064996,7.700812343323008,8.128461676638368
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1544550825356383,2.508409342813709,2.505854908400142,3.07827565127425,2.1473702210487144,2.513758050048617,3.0729175237508453,2.485583011081506,4.192568532193649,4.773643586236913,5.093639808135459,4.983027969235288,6.417177446176851,6.468189664352127,7.398880039007556,8.348296044663414,7.129262581784396,8.042471425321136,7.006106193324054,7.157780230558671,6.884136247187397,8.409532836817057,8.915307541481207
