,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41O,42H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09683548353486,1.0982042944230317,1.096300018188284,2.5231413923943635,2.7526375541222925,2.805384396657681,3.487303357502075,3.9820289726418694,4.979442369318572,4.007431550458857,3.3681202700155333,5.143148949305903,5.6309340618829955,6.326991818847689,6.191830874330323,7.15933070104259,6.942577231167325,6.9301127079137315,6.449863535226879,7.877185629019146,8.15919781209167,7.840048525926007,8.089056918878486,8.688535340733843,9.507387247088689,8.674710042249064,9.485308277511697,5.029879176841292,4.257556505085038,6.265144269808295,6.401246376411032
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7692945970916365,1.764790063310407,3.497148356341036,3.762742686192904,3.8285478430606688,4.356847854354011,3.652548199810978,4.794756103336008,3.4578871321215963,2.6669044134859883,4.656904984052055,5.3005851650451845,5.6496964751282945,5.394474322577649,6.546200320543474,6.226538829562496,6.0890446787374914,5.512042966449482,7.275035533803688,7.656507334476571,7.023509689230995,7.218844709448933,8.073864231965032,8.963544796870169,7.964682563932147,8.788125908574258,4.656776831296925,3.9088119046694176,5.968843485378714,6.168057762974652
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737403119048052,2.7996740663585715,3.126050256484176,2.634804734780466,3.817302964629545,4.671943891675432,5.635427204060497,4.87721881740229,4.262866445227743,6.110952215572878,6.566283299926082,7.247891904303887,7.098607820366345,8.131685229940434,7.732290270776239,7.584475508814704,7.081858499725178,8.651299186414942,8.999747966828162,8.372310674572091,8.51150417735587,9.350076418606736,10.162932067331766,9.22472285512548,9.957296499379943,6.1015595653863395,5.346535340861508,7.3489934668931545,7.499109908787572
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.749739324752112,2.5233233891091347,3.1322569579164803,3.7535501078451294,4.746644698728874,5.717575052245329,4.557666300891892,3.8458767720084075,5.491203641323582,6.027532556527185,6.688900006025082,6.483351975490145,7.422427536374627,7.497146219532919,7.579715365978291,7.051958354144637,8.471472247361932,8.673217280180348,8.598783992575916,8.886250278406425,9.39416445082342,10.219451049504096,9.455138417029925,10.319465570070262,5.066234338012695,4.113188780809479,6.2111976646761535,6.177952974748163
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096748160377521,1.098339207064011,1.0966488181850886,4.436951529400202,4.903919164272436,4.91814817142597,4.7368784802539485,5.790336913374496,5.829088577584836,7.266134110098637,7.474022173193827,7.926420295546442,7.859059769053783,8.16225181264088,7.976479844307604,8.442559604184805,8.477197594470763,8.98613143257225,9.416589639612289,9.240209341908933,9.842320275553586,9.496147011318588,10.267842021593717,5.6484227580384205,5.137844006953075,6.5977231333019635,6.728265301044307
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7720708273699521,1.773694075550745,5.139677608846568,5.657649408463274,5.38190667810184,5.093091375152632,6.1084086952343855,6.220150078435587,7.589838083373221,7.723325115068024,8.171723118452697,8.359017270213695,8.725738438838018,8.475549932626949,9.00583136442454,8.979718425301996,9.660000564929415,10.113816732294914,9.91238490213025,10.537625324490655,10.219101632474088,11.047828165433215,5.6880359316308535,5.0256385588125925,6.55405254664788,6.52361350838727
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77212536959891,5.080913270377057,5.564341277365829,5.680649113401273,5.454978347104266,6.687797781351275,6.743671519284802,8.11482495090294,8.28733068800191,8.842869617887636,8.598280330806414,8.770219415256438,8.551641122949883,9.189583086372425,9.300015246265826,9.497180680882973,9.832332228450003,9.884859775935542,10.48831596188749,10.031832671342924,10.73483198365838,6.643139837019228,6.102046689871517,7.647231084551725,7.793129747212636
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4450537545707745,4.633691150354626,5.0795372117755795,5.109855784923336,5.803722479927279,5.636827466888733,7.327873859939372,7.688568859906117,7.908808258183238,7.866899698750945,8.299855032361618,8.255114725985685,8.276934820759932,8.209796306715006,9.071486869789043,9.586917517347443,9.04864331529741,9.545311987060579,9.424892142028497,10.17407070564095,5.736572159343519,5.424511493287132,6.542694577266426,6.729000204756637
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2271652366137598,1.3721179679611917,2.0601659650314486,2.462573214213815,2.490320307909189,3.5372587533237088,4.003734186775752,4.405326925085184,3.60419187333411,3.891903597654534,4.011529791240994,4.155872657748906,4.455270742667187,4.641957373174438,5.238203936716234,4.864082047200257,5.5833235899914735,5.082499732073211,5.920418379039015,3.521126565978011,3.844068271792723,4.587244274565726,5.298540548547946
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281953971860995,3.161830332361738,2.805666513510737,2.3241760775772096,3.829196867523414,4.5602294181130025,4.512433489414307,3.6987534363615375,4.22267568586333,4.627409322029331,3.81748927230191,3.945215401541507,4.783305312969321,5.50998579859008,4.427091387279153,4.947743249609869,4.876969236709546,5.652113107593995,3.966391814931462,4.542423585081735,4.757471245172951,5.553968098944664
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125099443491554,1.447463669371748,2.052008226490776,2.506274646760938,2.782069385785588,3.417886455930603,3.0192730468119144,3.40819490857125,3.327157768188179,3.914441844804909,4.203179330141398,4.497418019063669,5.131907863079626,4.891160771814846,5.736544825327024,5.13979400538597,6.111798032343296,2.421226486110893,2.736131702585458,3.611184565023366,4.290475952582451
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1039322123776603,2.922933447361516,2.99422404963439,2.899299901088669,3.918024921953982,3.663134199487582,3.823565002228295,3.445900000262817,4.739372408781057,5.08420928406994,4.972241902557153,5.457933631444907,5.706298389864067,6.613958303047261,5.80841916433934,6.770607697276474,2.558719549271633,2.422952368671782,3.886347047295607,4.388196416649439
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094213095844148,1.5600273637076787,2.1721825348427757,2.1619663817069714,2.563028782406463,3.4778333873388316,3.597266867819063,3.3174596462092727,3.315563970973115,4.6838978130347035,5.512789566193184,4.5638036660453,5.329391070229742,5.132721263089556,6.183073110764603,1.523447327671999,2.4317997211919096,2.382462370705196,3.2159259979451993
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1763347570282416,3.0693673918924222,2.489157513043276,2.8048746903331416,3.904626195860028,4.2770693983949615,3.0791027748225694,2.8282746905686453,4.914347805647123,5.837544493164403,4.284285737953791,4.871645520657883,5.07335148237197,6.07369366232705,2.1499311680511677,3.1729008482760355,2.5901295470841363,3.500148472832815
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097638078213138,1.0960468121440403,1.5129744535800616,2.534756927142577,2.733324611940599,2.532870924040195,2.7324363912513197,3.822279189162123,4.688434216366792,3.81923153330823,4.684353896957133,4.327576630645952,5.414562592151077,2.5212585417968953,3.414546258639483,2.981447157860776,3.818717205789715
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643259304071732,2.151073232416478,2.647887735349318,2.416618143202068,3.405519947869491,3.7470317114901635,4.031647087760846,4.714722477071518,4.564653637089168,5.513945269358856,4.817683326241397,5.88446630076028,2.721485715141438,3.291664835093167,3.3340397045169143,3.981602439608543
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1569046555906928,3.354132443105417,3.6547148232996296,2.7262497407764235,2.562768065091256,4.530931494605451,5.459522552495116,4.085244223972582,4.792800941244664,4.825804311083549,5.892529777895324,2.708806923959583,3.74833828069943,2.633422126384447,3.4636671887507897
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4008606717617287,2.154507708991855,1.4018016059418252,2.1571774711055287,2.433303472961805,3.414429450533939,2.4321776999351217,3.4131314128025787,2.814674103081717,3.901659485879284,3.8851361609669754,4.749431034159352,4.366429025407721,5.262669395739358
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087886305003401,2.408832592935075,3.3969374173729703,1.3967695682742511,2.154657427933464,2.7857971478653565,3.8727870592941076,2.4193714085859233,3.40569194607942,4.772012018446693,5.397987319791398,5.479461722386299,6.308604189177056
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395814316169301,4.297328330544008,2.1545361566877657,2.476722722147607,3.8736665190706994,4.960657316142107,3.4032157992586205,4.301865836604189,4.6846244789204095,5.088326016239815,5.54068716979436,6.2632006855992435
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881986328320508,2.786846448166432,3.8741313718010364,1.3949324049488476,2.1523960529563024,2.4195214666636176,3.405188631745361,4.662561461121241,5.6865193446230355,4.879208648083697,5.8373759527713265
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875030452981837,4.962321117568095,2.1519046331980736,2.472428831475585,3.402872007234846,4.300267384631981,4.484063481636867,5.621133210753986,4.42943717726086,5.38833330233538
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873163408644866,2.4141115952690746,3.4012288856383943,1.3960761338105325,2.158212872555969,6.071806585905496,6.724037520941819,6.743146217619502,7.612876071837876
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4019038848578727,4.303337758663291,2.1577739217944463,2.489146849139998,6.850865668391002,7.375067935847799,7.621099547837637,8.450946193233463
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870087462862705,1.3971313752264687,2.158857349350092,5.983984026715473,6.956338123098877,6.262115005938052,7.224389585852564
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158108225681869,2.4890168188469235,6.711294849775951,7.749076830609722,6.850601574090253,7.819637146960676
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086987946053854,6.590671505811153,7.409346972110021,7.079490329925572,8.01344044418
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.657061486219592,8.464036104108253,8.14583534223043,9.0863405849875
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213005671008658,1.3504663009835833,1.8783705387787455
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547367740460706,2.2919584484238302
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767641067193861
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
