,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41O,42H
1N,0.0,1.0209975252739534,1.0218851244603453,1.4678321860343828,2.0787451692329038,2.4507365197830873,2.5615132508282024,2.7100145298016862,3.8672638712638534,4.191606193698534,4.446224615645448,4.179891250352268,4.570307304066133,5.501293266383236,4.967771948271415,5.933434831462371,5.098624138144514,5.075741078828607,2.4795079167923366,2.869000681079162,3.5879908452124267,3.8653111659577184,4.847708734519706,4.873388452667429,5.593121993072434,5.907935589040664,6.568543443250497,5.162265956053605,4.850540004447536,4.910304732224374,5.597404354752436,6.162465640949549,5.016368593348356,5.197184207898292,5.742002751243714,6.39391546400795,5.468096342330311,5.951882816478882,5.931300114953364,6.058318359370707,7.056696895760291,7.7440158508039
2H,0.0,0.0,1.618833900868534,2.0417781712399345,2.3363040277535694,3.341205555903931,3.502542511529222,3.6457184865399155,4.635377665210328,4.8317796000525535,5.064150890812911,4.599344212195233,5.241912441207496,6.094865477079318,5.8578922318269395,6.771749917594761,6.042089920694263,5.992383040785222,2.694545045733724,3.0888547060017624,3.593005701362555,3.9051684307319103,4.779170897717344,4.875326634104707,5.2435473200452885,5.520060011326195,6.247262462813885,4.603064523087949,4.095538651816914,4.186826683466874,5.060495904252263,5.765742507529499,4.1100326439967185,4.211833292726175,5.073138825197777,5.78511217664461,4.624509345081152,5.072239809499579,6.004217830394405,6.221683455460482,7.109682656175753,7.8539232545207
3H,0.0,0.0,0.0,2.0189048205544426,2.9076456015632988,2.702982561874476,2.939272510180722,2.5317980069912824,4.173228264100723,4.406905932397832,5.036682823907717,4.902522578255859,5.215905842402097,6.052233050597822,5.089845470030963,6.0996318762253265,5.267374727639126,4.975522577444773,2.5680507692162196,2.492241159140231,3.8641333043635666,4.348327640698616,4.939474051007876,4.735509590155199,5.745103806405598,6.232813962302781,6.626983670112162,5.248473507517283,5.129766106087083,5.3845886852299625,5.435278477913857,5.8899891967984574,5.213522960809893,5.525053965057391,5.51385149524826,6.018465379885449,5.406887030100435,5.844281479672733,6.081200120355346,6.351390598944535,7.082158355104085,7.8152128184675576
4C,0.0,0.0,0.0,0.0,1.0972705620645065,1.5425855410967928,2.1386556898997173,2.1421563734047626,2.623418578450429,2.8100384344456635,3.2175594441165596,2.9384838592417037,3.6040186004183217,4.205233480756153,3.937869890290867,4.782504989266503,4.285119342627267,4.168632485481154,1.5394304919526627,2.4146715880709233,2.4726112542973193,2.6009767115883364,3.8359088725454566,4.012060228061334,4.8163473319199985,5.055098624747046,5.780035922518245,4.781009921115726,4.679221820952541,4.585371859375719,5.427706911292784,5.87154439083869,5.244816969888166,5.565685901856324,5.922103702784393,6.664830095318973,5.841495148783885,6.537643152382674,4.691858208383937,4.6813076711662145,5.889475118447438,6.487295802592864
5H,0.0,0.0,0.0,0.0,0.0,2.173970070168391,2.527131034656448,3.0563212519377796,2.8392889419911738,3.0667985710784653,2.869821726754366,2.2738753548543027,3.2281388803430087,3.8471538491212307,4.294687150075999,5.003923811716457,4.590812505183456,4.760118926056475,2.172160414404916,3.275279185471822,2.5415388116878734,2.2803862561325925,3.988739672531834,4.436560815415635,4.795855299280998,4.792295466217702,5.827506127638863,4.840465785225409,4.528682181801523,4.186112872002424,5.721867783771468,6.269237560352176,5.18127473609874,5.362845055817554,6.251783189698087,7.1093583458926535,6.013793354338391,6.734265070897348,4.725493537147072,4.533547853795605,6.020824869144624,6.551290610828451
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0978915697819085,1.0990667472007745,1.5429380556471997,2.163835201243442,2.56045588584985,2.8486422942391667,2.821146265903037,3.5126443824606,2.5222702860919344,3.487850049451467,2.7847639328398937,2.7691883174913032,2.5224737931141004,3.1226895727876776,3.418813995181237,3.4271390271260143,4.643283858836995,4.7014610389152,5.897487743623787,6.158495292907191,6.757226730006538,6.0823048655987435,6.144854317466308,6.0359204893306915,6.651548080590971,6.923903803366848,6.759307735988275,7.105578857217504,7.222377148056581,7.87282305839869,7.27469055663744,7.958999747260479,5.149869228922953,4.950319646924093,6.292888738064698,6.745903732877382
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763851816747985,2.175344385755404,3.071755640155862,2.76237630668783,3.120576645246027,2.574734329412116,3.775978893723316,2.833426149832076,3.8290366047593847,2.653893817700854,3.2148685200441487,3.4477780562706175,4.03778450895648,4.34967589478015,4.2524530691576095,5.653836369137571,5.752684612817358,6.823596201669876,7.013993315040988,7.735159661596004,6.906141370424764,6.7978517543131245,6.628362609496521,7.493295230842857,7.848317575222693,7.2881617932894525,7.49534290823368,7.940667744679611,8.592837104426584,7.84651587302532,8.438264164597491,6.1744406940699275,5.891181537452461,7.354021279876691,7.783995511976299
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1687915322961477,2.550727449830778,3.4955767380207194,3.8770873125461653,3.773708847762397,4.327863518452134,2.6555302092767934,3.6863033528346705,2.973256445747701,2.4450611861581697,2.6835069230498174,2.8280076891635666,3.7922289710803545,4.049484506445651,4.815444023636668,4.619108422224133,6.134647497053717,6.570621206555387,6.899961318500448,6.254401694071773,6.476346369475094,6.540777142870957,6.602617608725524,6.757474714064233,7.013296710307447,7.457917777939348,7.128682628514651,7.646980868954671,7.324602226502233,7.970974577110286,5.383181281157446,5.361416810338477,6.374234657047727,6.87347431910859
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001340837334816,1.538024016325596,2.2056458115007422,2.1838910243902205,2.183236387113746,1.5371283544821586,2.1869506252249327,2.1855619979494,2.188521146162226,3.163796510477255,3.8998310263372122,3.539332032085608,3.276676368022541,4.586474285394841,4.792059112337414,5.968019579968365,6.103271375188404,6.731857028757149,6.516089603618417,6.716814047453965,6.472346498099899,7.225289346942243,7.381512850216397,7.571126105776825,7.970760356252414,8.024820713593314,8.723578527658859,8.18580083889387,8.986695823810622,4.616632026377542,4.126183368597471,5.7448943781150685,5.991924475595527
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1471891904024196,2.514298450817383,3.070405730795443,2.492376340416227,2.142424499577847,2.4950702693893927,3.0685548293473057,2.488528697426134,2.7778482995554707,3.471411890181069,2.8895905499057326,2.713321845921243,3.7021293040566703,3.9036276010830147,5.157958542968926,5.344555811317722,5.826749686969387,5.867552866915274,6.253362145869026,6.059593780397978,6.565467241265143,6.619362982577639,7.228025360968685,7.746914001829716,7.49834894861784,8.189852470061204,7.800730740543812,8.678917862861073,3.5874459242377195,3.157320059010864,4.665519962306598,4.9097527010792605
