 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,H38,C39,O40,O41,H42
N1,0.0,1.812085977433366,1.8031803076876716,2.908113581007477,0.08790706006667182,0.19971414359096876,0.021083173296537527,0.006816026360323857,0.03250637998673278,0.0009039531701953152,0.0034075437217145066,0.001137697596307996,9.499244459543199e-05,0.00034806175792256866,0.004994683287325288,0.001148219345114887,0.00011779827289015721,0.00011596608359787375,0.23626125564714212,0.05317074931735383,0.03542446403022981,0.0022519262448797983,0.0063720732410044445,0.0005573941201695298,0.0017076570483799403,2.9740644273523742e-05,0.0003055877651834127,0.00012978166378707634,0.00031540463474777347,1.094003800394816e-05,5.662383786152192e-05,2.8423149360801148e-06,0.0002883923178087361,7.138035405418464e-06,3.0961743954338594e-05,9.306659687347008e-08,5.9432466975331555e-05,4.53251969290136e-08,0.0004828330297755312,9.958015010498589e-05,0.00012260459582835725,2.3647429347128934e-05
H2,0.0,0.0,0.026981224450066676,0.1060758567975515,0.00672464266965922,0.03245999331489002,0.0012391273467486918,0.000561776547143289,0.004734209522627486,8.4836742821226e-05,0.0002241469266972551,2.7368648441328247e-05,7.2287366441603496e-06,6.0493914390002956e-05,0.0011756197740488972,0.0002700107686828268,4.1243278958269514e-05,2.9321061337350685e-05,0.009088904589254154,0.002349596862485148,0.0006538205353152637,3.930440544741565e-05,0.00018352507194274725,1.029855297529636e-05,4.826981280359188e-05,3.872885969036233e-06,1.2861246730944131e-05,0.00013041722423767776,0.001205613721161014,1.3096825163039227e-05,0.00014366633441353915,3.976708429220821e-08,0.0013079261561964595,1.8983063612587614e-05,0.00010807113261257495,5.273387060356072e-09,0.00020965320190013959,9.120617394664521e-08,2.9133249774382364e-05,2.14417701238645e-06,8.104497951300083e-06,2.7035916640993918e-06
H3,0.0,0.0,0.0,0.1036213851126987,0.03593613833390674,0.009826390743529423,0.0002661145123765696,0.005180084491873682,0.000810748488086821,6.185449314610736e-05,0.0009503508066529553,0.0005219505715725603,8.923655775650019e-06,0.0001088473021200187,8.775900279545112e-05,1.2098146992878256e-05,1.9393703367232007e-05,1.270599265668082e-05,0.01808035393175733,0.04187138547149938,0.0032707030898362355,0.0006329096337647222,0.0005240396586212448,9.30197860935511e-05,3.8982317828950563e-05,1.209465932050513e-05,2.229287670907354e-06,8.86041122827308e-06,8.01915247672369e-06,5.581343864857757e-07,5.117876379134856e-06,7.542740125821012e-07,5.511697393267845e-06,4.34889190659149e-07,2.2234664197595677e-06,2.8162051801672305e-08,4.387178290654603e-07,6.649546024917186e-09,4.7287282245345175e-05,2.509948843942844e-05,5.469802759727749e-06,8.619280720267852e-07
C4,0.0,0.0,0.0,0.0,1.8819850999320176,2.576735624058113,0.09347574180245966,0.08872770780084083,0.1493162479548432,0.00821415678158699,0.01906762117010602,0.008368724186245569,0.00048103532097898416,0.0018845825654725257,0.03153039756372175,0.004462514462788114,0.0008322505353486331,0.0009405139315137312,2.721007104700994,0.2736017704339865,0.23088282802288573,0.016408731585231928,0.03525487948738204,0.00671942037648543,0.003684859781297234,0.0001316807846942769,0.0009405453144359921,0.00039142288045662665,0.00017272389217462547,1.879450599440169e-05,0.00018173171800020538,1.6628192689660537e-05,5.176784167154613e-05,2.0471068473693066e-06,2.7648940749469553e-05,2.448081379835543e-07,2.6688502034105666e-05,1.3329776904491553e-07,0.0034979204330439495,0.00039921855861416167,0.0010141684648980187,0.00022749900121665778
H5,0.0,0.0,0.0,0.0,0.0,0.08035632544495086,0.0035810877248418915,0.03489428676403539,0.0065815546938654546,7.436867200460995e-05,0.011024572732912352,0.01344085374841586,3.643888089177594e-05,0.0007616416184881292,0.0011215497534489138,8.601628849724818e-05,3.539076161063193e-05,0.00019452861378699282,0.0916394260513893,0.02189829346732708,0.013020214857400791,0.009830080871940705,0.0020736891208339436,0.00034735917610184686,5.1982069216638394e-05,1.7193332001896877e-05,7.69142679857282e-06,3.441514058932782e-05,5.4113475154382584e-05,1.7926744566576502e-05,1.5932131656182236e-05,3.2478085993936645e-06,7.667790830279131e-06,2.501044977787359e-07,7.94026535166914e-06,4.783673857033932e-08,6.449432722765991e-06,2.8758356585001366e-08,0.0001645048107952185,0.00011829591321599331,5.626748391240888e-05,1.5255175804362864e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1047396393427835,1.8598973313580165,2.7257550359030884,0.08113088133085333,0.15891764456173846,0.005888182478830606,0.009607159053951264,0.03045062078006744,0.18196356672433392,0.03059252709798188,0.009896826364841349,0.010159798577664025,0.18996680103464594,0.037916034619151745,0.028369891806634864,0.0009360421992204992,0.003834143033090931,0.0002661443735249014,0.000645857638714914,1.8849052464853244e-05,4.771436399342299e-05,0.0001464775923224193,8.755199150778381e-05,5.774936488789351e-06,2.523821287908623e-05,1.2274755485375266e-06,1.21056364350558e-05,8.343338806504619e-07,4.831176210723376e-06,7.177077820941236e-08,7.418914212339867e-06,5.937070435280134e-08,0.0012014183129805678,0.0002660373793908488,0.00029628168612427785,9.455015866510763e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02330706172018271,0.08354073273291807,0.035454769262138974,0.011423062824754693,0.00013977337663306777,0.005333862776285114,0.0006695478226939056,0.0070240652674808945,0.0002731726937306167,0.003687354705261603,0.00015590644323371095,0.030118099823416955,0.005431323603489191,0.003490025931314422,9.940965352073228e-05,0.0007829237847927217,0.00010125139469319144,5.0194837885708665e-05,3.9474888651191975e-06,1.4321984615595085e-05,6.996160896388659e-06,7.858574817110053e-06,1.3555803035636416e-07,3.449216950501821e-06,2.1275101569351307e-07,1.3395662150639254e-06,5.977076589225305e-08,5.883684452978599e-07,1.5564000754864082e-08,1.5597169278347423e-06,2.1069588296285247e-09,0.00021781429638867422,8.611272745073784e-05,4.564688522612492e-05,1.1184241703210418e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08422857889107571,0.002728637584705318,0.029481251687237586,0.000529858516397308,0.0004659441231793515,0.0016560569841506112,0.015498438954177685,0.0011697723962975637,0.00026886916279966755,0.006283878777587848,0.014226163430084648,0.011371152805765616,0.002068916778912522,0.0002749590389499179,0.0001935744211842838,3.657805944157211e-05,3.090776370107129e-05,1.8593194350824405e-06,5.8818995243292704e-06,6.443518939303061e-06,1.0104292305301854e-05,1.78392198413313e-06,3.897846814870931e-06,3.723079686768216e-07,1.372967214141596e-06,1.8900352838358003e-08,1.2303939211921744e-06,1.5286959031968195e-08,1.0678530892871407e-06,1.882646927242604e-09,2.3121989498608997e-05,1.0714446445847514e-05,3.117620571257973e-06,7.832795849704866e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0828694951734654,2.6907377682496256,0.08226991844699416,0.08113122646076354,0.08554067082660288,2.77462773623201,0.08413162995999457,0.08067794438033604,0.08466171356019059,0.016599851442961444,0.0035483110645780636,0.009691051542190243,0.0017843923492874003,0.0007005123997801954,2.4746522932383996e-05,0.0003909309878060707,9.056755017056162e-06,4.234937858371701e-05,5.916811697376234e-05,3.065576441724227e-05,4.764128216372399e-06,7.86395273541518e-06,1.4426060812589014e-07,9.80501808364731e-06,2.47035745193358e-07,8.826287808322286e-06,1.433958862762097e-08,2.164737287396745e-06,3.1462396243853163e-08,0.001070005528822221,0.0023738849877020796,0.00029116861171599173,3.451497176654161e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08256029226556438,0.004611201509819418,0.03478062840690588,0.004273106467063803,0.08095339435915161,0.004456625785109525,0.0344850066864788,0.004667879390383822,0.01049690811599735,0.0002645246885180086,0.011161808948911833,0.0014782002221915835,0.000689981296458031,3.9908751900075146e-05,0.0005432582129534236,6.7221448118992555e-06,1.3905528125857103e-05,0.00010191234517531456,2.791825108983126e-05,2.4965107168206657e-06,7.812284861019592e-06,3.5430772982181225e-07,6.980259179334425e-06,3.19201944876113e-07,1.1073787870685692e-05,7.581934036160476e-08,3.746602241783137e-06,1.7150653119912818e-08,0.0026863880398875217,0.007737203422251482,0.0009379613623983207,1.9214269915357463e-05
