 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,C20,H21,H22,C23,H24,H25,H26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.9385248189471158,1.99077610286838,3.0049350725459774,0.09983456811907587,0.17508238405986049,0.02568757355597362,0.005029587416123471,0.028175339466448818,0.0067257829573438566,0.006496703011058147,0.21109278953583513,0.06894855175737226,0.03525755027692948,0.0020056439306708196,0.007717464021618811,0.0006981191609057857,0.0006946639654236697,2.2290603726826674e-05,0.00011098294991163105,0.00010047431802118201,2.4219194003638478e-06,0.00023896193074758598,6.819403349789255e-06,5.336133058797543e-05,8.805076033402415e-06,7.241936785269687e-05,4.743792523242973e-06,2.5996370247582945e-06,9.079792697253009e-05,0.0014318345485960227,0.0005779070195382485,0.00019587435668312614,2.2266075006216468e-05
H2,0.0,0.0,0.027852251666731664,0.10273914699060083,0.003235910323445834,0.031066278338842013,0.0020179958793966613,0.00011530102791579289,0.004731578218460042,0.0015086756834842285,0.000940693550677274,0.03257658746721592,0.09750163713289972,0.005500022951339001,0.00019075375181354381,0.0008987018485736575,0.00012098889801359647,7.045167783215067e-05,2.604310391740583e-05,9.48914597809214e-06,1.8340500207436605e-06,8.659261550025832e-07,1.539275539852447e-05,1.3981395641238237e-06,2.6992278814308435e-06,6.506188114929756e-07,2.8161700710960247e-05,2.072461787960833e-06,4.77693908429444e-07,5.815054895608185e-06,0.00010260704423292744,4.0656028675978284e-05,1.4945965407076045e-05,1.9185440682800703e-06
H3,0.0,0.0,0.0,0.10032257316393378,0.03592486855487742,0.02150689868440203,0.003925761855608112,0.00427059507410954,0.002404700252996994,0.0008234929952342096,0.0014202344522921129,0.006144713802796242,0.0033452441364411056,0.0006480465976950178,0.00010536786517412189,0.00022242782242976045,9.581921789569847e-06,3.240367232593133e-05,1.1249039582050813e-06,1.4203080882846386e-05,3.395044176790485e-05,1.1696520541004674e-06,9.869397767148236e-06,4.0708408866052537e-07,1.3766054509645187e-06,8.461765510503483e-08,1.9650415556404788e-05,1.7281189903517458e-06,6.321459662395057e-07,6.057092490241445e-06,3.911769420905653e-05,9.97324765983354e-06,4.384934700230048e-06,2.0286101110045252e-07
C4,0.0,0.0,0.0,0.0,1.9593944735359796,2.58895490861451,0.09608426769445355,0.07952324243456288,0.14947529459073322,0.0414816214779925,0.03382422854563667,2.5947901104315543,0.27940202837162337,0.23126170085376818,0.013014253750459281,0.038766984460857024,0.00659084536054233,0.0033133696951083147,7.617771330536982e-05,0.0004551241769090997,0.0004406688781166679,1.4732791717486649e-05,0.0013190256835642622,2.170318206551336e-05,0.0002479434872528774,5.156897627500712e-05,0.0005095218136789426,1.5726866465559652e-05,2.167915355011374e-05,0.0009944701685842272,0.005445124302048354,0.0020702136043716374,0.0007662740899151699,3.866247083716967e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0755210256634763,0.0018016643867193594,0.031099949441594443,0.015545123704435504,0.002554580484765867,0.006647380579709039,0.10520708379785937,0.02512658648410615,0.01756833079644371,0.0006930355453027559,0.0017803299704763909,3.6035608257378726e-06,0.0007429053820875442,1.6071918915727679e-06,0.00021603559258176475,0.0004438847416492475,1.4213199855062086e-05,0.00014572253571276672,3.936172622287515e-06,4.132250460076037e-05,8.43987688892156e-06,0.0002513781595653297,7.274885786001661e-06,7.622518955585633e-06,0.00010966032012182936,0.0005718945542421139,0.00010101287828767624,0.00010342864612600255,1.9314476982223994e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6705464005139627,2.059802018335531,2.600055940449261,0.3098227885243713,0.26765543064167246,0.16065422766273849,0.03530965726305893,0.026683752784983084,0.010746156437928645,0.0034894392792583218,0.000940828819412376,0.0007074451195925174,6.563541315740551e-05,0.00018208847232575875,0.0003495028617519491,7.456997094479334e-06,0.00014747820592006522,1.0611557999640198e-05,3.350385307454573e-05,2.16473748171353e-06,5.5384333892002924e-05,2.379214413261721e-06,1.1221637002289953e-05,9.901711767801302e-05,0.0005258909525361621,0.00011703317459962892,0.00010556849269416357,9.0835049427751e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025218839026950546,0.08763210474464378,0.02332680358644834,0.021150039755474692,0.025698094231766833,0.0040326058816793076,0.0033997877083424832,0.0008409030538336637,0.00044780842085967443,0.00034959877298512687,7.95167320062351e-05,1.9337252248341485e-06,2.3927899832187904e-05,3.0047937523924872e-05,8.017143990901587e-07,6.314566576848257e-06,1.3423287681391116e-06,1.7908284266621166e-06,3.5533304165724644e-07,5.736183985471932e-06,1.1887390760634275e-07,3.0635888492724916e-08,1.0072390733917302e-05,0.0001860976718035534,5.85581446189698e-05,2.754423656192717e-05,8.131919078113725e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08104166840144478,0.026550593398289246,0.012904850714162697,0.0148367323859524,0.0020211733025226053,0.007413509058375789,0.0012316225148436555,0.0005110103818231071,0.0001281906035401903,0.0002025557410505474,4.363504478632763e-06,4.753403917079346e-05,7.719889627089138e-05,2.7580496255730225e-06,4.787613402168489e-05,1.9290077752920354e-06,1.247299650586342e-05,2.2298331847636632e-07,1.7435973830304263e-05,1.214353650524913e-06,1.0263942522570346e-06,7.714183563267696e-06,0.00017913599406615965,3.5314824669674394e-05,5.829543470126097e-05,4.469607699286726e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001097632457493,3.9561559955309065,0.006995969535945862,0.0022732281329406467,0.02262866595397886,0.05453167555141525,0.0030007545943173397,0.0005195212037518715,0.0004308191621824886,0.000245421076828789,0.0016052810301422915,0.0035910034656083667,2.20253059954878e-05,8.518497679935177e-05,2.2431618108997853e-05,6.3909175749277125e-06,8.106626587789378e-06,0.000149535539642337,3.560164808291688e-06,5.6315010117602426e-05,1.4455946736102732e-05,0.00021577531297412023,5.568208039058442e-05,5.548653761652811e-05,2.817562722579048e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5742117385676351,0.004013114122913608,0.0012233925604158702,0.008629767717552389,0.01174426179993937,0.0009752914516851646,0.00014642273759624125,0.00024508483625393374,0.0001316381725564586,0.0010764196129487563,0.0027861220522151786,4.228545546158813e-06,5.501961725322413e-05,1.0350265593705998e-05,3.4072282157904255e-06,5.088535749653289e-06,8.258730587598628e-05,1.7158189722366046e-06,3.447681850810014e-05,9.002941465885428e-06,0.00016496528055442994,6.552425712426369e-05,3.6774788240170886e-05,3.3911198421554545e-06
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01737400807377673,0.0044421814213954705,0.20842562457781924,0.4591786104298611,0.018642701679990298,0.003611477632150195,0.002450028020777942,0.001266975027239714,0.008271079879655724,0.02643850026151373,0.00014388392750952494,0.0004024244142121422,0.00013069049686698087,4.1864963042148595e-05,3.0183836558395072e-05,0.0006526564139715946,1.4446252553756977e-05,0.0002017730725314415,4.147311171598389e-05,0.0014902813996702374,0.0005203447413782217,0.00038235420111428636,9.91416609752438e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52037602638436,3.7720610104696783,0.1360301321648698,0.29670962685932456,0.0323402184839785,0.035945867273357024,0.0007131548263874521,0.005573109830255191,0.0020973686863889895,0.0002783186514501157,0.006159890431699677,0.00015978234590807716,0.0012196868236182823,0.00013201559515474415,0.006687392993720842,0.0002662462048816927,0.00030735168067486107,0.013519057457768824,0.04150595864947129,0.009671777671852955,0.006933135283734931,0.0005498920420136111
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379101971211742,0.018359500069103696,0.07845209802714431,0.06178587944687974,0.011536944099836743,0.0009850758744835986,0.00295913712431696,0.0012819223381369538,0.00045015608702447807,0.002179855128152247,0.00019070874133864102,0.0003409452184417461,4.7265554386388686e-05,0.01124027426774804,0.00017965009189269132,0.00017496255881632727,0.027620656396841747,0.015719225470586212,0.005028111182467432,0.002860762369357589,0.0004736692801186049
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515848147319197,2.7519346543184016,0.09877074827577015,0.17395500475673964,0.004057814119738379,0.03453999104396131,0.016252138426310903,0.003158764804021219,0.030083091435602574,0.0009710747295677002,0.0038988056503130863,0.0007687412499262081,0.002593836672020039,0.00013777317806940026,0.0003719263807679951,0.0012187317072582804,0.24078904405403473,0.04580015846920045,0.028813933080268958,0.0021168914230608182
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08551321476946205,0.021299481019471322,0.00719853829317163,0.0016034434126028785,0.00419065460885637,0.005834891113998708,0.0002656690021813901,0.0006952089637373149,0.0003123090148340335,8.287187858146972e-05,4.033178112283764e-05,0.00027300640364880113,1.5317741020703934e-05,0.00013857225031643772,1.73917704349158e-05,0.004438188577124524,0.00030879535082151133,0.00039556804168872084,1.2402191854166134e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9285538672963622,2.6971107816265807,0.0873576852058755,0.15654457801779526,0.006544654818575468,0.02825887068958277,0.17664385519654607,0.010869960333702355,0.029728191859216935,0.0061502936324517865,0.017674037466524142,0.0015711620101797052,0.0004484913815514524,0.0056012007842669576,2.6811615111684817,0.25455111337288944,0.20508625806041372,0.05545884499045706
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07841782643143769,0.03185543631597665,0.004186256150995327,3.7620234615065584e-05,0.0002548085807032585,0.01201007687377853,0.005322334791179495,0.0007229022335319968,0.00018985989821063143,0.005198430892055406,0.00030089803938104787,3.3451934740691414e-05,0.005541033394479644,0.11034252693090241,0.025841514997956616,0.011262440811370067,0.0009369516559967206
