,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20C,21H,22H,23C,24H,25H,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0237394144608174,1.0228613749870086,1.4750477084804785,2.0841447488161133,2.4771621695408914,2.4964898715321486,2.924913065138072,3.8628365159004603,4.633064599147847,4.431669043880098,2.485004403079198,2.7394715769653595,3.691137000940103,3.9430412664548684,4.9233124475158,4.841232617274341,5.972526237886916,6.3931962210161775,5.702054294962147,5.074196137005458,6.709572439662512,7.229671009586578,7.165058076866254,8.022379255974002,7.709124487928106,5.512633431676344,5.696450848575127,6.406336906181687,4.640345089493516,5.746622215814583,6.791810775768143,5.492132457262903,6.2570619105179155
2H,0.0,0.0,1.6122735036528348,2.007524175793701,2.478857071955666,3.310332332407907,3.490181272010969,3.655341906913639,4.626541068403045,5.508302541498573,4.9868558400081895,2.415964687594352,2.1927567145616145,3.7568233444029864,4.245346230080392,4.772935989647883,4.4681267039700705,5.848345628660685,6.429481033253061,5.5686431461754955,5.109582112447933,6.607757795299157,6.96057712287826,6.746564670187578,7.77967504123404,7.472439789709253,5.135218878194821,5.348892253851017,5.925860460967355,4.159382746922948,5.678258470927013,6.807913541487121,5.364477868876461,6.1971297836181485
3H,0.0,0.0,0.0,2.025792893912043,2.9094498518207867,2.5544708912120644,2.491710072036722,2.6365643157271643,4.100224141931812,4.823504305383665,4.762293027247062,2.81799643949339,3.0380947336791566,3.9282452290830405,4.213872074693278,5.133176433478987,5.070132341767652,6.348896592075437,6.711174413191939,6.303516673413477,5.707400181267413,7.340440883760314,7.574391374889761,7.534736143227321,8.442231509413048,7.923347390154991,6.213895548372283,6.519074165287254,7.058769687154418,5.310643345303621,5.70004181874893,6.729150886415356,5.24520477045184,5.908483089755214
4C,0.0,0.0,0.0,0.0,1.1015876594492846,1.5446127743495441,2.1456785371900944,2.17160419831644,2.6511590048295175,3.6421030128755123,3.0041803156965896,1.5526321786468464,2.4270628830767307,2.456546140377875,2.519634085817741,3.8221961015886032,3.994817717885188,4.726582723076546,5.032878549498765,4.471935850540207,3.752946341567102,5.448673189361694,6.099773114066776,6.198694339207388,6.833901333284155,6.591163841434675,4.581826191155305,4.840409123438672,5.549747149277795,3.8756160892145766,4.725279298604873,5.671400805727379,4.765961457167592,5.542989513936308
5H,0.0,0.0,0.0,0.0,0.0,2.1544100450382047,2.62483473105485,3.042003746055266,2.7159757426991047,3.616594373443939,2.9283231205840163,2.123186478796728,2.923115690186523,2.845695694613527,2.740491177502622,4.121386369606811,4.309465083402296,4.697788576654589,5.020426633576822,4.091381496343848,3.2729475068442424,4.9690152039091,6.095519997420452,6.197440189819257,6.689800861654826,6.7371087853438825,4.133273039084496,4.167252023354982,5.179193283005055,3.572245750130904,5.253692480520968,6.142199547946297,5.510507112698946,6.330457421869847
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0941854059513367,1.1020344610535975,1.56700472569591,2.394292216101216,2.4250731966600494,2.6256157949981755,3.7001085810735157,2.9297498754610727,2.5220561189825483,4.371452693084442,4.845747869446838,5.226441091708361,5.214388664707882,5.163796467036687,4.306306657465333,6.031273216844841,6.691821513272376,7.007177970995789,7.391936594540638,7.038106281222598,5.65611305339332,5.943866083768453,6.644613986022215,5.112995976598601,4.927567872333456,5.650093473345127,5.0031320741876115,5.581130470559586
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7684076015907928,2.1597524222100724,2.461583205236829,3.2851983655436694,3.501064219657671,4.430005250817608,3.9927109375159535,3.602157431883117,5.43776124586759,5.843127338022686,6.295285874853956,6.286573806944996,6.131829717396616,5.228073877251115,6.9766262844845475,7.764150741549245,8.04614501600291,8.452238117229248,8.127867340130491,6.527430651624017,6.70304964947045,7.54268224042409,5.94784613249863,5.9790082137937475,6.704200348190399,5.9486503049891875,6.491868922622101
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182469472379443,2.9754265427337137,2.8455021044881414,2.7466577435564723,3.744237566754346,2.885314188335323,2.6239084414435068,4.204918826395256,4.7028641383862855,5.258020939458827,5.198633204949811,5.51011273719393,4.781152402888294,6.414224753697096,6.638482332524958,6.975987480888595,7.429942838418643,6.81885556211068,6.0731767021575,6.528289724987072,6.972058412024646,5.48341636988613,4.42764020142507,5.116349653077058,4.320453923584238,4.7765322521734435
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400641906633332,1.282810717632231,3.454871518704788,4.673306786097279,3.2138450825458706,2.3284827890673045,4.528041603461697,5.257593290889286,4.961956754832647,4.681584190576242,4.805122373276682,3.818308146129627,5.454313878759069,6.490497303866046,7.0074193428262035,7.007466529803494,6.861583533590151,5.631790147446105,5.84424324064165,6.6484573040355555,5.381445155084488,5.098061881818082,5.551951333186217,5.53833146495143,6.0487931761869556
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259108842786862,4.643410131884138,5.837422665261312,4.450728018986252,3.5368826931990403,5.742818891282105,6.495841679750561,6.089080317031156,5.704556924504335,5.864082393152409,4.830027693114659,6.3978877841758415,7.614138030261565,8.182167994900242,8.058360549099792,7.97138557963002,6.722021554746552,6.825212308410226,7.7594713157662865,6.52527014321255,6.2335426437553565,6.581152107470391,6.6586566389181385,7.089625604460697
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2690995576363435,4.4904686673285,2.6061195152482584,1.5510591993071445,3.685951831179259,4.539844839612065,3.8427395352468063,3.47183153034487,3.7227818088792453,2.7768501552087983,4.2923563005695184,5.364110457300526,5.970252813647721,5.8036879914519135,5.76112667907208,4.763557818046855,5.059381009737191,5.725588313475529,4.693029537060199,4.339391007363014,4.687552705076653,5.053248878440966,5.589929897571794
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2412364396789508,1.351964361277833,2.057248526024023,2.442332706557522,2.462709919914537,3.5607275640920597,4.061009776597299,3.6051619053637616,3.2177839763680582,4.683113147851274,4.78155308805326,4.794022063003749,5.626620459783328,5.225046749805502,3.6642110327093023,4.230604003542365,4.476069745406857,2.869463039775949,3.430194989764251,4.499444846827627,3.48884849825197,4.372219493451515
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2943580085616295,3.2048777733628273,2.8140330883723896,2.3096893323209877,4.001858360862934,4.731748525587917,4.062800414860052,3.944051025529837,5.158603152391487,4.922716320383703,4.659472377114031,5.830429459917385,5.372660596972568,3.6883595186974305,4.297507269173021,4.301275924041165,2.6772144395916975,3.7795483587167324,4.963603901407886,3.58359697709929,4.5234884177020245
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075718526917285,1.453198034206401,2.0535617508301214,2.4996700363018585,2.803642231605097,2.902546394324678,2.5695367316371533,3.911013499495877,3.8398216643022627,4.115458522376351,4.663350163214052,4.191932970853976,3.4804347048018696,4.209366664126021,4.239548832389986,3.0137070912876514,2.4160196344449147,3.327502875311994,2.91461407025852,3.7257455251039615
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.210137534399889,3.028557264369996,2.767079068689849,2.6988887168535305,2.991373444830539,2.345986495793063,3.8386261856047215,4.259285161244461,4.736748038145199,4.917563489756305,4.618442790774292,3.8848928839103882,4.454917279784308,4.749024351631315,3.6310107521232706,2.974908618019937,3.5863904540562217,3.644251177676835,4.30615009578518
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969800203258098,1.5492562376621972,2.140346362877074,2.5690519165585326,2.801376511775986,3.4948394857914074,2.541948994149443,2.8032700528817966,3.500402366679713,2.8075224880692677,3.15591318699872,4.136525481994509,3.575963397270948,2.863664575657722,1.531549036297381,2.4629654369194327,2.3944389116109854,3.214094244648496
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1953470712393197,3.0607571259129673,2.9407318924243544,3.3380568652133453,3.9141939672007977,2.745209248983331,2.556071217275817,3.7644896646308545,3.0827886496569903,2.9723442213904456,3.995165629926882,3.2208938769219855,2.43648070170613,2.1298264045613267,3.1967477653376304,2.5199725426242874,3.442174013232154
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976983397898126,1.5452891687848247,2.1565727644999555,2.147577726289379,1.5387841644999345,2.195591883995396,2.181291757735058,2.185599781401489,2.6120785342029107,3.545137976964337,2.912910007811787,2.900841889901345,2.544046657037632,2.8847919665358175,3.7355173953875487,4.401432084139407
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1383140239157035,2.4078559427743436,2.4247804055200097,2.143492048085413,3.0733679576857167,2.5131429658737106,2.4573456451348705,3.512389257864508,4.306385085951897,3.8870013456846917,3.8655284900038027,2.6650869000589896,2.6046892983098773,3.986775053819814,4.480446672026068
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954489560699299,1.1004577443893067,2.562494001248406,2.8908380463140646,2.762311165586606,3.5114914260633006,1.5364268387850408,2.174941547647919,2.197778754738638,2.1943197793112943,3.912143269252401,4.3744660879456765,4.959668294946921,5.73332440331483
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7565858254333293,3.4882823253211632,3.891742036507679,3.734274852900555,4.312597540734795,2.1654630616277766,2.4835373666125258,3.0914386914402034,2.546970672124792,4.125562710291404,4.617163715719981,5.1080209954397375,5.876874395636949
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7581911357986115,3.218428393557671,2.50467674275702,3.7230457778980135,2.161984629531121,2.4942558109777364,2.5256470735043983,3.0881985486380867,4.67246246305141,4.90872566653302,5.834714115796908,6.533459076926244
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978720413507796,1.0977768535066035,1.094515164454743,3.169464359280132,4.1507702120581715,2.896286021653127,3.579815604978555,3.07964571699992,3.1898186889983906,4.190035729859997,4.737003946906551
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716146014001284,1.7746786940760002,2.9285110319053524,3.9403906491724157,2.382203014384728,3.208909704689423,3.4850443587968534,3.8575976939344656,4.335863381359224,4.974957997695233
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770628852541471,3.4401162009195128,4.241820726975885,3.0587311078694635,4.119848512134884,4.067287122843604,3.9925444561985404,5.245551217558259,5.745413490412365
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199310157832397,5.211586762093924,3.935805362302927,4.475247520714809,2.754395289825434,2.5710497063892483,3.831536386136921,4.1810612438669015
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097568018338298,1.0980449612919976,1.095798320671993,4.632139866529525,5.3392074615646425,5.409348607772405,6.295100338047476
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672823841107899,1.7687513547119813,5.640767752524414,6.331890441607953,6.4083494593568915,7.306365329715406
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7732271202706615,4.906783941829945,5.545360647911624,5.677317068979606,6.5258962577612625
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.353216760905467,5.26051981449113,4.884568154640774,5.828127505124777
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2154874052131845,1.358289604570195,1.865984233717338
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2431310229194388,2.2423405854692975
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758432700323577
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
