 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
N1,0.0,1.7018378671197132,1.7923614471020382,3.121451463983176,0.096708389125712,0.19197667883268452,0.03439387885434375,0.00391087823212799,0.027690973404572106,0.006832914735876022,7.473364341237243e-05,0.002755047905389524,0.0019985913388221727,0.0001352199721526004,0.0005793101891656272,0.0010549701656500515,0.0013101618296753603,0.00013012260504904893,1.4123496501650123e-05,0.0002409156476943508,9.690716864962923e-06,0.00011161107148345562,2.551523708316239e-06,0.2194672427679136,0.0487729432097036,0.03285017800669367,0.002013397678923723,0.0072675842819242276,0.0004657020725096217,0.0009263532022844023,2.406958440004381e-05,0.00023680964826877648,7.177280797095176e-05,1.3719122729627387e-05,1.0250057816796332e-05,4.161079394382483e-07,3.5705231398175385e-06,1.4289930208022383e-06,5.028567840549558e-05,2.0953415074131954e-06,2.262393909546745e-06,5.976213688385634e-05,0.0008011137499978893,9.775769976393123e-05,0.00022888907935569858,6.72454726022842e-05
H2,0.0,0.0,0.026868740753179132,0.10957447594718484,0.00426863489984064,0.03512380054691888,0.0023878743835230587,0.00012404515460007204,0.004387324442230445,0.0013547684221283385,1.6889353405602492e-05,0.00027520023437854757,0.00033505290871937987,5.0797786809386736e-05,6.726639611664975e-05,3.7963916996064384e-05,2.929888137392922e-05,1.3338307575327946e-05,1.6741101220851817e-06,2.687452345295771e-05,5.149710402552188e-07,1.2780343657370352e-05,8.940748741359528e-08,0.016865402555125253,0.036831413946029734,0.0028299643340464753,5.086224542538709e-05,0.0004759778077420007,4.6213318949384075e-05,3.459567572750011e-05,1.3663772765903914e-05,3.261470639115416e-06,6.856897180052002e-06,1.4793596072593118e-06,1.0879780039108056e-06,3.127711458716931e-07,4.10846731746517e-07,5.4319764242194424e-08,9.105306694179305e-06,5.802685054678847e-07,5.989586360222177e-08,1.2202216852497116e-06,7.127847772891993e-05,1.4639701075735978e-05,1.1409127540162878e-05,2.277097127967309e-06
H3,0.0,0.0,0.0,0.10376041821480442,0.03790402836973894,0.013378785102009072,0.0021247824237138335,0.002544671583343927,0.001360813441918407,0.00022667104339413324,9.732574031806607e-06,0.00040511730753944875,5.112962558229128e-05,7.090640548934601e-06,0.0001123975047541137,0.00013556608194476016,1.3854631285781238e-05,2.954683340350428e-05,3.3909778598406604e-06,4.02024293381098e-05,1.2365183632567778e-07,2.8172990526376118e-05,3.628508946640352e-07,0.00909919445693197,0.012689147780581944,0.0013278674396443035,0.00020563363666981083,0.00025237390988275266,1.3867745302764689e-05,5.118566582296147e-05,1.7588190448503127e-06,8.715276692994323e-06,5.665360077733439e-06,3.877640005756078e-06,1.4510902794917513e-06,1.606458970293545e-07,1.537715439425824e-07,1.6567879179696376e-07,3.3780798122218236e-05,1.5261130601462725e-06,1.7837005248377835e-06,1.9358469636632236e-05,1.6244226834105646e-05,7.1787311742843585e-06,2.1224379246342906e-06,2.3189354059205414e-07
C4,0.0,0.0,0.0,0.0,1.8757142609330417,2.511944495470692,0.09183755447471187,0.07766666275716405,0.1733424709087307,0.046579352671279245,0.00031377821679789974,0.019521015519666507,0.012639919397661181,0.0003303889617144451,0.003760492544832683,0.005025761682013852,0.0021505754126101007,0.0008245206952779971,3.729680678299374e-05,0.001943519858796594,9.274235951872711e-06,0.0009665112942633669,2.3910241512714592e-05,2.5666756342618187,0.2795031719315741,0.2096467486092148,0.011652960033503246,0.03508890306471846,0.0060604744761740825,0.0037081021697940586,0.00012805581741814898,0.0011021140668494578,0.0003053047573078338,9.293189244696798e-05,6.32008788944427e-05,4.610805056426415e-06,2.5771431099608222e-05,7.878394997939964e-06,0.0007308836953884013,9.678752389774559e-06,1.1672905584347859e-05,0.0015998136901236304,0.00336095664903302,0.0004111496281258009,0.0009405734085430467,0.00021030707994162956
H5,0.0,0.0,0.0,0.0,0.0,0.0763895555894194,0.001546878739791424,0.027969267359158945,0.01572682361804212,0.0016614077369534463,0.00012488412769862123,0.005999462455644089,0.0006875763250111522,2.7109190644081238e-05,0.0003524428945305136,0.006360755174861454,0.0021041522787028644,0.00047087224957187424,6.4482174844116e-06,0.00039703418322489803,2.108967972480613e-06,0.0005213024758241591,1.413677481099107e-05,0.10434926209991358,0.028427581237410293,0.011174488824920892,0.0007940879197565476,0.0013400618711736367,8.341718524706998e-05,0.0003851441053728255,5.439715720312321e-06,2.6747154717732258e-05,0.00010327932772513648,0.00010242421413231284,2.4137384129763184e-05,2.1726369059393846e-06,1.2609586085510216e-05,2.4796981512587024e-06,0.00015022628066974075,3.4123601024838024e-06,2.541210475603961e-06,0.00016104503120462077,0.00040427339728110745,4.034709269329362e-05,6.4233623171428e-05,1.9300785327969194e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9358128304011681,2.006198963116916,2.8328511206071734,0.25776583182953167,0.006081585413562074,0.18996911751512574,0.04915369765402658,0.002554448998188019,0.03424838108109313,0.014663059944042961,0.002351769766056,0.005256222435523442,0.001093172654719643,0.0038180772248888883,0.00014656417712499703,0.002439574897934643,5.576640555604584e-05,0.17406056731275588,0.03882908145996433,0.026518974449751292,0.006991655799848617,0.0028751419699387104,0.0004638779773891155,0.0008786992619781719,9.925826268020188e-06,9.096521385787426e-05,9.276403025924862e-05,5.7790784988354105e-05,1.666856338265743e-05,6.887566996738315e-07,7.865368444104348e-06,3.4675574420717226e-06,5.3800427992606314e-05,1.1259850725142684e-06,1.930519462289837e-06,0.00010804206411330064,0.0007242488181484763,0.0004300207467227424,0.0001726306682313522,4.273442144342443e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516185635406143,0.10479666829903467,0.04044272930878812,0.00012200074075807699,0.011792680340531492,0.008251285814550813,0.0004269447507472268,0.0019951003848905913,0.0030900115317844534,0.0017503336787192403,0.0005972063576016318,3.372313065153065e-05,0.0010281794579849457,2.8305458795729876e-05,0.0007553949933722937,1.3225652739201621e-05,0.025500911875094623,0.0035763695824591046,0.004467705952316825,0.0011524639081497146,0.0004620789055247432,0.00013438037864310637,0.000135539255664896,1.538590428173947e-06,3.3226580793410676e-06,1.5646528725321573e-05,6.365091974602777e-06,2.4197903119027586e-06,1.6515405398820349e-07,1.2539495022334535e-06,8.782043183774846e-07,6.448718886109539e-06,1.089686549882174e-07,2.6641262085291828e-08,1.196835565453469e-05,0.00019628609947996978,4.279381095217971e-05,4.4843458215759746e-05,1.4192656043743312e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10627393362347703,0.013852273515388092,0.0026605027210393484,0.023670403778069504,0.0011730839646204583,0.00010343762534059664,0.003153047654991026,0.0014276985207526405,5.052371323333027e-05,0.0007324766386302972,0.00012048590634616829,0.00032543118052430486,1.830194178698008e-05,0.00017329366160767634,4.821967489077039e-06,0.016073513140786533,0.002186521288280563,0.0030716926434080083,0.00030097804866646705,0.00025209716025598183,6.0800817740069846e-05,0.000122223209958916,1.5189541069382528e-06,7.040853464923558e-06,2.01988215091653e-05,2.445006040163733e-05,4.654252208302623e-06,4.9410760816215316e-08,2.4515182435180805e-06,6.381933637111814e-07,1.685330664957796e-05,8.044368104975774e-07,2.9906482268415857e-07,1.3048192758935429e-05,0.00020206671023514922,0.0004920616644066289,6.389152629981965e-05,7.341027422613777e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14066086249599,0.11917209912174043,3.2141800586832687,0.4913138132776198,0.025612676321368655,0.3390977661651281,0.22753525614164172,0.008047777147360824,0.039664834372596935,0.003845541774149641,0.07057377330771131,0.0029195082658026728,0.024286023174305005,0.0003523606932307466,0.010357897941349753,0.0032453211093327466,0.024279138731924804,0.06899186734437224,0.0028485007699951548,0.0006852562450868627,0.00014890712876330925,3.219071498183901e-05,3.111842140324228e-05,2.5774369923070584e-05,5.743245049760759e-06,4.814355535676107e-06,3.247829445385264e-07,9.227804145250929e-07,3.766944070004996e-07,1.5948467805018685e-05,1.8981282583485637e-06,1.30239406548327e-06,1.0865613575328226e-05,0.0007905781092404085,0.003338311791977841,0.00029962236174631285,3.0867459717476287e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9174626720350245,0.3917071047839805,3.3309520106342747,0.11123873546528451,0.45260668722732045,0.10813554772472453,0.0007676248868142554,0.07442802111458657,0.0006762009061216379,0.030957014341188416,0.0009408679987303881,0.0755169781712027,0.0009152178697724445,0.004682428877691713,0.0019827733467832342,0.024677135888031526,0.06940869085061663,0.0025210023666719095,0.00048404397229551144,0.00024412440609933306,4.4449632638610126e-05,2.4827746373690118e-05,2.7874294366736496e-05,5.3313967218748815e-06,7.033083979063326e-06,4.817547583080284e-07,1.302034062344859e-06,1.5334872904837482e-06,1.1710585728075262e-05,1.0374083683206692e-06,4.4766712115063e-07,4.702895049613076e-06,0.003234795385837569,0.019262315437117872,0.0012554070129905393,0.00010056568971994473
