,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
1N,0.0,1.020551188423613,1.0218151026677602,1.4617088764323602,2.0755324448058063,2.4642086260189493,2.4308868633376663,2.9256755099972946,3.7698940633078966,4.939776404263179,5.30099603544579,4.429199758996532,5.986452946017086,6.934399369644124,5.767448795908533,4.428584976324527,3.683253382213532,6.84665834411006,7.846690242358138,5.734170517587647,6.098351531520257,6.809025932565064,7.799801905971449,2.4963115986201845,2.7514955578178033,3.7359478046127235,4.009873264165406,4.9593571806076255,4.869062567297053,6.008156417112289,6.3725646275362715,6.914637593473099,5.890145691616487,5.1405813218558905,7.2700089142361985,7.543766017494396,8.075721122643152,7.48080442142196,5.89581918536603,6.218558877376804,6.774242161540959,5.042918011007274,5.831895128335781,5.910455413365474,6.901042771369825,7.513032231735769
2H,0.0,0.0,1.6047758773294287,2.023436277348159,2.4108634813873633,3.3436622857252183,3.433419025432709,3.759076087747136,4.557693437930094,5.676366809006792,6.003448815138739,5.157355421931177,6.694912697171768,7.62298021024954,6.463070799822355,5.083872868503607,4.318320342305689,7.49390275261139,8.48651556900591,6.315036239919743,6.604854250791358,7.407242674865638,8.361233705346484,2.5727321965855365,2.4682455369507967,3.886468565085432,4.353744471321957,4.959098240171451,4.714017603389286,5.887915187973485,6.381394157393061,6.754834667286677,5.558413409516896,4.842702243133785,6.926249909215955,7.324617345325568,7.711790639240825,7.033374172279697,5.35283102069401,5.555376350706914,6.24357707872063,4.4722494861314726,6.0187711528995695,6.29226781027585,6.982358269353946,7.6883407139775715
3H,0.0,0.0,0.0,2.0268672928236087,2.919370698078089,2.6391874928334516,2.571347649770047,2.717013238575839,4.109492289314199,5.151144021231575,5.338481823141118,4.991229107443823,6.331930228076099,7.240391972222867,6.283975687312746,5.151259701332936,4.451910373319534,7.455840839711627,8.424058121241226,6.502006749664797,6.918127377627958,7.52627722630033,8.54763926766961,2.7213563191644594,2.75333888648099,3.984487760649896,4.323674409640821,5.071572213905968,4.865501100692679,6.300821674214355,6.731000283647659,7.115168801337094,6.3499703546907105,5.728053128657317,7.806225523221116,8.124070221417737,8.524358111727047,8.09762551666364,6.248933727473854,6.670000783828613,7.018343817675664,5.303881510443494,5.765712713192978,5.817339052574515,6.751121939712873,7.299485252514527
4C,0.0,0.0,0.0,0.0,1.0987026139222407,1.557778513043404,2.130524753002291,2.185250981855922,2.5918062480446915,3.6598275806460707,4.0457902067423435,3.381119913712901,4.691234773783675,5.607672319766119,4.590576438645453,3.716599914729138,3.293112745924453,5.747202731010781,6.682600167277094,5.044631530448127,5.618942524112686,5.911539741702791,6.944571695329494,1.5487476254751191,2.425772800782488,2.476595054459556,2.58555605728814,3.84607184428882,4.023549168758916,4.846079891971459,5.066701830103372,5.811988433006182,4.902130901639288,4.139749138563278,6.248994235556557,6.391814581042126,7.067476339355242,6.592243417838509,5.223927285122705,5.690555497767019,6.101833902270987,4.5170649056640135,4.685247600860649,4.6941905649103495,5.870639302974086,6.46525313197581
5H,0.0,0.0,0.0,0.0,0.0,2.1662903026102884,2.6310770550921556,3.0481481351841673,2.6542365806389827,3.7861557342622505,4.3841575330052445,2.9804957000769465,4.541775095429794,5.47623897280117,4.185763760091076,3.07594719248124,2.68592381248684,5.171975873808024,6.135249473293011,4.287830583034741,4.806045704096321,5.1892067073807615,6.170674653378393,2.1443335732082907,3.0666447196695406,2.7515053676848664,2.7034101158958426,4.147619565994587,4.460185984015407,4.828705142917291,4.927447152261522,5.877657503364629,4.660010422520528,3.730884147104466,5.845459340463923,5.902554812715899,6.770830078684875,6.079178258583626,5.14640381759448,5.473509378299121,6.124263157248131,4.609845594402449,5.135975902020428,5.168591097111321,6.354019572087005,6.992120302195751
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973612265849777,1.0978378895131307,1.5036207640388264,2.585017621076288,3.002625271641064,2.629097306251038,3.722030196843387,4.643273628077893,3.7692741048261,3.3107035712853223,3.1264401411538323,5.0472106591320784,5.941279245105782,4.681515744825653,5.414100584340277,5.393642454813682,6.472527805039021,2.5874987417987834,3.573162012636665,3.0212948081919193,2.69026720400571,4.362899634865375,4.742514307868593,5.480361068183936,5.4824978955883985,6.408875017987997,5.881152573582681,5.180646003936908,7.168523892051413,7.134835068139349,7.951077379790777,7.652265320163134,6.412890766450686,7.006550314080647,7.202143319713145,5.758495335214316,4.732810319071015,4.343674062632107,6.003798695693333,6.387817256791476
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606878791676237,2.1323793038939534,3.3202182740583246,3.8281456109055667,2.861265533125991,4.3040907508851864,5.254352441710968,4.12621061962767,3.187512788705715,2.783598174689855,5.275465907713855,6.233206827935734,4.54418817217174,5.142698042322502,5.4212813095753365,6.463739004709931,3.4460172130524978,4.278735043429659,4.070652126270986,3.7661229555444535,5.424037704603633,5.727368645320822,6.538067276038852,6.546554654003847,7.479313528406787,6.837506206665612,6.069669218428732,8.115809411367072,8.086147864723891,8.93935040581876,8.521757037396371,7.297461210817059,7.808186179803006,8.12799772402412,6.593416800460352,5.800524156760541,5.375841685290623,7.049377542239521,7.409135702631114
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14336694143884,2.730306136648097,2.740706895503595,3.49424037831332,4.0547812841983815,4.849568294230151,4.425372506853681,4.340136399834003,4.2009470075287245,5.780123314754045,6.5770384097675105,5.6867393235359,6.460658099705369,6.288330507397917,7.373621274351461,2.6853370895540967,3.498267535408451,3.057910131333235,2.848611818782604,4.173828558414657,4.467680173769179,5.489317738775273,5.567192007038991,6.293463793982212,6.104189704374431,5.571132103639251,7.463819647923688,7.483493993646375,8.131374062712753,8.049458638983,6.542369266980487,7.254985409771582,7.2038043875604885,5.822837655914133,4.270291678893682,3.8125716192852606,5.456570234447536,5.746615047042
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3766975776111867,2.2263217305687704,1.4461327023128447,2.2593941131965245,3.224912386587635,2.310370373003994,2.624072529319155,2.960719773952912,3.651389135959284,4.480981364668182,3.821009462683158,4.7470853681276,4.216988280831502,5.302142210170204,3.3833773618288165,4.559793035699524,3.229556955704607,2.45784462318912,4.513349128578317,5.191671395923495,5.357600152121573,5.058414550560374,6.315338258703933,5.8662367640397255,5.145635261465049,6.939208225580878,6.677751535826211,7.749424677845976,7.4824317200545325,6.727379974305505,7.339330132753987,7.5106751086735635,6.288073002304782,4.731262346628296,4.136915916504274,6.0760201074864355,6.375621778609558
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816774793687494,2.259376354826067,1.383329777725556,2.128193441775875,2.2560257949719067,3.651826249867526,4.213449946577705,3.62954141494549,4.171395745623732,4.599030889153994,5.632444361361348,4.589360110777324,5.6177584365286535,3.99582422341956,5.159740945265712,3.4040474251076023,2.4750539397918097,4.369447835076795,5.2072638307015495,5.141162588667562,4.66791279601831,5.975958881562114,5.954602899473819,5.417990474691817,6.918359305164319,6.541343068098678,7.611048266778293,7.617565444425406,6.965060651320983,7.703461507155183,7.6092450857349,6.637511486155837,4.1937550631453115,3.3524735523749847,5.495482041244542,5.630378402496663
