 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,H6,H6,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,H14,H14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,H16,H16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,H20,H20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,H23,H23,H24,H24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,H29,H29
1N1S,N1,0.0,0.02425242517737991,0.0005018727266077327,0.0007260075473025651,0.0004761884227286739,0.00010278646244121781,0.0011782051973932006,0.0014698792159173468,0.00048064297725902705,3.0916895952526335e-06,0.00013507492816333677,2.0215977790227768e-05,1.5003443523814441e-06,6.229318366315906e-05,0.008273012533239754,0.0014664491673855862,0.008246355070517186,0.0014758309087467003,0.0012660054785194053,0.00238672971679299,0.004868525655604472,0.0030027478288217058,0.0027954122367510603,0.0006514695956949534,0.0005206046429835354,0.00033003307180368147,0.0001848336708214493,6.804498647734747e-05,0.000500316392438277,0.00013562253864110585,5.810205972572868e-05,8.851767884421324e-05,0.00020763196451478727,1.6735321609839815e-05,0.00024272264688462997,1.1628206055824819e-05,5.660639226801045e-08,4.39085807890649e-06,9.441785603359065e-06,6.737527714628655e-06,1.1327975752983832e-06,1.9323499825141255e-05,0.00010269254907213643,0.00010073466184346014,3.2061874865041418e-06,7.173007246341623e-06,4.321480264107835e-06,4.794632051552394e-06,6.555447489953181e-06,1.4759513368045596e-05,1.6097409970411425e-06,5.678808225217935e-06,1.218823386728296e-05,2.7936024719732444e-05,1.3952211752155108e-05,5.887928695269551e-06,2.3132113957657907e-07,3.27004083988669e-06,6.2976749615195615e-06,4.636014322434434e-09,6.266562599388514e-08,4.009838616703121e-08,1.2745948793635442e-07,3.759806993519632e-09,1.2319493884749289e-06,1.1002959447115046e-05,9.99980245808274e-06,1.3522513850672269e-05,1.3860598736981089e-05,4.208711157360767e-09,2.2992341079941525e-06,7.22411750597729e-06,7.0690016999996885e-06,3.0766232617107647e-10,6.578918562705205e-09,9.555062263633118e-08,1.6140254704977153e-07,2.62880315321512e-07,2.8414444119162496e-05,1.710608236504818e-05,1.7314853775762806e-07,2.352320026988153e-06,1.9308350651670025e-06,2.155526870772917e-06,2.7601362013740527e-06,2.7131909385857966e-08,8.294025022337337e-08,5.028811433938074e-08,1.5284495757938998e-07,4.713124743260799e-08,2.079514803687843e-07,3.991576746908976e-08,3.477269500118396e-08,9.38671662620294e-08,2.7443705752361325e-08,1.7660711659761574e-07,1.7207657798667952e-09,1.5720672319474716e-08,1.1930090026979201e-08,6.008445030403209e-08,2.6957379439807028e-08,2.9735279571951878e-08,3.767979261937171e-10,1.987307007844663e-08,2.464680481928383e-08,1.5403570696737034e-08,1.1319555293098915e-08,1.696011803220543e-09,2.012119082461794e-10,5.799422914121166e-08,1.7563526188979495e-09,2.8641077731705877e-08,2.8151589392955145e-09,4.1529446548338456e-10,1.1791498888413798e-09,1.4542167470210643e-10,3.322420449869412e-08,1.7895080972607502e-09,6.483789061206835e-10,2.395861287141088e-13,7.455627892838379e-09,7.355638320660773e-11,4.402073205955759e-09,2.1714849363085875e-10,4.049932250671517e-09,3.638200851696638e-13,1.6900010280096467e-09,1.624700374236454e-12,2.1169206387838813e-08,2.199629034471684e-08,8.409315743751478e-09,2.7605456365265013e-08,1.870685051308385e-08,4.1839428810419577e-08,3.552557070740647e-08,5.191844731911033e-09,3.0402140360763497e-08,5.22564880256482e-10,8.518083571829038e-09,9.229387532005973e-10,1.5708492284716158e-09,3.8344952213442696e-11,2.6589656310083143e-09,2.238206481264271e-09,1.236688529360208e-10,7.185985140267803e-11,1.7194355272920347e-08,7.835343707185416e-09,2.7249003053952947e-09,2.827065248567351e-10,2.940374332904838e-10,4.037912226806384e-10,1.8053967210107658e-09,1.0466272293285783e-09,1.0914118497851177e-09,3.924769398366834e-10,1.3322676295501878e-14,2.0946289147616426e-10,8.704783560631313e-10,6.804629082424185e-11,1.745359412552716e-11,1.4720814844881858e-10,2.120481568113064e-11,3.7584327317041755e-10,2.2692980827798692e-10,2.480691208006647e-10,1.5676593356772628e-10,1.605804378357334e-11,9.252600907672104e-10,2.490612160954697e-10,4.397349659401861e-08,5.362146593412831e-08,5.759082100098567e-11,2.2686764222790146e-07,6.141895658728913e-09,1.814851935399986e-08,1.6731256380353443e-09,4.197826131147053e-08,1.1880576078482363e-08,1.602891219754099e-08,4.54816911910072e-09,5.109243894629856e-08,7.488946426881249e-08,2.38839892308107e-10,3.4667269055432826e-12,3.865758380072748e-08,1.62818569737766e-08,8.501293313756264e-08,5.5320168224071153e-08,6.953090414540952e-08,1.9605425327640091e-07,2.0305476189363958e-07,6.48195652042105e-07,1.8032797477474105e-12,2.969177681499957e-11,4.2687473278402166e-08,8.596449746489654e-09,2.7992750617489293e-09,1.1484660986105233e-08,2.6939207975473778e-08,4.3127344140359014e-08,1.0794544147429974e-08,4.4519918862562236e-09,4.664955088884426e-09,9.184624172320355e-10,7.15892234381954e-10,5.610756304008646e-11,3.885258864633201e-09,4.022764940603274e-09,6.813308403574858e-09,1.7918477396294819e-09,1.3050217573251643e-09,1.8463989004402492e-08,2.3255371628394528e-08
2N1S,N1,0.0,0.0,0.008803629885435704,0.013678962793679528,0.013208310620536512,0.26781479713292633,0.017826146033669055,0.024005980332676646,0.014742626770068323,0.00025074020180593237,0.002933106362674076,0.0012249256239167394,0.00013835706755571664,0.0028230644407163386,0.11352580162144577,0.1632924179789037,0.11315666399546043,0.16360846705676346,0.0034598088518840164,0.006180058346884287,0.05103383915477222,0.02992337300120118,0.03206759397537029,0.04038571353412568,0.12375692356907608,0.08196865866982428,0.061370644088621695,0.004551552204036913,0.030611315320240973,0.010075986564844097,0.003130190529329502,0.006226525164564123,0.006177865557324136,0.00011228826983744611,0.006853310930860168,6.056495592376976e-05,2.6850637566022684e-05,0.00018279192418546586,0.00020963927543071748,6.39854355086733e-05,0.00018182142739586737,0.0003255273137581227,0.00031308265961227377,0.0006733611145883778,0.0002348516354504504,3.626083517893619e-05,5.671688889585802e-05,0.00020642736525666727,4.450178900938795e-06,0.0003887950774053017,3.7765210658680104e-06,3.4809110885269945e-05,0.0005481657915060723,0.0012300264267151029,0.000637045105229106,6.77527259962396e-05,0.00039121080465687186,0.000979868814517726,0.0005937899543440039,5.011745286331859e-06,6.465430521807036e-05,5.747420588342322e-07,4.658736971463462e-05,5.276936862141923e-06,1.2286076865208884e-05,3.266991477346437e-08,0.00024488077669637676,0.00024351575919068225,0.00011188943123663364,5.215053446860907e-07,0.00027831174781045576,0.0002007793542944114,8.75490018703573e-07,3.3788064612849666e-07,8.818328776927231e-05,6.169857175164495e-06,2.9750182240384504e-05,1.081113912082543e-05,0.0007392886360175766,0.000531089713059707,5.315418415641204e-06,1.002589354870409e-05,7.167602034119369e-05,8.248619126227652e-05,9.638926088584299e-05,2.1142558903619602e-07,1.7908570269842272e-05,2.3769516771299237e-05,1.4855424930182437e-06,9.945241432607332e-07,2.2258683057385653e-05,1.398850564804377e-05,3.205611161405386e-06,1.7691643503514598e-05,5.976696150433725e-06,1.6908497649570364e-05,1.5639432771052952e-07,1.8156670265057073e-06,1.6714153971975065e-07,9.562107617711035e-06,4.893791704319028e-06,4.7203173991761105e-07,1.7587600087409783e-07,2.3064566194719305e-06,1.3182406277678638e-09,4.4527953502182527e-07,2.3435124791859607e-06,4.226129706186299e-07,3.7187874557531586e-07,1.8793757547985734e-06,4.301393610184334e-07,1.9343981749742056e-07,7.737819274211688e-10,1.1264495247687023e-07,1.0956357510139014e-07,2.295777745686678e-08,2.291455718950175e-06,9.148669732894632e-08,2.474538756125355e-07,1.3184759972695304e-06,9.797355682295006e-08,1.102328495150573e-08,5.436833689920206e-07,5.493296950653814e-08,6.531808871557132e-07,6.820916720329251e-09,6.3692611540489e-07,2.8198487989072873e-09,8.640088173805793e-07,4.6923607488480457e-07,1.1773767805145496e-07,1.7549033266561764e-06,4.377010789369251e-07,3.738254029883592e-06,4.359978138968046e-06,5.281970918424861e-07,1.8800289058873432e-07,8.024518156624083e-07,1.6778367579739495e-06,1.5788283969087047e-07,2.515604884401057e-07,3.4769054968464275e-08,3.541166715415045e-07,1.3213492744412747e-07,1.1917745501577315e-07,3.3236957897031516e-07,1.8740308576070674e-06,9.582552538134337e-07,4.363892980308037e-08,6.8680199305504175e-09,5.914270406748301e-09,1.5733653269123238e-07,2.892481738570041e-07,1.2548240091447838e-07,9.758989660824113e-08,7.475718977190127e-08,1.272013498976321e-07,3.3456446058011124e-08,4.102775452707874e-09,3.342703891462406e-11,5.7070324022134855e-09,4.2311857351151616e-08,7.82956899314513e-09,4.44095087370755e-08,4.255893282234524e-08,9.71936797711237e-09,3.141249704796678e-08,2.006978139235116e-09,2.8294233178627337e-08,1.177321795609032e-09,1.8400435086718403e-07,6.378468286438732e-06,9.327972763095715e-07,6.642070134788014e-06,2.9625941344590956e-06,2.777278520493809e-06,4.6349428961534045e-07,1.4988687913053411e-06,1.3119360753321985e-07,2.5071612215210592e-06,1.7962738170229642e-06,2.097663111655379e-06,3.761619571163166e-06,5.22740264408128e-07,6.555337295210961e-08,5.730347405474845e-07,4.079485499186575e-06,1.6895100749536596e-06,3.882760166717958e-07,7.358554654501859e-09,8.187423383709813e-07,2.5673533725623088e-06,2.660360951534102e-06,2.3819474836983545e-08,1.0394085592224656e-10,3.723152763868143e-07,1.3241552299092518e-09,9.071452478082165e-10,1.707418690877205e-07,3.27566505609056e-06,2.4155379261259213e-06,9.943316490179654e-07,4.782175104800501e-07,1.539385753535072e-06,1.427998777003836e-07,1.219523213524809e-06,3.585977204068058e-08,1.8445039606795888e-07,2.1324825283386417e-07,9.754190670729912e-07,1.6018405757378673e-07,1.2820207073716006e-07,1.0538554353622942e-06,1.0470441673682274e-06
3N1P+1,N1,0.0,0.0,0.0,0.008526203746269001,0.015782672054464264,0.010469355835960314,0.27132166175190875,0.008685268797320234,0.020097265410241594,0.00032199813757638474,0.02645195615349971,0.00852781292375937,0.0006221257317600148,0.02355208295892086,0.09718277116431118,0.038278164660592306,0.2272080312486593,0.14521921511218583,0.008075108394899333,0.048573810444753285,0.09974251218926211,0.06781081494429753,0.0772087359163578,0.017081202814084318,0.006638878985550267,0.023296748506068,0.04657354603090491,0.00992951540828213,0.0009602636674519438,0.009073881925107719,0.0018204458955739522,0.02623759470926479,0.004154405084923596,0.00021546792630866562,0.0007206716416905401,0.0005923547327437717,0.00039856454678366404,0.0062838487550287425,0.0032005999216191405,0.011140001361392926,0.0012653957404618055,0.0022472696608168974,0.003761526734582077,0.0007534280363334922,0.0018054531356859194,0.0005897194949915363,0.002123060723533854,0.0012009295289170385,5.885444645103988e-05,0.0012399517500107926,2.6680873824957985e-05,0.0008188621734963597,0.001404331369233791,0.005635061604002178,0.0009839979067969296,1.7889556431338605e-05,1.6211246308905913e-05,0.000630622006553061,0.0007954260438975957,9.36203471724184e-06,0.00043700984729855286,7.804291565616239e-05,0.0006942111086789549,4.942823602416269e-06,1.7268234669076676e-05,0.00050033182668896,0.00019296621384423673,0.002601891676173196,4.330006043273826e-05,0.0003775776128649433,6.081259529011618e-05,1.0328211787591357e-05,4.123435976177703e-05,9.548516814938957e-05,0.0003825338127876332,5.967395611428117e-06,0.0003909689772201297,8.125145958737257e-05,0.00010603437726119935,0.0033605689764084623,2.4793634514352902e-06,9.486315920215205e-05,1.4844781874856494e-06,6.041728949712777e-05,0.00016809133365258688,1.678786447190106e-06,1.257838447354942e-05,1.9107082391833785e-05,9.4038198872326e-06,2.308240145909579e-06,1.9124427188765836e-05,5.946490094910217e-05,0.00011581214144684715,2.5593565267101326e-08,2.111483680922177e-05,0.0002179496375607215,4.23869510157715e-07,5.175593935646816e-06,8.648312080694609e-06,1.5743446166727182e-05,1.4427310254916392e-05,1.0380892767614114e-07,5.516099475411096e-06,1.477055935339422e-06,2.3965659057267885e-07,9.293955323119718e-07,8.748338342634554e-07,1.0735630400215967e-06,1.1446416658955627e-06,1.5466243330486407e-06,5.20910534707042e-07,1.6467880996628992e-06,2.105230012539039e-08,1.5042956995614531e-06,1.5346368096302854e-06,9.313773574604056e-08,5.182102030154567e-06,2.236975535474528e-06,4.423043335144428e-06,1.1291871890861671e-06,1.9000845341565764e-09,6.349087080526061e-07,3.631370318002425e-06,8.685907104677426e-09,1.1738868477273456e-07,4.903428219016348e-08,3.923923017179476e-06,2.6422420846827777e-06,2.228815457083755e-06,1.337362289444144e-05,8.06259843333379e-08,1.687618101708921e-06,1.098440285396407e-07,2.296675047031016e-06,5.997117299649801e-06,3.278472449075309e-07,6.947979365179435e-07,1.2255668258021046e-07,5.156787281634934e-07,9.061039125679571e-07,2.2705036228920505e-07,2.646215144785913e-07,2.6241153694428476e-09,5.39553158374062e-07,1.1782661921699855e-06,2.949352850833975e-08,2.202777195314809e-06,1.4222918220951897e-06,9.50035676794414e-08,1.8035557936002533e-08,2.0544133505495665e-08,1.4769234994993496e-06,1.2399323527922945e-06,1.052495525399877e-06,1.4453824093152434e-07,7.486363329256562e-07,2.2735740090595868e-07,5.136188261367636e-07,1.4974608220086338e-09,1.0290652352473728e-07,4.310079582126036e-08,1.780889973268529e-07,4.81377560035412e-09,5.185237172966595e-08,6.177086708802904e-08,1.7888992509540458e-09,1.0172565989563509e-07,3.7385802142964053e-07,2.0300205960666062e-11,8.99215870653336e-08,3.07280340283711e-07,1.6953838547273392e-05,2.5055289603059805e-06,5.711058982615924e-06,5.260379727367592e-06,2.569270773911114e-07,2.484160233651167e-05,1.2329179542192037e-05,6.406376192646945e-06,4.724179774040493e-06,9.94719482561024e-07,6.663194390243987e-06,8.775978841413234e-07,3.566011377298395e-06,1.0420262186450202e-07,4.5845461604798743e-07,5.078574271344394e-06,3.1458996962996366e-06,4.278157011761152e-06,1.6846992201280386e-07,3.799676452143075e-06,1.3990141489728103e-08,6.969476909368666e-06,1.3162165135582882e-08,4.0251049449047116e-07,3.6080978205177416e-09,6.731208519461518e-07,1.4874508358353467e-07,2.72678013502059e-08,1.582826164359119e-06,6.202590236981109e-06,3.978509259816576e-07,9.457032934534482e-09,1.214873606159017e-06,1.039932100876939e-06,6.235613358995806e-09,2.139544097445878e-09,8.417846948383101e-07,1.578007777780499e-07,1.8612301264653297e-06,2.2115166053993107e-07,7.432052973044279e-09,1.2907992186228512e-07,5.04707731607823e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,0.02530577591295824,0.014159133545979419,0.009283630224496964,0.2452795908378329,0.03011206837386693,0.00372574889726196,0.0031012742688663053,0.022605819761386314,0.003304913754299088,0.018247507394727913,0.1755461436279866,0.10836969351702752,0.166199651051111,0.07422628721202207,0.005624237414696864,0.031084062042423533,0.07266080562741273,0.03375475457334831,0.05316460496267705,0.00959221279531075,0.023495783228839606,0.0012711219060417278,0.030774685414429293,0.0064877748495792975,0.002776304394260576,0.028660605521406035,0.01710730667452287,0.0022556284776225066,0.002083680457529269,0.0006370743161845382,0.0009832075447033795,3.2505510207947452e-06,0.000489420468528623,0.009275708514334013,0.009567098066759261,0.00826742668481284,0.0025579167353892984,0.0033138128565819436,0.0018742688483999181,0.0019990516468539887,0.00251833528952794,6.709996241305305e-05,0.0020500626986657,0.0009046575048259342,8.893347907568128e-05,0.0008920671000589575,2.3906993922295783e-05,0.0007945271003300114,0.002693271270577391,0.0031998633262606546,0.0010477222797780072,2.345139479498215e-06,4.491457884414629e-05,0.00023715737179408336,0.0007926751026490209,0.00028807257417229337,0.0005916206033569349,9.229517792941344e-05,0.0006142836536493501,2.994846025261566e-05,4.7435379203042416e-05,0.001199825645987751,0.003929478858081481,0.0007989787914395308,4.416769272586052e-05,0.0007901765828162155,1.6956574202531272e-06,0.00016824930673253746,7.362693381907093e-05,0.0004725585906679708,0.0005452785690087669,6.128366563107335e-07,0.0005341202922184429,2.066512169274226e-05,0.0002400720905035847,0.005839928941209216,3.935429285562009e-06,0.0001641273448091951,7.293730044244384e-05,6.447087659022799e-05,0.00027396584285543923,3.1983936708002147e-06,3.261134119370013e-05,3.0191817765867768e-06,2.674351666387409e-05,0.00013746029529748682,7.749380177646259e-05,9.773564900283915e-06,4.712937113371396e-05,7.605936309906802e-05,0.00014297118509754014,0.00047826132464612314,1.7010092756564177e-07,1.3513776656814969e-05,4.618486817431489e-06,1.6476268084097967e-05,3.0983116250382636e-07,4.127778673979066e-06,3.8317331689796674e-06,3.5486724669908654e-11,7.146910547817242e-07,2.419132055786477e-06,2.322133041410268e-08,5.369393818455137e-11,7.585852690450423e-07,2.883027436784147e-07,1.8372546595202266e-08,7.538570264919997e-06,9.128078271025686e-08,4.454299508349635e-06,3.1400607936049596e-07,3.064447731127018e-07,1.3031635781146633e-05,3.6173264712502373e-06,2.1076404306263896e-06,1.911223174388965e-06,7.88863154799202e-07,3.35354130243104e-07,1.3066017490181991e-07,3.3054151127309694e-07,3.8992506312673925e-07,6.295650334386949e-08,1.5149937189207208e-06,5.01362792837412e-06,2.618635587925411e-06,2.4864738600527403e-05,1.4302929729481662e-08,1.539848359932705e-07,5.759716774633716e-07,9.272194922971266e-08,6.872819677816722e-07,2.8386768935462214e-08,1.1413195721843294e-08,4.298389555401627e-08,4.79385943830124e-07,9.904432896057358e-08,1.8142990776404133e-07,2.567614076909308e-08,3.087382975941466e-07,5.670627019060959e-07,5.397839855092457e-07,6.566079839842587e-07,1.4301337891708954e-09,1.1385080433967687e-08,3.953082772234495e-07,1.5066174530176113e-07,2.8592939127491945e-09,3.549998801588572e-07,2.796603735255587e-07,9.08743169603099e-08,2.2205991268009484e-07,1.885644174137724e-07,3.512366753000151e-08,3.1202874062330466e-08,2.2867882121246907e-07,2.893902917300295e-08,1.848144082217118e-09,4.0369518661265147e-07,3.964905737063873e-08,6.891126684838156e-07,7.997573199247654e-07,1.6597410557039893e-07,1.537667508877405e-07,2.4403612020051924e-07,2.3431797879780447e-07,4.5709412166416996e-07,1.5141518727723735e-07,4.184928865669235e-07,2.4878128890293283e-08,6.124316231925775e-07,4.501426738023895e-07,1.4532703986880335e-06,1.473440948762672e-05,2.7809913731857705e-06,1.557031420240662e-06,3.9724893152737195e-08,1.6029111371551608e-09,1.7811011199242444e-07,1.6429457865285713e-06,2.9448075422600084e-07,1.7557251208444313e-09,2.1991738430315877e-07,4.207029400404849e-07,8.33773596387033e-07,5.524383421828816e-07,1.9161650044452472e-07,1.0982527998137925e-07,2.2030940094452944e-07,3.1694074307253572e-06,7.224518834281213e-07,5.403419993665892e-07,1.813043937204384e-08,1.6167201732919523e-07,8.724441831198249e-07,8.512204319188754e-08,1.3861309549056955e-06,7.68001013895514e-08,1.866381936999062e-06,5.339702791040679e-07,2.7350075226806325e-07,1.687624755497552e-07,2.4127038145138613e-09,1.1904963783671008e-06,7.307867413430813e-07,1.4326755337634722e-07,7.75259145768814e-08,1.1465701188484445e-07,7.989476296099696e-07,1.8048759735656006e-06,3.499133545581401e-06
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.00819584850537014,0.02323519068989377,0.033601521505417065,0.23056930654528607,0.004865944662162169,0.020486273647566833,0.009296364220113373,0.004978756123277472,0.0003656167211141259,0.21509131701313278,0.11953205558476165,0.09475032699852104,0.04711001909674062,0.003286615647092539,0.022888544359798146,0.05997079886812395,0.04035088072934068,0.0187538944255512,0.013214909247409867,0.047862622319231996,0.03300847117433481,0.00011401598737048602,0.012273545642401462,0.03282988327355363,0.0018051912232099898,0.02309601415847795,0.0023750553663368645,0.004646329571519114,0.0003533521376510862,0.011012673266018957,0.0012573818267962444,6.0823825444922264e-05,0.004177631633973444,0.0013822477111520293,0.0030565039728194243,0.0007094632798971823,0.002232442860091499,1.5001485387244884e-08,8.113986679125773e-05,3.775016586926583e-05,0.000313608745739824,4.24150364777276e-05,0.0002452158802477289,0.0002992119258180548,0.0010679141706326778,1.9034088827307727e-06,7.024052800730374e-06,5.0995666260433836e-05,1.660149388138521e-05,1.0128049979130083e-05,0.00010435457984447893,9.20082488522489e-05,8.068776843561665e-05,6.498346509342667e-06,5.911424936289045e-05,8.880425778645673e-05,1.562170111113481e-05,0.0003570169062128148,1.0647720519285642e-05,6.201854339149548e-05,0.0015971695479910508,0.0032668834118840806,0.0039027682621157744,0.001368442675520054,0.0011113567129856783,7.735809829156892e-06,1.5464265548548184e-05,0.000529138889839853,0.00016602466418502715,0.0004112927126582733,5.5898725524583526e-05,0.000433068731501729,2.7814837100237355e-08,0.00044255704268536533,0.019556404494920354,1.641001774022044e-06,0.00011511924748841551,0.00017981844070069641,0.00018532554148853464,8.0693230300799e-05,1.625554322259859e-06,8.184164547841988e-06,1.4292117264780302e-05,4.27455231122309e-05,0.0001733379838659843,0.00023099953546323881,5.352824537174783e-05,0.0003048132014336069,7.879355218953776e-06,0.0003312710410057207,0.00028032771977626325,7.175622318555952e-10,2.284952415720909e-06,1.5404696629417458e-08,8.313700927686796e-07,1.3623763481795947e-06,6.157858152278095e-07,2.0279642543030718e-07,3.3617948425046507e-09,5.466697040379387e-06,1.610829852949358e-05,4.514846274616957e-10,3.6910170020387767e-06,9.712452699872642e-07,5.9500377291854534e-08,2.2145584255284234e-06,2.6497222358923267e-05,4.69220684529148e-09,5.689401971764596e-08,2.7082370164244196e-06,3.109674915791061e-06,2.1959575642327422e-06,9.683954247385884e-07,5.7330168612423904e-08,3.6876196718438337e-07,8.650570642032562e-07,4.858880764402329e-07,1.6868458407870435e-08,1.730269438837695e-08,8.246204206141527e-07,4.168202627496953e-08,1.2095854176052967e-06,1.391339609746467e-06,1.4583397063283599e-06,8.447893007357266e-07,4.3783478398395914e-08,1.0582251617208271e-06,5.372737685860329e-07,1.679858692149594e-07,4.812933826592314e-06,9.651874854910147e-10,1.1753887285692599e-07,4.37564476651886e-07,3.870562359509222e-08,2.8803885943062824e-09,3.141116027283175e-07,7.243394541944781e-07,4.4959177625258917e-07,5.489605325870173e-08,1.5484247204433643e-06,1.6901062265262112e-06,7.05926284982894e-07,6.152614533405654e-07,5.221660606125056e-07,3.409609306004313e-08,2.9365747611365123e-09,3.4653289127106746e-09,1.7263057205951782e-08,2.561540135559426e-07,3.662750858168806e-08,1.0978657982718687e-08,7.900416454376114e-08,1.9533269668414732e-08,7.775139421184463e-08,6.524549283071224e-07,4.1850966470136086e-08,4.843827783318488e-09,3.130266379436364e-08,8.417530161786146e-08,9.905841036328411e-09,7.028821968901866e-11,3.9971609000488684e-07,1.389695989395534e-07,5.482910503395999e-07,1.1120956067145471e-07,1.6924544452567858e-06,6.252891315394749e-05,2.1176447988047187e-05,3.492482252465123e-05,1.3932943331962377e-05,5.2246210637818535e-06,3.418241770436481e-05,2.393541057132964e-05,2.3805739441939977e-05,1.0408850144028037e-05,2.441781780282426e-05,5.345095307696113e-06,1.2204547281680078e-06,3.138638532629301e-06,7.992947772539338e-07,6.621602630207946e-06,5.104005403833156e-05,1.027839928724461e-07,3.397923178782847e-05,3.6263966132210612e-06,3.92336099843682e-05,7.888375095355116e-07,3.82160918928065e-05,2.5600675646053617e-07,1.4972191146878089e-06,3.849955620971457e-08,3.695147775317764e-06,1.3420673461439492e-09,1.8370662324684872e-08,1.391535531691801e-06,2.5027868261862096e-05,1.8675666262346624e-06,1.428834447203542e-06,2.0294547993238155e-06,7.092214396209329e-06,5.625798422670414e-07,4.7051691876021096e-08,4.298299584704068e-06,4.791600445308575e-07,2.3988638526706296e-06,2.8081706804350404e-07,4.945686891133505e-07,1.6960654480868698e-07,3.758211986060189e-07
