,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15C,16H,17H,18C,19H,20H,21H,22C,23H,24H,25H,26C,27O,28O,29H
1N,0.0,1.0169797189964422,1.0168396992871993,1.4567658249278774,2.0842937349848665,2.090690203594872,2.6008833118245986,3.7108738396718457,2.8705014633538615,2.4320200442120403,4.308247741089541,4.81695121266601,5.164327206162756,4.910822471517603,5.381597321892021,6.019642595152449,4.534053166087647,6.605802325207441,7.058850768427377,7.297236948908218,6.820981268147397,6.346277894495628,6.721759643248281,6.06736158323787,7.280787680257056,4.802692635426213,4.52128128602145,6.008394885202757,6.441574434391162
2H,0.0,0.0,1.6505079920368415,2.0704759584600234,2.390701537079657,2.9564539252498223,2.914386069247754,4.067793241183153,2.897319386279577,2.246073588460224,4.211676141314415,4.788152106297348,5.210045401474031,4.924759167667978,5.703502750371176,6.337439838610849,4.992590476239781,6.538891382350199,7.002709079940134,7.307912390416569,6.595918955202047,6.740854281123289,7.247857810478959,6.45479001046858,7.588691174451446,4.376841262326261,3.9158935872823966,5.559327904414941,5.861451578059715
3H,0.0,0.0,0.0,2.0685510103563316,2.9540738001689664,2.450495347356217,2.857407284948936,4.000124423795203,2.8258285516176342,2.301796828061421,4.213688101091724,4.868892706474392,4.777492943959716,4.36424762089483,4.947683703679004,5.724018629308455,4.121862580993278,6.251024647211838,6.825771726055104,6.82535327551936,6.4928254341715705,5.722592945587477,6.110876098984805,5.3136309935108486,6.668748226325125,4.799805111950727,4.4883450797345805,6.0893751583658835,6.5457787205103655
4C,0.0,0.0,0.0,0.0,1.0965957721415949,1.0962461055206638,1.5414267846904381,2.4117257268450967,2.4650187418558405,2.5755961916203858,3.8398708148052276,4.036258415063193,4.827322821088856,4.884160786224509,4.817565643410641,5.231419304824252,3.9062776607969076,6.257031605604127,6.507814106280199,6.995676843786698,6.630834109112625,5.96120567963783,6.224936276018873,5.930475853370851,6.902776770154911,4.618515613515697,4.701870547980254,5.661064462405059,6.249945091076663
5H,0.0,0.0,0.0,0.0,0.0,1.7459691345658783,2.1253485046833775,2.688137732890256,3.1490325827219565,3.274680837683186,4.388999062654624,4.418723262774071,5.581624323526982,5.73575814888523,5.64815031619134,5.924807770888595,4.78860702406572,6.916070379550067,7.0513518079671735,7.7417176118958375,7.233718503707145,6.895082548464808,7.155387017870146,6.941173024007906,7.796881927239778,4.986675671388002,5.075896284055284,5.88027949850963,6.409841531355105
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.1258999145468462,2.642995971945743,3.185136655941343,3.4122119935812534,4.504165567909229,4.616130922840968,5.275110841962524,5.351385465499792,4.944999552439565,5.326330605041349,3.9137452673210786,6.750102222566366,6.983394857717455,7.382373192808205,7.256962342611345,5.944482721905328,6.01736814351464,5.930293136108172,6.958303060834851,5.491256050651167,5.656695844154228,6.518782352628789,7.180368844338985
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254864621602461,1.3680221115168323,2.0535382251534298,2.47830261956546,2.5281544975486088,3.532573961809265,3.8429372664240518,3.5567902548692927,3.8424067127652735,2.797448364121069,4.8834280161533945,5.027002940912199,5.667327019982574,5.335635840390428,4.890025118165073,5.245308593293697,5.056767198629386,5.730141464428624,3.505726461395985,3.928438646684812,4.436368897267514,5.162514851947632
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284773724230209,3.1644816584808644,2.845382158566501,2.403583864105905,3.8247738615082527,4.4151636705398705,3.558617252687907,3.490330019737489,2.871024156901052,5.0057509849199775,4.900542751288501,5.774574454862973,5.601788339516232,4.958699492706267,5.165278162560902,5.368684438720696,5.740534294629441,4.016303803112836,4.708393468759913,4.652886157764411,5.483080845252102
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122877582089542,1.455071097735388,2.0657352402898725,2.502649601628853,2.649828973049959,3.021469326961218,3.539378884852028,2.554717326751823,3.8572968665344405,4.203681466855814,4.667575407435545,4.166650918073428,4.31799036718039,4.931801328243667,4.361421020768168,5.046257101721978,2.391146159105364,2.741436808866033,3.529931437091499,4.209975212148341
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10344458987486,2.9266474301468617,2.9867994189577156,2.7694270654409956,3.7083000851566075,4.3830565257979694,3.264164161093395,4.295750207191145,4.810559523757666,5.070075959377012,4.407557105343648,4.818622337089215,5.501049257034454,4.643050727001707,5.539133350126334,2.5003424351535433,2.3662149320463146,3.7979559786131576,4.286066593696249
