 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,N37,H38,C39,C40,H41,C42,H43,C44,H45,C46,H47,C48,O49,O50,H51
N1,0.0,1.8575724381764203,2.021095216912592,2.941607422413249,0.09026157753330333,0.21106143007598793,0.018599581637261497,0.008270849094151433,0.03570147434187314,0.001980715060714733,0.0010759906619028925,0.0048184599401046024,0.0009873795661652363,0.00015481482200518926,0.0003652228563856136,0.00011767892954306358,0.0001356991009437425,3.4490405321781215e-05,6.819862062412696e-06,1.6896478934880221e-06,0.0002550176015786998,0.0001278660348535965,2.9353440233692574e-05,0.24478808536137933,0.04763679040808537,0.0420265128881515,0.0016939058283768071,0.006546113275221477,0.0006494583355777239,0.0007801506769141708,3.307970577393071e-05,0.00018382441873421307,6.397092765754453e-05,1.7846530331475097e-05,2.3523215408882692e-07,5.3795699510528205e-05,8.392990520356136e-06,4.1614349521879035e-08,7.787125825983732e-06,0.00012312079867767,2.8607948296732744e-05,2.0616603775586162e-05,3.406892989943344e-08,5.720401941709807e-05,3.010569954442488e-07,8.052177204509459e-06,1.5892086457913734e-07,0.0011776096954528303,0.0003182881941765914,9.167365503941205e-05,8.294123506447093e-06
H2,0.0,0.0,0.027532954166529455,0.10725795227403723,0.0074241642614940595,0.03198742766648199,0.0008632256742595601,0.0007711661109268686,0.004543995264059464,0.0001037621504891284,0.00025771834344512357,0.0008020379044652026,0.0001965279650317786,3.68829817367633e-05,3.9401004001460294e-05,1.1772619989969257e-06,2.058021762896267e-05,5.520401298420019e-06,3.3194466309005577e-07,1.512030067818415e-07,8.965958833595522e-06,2.4338807591561817e-06,7.436324529486171e-07,0.006489979838729898,0.0006845757061463287,0.0011418415562114426,4.057275124647042e-05,0.00014991415064846692,2.77711962206606e-05,6.928884250911871e-06,4.464984302288144e-07,2.1291932208455933e-06,4.370670691811185e-06,1.004486511857472e-06,1.9027269537730263e-08,1.325937301410729e-05,3.8037325122974863e-07,1.4298553452363194e-09,3.4260405157304774e-06,4.353695037706551e-06,5.657992261376421e-07,6.985695317762719e-07,1.2036217800215354e-08,1.4452730342506825e-06,1.2349217204388196e-08,7.58792138455533e-07,3.1396394373217618e-09,5.5301223106263286e-05,3.441237435208855e-05,6.372069679683179e-06,1.662409332858772e-06
H3,0.0,0.0,0.0,0.10393610914513407,0.03559943901215701,0.008422375601764731,0.0001878548225988652,0.005002661632901306,0.0009130475515797265,0.00033849853230738525,0.00016416175133593391,0.00011646993719527376,5.416815400671737e-06,1.1641065902345815e-05,3.4398879490193934e-05,7.284393303441661e-06,2.437964118928715e-05,4.352387793393753e-06,3.6752345589086133e-07,1.7591769241320776e-07,2.7078636213540008e-05,2.214583975512774e-05,1.6912024387583102e-06,0.01653988439424714,0.028682401613394526,0.0026208986339159024,0.0006171342681213776,0.00025708043580319195,1.6997529281193025e-05,3.238965532570415e-05,1.8817314397789886e-06,4.567525610843504e-06,1.5822652067010168e-05,1.1409069659351623e-05,1.831950524611159e-08,2.0313445082353887e-05,6.096093484342369e-06,1.7756444981031905e-08,2.0754328771133146e-06,2.501760027828759e-05,2.84867390454302e-06,6.918201038264016e-06,1.9654836203031323e-08,1.5771131325448273e-05,9.89297601616812e-08,1.5520550946668266e-06,2.858170589092879e-09,8.283650310236812e-05,0.00012965584409285746,1.0303982431403291e-05,8.59880006087721e-07
C4,0.0,0.0,0.0,0.0,2.1273356889339707,2.5894334763081512,0.09551652448489989,0.08606189508553741,0.1588200766044983,0.021473125011554517,0.006307814084898,0.021026656762869023,0.0025738030771238485,0.0008322687567843268,0.0017805990745645428,0.0004787661762338802,0.001167745841764184,0.0002875777990891393,3.3465207766814054e-05,4.710607267033318e-06,0.0007919069062010814,0.0023318508909141444,3.525135104887056e-05,2.5551807397723287,0.26156730453123417,0.2373130366069916,0.01961644310581645,0.036546477739677036,0.0023134123090913228,0.003588469158880836,9.659814603169004e-05,0.0012309980833031808,0.00034790667266582087,0.00011183488412203069,1.934999079189481e-06,0.0004098920634035552,4.378712737507229e-05,2.442837350180582e-07,4.4735421302954936e-05,0.0008124735179573517,6.902234544536867e-05,0.00017513559102666498,5.772733695508236e-07,0.00046723032547785204,1.5910730917223503e-06,3.455553557468738e-05,1.590910314597238e-07,0.004986384348414641,0.0012394490833030208,0.0008294324714445689,9.929629094485026e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07999556289571652,0.005092185165833429,0.0342335561469711,0.00695667440046055,0.0016065649553524963,0.00022860002236191335,0.0008855896361903426,7.903690134170027e-05,0.00021241533261262546,0.00017110546679077743,5.87731505263811e-06,0.00036203776753440664,4.815520393686157e-05,1.4589122159236467e-06,1.0562146945947148e-06,8.091358092476852e-05,4.193839750832318e-05,7.3284668333784e-07,0.09521910591222493,0.020030212037459805,0.013096243172103006,0.014211708424879843,0.001816476426705016,0.00014358820726245725,0.00011836230255091174,1.9893144287408404e-06,1.074469995243632e-05,0.00018786798015169026,6.978213028818736e-05,1.3223696766484494e-06,0.00032449956650992817,5.5725670615069944e-05,1.0784997450663525e-07,6.210543443097016e-05,0.002440607960844998,6.940689458234672e-05,0.00032131074322694353,3.6820927973302275e-07,0.0011970318910994315,1.984135840960022e-06,5.715722394428191e-05,7.200939622364899e-08,0.00029282900035432213,4.405155419218154e-05,6.843949218238166e-05,2.134472835946255e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.875889756890587,2.1534007628719145,2.5978820216000513,0.07382845784437087,0.08249040295743182,0.16660635425956205,0.02775821376393206,0.00948131123290663,0.022937746024967592,0.0006416844345092931,0.008535362678655234,0.001398379168133984,8.58464174349205e-05,4.4164223195419794e-05,0.001318450670861268,0.0003807752261759667,6.107761923723753e-05,0.18258219428889627,0.035818867419585954,0.03173804305968461,0.001758906935058202,0.004320156672193737,0.0005372398349768881,0.0005403579351581783,1.366963490090356e-05,0.00011708721473846495,7.309928238063979e-05,4.552401483118307e-05,5.035442254275324e-07,5.6046289294064966e-05,1.9049340948484872e-05,6.211862868532592e-08,8.78425730560517e-06,8.830864011416528e-05,4.740294181115878e-05,1.398021355741852e-05,2.0802536293551555e-07,3.843490584831688e-05,1.8141255164749737e-07,5.392845075946617e-06,7.83186966391014e-08,0.0009624738783657327,0.00041652580097388536,0.00020663012110201662,4.5409841612720214e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02563426330456342,0.08456411204528103,0.014259083798082495,0.013498574515323991,0.00661928114968835,0.00019725779308865654,0.0004594099753039149,0.001878452754567106,0.00012749262848665843,0.0006136950409687536,4.2117759551540956e-05,2.666336060830332e-06,7.579084737585617e-08,7.156975140465427e-05,2.2762923123087475e-05,9.468752387498114e-06,0.02981574624120631,0.005476920710407951,0.0034189940906200755,0.00012088897926854081,0.0007734879315095533,3.456834297499434e-05,0.00012015323279879198,2.346105143491428e-06,3.85746248365848e-05,8.64340296202748e-06,1.9054397919493482e-06,6.025579990520669e-08,7.156906080441061e-06,1.7358557349300696e-06,3.8743319663581133e-10,8.298652767191328e-07,5.6527887750679184e-06,1.6108983247331565e-06,4.5647208990473587e-07,2.9224251907322696e-08,1.0296578554225277e-06,4.022766186828619e-08,1.0959387664044584e-07,4.282893595330961e-09,0.00010465007068827248,8.089792425736153e-05,1.8748298838855426e-05,2.2905414001073154e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07506391817761182,0.0063510916057616384,0.013494955345160875,0.022877883914490083,0.002592028562911519,0.002195469464388866,0.007796336163958584,9.943760371688981e-05,0.01057250851784941,0.00042155509382968415,5.242893702961382e-05,1.3997496377982088e-05,0.0009021322171951507,0.00030584538639644165,8.73683590807417e-06,0.012074038297213985,0.012122983966227796,0.0015747559285095303,0.0007766279016836464,0.00016662138422685047,5.90977247694191e-06,3.978550912830947e-05,1.6626475376479988e-06,5.216065481317145e-06,1.0044247787721616e-05,3.9230145445490194e-06,1.3042561919363038e-08,2.1302667861045066e-05,1.2117689844881596e-06,3.541236326398689e-08,1.5981376746410092e-06,2.8476600438809285e-05,7.1478880043773785e-06,6.6967249490179626e-06,1.0928360438811069e-08,1.428242383183509e-05,8.343715829361997e-08,1.3463752568387832e-06,7.2218075963803585e-09,3.2978650639226004e-05,1.5798734801286685e-05,4.766696779734403e-06,6.652139994400841e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8849061633950657,2.0553016387124527,2.815623418502468,0.08555463145491127,0.08002945642613701,0.18848991809543414,0.012446443607466051,0.03778502237428366,0.009747085040422487,0.0013829552432150782,0.0002821912785765379,0.009847706425682362,0.00018998965139305213,0.00017787036525629407,0.018913730953067726,0.002726570103786144,0.010477293561277232,0.0006027964861946566,0.0009793691627230372,0.00045534207257436066,6.730355259126908e-05,1.7560579495645712e-05,6.114401242540701e-06,1.785566090828361e-05,6.001415764206319e-06,1.6714402728545963e-07,3.1945507837027876e-05,4.205977429658225e-06,7.287657723953345e-07,7.495659276712807e-06,0.00011491406061392428,0.0001186871898863906,5.959334459765264e-06,2.2367286556246313e-07,1.869647123337037e-05,7.817177303248712e-07,4.4964223196442e-06,5.52160909661481e-07,0.0007918093587125363,0.0027440593609356634,0.00029490070998589024,4.5262705283488636e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026312783565282327,0.08727264759334918,0.004744194696582049,0.03145298703975952,0.009290716547131206,0.005412049462445223,0.0010533834676191844,0.0008558918669148152,0.0007055584661019854,0.00013603042493359752,0.0003288159181817907,3.7270097521524548e-06,9.36006051999172e-06,0.01145352922044407,0.001665932569969275,0.01758383244480588,0.0007771756714431977,0.0013392300183676653,0.0010229242032067098,6.293465828888234e-05,6.05054925919557e-05,1.9121666188226527e-06,2.1513373785309042e-05,6.8957669323577164e-06,3.4457742303928285e-07,4.907021158317981e-05,4.979181876807459e-06,1.6471916020055488e-06,1.437561718331537e-05,0.00017689181919289254,0.0003182291685233096,6.806827048677633e-06,5.55650545130959e-07,3.125854310148668e-05,2.64812243422341e-06,9.611794686836816e-06,1.8385710431889635e-06,0.001399751183924991,0.005768202707038705,0.0005358673830746508,4.627163150727753e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10324732268927983,0.0044811774458231035,0.0035675766967944167,0.02851289378653543,0.0005572203124124542,0.006260738090330564,0.001295759156417886,5.699363052236173e-05,5.037362135218437e-05,0.0023302163614402627,3.444195044743914e-05,3.3761729503423155e-05,0.0008634279244601473,0.0003371652078399956,0.0002445864453535229,1.3479361802737344e-05,3.566375360253282e-05,7.644175868293246e-06,5.85556017507205e-06,2.9583702065849593e-07,4.5152050875962857e-07,8.11121206201193e-07,1.111696192879208e-07,6.29023433340592e-09,5.586624218789638e-07,1.5535914388298266e-07,2.5427224770169232e-09,1.5983372492200942e-07,1.463342166552195e-06,2.212739493190341e-06,2.4227297079626453e-07,3.6196485808659418e-09,1.119123425485924e-06,1.4987770691199387e-07,1.383740091398522e-07,4.2296592894786045e-09,3.983141268504298e-05,0.00010809164278891004,1.0346298985997038e-05,2.9870696589551216e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.803476542402612,1.8702653891193053,2.8295755757224255,0.09094780318045548,0.2708992308846905,0.042142034633758874,0.010190117726908032,0.001682082969642007,0.05109465600266719,0.0012668843855802026,0.004110791487369703,0.0014757607056424538,0.0009939494377370628,0.0007243268287572824,8.931375967380362e-05,0.00016831728463229112,6.419147955538662e-05,2.1838941466456596e-05,3.0766669537607427e-06,8.46261325238018e-07,4.380336447618038e-06,2.1089847314359478e-06,2.6452771306750833e-08,4.76012359246214e-06,1.1380553523454573e-06,6.643899186364877e-08,9.941541174451896e-07,1.4307944778746418e-05,2.7597864428186014e-05,1.0461669542050078e-06,2.711032109914413e-08,3.128353061626621e-06,6.617012093812491e-08,4.934394517430718e-07,4.558466915050019e-08,0.0012412592789269872,0.004757848240696222,0.00029338575122277166,1.079059889574907e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025787506291211182,0.09856811955557376,0.0021188067509954056,0.028042981939329303,0.003468050690762392,8.579635449956768e-05,5.841028803144077e-05,0.007014659310805915,0.0004329084887304546,0.0011061908079756932,0.00015025381802136195,6.4570852235879e-05,3.376505358865245e-05,2.0465019745508073e-07,5.5432602577010215e-06,1.4307139653002565e-06,3.987759276125047e-07,4.1304851983170465e-08,1.8440468707581203e-08,1.8879567065255287e-07,1.7000678331768881e-07,1.1105645292275312e-09,7.982595140454407e-08,6.454697920599273e-08,1.505833235881937e-09,2.1402378758139662e-08,2.493064679143231e-07,2.375514154273617e-07,2.5735700459605937e-08,3.208773247109775e-10,4.783911233818827e-08,1.6599011054552193e-09,2.1067333433322233e-08,1.287395301474703e-09,1.4962278569896625e-05,3.5260743451615006e-05,2.2318925237962972e-06,1.3961088107805608e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09680275396864979,0.025261067485432553,0.018547147691140964,0.021126761374363423,0.009096754300104815,0.00022457970484279777,0.0015652117509166175,0.000139305084467356,9.318579616168776e-05,0.00023260207563069457,5.542678368108955e-05,0.00021474311851887862,2.5792923033618465e-05,3.951018395098593e-05,1.4830482679695223e-06,9.823924709273513e-06,8.436559164604063e-07,5.273999355015491e-07,1.4774963930097584e-06,5.117717918334819e-07,3.3813756239453596e-09,1.0158904988344375e-06,2.7300048488498874e-07,5.358831334234537e-08,1.9236382775567051e-07,5.146975734948711e-06,8.110543717521068e-06,3.7209825376471883e-07,4.955751586877e-09,1.153423507371798e-06,1.9204504653203003e-08,1.973324139648014e-07,1.819492623233998e-08,0.0004048476312501492,0.0012128461666579549,0.00010565670806761407,3.246709476156795e-06
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5627005985624678,3.8566192404448114,0.3741306225710047,0.010493970286767462,0.030248218448745035,0.4110786100603072,0.015206303121910736,0.031112355593693075,0.006816673431696507,0.00831232077547868,0.0007948126346489504,1.0639193107508937e-05,0.00037445984202486016,0.00017348755645829605,0.00016462162513783407,9.807853146970302e-06,1.0400001779764523e-06,2.472555573651558e-05,1.3577758669836015e-05,1.7283760378461466e-07,3.6449344179290133e-06,4.817460804079632e-06,1.3629091710765096e-07,1.264371092046801e-06,1.6984976208833658e-06,1.5615180422035024e-06,4.168728457154547e-07,3.525031377904497e-08,9.380337906983449e-07,1.143451977547727e-08,2.921170465797207e-07,4.530127828417108e-09,0.011931406190572258,0.059874414654065816,0.00324099475578786,9.25652413462652e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16168133861778522,0.026304476974052693,0.0007603222600400805,0.0017633011246838137,0.014386804320620228,0.0058272489840935915,0.0013092078354177694,0.006231128315665413,0.009661660667524274,0.00043446422207982227,2.1879095716048624e-05,0.0008836475177248504,7.533786173130608e-05,0.00025074444550421404,1.8551313141212944e-06,3.955926636267648e-06,1.947800644142017e-05,1.0173964984705464e-05,1.3523196229492385e-07,4.053552296046092e-06,3.4537181793359295e-06,6.452750911378757e-08,9.979412985972047e-07,1.4691381468034947e-06,7.394987482367554e-07,1.0392968374794975e-07,3.069316645287756e-08,1.680214640753519e-07,1.9920781690885292e-08,6.573092059536378e-08,7.055712458736707e-09,0.025484456071624972,0.20988591866792505,0.005641158849905792,0.00011864938349503973
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248796167865325,0.14405748840652632,0.14521021923994226,3.8321102126972346,0.1542891593802459,0.15557602641680635,0.002568536024941337,0.01034548438053487,0.000677553681581955,2.49447166862371e-05,0.00015174728642169955,3.687737731250529e-05,2.917493457046949e-05,2.238875350002445e-06,1.2724430555888233e-06,5.534347014668484e-06,2.903676288301682e-06,3.7201577596235325e-08,1.3223716200105873e-06,9.156049319281045e-07,2.67029188760759e-08,4.7443809722547137e-07,2.1452541206223863e-06,1.0601789137698603e-06,4.82755493885767e-07,8.309710031184636e-09,9.998475550554442e-07,5.447901241240061e-09,3.518048476702784e-07,9.71618452361156e-09,0.0016876208331860487,0.007419446506493732,0.0004321333345728151,2.7849465284890407e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8594905977215475,1.8999540607927852,0.37401022960746544,0.028396937542134237,0.011754725877520467,0.000968389803324976,0.002582051099422396,0.00019425574857080685,1.5810851450859253e-05,4.151119393394631e-05,1.3091641494211714e-05,8.339278605801193e-06,8.10240639581572e-07,2.329771100484379e-07,1.6209637151709533e-06,8.913854884218253e-07,1.3968105005979226e-08,5.816119297286093e-07,2.4149378619053863e-07,6.930755747092121e-09,1.712061196423864e-07,1.4558659404279028e-06,1.7479904302897253e-06,2.946957315119736e-07,2.954388289566623e-09,5.868716005108521e-07,3.834080497533421e-09,1.5735263618477102e-07,7.1791186329051015e-09,0.00047141857764254613,0.0018162522195688813,0.00011988088563595622,7.995167701224659e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03725753943346777,0.0330195222398747,0.00136750587279999,0.0008471025910019581,5.2922803461252776e-05,0.00016998679261381877,3.9559050053594724e-05,3.7589425638806517e-07,5.3706017665300365e-06,3.153429941837871e-06,2.98918279462157e-07,8.549054930639954e-08,5.534629421433124e-09,6.554869991237666e-08,7.23287553183738e-08,2.225381212639377e-09,5.800560387569931e-08,2.9851987659590407e-08,3.498019651715367e-10,1.5650278850642962e-08,1.203686733619591e-07,7.088582143488509e-08,7.326696582765635e-09,4.977762646518613e-10,1.945657157609304e-08,6.411484676505097e-10,4.539174036644056e-09,5.844198458504479e-10,1.1441992500582643e-05,2.7544304411541987e-05,1.93158113115377e-06,5.0604647583440965e-08
