 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,N35,H36,H37,C38,O39,O40,H41
N1,0.0,1.9084458390555117,1.9156528798242012,2.940910922702271,0.10284658138191172,0.19514556371486808,0.023431686366804927,0.006317944340628268,0.032492138498729964,0.0021330252679919726,0.0009350496956853638,0.004924400929215131,0.00020913907701680667,0.0009502855701121193,0.0004039307335750031,1.2924907065725577e-05,7.692592494618067e-05,1.7644345244996473e-05,3.879891824709603e-06,2.6354734194988794e-07,2.5427073126513267e-05,5.126070888872292e-07,3.2337874283916435e-06,0.2051930438332672,0.04100916678699082,0.04910736875652513,0.07276990041200426,0.006119606977420103,0.0007093436207429304,0.0011656344401202862,0.00015098610929398237,0.00020148710691603178,0.00010577344221318619,7.536965222063735e-05,2.444813946285429e-05,9.229757587103649e-07,1.8881907710710522e-06,0.0010197260393872698,0.00020356008337636677,0.0003219891542072112,7.869298099927313e-06
H2,0.0,0.0,0.02824605712203443,0.10662643840059194,0.0044105299931958,0.032823580357423277,0.0015546126379026859,0.00028193977531909553,0.0046552110645351474,0.00012277444934372106,0.00014896969651467806,0.0010303476443598303,4.632905772106177e-05,0.00022706232782088165,5.045929226998869e-05,6.177913685068148e-07,5.972718701507951e-06,6.849263080033197e-07,3.081929911274983e-08,2.8178688715740918e-08,8.712057301130116e-07,7.858708972463546e-08,1.4141580506610296e-07,0.0062905659018536175,0.001057641441547963,0.00534241287374948,0.00364879242818561,0.0004488193278754382,3.2314920166198746e-05,0.0003219734344186431,5.270397342660438e-05,1.46951072999002e-05,1.527678290658141e-05,3.187661916204121e-06,6.199954741825664e-06,2.5685807147901585e-07,1.2265546445178188e-07,3.0262244071432853e-05,1.0597922726729436e-05,3.418956623746361e-05,6.373846714868847e-07
H3,0.0,0.0,0.0,0.10475169022992015,0.03631469441811164,0.01438099718726904,0.0010034763859489981,0.005296913251801927,0.001464026083756842,0.00046259540118676057,0.00017865108891568227,0.00011859032068717301,3.341202372109109e-06,2.296958969116858e-05,4.4198864958544526e-05,3.6596718635539816e-06,1.5604798497603767e-05,1.7462891699349115e-06,3.5355595628949743e-06,2.0022439262135094e-07,6.7755646292466665e-06,5.976608230540137e-08,2.9266496048840906e-07,0.004773361212200733,0.0010737279294500413,0.007932063116135812,0.012565318816726512,0.001098179976126823,0.0004116131964142511,9.94109140837196e-05,2.4529902330927555e-05,8.827225851160136e-06,3.021719014273394e-05,4.270257264304966e-05,5.373401732344796e-06,6.346282475089282e-07,7.884770636401583e-07,9.288896314230133e-05,3.149272955460525e-05,4.988833133134918e-05,3.062082181148895e-07
C4,0.0,0.0,0.0,0.0,1.9665101373570577,2.6235526726267175,0.0926461818501989,0.08194508733833672,0.15843058035482438,0.022474456098996676,0.005258505448414885,0.02064647919882684,0.0006658513553551293,0.0022309403520893722,0.0031021285146720506,6.585435161565734e-05,0.0005768807401687059,0.0001729873533216908,6.740219704892692e-05,2.1778472500955104e-06,0.00016947123421375,3.2602598919462267e-06,1.3028264378656118e-05,2.600360178595678,0.281844934348139,0.21655550831379905,0.013466644888380785,0.03670239369211675,0.002960300691289053,0.0030126591606795816,0.0006694172151026079,0.00190843147533859,0.0004746103547641767,0.0005578327818607787,0.00012324044883194052,5.54829689614067e-06,6.2308534435340235e-06,0.005408013990676724,0.0019330459310410164,0.0004442621515715617,2.53892731634231e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07819943700103782,0.003575370762984864,0.03336232337269052,0.010843965166516645,0.0030966013803508385,0.0005013963321109927,0.0011185472943324726,0.00011295846798375919,5.556704656317635e-05,0.0003558243929416838,3.084493776306374e-05,0.00011648913426909324,2.4242049579958902e-05,4.507107542051081e-05,2.1719018143961932e-06,2.5382606737123226e-05,8.979721792812256e-07,4.2304504292989265e-06,0.11011436140616615,0.016426941429362296,0.023608839915227886,0.0023593034262505697,0.0029633599460391347,0.00019962022505981558,0.0004313645095004315,1.455053450594157e-05,8.795443623044186e-05,0.00012773120243791958,0.00012252211953867054,2.1616245693079073e-05,3.6309258955036228e-06,1.968576973654379e-06,0.0008055986351551692,0.00025030773411827134,6.454913055720102e-05,3.736217369709749e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8719374586738757,2.0407013868262505,2.744688692673118,0.07909792157987461,0.07968550259058871,0.16832501476903555,0.009752348978749215,0.028500603248728273,0.020415874698794925,0.0005594704534410688,0.003008474890066032,0.000928243331776088,0.0005856661169790778,4.643301303741687e-05,0.0011426521159854791,1.087870843075045e-05,4.397863873217833e-05,0.1980033341784012,0.04262713857330999,0.02717648525097606,0.0008753717657780102,0.003069829017235931,0.000784225842886177,0.0010127406680893736,0.00017770924307092262,0.0001860415323665654,0.0013278825918376091,0.004438840296190086,0.0005391753035268315,1.7149332355304026e-05,5.4964568861892715e-06,0.000386457501933668,0.0001203427374689564,6.164700488363317e-05,1.167552936887084e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024680083014148257,0.08322793987896904,0.014566135364946886,0.012813031619507642,0.007309099610712799,0.00017986777450440528,0.0005596368565583543,0.00099877705112561,8.617248881659378e-05,0.0002625927876678258,0.00012579608921825525,5.1700213148819785e-05,6.930461455390002e-06,9.65239029805387e-05,6.296184262843951e-08,3.513605002503084e-07,0.030011755288404496,0.006817756243355677,0.0037240073694142506,9.26604055129232e-05,0.00063663745521092,0.00017749175164039066,0.00019378803259706423,5.846967443368101e-05,8.566103179852291e-05,8.55390093201791e-05,0.00021767678813100488,2.6027806256712083e-05,1.9307492513664926e-06,6.641988736788562e-07,0.0001048195139414787,3.083353249511145e-05,3.881213435308339e-06,1.062653161243432e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07581918043787317,0.004946203584087705,0.016004213007930312,0.02329130838863991,0.003857490800541097,0.002287847079495142,0.004082895928834374,0.000138889617450344,0.001394925619516485,0.0007605451117884687,0.0009404535756385446,1.3021837480753362e-05,0.0006029243838006071,1.3345715388579649e-05,5.2705023430021924e-06,0.014169863125811144,0.0016322319229669091,0.005692447038266213,0.00015154482634938127,0.0006625479328450368,0.0002520752589880715,0.0003114231521197386,5.6433541668177156e-05,1.1547748497431343e-05,0.0022865587213634075,0.011204667719500128,0.0011342798751727834,9.627937960665633e-06,6.7088177377883085e-06,0.00010237148823954989,4.812020427746866e-05,1.077588526221529e-05,3.981706406808172e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970016900968365,1.9394604709803598,2.8117182496425,0.08516169489722925,0.0887977879027323,0.179428103848279,0.013361147037085797,0.03282212538480772,0.004694994864536103,0.001042793161111999,0.00020664620203159068,0.007427375291914257,0.00018712209037485827,0.001298988199113671,0.020466330240981823,0.03531400280097058,0.004192588779351483,0.000265770259942566,0.000550227918507798,0.00020828842352971222,0.00016053092965324922,1.6985607290465055e-05,5.128333681725383e-05,0.0004723605763838623,0.0022968142714912265,0.00015591823255835247,1.933263187636758e-05,3.5689724838805503e-06,6.264171052564049e-05,2.0790288309785465e-05,2.2908815988889608e-05,1.515687209519001e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02785538267943055,0.11458934546404509,0.004778464155070772,0.004711261697682767,0.02976335883605563,0.0004930327025018943,0.004413202728234644,0.0005849748973374425,2.107134772599828e-05,4.940051854696037e-06,0.001246185995141258,3.943078454926585e-05,0.0002800485244920381,0.01494808563060479,0.06092428097420066,0.0029532474436487766,3.679716978854941e-05,0.0002211991597516061,6.472730246787073e-05,3.941898247961095e-05,8.197018443567572e-06,2.0190615250603727e-05,1.1988022165176915e-05,5.190596620463506e-05,3.1573562800923938e-06,3.2380004544307894e-07,4.595429374809612e-07,2.1191612274318317e-05,9.591887758064743e-06,1.0441875285649438e-05,8.452210555898176e-07
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09072548423119375,0.030883089521088758,0.004659199372480938,0.009022522604840377,0.006696426311827208,0.0006966418225333726,0.0008602962296762051,0.0005145432360473823,0.00010106774150453468,8.658279960171988e-05,1.3326644983324698e-05,4.5938583990601245e-05,0.0014443866736932875,0.001259187040538956,0.0006059642347802097,4.411731834741417e-06,7.991134491946994e-05,3.76646323430041e-05,3.029830540857148e-05,2.7863247094028765e-06,3.757885238542258e-07,0.00010767416873735947,0.000624893067027843,2.7994431998523694e-05,8.490449718401294e-06,1.1097587866437664e-06,6.273303487569493e-06,1.1355565964210612e-06,3.2949808741467024e-06,4.625834537641538e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.895088911746643,2.014429019916635,2.7878977660253064,0.08782807792983605,0.25803554682333646,0.0345306929984604,0.009979951988997593,0.0017640362180143532,0.04685211340518915,0.0015259266612354105,0.004110102888013167,0.0014796309149440745,0.0033161801020768628,0.0003169795755013499,1.772339396066691e-05,7.60509162671813e-05,2.5132984844189465e-05,0.000346649766526555,4.635038810540948e-06,0.00014092517748709454,0.004513994703329222,0.03018785956618958,0.0015846274819108358,0.000294360132335969,4.194629927212201e-05,2.282447262352827e-05,1.5366571384858863e-05,5.330334684292004e-06,8.049521394992709e-07
