,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35N,36H,37H,38C,39O,40O,41H
1N,0.0,1.0162637739782445,1.0168038224187346,1.4565718346294287,2.0734584521011103,2.4445733360150195,2.5126901228440555,2.759681425968198,3.8361763906109108,4.022708046465259,4.315860876663822,4.964690659135771,4.934181035801678,5.884248608748862,5.4436798678676075,5.640994229798721,6.151636603093722,6.2485180942207315,5.673353650674725,7.133350265580599,7.124254104159472,7.494361140607115,7.646073428704844,2.5676172606908483,3.67568408850011,2.872532880130977,2.446857894198613,4.317707936356356,4.743396150410822,5.23624249016847,6.2411692167716,5.27724206317423,5.270755987979021,5.082147518097727,5.992517718772809,6.3690843996121025,6.343704417216249,4.979851472932967,6.0824912959228215,4.578301469697158,5.372875041353204
2H,0.0,0.0,1.6632385141586306,2.0822006466066476,2.42647227102607,3.365950139277887,3.4894716664548455,3.6854739177636793,4.647050511819739,4.653912996741266,5.126188525883516,5.817608442339007,5.7238934391231995,6.68722566767326,6.404481342810819,6.621101206864337,7.116862865933447,7.142201033575675,6.497138618953824,8.012448787687795,8.120583199748513,8.503635767761008,8.63137434469134,2.8261720776694763,3.8941481227030335,2.969027734952661,2.4340784783667857,4.3063271811556385,4.586008188918379,5.462692766919985,6.382112836421395,5.5684349350012265,5.70489458315135,5.708047018830175,6.359900126974206,6.588162624890127,6.801335851075612,4.808597084836762,5.966352418252131,4.18020553964066,4.939037145049056
3H,0.0,0.0,0.0,2.083574606377743,2.951832934585612,2.6398949958307134,2.6941516723123153,2.5461308364259008,4.154049747239504,4.486868028242877,4.734113578323841,5.034933478225973,4.883132971292986,6.045891154121069,5.335802193224106,5.615315483398288,5.83650450662288,5.807414166102076,5.235276139701332,6.616273502029804,6.77042114114792,7.238646381398497,7.1768535440136105,2.9182587311403494,4.115841625674663,2.8294486518938444,2.205210932248577,4.222124030788453,4.8562357409727515,5.06273096919475,6.053232889644551,5.26935976656597,4.859429820108215,4.692375724870716,5.409656764824842,5.806410153560419,5.651333812236681,4.690583823306809,5.691741471016668,4.32195463121601,5.030274842571731
4C,0.0,0.0,0.0,0.0,1.0962278315909315,1.550108599258363,2.138034517210213,2.1563585214764736,2.6023877566797076,2.602819485322579,3.213987625883016,3.8067694571108417,3.8071927318778545,4.621354212379327,4.575698599658726,4.842377918073806,5.450079068488293,5.586823276755025,4.976768548703902,6.541928703510863,6.5504348252040305,6.8878504400256615,7.1991849346166195,1.5429184258090491,2.4283325739282997,2.469805597238281,2.600469635226129,3.8361320349639643,4.145663379060289,4.496071655837844,5.542602865532435,4.274674366132509,4.665705806004558,4.349951819870962,5.6529272474969545,6.1165201318156335,6.098761378541419,4.89706545741589,5.983695223302071,4.834657168443363,5.75093270428738
5H,0.0,0.0,0.0,0.0,0.0,2.1670985080988654,2.5483969059945517,3.0544557443496303,2.7554656527320303,2.5322787646007017,3.0835124571786015,4.179453353744195,4.367070793835791,4.813578188159072,5.04869842426933,5.169996751002904,6.089306246070766,6.373154765793894,5.818349749040007,7.359869381513694,7.150227672979813,7.361301626429808,7.884640295636314,2.1189708979794664,2.5858364021020175,3.27195573220669,3.4749792365904586,4.525389988145576,4.598115509410168,5.215980608185959,6.219088810705482,4.839216457411802,5.566453852480836,5.236990435618649,6.627323558732997,7.060916186109726,7.122632713188871,5.655622763097552,6.785389406805855,5.528724280662886,6.461300700429852
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095273804703043,1.0996145145268776,1.5469834361549433,2.1781499440873966,2.1867702109830063,2.5810690263712206,2.8017585091934083,3.523607893061061,3.0857936667757087,3.318998625233291,3.9973684281604718,4.331800264408788,3.915878678732651,5.314207100325326,5.040599125956022,5.341366908479303,5.732715983028676,2.5020115048300804,3.1140490167888952,3.3277299767784845,3.5271466870814114,4.570282158637017,5.065001151246199,4.766848789365386,5.85911063388665,4.456590454104095,4.524237919799085,3.8191792274935654,5.549703544060312,6.232757071242353,5.798306192367574,5.685515322934435,6.613011433839248,5.853710793997952,6.733305749689788
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761586212615784,2.194469988891682,2.987982042786344,2.3442646610174287,3.2268957957944195,3.6506376052375504,4.139285773178303,3.323455780762903,3.26376297736628,4.216631405671242,4.762105645950956,4.532838668955211,5.7065954632248514,5.025437237882175,5.203727761866967,5.695309548996406,3.4313964056372144,4.116189624821022,4.183944503620636,4.177357464781827,5.515801855295764,6.030991785062237,5.797736846839036,6.892059836661831,5.5410439998524375,5.451119625859138,4.702969503889057,6.369106935515548,7.067230250265101,6.506981486284033,6.511024722578224,7.454684353949571,6.530085460597776,7.364906148340717
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1823468070448677,2.835972120096036,2.9914110170830175,2.581313718250557,2.4681069766136083,3.653207704753946,2.872839027907986,3.350003960485648,3.449589817782842,3.529876754310627,3.0372809916907353,4.464408251819953,4.551080220684783,5.039698986305035,5.112710338190728,2.677419957037618,3.405561589038486,3.0803286582405436,3.2279489657522094,4.213514283912406,4.912630076035567,4.25404287986434,5.335071551257431,4.120653913361467,3.722389197792133,2.9711380541888266,4.635058654036209,5.380206398821575,4.784585547932335,5.199276311424498,6.001752655577531,5.485078193928315,6.300859847088411
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942689227048137,1.0987815118897346,1.5298383618036424,2.157980417424434,2.1713187904779896,2.491471809190914,2.697615331704245,3.6940056894433457,4.211966131522139,3.9055264866640647,5.217826278642063,4.7703143010272555,4.924435339841487,5.63030119248347,3.0818387237337825,3.0800220612216016,4.1554594440226795,4.646820876426754,5.123405438234672,5.448595703556166,4.984432377995336,6.014310310023867,4.362976139070653,4.85295568862723,3.990562869816634,6.058587233714839,6.799170086373898,6.350283875264008,6.458236277063552,7.315356021881114,6.836866911030143,7.7608414942932775
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.756164514508294,2.1106520974750858,2.4606925711857897,2.4111493255373326,3.3960362766805856,3.6822498056333965,4.550910023348371,4.899429425300579,4.441734816437719,5.887262819371429,5.702111928452439,5.87659811676091,6.561221238033828,2.6850400619176606,2.3059975916183464,3.9128705696093142,4.565646102650699,4.728971200152534,4.850067438360627,4.630829967577589,5.600123503905625,3.8683967954129845,4.828929341151067,4.155600262814363,6.1184280639157596,6.7557974483043095,6.568547670168614,6.168824881136326,7.056581998672972,6.58101137519242,7.539158376477372
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1657556781232405,3.0665050987782756,2.5054330881436004,2.74985582237559,2.5421069932661022,4.0652009886915454,4.852885157961249,4.732283648989957,5.834284635920251,4.914275743968583,4.844750107878471,5.839782085122772,3.971776185364265,3.9427300043479137,5.1200022890802925,5.535287713671396,6.156551586017408,6.423447193018368,6.073076123461987,7.096181442106892,5.418150937006305,5.940044535530308,5.034295417098586,7.128113689809286,7.883405036245413,7.372619236326036,7.483711916593217,8.378142989236531,7.7753347399415915,8.703636928812829
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0907195111147518,1.0969630207343095,1.4801465611531202,2.1240344193284044,2.532866309858669,2.994398981409497,2.81652263208333,3.955380094341856,3.7126323540809327,3.9783781631924637,4.573533132835762,3.911562245297733,3.7918966247529506,4.706712803964722,5.280688294844362,5.393473216340913,5.842085534387835,4.8167573359122065,5.757825859406042,4.180429117693112,4.395036240739009,3.313970055664211,5.5697435123177215,6.4271249979282885,5.738590016915211,6.700457678863879,7.349596850700533,7.323696654109825,8.195168485558474
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7721210429014977,2.1029523098555885,2.984034167501973,2.6773006021622012,2.609805543097954,2.105957526531969,3.5375805019813362,4.006104472693913,4.4994380866279675,4.7133779065099075,3.5451212821154203,3.4374525503078996,4.098370394926305,4.7395996827241,4.584447968469199,5.10829808330524,3.839323023979927,4.747897876231012,3.26966065903315,3.348449369576518,2.27723580697422,4.538602970352489,5.3919180695100115,4.755902761707275,5.850563364147038,6.402462822232116,6.600499032802339,7.437141881056846
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0951093168673207,2.5434614595403815,3.0825051490549327,3.59544396052838,3.517534057792779,4.445616933199118,4.111449508456758,4.224839517509858,5.023653377903573,4.607640725599244,4.216410142569795,5.493760319557369,6.167579821927344,6.035119965649553,6.349961561091268,5.330415844815043,6.171135990303255,4.537064115928024,5.050391400561793,4.01306099580625,6.267471275834074,7.104068428917982,6.4768976291998355,7.418497665351422,8.029916368343565,8.115832771317727,9.003977047299102
