 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,H10,H10,H11,H11,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,H20,H20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,H25,H25
1N1S,N1,0.0,0.02333987821524608,0.0003382580499893262,0.0008073705530757813,0.0009539319865028428,3.146880339954805e-05,0.0012828143774981093,0.0017753844831553955,0.0014149041817665964,3.186479377470519e-06,4.439250015875196e-05,1.4543081017656667e-05,1.2310730795883629e-06,0.00010508710376627706,0.00772736708434385,0.0013220125638279123,0.007630602019075505,0.0013024909174812471,0.0011256773255125252,0.0019854462951636176,0.008241848718716582,0.0006114945148263384,3.072022886629888e-05,0.0006315862423145191,0.000795532270500221,9.199794132985772e-05,1.0030192951759886e-05,0.0007028814203234313,0.0003653441215079045,1.1703839974008812e-05,3.835356701675785e-05,3.176435884488793e-06,0.0001622895675672531,2.3233485886953176e-05,4.48826877610109e-05,0.00022710822753246873,0.0001520230449105764,3.290311352910358e-05,0.00012031110509935772,7.046541790067806e-07,0.000307537913464051,2.5260576387076128e-05,5.2082517356000224e-05,4.646409051844991e-05,2.8071336782620193e-05,7.117781199902917e-05,5.38535940869389e-07,3.420752476362976e-06,7.978338292846665e-05,4.223363017108461e-05,8.285324220369539e-05,3.323569183422137e-06,1.1507437085611638e-05,5.729104824014897e-05,0.00015061514661574016,1.299815641075952e-05,1.3966194788217479e-05,1.6662612861484405e-05,3.0316484085801676e-05,2.721458041143876e-07,8.958191799468551e-07,9.819503080099601e-08,5.461240407678147e-07,1.6221497219914838e-06,1.2611560457065352e-07,5.508472708526391e-07,5.5976271322588644e-06,3.2654828707734396e-07,8.846653631877643e-09,6.283325415523677e-09,5.336814601353268e-10,3.769423884136813e-08,1.7964383367541359e-06,6.510032350970363e-07,7.673676938324547e-08,1.4133547665551305e-09,5.799233336878373e-07,5.858844520645334e-07,6.662301987869768e-08,1.1443974128610979e-06,6.811038585907703e-07,2.783103270065368e-08,3.8996423368242716e-07,2.172819984491703e-07,6.801335558637156e-08,4.3644418523669515e-08,1.7332634458799845e-06,3.6177893731892397e-06,8.777964533024374e-08,3.151568872539201e-07,9.295573377698929e-07,1.5290419834723679e-06,1.360040302600396e-09,5.60414428057987e-08,1.736825960829691e-11,4.0111017007848915e-09,2.5500678887957484e-08,4.76998912590787e-10,8.55260146870318e-08,2.181501699283217e-07,2.8594060426101464e-06,3.0550595386813484e-09,5.8072655795271544e-08,2.6895448090868967e-09,6.024687497774295e-07,6.730641688434957e-08,5.824253102026944e-08,1.372579772063176e-09,1.3704320392382563e-07,1.1610512409832019e-07,1.770223650998659e-08,2.6421145660204814e-08,5.274554293055456e-07,5.0650740051061405e-06,1.189418552849375e-05,5.279855726625371e-06,4.385201544110373e-07,3.5155593946734065e-05,0.00010709445754997216,7.726058425105986e-05,2.6681432789388282e-05,5.256273968301528e-07,2.549507000271234e-05,5.343166587845616e-06,1.7787703805449695e-06,2.7173669567281955e-07,3.008308848417851e-06,5.919999476189375e-06,2.9001383056614927e-05,7.722783463193217e-05,2.416928439896715e-05,4.81584634393073e-07,2.2365272328128682e-05,2.067483898082756e-06,3.913071265682078e-06,1.0389012101708062e-06,1.4851838864293754e-07,1.8968952367193204e-08,1.5097343736281132e-08,4.198130829080604e-09,1.595139443588689e-07,4.1123479908034e-06,6.615226579853584e-07,2.2820460761074912e-06,7.061419997178575e-06,1.3301275345600772e-06,3.7055721602285985e-08,1.7373125347219798e-06,3.6484523442403827e-06,1.0722414842123662e-07,5.297716093033422e-07,6.340875927102196e-08,3.951837462684571e-07,8.567922835100994e-08,2.042569411164763e-06,2.2415539668863005e-07,4.9222600717602205e-09,4.300777878274431e-07,6.135660086670214e-07,4.379259443965111e-08,5.218374035109719e-07,6.567429386983292e-07,1.4483361459038946e-06,1.0643806112042853e-06,2.2983448300095688e-07,6.30276794089113e-08,1.8674401691676223e-08,1.064197663325217e-08,4.8133283470086496e-08,2.6695256005737633e-09,3.8207252472943765e-08,4.7280888648693065e-08,6.143938535707605e-08,1.0104558397783237e-06,4.5695103978449225e-08,4.8622501580553035e-09,1.33217259445928e-08,1.5716961065947999e-10,9.04002268597992e-08,8.980162879979048e-08,2.370366458670503e-09,4.16418588500278e-08,1.2961692952284665e-07,3.510475243828637e-10,2.7906956745482603e-09,1.1247406478398503e-08,3.613926102818965e-09,2.5342827836283277e-10,2.8907153060142576e-10,4.025416666664228e-09,1.5276573339662036e-09,3.138400650470885e-11,2.7586601003548594e-08,3.375077994860476e-14,4.000799691539214e-12,4.214452786754919e-09,2.874608329150874e-09,2.1191279286902898e-10,3.836922446431856e-11,3.1577965242668427e-10,1.8400301837750987e-09,2.2381763109535768e-10,3.234205958602132e-11,2.3589197262197104e-10,5.707931904908037e-10,1.3665178988375715e-08,1.9922636207425626e-08,2.1366422631174942e-08,7.578226934867871e-11,1.6357004639644401e-10,1.3568723922219306e-10,9.919370880240308e-11,3.004638482462241e-10,3.990557884137047e-12,5.986988960149375e-10,2.4735855030932896e-10,2.5676074599800813e-09,4.331074499042131e-09
2N1S,N1,0.0,0.0,0.0041373587651034605,0.015804037160930484,0.021838713494592543,0.2617386753054536,0.014295490599506078,0.02964546555164116,0.03214695009396973,5.733432627397228e-05,0.0006792247692324338,0.0005042080686759043,0.00010180962266548299,0.004130448074550985,0.09933231834919942,0.1534569705100588,0.09981009891512338,0.15435802595931492,0.00319790818276644,0.004788653374030005,0.08655149942412299,0.004163265037676389,0.0002796966813654045,0.03970797286249139,0.20002488814516095,0.020927993542914525,2.876966021192473e-05,0.0337584949929044,0.01848220704573289,0.0005509662577563024,0.0016612808141140967,0.00028671149821857256,0.0052242043580221775,9.888847994599104e-05,0.00025441076905696747,0.0034160554775084506,0.00689976780360535,0.0009751348202020615,0.002488121532423726,0.00010504599108296375,0.0009794367221003242,0.00011559788357740075,0.0010100769775127638,0.001318137150692511,0.0006998034803402664,0.0007414388923434601,1.6300777190281224e-06,1.4922849198573118e-06,0.0014768530197772911,9.738014663263073e-05,0.0018390783866646387,0.0002349296868349171,6.87946156430197e-05,0.0010872114815048128,0.004512675367520647,0.00036933478912226647,0.00047850908671076553,0.0004728191664598036,0.0013871077070399807,6.968128785800332e-05,0.00030229702446415985,4.417247836618898e-05,2.7972229259543013e-06,1.169547525159409e-05,1.1733230684818352e-06,1.0234742618520087e-05,0.00020033302498090322,3.636617708835388e-05,1.3222548131963663e-05,9.620327490189595e-07,1.914316156703677e-07,2.0673817102689895e-07,2.5223657163842006e-05,4.485161589107278e-05,4.243125961256311e-06,1.2631506867144537e-06,0.00012341077640876108,8.374454569803902e-07,1.1867623558980966e-05,6.442479444768168e-05,2.6789971593554895e-05,2.5332833740510097e-05,3.478523446576176e-05,1.3873133188679887e-05,2.3781610258843955e-07,6.542597295933206e-06,6.127907003161681e-05,0.00014818091523594035,3.6929725180101514e-06,7.76953536618663e-06,5.4855975035739135e-05,7.662825236254278e-05,3.0101865338139078e-06,1.9471910397417247e-06,5.43027580235389e-07,5.621247023412934e-09,1.7382587120806647e-06,5.612071696248222e-09,8.580619190734495e-07,2.6546418450124065e-06,0.00018553422191658342,3.666178032268874e-07,3.1941140310465244e-06,2.9077084811035547e-06,0.000200844256668109,2.0053349913951024e-07,8.990862405688915e-07,4.6416735715038016e-06,7.849452853925243e-06,2.2199193123739747e-06,3.504594099368319e-07,3.2506706428847565e-06,4.0152214798805375e-05,1.5339443186768165e-06,0.0009103271237229649,0.0002806746569770091,5.627780872430321e-07,8.744764331591881e-05,1.8278180440312042e-06,0.0005380602917095523,0.0008190762760680315,7.585273326760067e-05,3.3755472057306335e-05,2.148500932719344e-09,4.349772578571276e-06,6.370347116479991e-08,1.9735571804790908e-05,4.6810830965249295e-05,0.001480516473473692,0.0022742265216018076,0.0006545032301699116,0.00013618668464232542,0.0023638781538308784,0.0020436791400832988,0.0005985968767028282,6.958333578221954e-05,1.763201624327415e-05,1.4640345291416779e-05,6.237870688940994e-05,2.4699608853984145e-05,3.4177421892600535e-06,1.382153161610944e-05,2.5887703257065908e-05,0.0001267903671418047,0.00021880941179830415,3.986748308903998e-05,2.552612775907903e-05,5.684447651299607e-05,0.00027963518422069455,3.667713069943623e-05,7.024268518396326e-06,4.5103669996438e-05,1.7985370033724024e-05,4.93686023306239e-06,8.854547889658448e-05,0.0001355375409106685,4.177466681687392e-06,1.5616869605938888e-05,5.301437901872319e-05,8.910224096769781e-06,4.684173645319589e-05,2.193257282456784e-06,1.6736475618728264e-06,7.853936695223496e-06,2.8641865297274194e-06,7.058390533609682e-06,6.4814061060403105e-06,1.5428399817718486e-06,6.667847814112449e-06,6.759219214114154e-06,7.3957573727412296e-06,3.798889135708805e-06,2.573664707572476e-06,1.8501894085698467e-05,3.5980603740881634e-07,1.6501459052520318e-06,3.3352949113663044e-07,2.2875766969576716e-07,8.944939121846573e-06,2.8548611243905953e-06,8.566895459694024e-08,4.6392345787182876e-07,2.3713784829126894e-06,8.058738099059326e-08,4.184218782565807e-07,1.4466521234268725e-06,5.874777984082868e-07,3.7315824652495166e-08,1.7175416644477082e-10,5.675268255345145e-08,3.2080054657157575e-07,2.5455084706749176e-08,3.9207380631012256e-07,6.458980017498561e-10,7.298786242060373e-08,2.351627763630404e-07,1.214661526915961e-08,1.6657909496231582e-08,7.64174523659733e-09,8.97120415732644e-08,3.2541543726338773e-07,9.457777827570624e-08,2.8292545195540697e-08,3.5503582518359167e-07,1.3152310351927099e-09,8.953841472703061e-07,1.6196021652703507e-06,2.304876289827007e-10,3.4242693125463575e-08,2.592396342038228e-08,3.3311903946398047e-07,2.7262034851815997e-08,2.61425541214777e-08,1.2164045326557016e-09,1.2634775159447997e-07,6.294465926259818e-08,3.448064389566241e-07,2.0316856819135864e-07
3N1P+1,N1,0.0,0.0,0.0,0.002374331511707517,0.005237192174757599,0.008909864640658238,0.29041967949236414,0.0021671802640712556,0.007089969107003213,0.028681219062734575,0.032180096346021037,0.0018099948441800962,0.001318985228430991,0.0006167457409305133,0.016226665798388495,0.01867167932267577,0.15069931392581237,0.10485108342909655,0.013565254865819165,0.08601188513645264,0.30053365498991935,0.036922340157069744,0.0014496789927398446,0.03435711880084469,0.11983966565713278,0.012059634664354224,0.0027494806155261564,0.024763985390357846,0.011643047289044528,0.0044028758047442995,2.2463718002851962e-05,0.0009806207674258882,0.007398551969617362,0.0002709694820843822,6.505712597904001e-05,0.0002824883066128159,0.0009462065722289914,0.0003944970719502727,0.0016200382302606897,3.3979538112571817e-05,0.0005436098818649704,1.0124081485596292e-05,0.0005249237268900586,0.0024564876817714243,0.0007614342572745958,0.00776318364850348,6.7960697257341e-05,0.0004505326419388389,0.0013703695915192604,0.0012940934798515435,0.0007620319668824038,0.000845564906171159,7.01431943392894e-05,0.0017194274738048243,0.003866377676982946,0.00037377952824213523,0.0006686302501477392,0.00024091106638657322,0.0006626665085915917,2.101429591450099e-05,1.3561591723831867e-05,4.768122669096542e-05,8.157572675804303e-06,0.00017897417862267062,0.0001224009283511407,1.811683231500716e-05,0.0004432140740879831,0.00023861548115355902,2.6138895074634405e-05,1.7546556644987277e-05,8.045002577450333e-07,3.193586288574579e-05,0.0002732314694977589,2.9867993866172782e-05,1.1652254237937143e-05,1.1726153354985058e-06,2.3729326788402005e-05,2.3335009147196217e-06,3.7717609327359014e-05,4.399937231713835e-05,5.193335232367424e-05,2.5959188381330378e-05,1.3871452701152975e-05,7.251170045963207e-06,2.9110893873252053e-07,5.60321603026992e-06,8.071600902859188e-05,7.252525388423692e-05,1.398570765864804e-07,1.8258096337042673e-06,4.3802500418799184e-05,2.063525219098139e-05,1.258420087690837e-06,9.549417054222076e-06,9.239338671918063e-08,6.328992735671335e-06,3.141530855010899e-06,5.154252684658189e-07,2.0131364901754267e-06,4.301904328229966e-05,0.0005253347839389022,3.3706970943292447e-06,2.5995749259877243e-05,9.699609376578877e-06,8.042315197975825e-05,8.655748312325073e-06,5.452906223446519e-06,2.931200206290896e-05,1.8521068184229605e-05,2.057185745596435e-05,6.435735300236445e-08,1.0702529053219223e-05,0.0002356881504890218,0.0029578626683153253,0.0004901670754424714,0.0042934204302720325,0.003898938648299488,7.571859567256922e-05,0.006083983873724552,0.0003652717913436021,6.0926859446475135e-06,0.0029140504100164666,0.006098945785715237,0.00376894182354226,0.00015589506577495804,0.0003809521082418499,1.7336018753866256e-07,2.5156691672023612e-06,0.0009007166575742964,0.0008428948511292056,0.0009307121251187489,2.8875639848102708e-06,0.00024620332602776074,0.000552331694278152,0.00048146544807892155,0.0002488107095666159,4.202518448792603e-06,3.3275895874540495e-05,7.123576992285052e-06,7.9544765013706e-05,9.327631660593916e-05,0.0029669598085937388,0.0017218955400015723,5.04852740319528e-05,0.0025647466857914303,0.0005579524011274373,2.7087753160959238e-05,0.0007886738834446128,0.0002083678677307077,3.184170974068756e-05,0.001119000336971654,0.0006773183930475213,3.3237875510572223e-05,0.0007939817034510188,0.0006310381323073599,6.322925058599438e-05,1.6501204392671553e-05,0.0004144679505744264,9.462869993503986e-05,0.0008573186733373817,0.00040569261690714953,3.0064499732862515e-05,1.8541172153163643e-08,0.00010588258593280386,4.54278192840718e-08,2.964859764365002e-07,0.00012953295371964657,9.52275840575556e-05,0.0001000841800076202,6.172348707123021e-05,2.2835717060853966e-05,2.19622598227609e-05,5.823328376086678e-05,1.2457041592472962e-05,3.284694149341405e-06,6.000593915800323e-05,3.5344785018764924e-06,1.7950112063402912e-06,0.00011540703853407663,9.031564773387402e-06,2.4354672479187656e-05,4.15607939814322e-05,2.1964486895953428e-07,7.190285430391796e-06,1.5558638015722437e-06,2.0450157351303844e-05,5.725261287281569e-08,6.420827555331243e-05,2.8786963257587672e-08,7.515836690785704e-07,1.1332911409311919e-07,3.201567397859151e-07,3.828187948862194e-06,2.0381528869073406e-06,1.2926629544551815e-08,5.574587937928754e-07,1.5548316376623461e-06,2.586961578288083e-07,9.387746693345633e-07,4.0872348838760786e-07,2.3507950972501135e-06,2.068631496765505e-06,1.0870997260159498e-06,3.3669216535248125e-05,3.181832299858911e-07,1.295550874713669e-05,2.8914862137519037e-05,4.35964837564029e-06,6.540890273853961e-08,6.513543278074962e-07,7.93971446810815e-07,9.625655312373027e-06,4.472726189419518e-09,8.178824615345803e-07,1.7897365647723262e-05,1.2412059181121649e-05,2.0313383853221012e-05,2.7006687539188334e-05
4N1P-1,N1,0.0,0.0,0.0,0.0,0.027709865407454792,0.01873526642534662,0.003251186569135811,0.22810647972695008,0.028343636903255476,0.0010232274240731254,0.010369866406014339,0.0006619311578535125,0.027565148603907463,0.010344647286975261,0.0831928591752984,0.057879599543125604,0.280521130277708,0.13968034176027144,0.0015509179785797578,0.00794460251415563,0.036081542365387076,6.487035841296063e-05,0.0006808641257567416,0.001348421579659309,0.008798647713502916,0.020850061103691253,0.0014866178873087499,0.016850566002605927,0.026946129734060742,0.0044281459458408445,0.0036078230814811096,0.0018246162327679727,0.0027218168104146123,0.0001462762107391491,3.531201042683563e-08,0.0001690349542884384,0.00020533543906697815,0.0020811170699341908,1.3199974490785138e-05,1.581223655566788e-06,0.0005830350812896512,0.00032948196082482895,7.777023061095178e-07,5.220151918949867e-06,6.633607357930948e-05,0.00021720791231705228,3.956002694316396e-07,2.292626163225009e-05,0.0002624246044797829,0.001160880874974346,0.00047155643307972284,5.501054942236294e-06,1.3928990436617994e-06,1.0077420191656472e-06,6.568923283767347e-05,2.8698266503646153e-05,1.2407177546247539e-05,1.0800444176783941e-05,3.185154320606287e-05,3.8493376866899354e-05,2.6196219435448143e-05,1.3250312291823718e-07,0.00017370184464438054,5.423519191527504e-07,3.570296473509593e-05,2.645253353028565e-06,2.149744064450232e-05,5.804837107881156e-06,0.00011709570034224015,4.71356261506628e-05,2.280300861468021e-07,2.049545884297288e-05,4.2802297008925905e-05,2.549032976117971e-05,1.0465199441256345e-05,5.639640100696397e-06,4.624613536208244e-05,1.6383211899562156e-05,3.49131851633544e-05,3.6958611309145795e-06,6.381001966371258e-06,1.4766750986439092e-06,1.0851610909856646e-06,2.1066704714023388e-07,1.9824948349622673e-09,4.2972142066943775e-07,9.84016177429936e-07,1.750784220533319e-05,1.1135065242751097e-05,2.7180764305967386e-08,1.8843036384552647e-06,5.750835007312105e-06,6.218923481959848e-06,1.6030568978919746e-06,5.131062072560866e-06,2.0907515763113338e-07,1.5285572891876598e-06,1.171425274559823e-07,4.108543345537896e-07,1.6567171161163685e-05,6.80206268599548e-06,2.950119377675975e-06,2.1843443558822173e-05,9.990463776254899e-07,1.6704490193752974e-05,1.4628796529692067e-07,3.767799006126893e-08,3.154836986096754e-06,1.238003877190863e-08,1.1541061870623537e-05,2.888231231956695e-08,6.217390214224849e-06,0.000255949923921861,0.008055016377440438,0.0014630469541807578,0.007456808170872797,0.006970900101730848,0.000790274740030128,0.008069631044089753,2.157089471443996e-05,0.0003358941582098929,8.963124928929034e-06,0.0022791766937686475,0.0008750858329298339,0.0008225893550710683,0.0003918536369185155,0.00012615232084156602,0.0021665069574741125,0.006382870251249617,0.005719452351080623,0.0009805914983593844,0.0008429838908075027,0.0005656393437782903,0.0008518571665399044,7.03573448506134e-05,0.0006670524539544864,0.0007898120222842309,0.0007136381304595485,5.614204565684844e-07,1.1983847599372766e-05,1.0618868619083344e-05,0.0005082566586085413,0.0003181783091870116,4.515006151173395e-07,0.0006557040746915099,3.781783554268614e-05,0.00010013764046323814,0.0003037477598977212,1.495030005571607e-06,6.950039190622981e-05,0.0011705089255378276,0.0005875146849323443,9.125187731662265e-06,0.0003120182529654514,0.00035869250790998564,5.947964096675307e-05,1.3337936782154003e-05,0.0004526557973267842,0.00015235121069556712,0.00017695384951110782,0.000215322517454819,1.913439653922211e-05,7.020125579737524e-05,4.274707508411524e-06,1.671136384828742e-06,4.3951414465226435e-05,5.775103414573657e-05,6.077469942278313e-05,6.036424401312246e-05,2.5813256704143583e-05,5.1236270835364195e-05,7.768223212911707e-05,9.54379879325451e-05,6.769436431897091e-05,1.2394864117304394e-06,1.9014109878146e-05,1.4720253061373256e-05,1.4444122697909734e-07,3.168130892605703e-05,6.359375976039416e-06,1.292628668059237e-05,1.2562759660994516e-05,7.099195786786083e-07,1.0898474809284409e-05,1.0310668165924852e-06,1.7588907915477847e-05,3.9038000987368093e-07,1.6913270020291193e-05,2.9456703742880563e-10,4.11801983624116e-08,3.443186522567032e-07,2.8683130093298814e-08,2.2251167841602637e-07,4.3709251640322577e-07,7.290022048245248e-07,8.346174489304303e-07,1.9354391200820942e-07,8.337443826444968e-07,3.320552610652783e-08,1.390202295503684e-07,7.755390958319452e-07,4.348372804052758e-07,5.125391753235675e-07,1.483331156570955e-05,7.556886600923463e-07,8.916231913236317e-06,7.5206662937254976e-06,2.4245556429214332e-06,9.172356207898247e-10,7.291830041999958e-07,4.077039004179994e-07,3.666453058048802e-06,5.9282173614505496e-08,5.8538742742086924e-09,4.247440578808437e-06,6.784829975847728e-06,6.57516293145477e-06,1.2857522919684783e-05
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.02075883290016467,0.009243497625196717,0.031843392457671094,0.2139343617214835,0.014082159195133448,0.0007051842913816664,0.00222523972778621,0.024508596307895703,0.002685197051522037,0.2949605286888244,0.1814497338714114,0.001110576958906595,0.0033713652968825336,4.544382830373728e-05,0.0004991324377749962,0.0008369794212614856,0.00044622233655866594,0.0006267326639655124,0.0015163127275266142,0.0033016620321286716,0.0021003587626031717,0.03018176095284897,0.0006445717591250233,0.003046189433029367,0.040289673131099546,0.005884431070801499,0.007510344699882099,0.00035364240655466617,0.00010001234708978401,0.00024512314735813945,0.010557428538534808,0.002567699892679798,0.0013940038494837381,0.0049521730280854825,0.001405262657611317,0.005375556987097241,0.00016641595526456499,4.566734389843674e-05,0.001105840464630914,0.0008028798032093665,0.0008258140745254217,0.00014191990888789974,0.00014845093342130689,0.0019369924677823391,0.0008538264213666658,0.0008839758623238048,0.00013731180074794125,1.892389493396429e-05,0.000946231532402475,0.0018318307555489355,0.00016115987564147005,7.247660821985136e-05,0.0001388014047982722,0.0002235056706005878,1.0257229732246742e-08,2.6079593213879093e-06,4.077646776901034e-06,0.00011183651476143197,0.00034424189095694224,2.9777729395608077e-06,5.114649993864795e-05,6.934224804977518e-05,3.988050176273461e-05,3.0978055498565027e-07,3.81737117520764e-05,7.37099270509134e-12,6.9607485566614e-06,2.9828509994000996e-05,1.4071056320119624e-07,7.596026474487871e-07,4.565033813186403e-07,3.573611651930264e-06,6.644068455408103e-07,1.7639603191454967e-06,3.835792051498643e-05,1.6860490452685895e-05,1.359163712688627e-06,2.049637842116425e-06,1.460871345160264e-05,3.846806717611173e-08,5.664344562283929e-07,1.3997689347178266e-05,1.793560237128844e-05,2.6495622185152e-07,1.6392602391057665e-06,3.7612374064188714e-06,5.0755866380924886e-06,1.8810520208134562e-07,4.332418503505409e-06,1.5784388973649754e-07,1.8567934967350652e-08,6.916522932165492e-08,4.7321607632433427e-07,5.333448416244835e-08,3.568629511896404e-07,5.452881830958489e-06,9.5643840283266e-06,9.337183488611345e-07,9.014311190824742e-07,4.676076086340686e-07,2.307478406127217e-06,1.3495009731911978e-06,1.1657553209420968e-06,1.409622660819565e-07,3.0169776379374014e-06,2.2511459629726005e-07,3.2444004842702157e-06,0.00012548417067281825,0.004503451153027527,0.0006740248174206265,0.006161356091726855,0.0008940869844087374,0.0003201827975933824,0.0040394938700965,5.024020702126819e-06,0.0004108341495365764,0.0001021699678338539,0.00067421658807576,0.00022864162213043215,5.689336045566762e-05,7.96887874132679e-07,1.5952196150914588e-05,0.00036603913948063393,0.0005698007905938773,0.0014320036214638954,0.0006767702390617636,0.0002512136129566578,3.5310753130346484e-06,0.0003174881355976211,0.0003321653174692685,0.0002587156210316355,0.0003286062879757079,1.1907854629900072e-05,7.496384875071982e-07,5.246005303249923e-05,5.945998436951427e-06,0.0003908912715493429,0.00016263423448714676,2.1401102898721547e-06,0.0001380375830777325,7.666805856842984e-06,0.00017435610473937047,0.00043157339445976106,1.488246032188556e-06,1.1038382918826528e-07,0.0008416928472489982,0.00020164102986219845,1.0029873015238167e-05,0.00025061137565440816,0.00011817847947392934,2.1423857825109138e-05,4.180845661005961e-06,0.00017681430169158574,2.4953256021476022e-05,0.00010408109856863135,0.0001230111776409082,2.8293937162970906e-05,3.5357349532638693e-06,2.3883867462437536e-05,2.0744890192325727e-06,4.084230972756231e-06,5.5729599362175364e-05,3.716902376327269e-05,4.880664304929283e-06,2.193512179959889e-05,1.0407689588820546e-05,1.786016153637604e-05,2.9172725392268006e-05,4.7130345603996204e-06,4.5892281885784314e-07,6.498366138973921e-06,3.5293969653515944e-06,2.927406419495071e-07,1.210140356189271e-05,8.953301486869236e-07,9.959616364962898e-06,5.139773208817644e-06,1.1302590166017978e-06,2.1278281663317244e-06,1.5714304524294676e-07,6.622066091477308e-06,5.138962588802087e-10,1.1034159887346462e-05,4.695439592694584e-10,8.416836561053742e-09,8.06167599343155e-08,2.59147661552106e-07,8.52095149994625e-09,2.1480235901094602e-07,2.3399270032697927e-07,4.361525429708024e-07,9.112663201804594e-08,2.4760122796507744e-07,6.564082655202697e-08,2.735760773475704e-08,3.8522201162294323e-07,4.0895596908896437e-08,2.7117000600540564e-07,7.97609798075527e-06,1.6613730036141305e-07,3.903483894340809e-06,3.968316439451058e-06,1.2859304581169795e-06,6.400302510201072e-11,5.526898414487391e-07,5.191512637559015e-07,2.251934973607206e-06,4.53785009568719e-09,1.3168635071281187e-09,3.1001935845154094e-06,2.311993084314068e-06,4.101203637585371e-06,7.927393736562038e-06
