,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21H,22C,23O,24O,25H
1N,0.0,1.0219321806373374,1.0236988966233571,1.4734500219158781,2.101419037546917,2.4600139238724683,2.6202533939953803,2.66205636482078,3.884468808032729,4.612177200470019,4.252425073617088,4.501680947858758,5.330737961758029,4.526930160485936,2.48631389374493,2.7891234273303414,3.65949903249827,3.9175460074222013,4.8743172770229,5.698854937237618,4.960087141655246,5.536394091674975,5.338049722301712,6.8072153968592515,7.279917962442513
2H,0.0,0.0,1.6061550530062776,2.029619186645484,2.2969641022932668,3.329687365803579,3.486631145025656,3.6344052057078597,4.629850693088713,5.455619024136642,4.939492517736417,5.021399958692462,5.877294092120994,4.812196452266935,2.737338347664373,2.9854854440303358,3.7945510176661807,4.109850592918904,4.938224986737092,5.842461214940968,5.110649448710386,5.319429854141709,4.911219031012797,6.619197154992674,6.965502029665661
3H,0.0,0.0,0.0,2.003880688003306,2.892415238856455,2.7974221331149507,3.160990804329514,2.6029159378732434,4.209838176927433,4.88453994400564,4.3836391744242915,5.082320814180027,5.987228276515209,5.126355733251663,2.479906812068968,2.317958445566002,3.8103180063697595,4.289553011276334,4.826954544544544,5.712173822722448,4.686325050671386,5.516472572227318,5.427721368509833,6.687894526397069,7.184602544846177
4C,0.0,0.0,0.0,0.0,1.0940325189032474,1.5466431242383345,2.1328091825738116,2.1568923691309796,2.6310591064815414,3.538988550623524,2.9339778344995935,3.1686525993490524,4.150103965131958,3.1324550253634147,1.543514710240671,2.430760555253178,2.4386915338096755,2.521509830715383,3.7855775782187604,4.457988233699215,4.034776860011078,4.6649860818222235,4.655734913909243,5.932728049610024,6.512180271888724
5H,0.0,0.0,0.0,0.0,0.0,2.149448358273348,2.4404849984949983,3.047315062620692,2.860468705115095,3.8177635947023902,3.3029529140370153,2.813127133148275,3.7170200864680676,2.552795980284923,2.1555127101503606,3.2313534640601587,2.5484833473074215,2.2854729615278417,3.967473412881887,4.543026939487653,4.480919368907218,4.677582175024637,4.509571629301755,6.004130048773311,6.510278340475187
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0971849337062387,1.1019074700383482,1.5437829737395947,2.153222634943553,2.171842902976814,2.604046311165352,3.3898979284140065,3.1804506738789002,2.555658923307636,3.3285671677078557,3.2181501426687715,3.0520347349939394,4.472673878330119,4.885137967035913,4.611011733227768,5.660791598734701,5.884554460597927,6.808516606559765,7.5200044706704
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7625816147658815,2.170080990375455,2.4519155954656315,3.072262962068111,2.8753315985276497,3.3034927402703187,3.621583399618488,3.472799992976495,4.237553605311992,4.14535377387736,3.845129694580468,5.474031729275167,5.877190163506846,5.675504879570726,6.58152676908052,6.682335992995745,7.784152138426965,8.452475646096559
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1763467786974013,2.4826466039782025,2.481426107764505,3.544918132839406,4.301388950081245,4.142310338442366,2.811461188342479,3.189595840877592,3.6891486136623617,3.7741881383594538,4.751350185837309,5.215036508487148,4.630006419045242,5.9970283090543,6.317597832473089,7.051338782835101,7.798496141238925
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963690373191366,1.0988667429229224,1.5619873432398903,2.4009320879108857,2.4148042040613555,3.130125475883692,4.060195234186879,3.167967138474398,2.6811622889958895,4.2412799736724365,4.297165529998257,4.507950164348901,5.586711343431866,6.013365073284897,6.595442635629539,7.393011316976834
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77118964030452,2.1692308401555,2.495351558856377,3.2840176164420134,4.12432739148877,4.932303635732177,4.225427924341497,3.7458070483873094,5.204192290296385,5.166574042846776,5.373393521381695,6.60601480443718,7.087815236262337,7.545948773088557,8.380062441829285
