,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21H,22C,23O,24O,25H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1898347205922404,3.1853557894823226,2.634823598807107,2.8553098159838624,3.6577342989196806,2.693656378397371,2.4111443212609833,3.479630336986767,3.4429866471670643,3.6398421227489792,4.933723821916705,5.545386167090495,5.804115158543868,6.663113841434169
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2424696233894255,1.2839142714439327,3.742869524732723,4.898575212006938,3.3703621240720563,2.4636669239468647,4.482343638652511,4.386831625577119,5.079674728312254,5.615743303763572,5.899440938249679,6.6635645145437294,7.374879835953852
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2602528797424575,4.926734948718232,6.070716284280651,4.605402980174632,3.6676544552453034,5.701867556288111,5.530242225525047,6.30587359500644,6.805082878402694,7.046799407987701,7.833994037576655,8.530832953093093
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.376073586910723,4.59367829610439,2.6612645857005464,1.6054142333944952,3.7063861456897924,3.6167368621247737,4.509817564923108,4.624801303001629,4.825546229099769,5.694103788527364,6.328082669827464
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2394988712730235,1.35361009950057,2.0672213577777367,2.4147330206724376,3.2557801234419235,2.539649030848049,3.323683847664701,3.5220618540034114,4.513048464358353,5.138618575632487
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2919753576154958,3.207722553820952,2.7789932844900687,3.7462523283331395,2.433748054912876,3.508198574114808,3.7525442916268132,4.519429732004499,5.108559519878851
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068428087851531,1.4316850033159947,2.085391529028139,2.0826907466336895,2.481638034768995,2.879728882440522,3.657563213877458,4.344110274203735
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1880662824877493,2.4000687939167933,2.9880117660762573,3.1715903422375393,3.47780790124312,4.30844037985467,4.975868746946592
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971233980276813,1.0984123056110717,1.5240422351133662,2.4604569629909334,2.3753962382941056,3.1992789437324918
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7734136588078697,2.129975641993856,3.1620366555481096,2.5528866279846887,3.449415551544384
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117406486216277,3.092683290723794,2.623680334880495,3.4846486996831545
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2077373311433912,1.3696259800427395,1.8733327267769444
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2516886785340455,2.253843522930484
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754202204364033
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
