 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,H21,C22,O23,O24,H25
N1,0.0,1.8215187418229963,1.859755770880143,2.719069107519152,0.08273187004404403,0.20315311233940142,0.015524650873709467,0.0091031712206191,0.03606464815955088,0.0028232848620446394,0.0005722391290370332,0.0027525562840032824,0.0013803537766619856,0.003439903282493606,0.21795880282731472,0.05911808853200401,0.03439327582375318,0.0023609663223299604,0.00732645798437824,0.00032660972076292705,0.0005526128111199569,0.0009676784931166027,5.5418188011233105e-05,0.0003266673478331053,0.00012656652391784817
H2,0.0,0.0,0.026390857619105645,0.10471112750079437,0.00879495452383905,0.031487109454902185,0.0006534964040381119,0.0010095765323208106,0.004487254747355118,0.0008308211616017136,5.847527315316903e-05,0.0001491305896399453,0.00012672101748700815,0.0002021037965108663,0.007269939682345239,0.003934125160855784,0.0004770346255834612,3.509650962119082e-05,0.00018897310201460016,8.541291466324097e-06,1.0837763432691716e-05,1.7354859469631556e-05,7.864992985884278e-06,4.6696647799659985e-06,4.735347458595385e-07
H3,0.0,0.0,0.0,0.10185763365682066,0.03330747862852701,0.0076080855370338485,0.00019312113543445975,0.00454748998605381,0.0006233047318972007,7.854946478236258e-05,3.3022762291112784e-05,0.0006621332464116225,0.00017276551137246354,0.0005674286779923099,0.026304312142840902,0.07707565728683985,0.004415657588169197,0.00036232757640752844,0.0007325699185276591,2.432898046178522e-05,0.00010021110881264228,5.1280081636240205e-05,5.470651694317041e-06,1.2931887272138454e-05,4.342492248010643e-06
C4,0.0,0.0,0.0,0.0,2.034475217207315,2.504071465702509,0.09380239030095061,0.0825121701720577,0.149116757238725,0.028664656799592736,0.005429220843948146,0.018826713487250263,0.0054562737587930815,0.031237765324746397,2.637446357476254,0.27312204106335297,0.23148581472412622,0.016078028826650215,0.038925040862897,0.001452431410514654,0.005070280695089746,0.003924669325349767,0.00038650083728225537,0.0010878478610285014,0.00026101555280000355
H5,0.0,0.0,0.0,0.0,0.0,0.08309728319260956,0.00602629519401332,0.03509200172963678,0.005396748957056108,0.00033668999471436756,1.83506247988241e-05,0.011213425717457204,0.0021095221482752002,0.032984656822137914,0.09947020856661992,0.023122813676683673,0.012311984322938563,0.005592936469458021,0.001797542949320774,0.0001486540561899119,0.00024285400595558393,0.00017343896974741924,3.5652546457320966e-05,1.70421421195055e-05,8.054761786446818e-07
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9893514504455068,2.108296120504735,2.611961248195592,0.10070437967401502,0.08350512380224706,0.15949913676209967,0.03745606073294541,0.028653743624313235,0.18023608648317568,0.03395478704409151,0.028746358137737738,0.0006763154795641491,0.003642805841000435,0.0005702595817715927,0.00026191735547986816,0.0011185922531999626,0.00011503453398990782,0.00012184106563301045,1.5242956501904104e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02192252758125468,0.082494804523084,0.006020896463153624,0.03549864587583906,0.006760230409907919,0.0039058767507663683,0.0007890881107653902,0.030007562767942808,0.0052078114385987195,0.0034569838302824785,7.784436230617864e-05,0.000799373215772059,6.563042544582842e-05,8.256375826554141e-05,9.709385466227793e-05,1.6533324724843368e-05,6.045468408544252e-06,3.828331418542774e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08315752698126544,0.004232261552791439,0.005642084359817723,0.02963941866552866,0.00508638113376314,0.0033102432911513713,0.008656129546144031,0.003488379622736959,0.000955378589927669,4.321908029414345e-05,0.00014689482097263173,7.341505728453157e-06,1.5032575363838063e-05,4.7812150575143875e-05,4.1924833369400005e-06,1.1093443207155218e-05,2.545543761556246e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682568793630475,1.899808147688806,2.7161195216593925,0.30232296585060875,0.2709016376430835,0.01668080615890305,0.003598455638253978,0.019669519175763858,0.008224768347662725,0.0016988705031887597,0.0002701129851447881,0.00012096900140223799,0.0006627784556691163,0.0001262740732555917,8.564733952139136e-05,2.2131480299170114e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239685470001465,0.08308245401001013,0.021505975554490853,0.023375697576195287,0.00199063087358331,0.0008264868629894728,0.001204535000089102,0.0006326634035112022,0.00014546835848672224,1.345018901433015e-05,2.015113243380995e-05,4.3292595985677806e-05,7.656677231127063e-06,9.452193372228024e-06,2.378757183230107e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07761088085744783,0.029031254636368464,0.011969084967772048,0.006952081418897249,0.00045051222465009033,0.01674152494304404,0.003471552379109566,0.0011351616579453605,9.206446699239201e-05,8.680449106912569e-05,0.00038516966444301914,0.00023342300946915806,3.187573700080826e-05,2.77696439199282e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.950104836549203,3.884595127728952,0.003561043465045488,0.0012824466723909411,0.020677343496998984,0.04616505590450659,0.0028161627500500885,0.0004564366772787931,0.0003368138752923855,0.00020509054835354812,2.437928309115267e-05,7.28740756127666e-05,1.9743970325447613e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5781540878508942,0.0018108496343946234,0.0004303515274443337,0.007890367568446119,0.010810646828438242,0.0011374769049454087,0.0003423355398890493,0.00018589686900238878,5.754253560236178e-05,1.1217238571711863e-05,2.380338256817438e-05,1.1252629009139703e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01592611396330046,0.004551260709845607,0.18714749604051695,0.4459415460793317,0.017633457590841242,0.0028817892093359054,0.0022704799100461415,0.0011825976565155022,0.00012172778976204945,0.0004528318672570933,0.00014994975137294642
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802486722415235,3.5414760055120786,0.12944258925588648,0.29857078764374057,0.02594449578914948,0.030149843076199057,0.039061506795512235,0.005801965267613202,0.006992126850282207,0.0012181716661771036
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5375570126834567,0.019226616485405912,0.08178695154226931,0.0055017769195400135,0.04956354179549416,0.014107306126016461,0.0022315906751236847,0.002163290291988501,0.00047638286366225024
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6319804954921573,2.952345714651347,0.09980066998583492,0.10449720977531018,0.1985755092575647,0.025675587642049455,0.031107112538566184,0.005111218681148166
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09344770241884459,0.00820280485085334,0.016588959939830783,0.00483644662999605,0.0003941515328640399,0.0011855518526309172,0.00024115553238801546
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8106888933432654,1.9915744932970072,2.4616588392470176,0.26730209152353995,0.2230534113558399,0.05594707467391402
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028602169035838454,0.12168137537203538,0.03385361033488821,0.011848170793528623,0.000513408415451666
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12214681012387762,0.035378861652899496,0.011383995210552666,0.00025642373431478127
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.315469842362319,3.3949307546354093,0.15993818521573733
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5044500541280486,0.07928248263671256
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4989429528186093
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
