,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33O,34O,35C,36O,37O,38H
1N,0.0,1.027432197782575,1.0213342051699035,1.4758762638426413,2.0714159483339225,2.4712166470537564,2.4807347797281936,2.8704369065094477,3.8113581875563542,4.731427443189321,4.656943834659849,4.560589907862296,4.3610636812792825,6.015611888951961,6.807109748197419,5.885409954369538,6.598919111015642,6.5139256324411745,7.578902367965132,2.5078114647529377,3.4136153469320636,3.009774114632573,2.748689626045766,4.256631603469352,4.383761439590147,4.92870942867738,5.135877194441537,5.951233309614621,4.636072621715846,5.659570689009596,4.511871927646926,3.888853673848433,3.0924239145542134,4.569406449546679,5.406741508382449,5.734489870315731,6.435679210039176,7.159635589863487
2H,0.0,0.0,1.6356002809437937,2.059128914050584,2.3060317369370718,3.361823537668059,3.431831072554366,3.8024749130479387,4.565278793610262,5.396703630122701,5.2822113045115815,5.2680395361632755,5.065366514265633,6.629805686926928,7.376153192276212,6.528459694858669,7.2116196217611375,7.129384826828379,8.163172432361717,2.7529628733600355,3.8279206324982296,2.7600142148280624,2.171285454433228,3.943050230640149,4.204689230957015,4.31385737623225,4.439011425472967,5.375768867161076,3.888372526224817,4.8595504837576655,3.925778281104584,2.9525165811733647,2.1148038161599496,3.632028768753709,5.204810076904344,5.562409614320322,6.26823256290088,7.023536588619338
3H,0.0,0.0,0.0,2.049359751475612,2.916280922412211,2.7786437927859553,2.8470456583161248,2.7778745138286354,4.244105983165796,5.0393709695993865,4.790834200719687,5.154580107098466,5.0190711712152565,6.399121481494131,7.119897389855224,6.493509988066032,7.268482844690988,7.032639652801767,8.113514317552715,2.628858651043959,3.255589119803155,3.2191312968798083,3.12578573482956,4.230475802663216,4.098851869408817,4.955250044056384,5.370687537034012,5.892630448835156,4.539225294559101,5.549744253728362,4.175351624297659,3.9913196597310683,3.4923898954007635,4.588702377197007,5.461847242755678,5.972385726590777,6.319816467787347,7.108151902455678
4C,0.0,0.0,0.0,0.0,1.0969286172203456,1.5447857375083975,2.1289304582049255,2.1518242137149253,2.5849544184164372,3.341628755769882,3.295452566297152,3.524252705082768,3.6363146672099633,4.604055814705345,5.36408766855734,4.742369698185895,5.573710747046873,5.191694339844595,6.246526324839378,1.5505496288034795,2.4592789987068397,2.430201957355133,2.5685047975482576,3.7862376585729365,4.046601839681298,4.785186497184458,4.906255995016331,5.75798792635221,4.961844624018846,6.044503715421674,4.928092183786918,4.518715235740478,3.5759640724858244,5.456038539077829,4.591810399207191,4.713497163929476,5.697203477195187,6.285394098260112
5H,0.0,0.0,0.0,0.0,0.0,2.1667292268310923,2.595703981007743,3.0409595758753527,2.695988403441841,3.4839987378517394,3.6587157758959967,3.3101407943637784,3.381139797678156,4.533970376651869,5.334944170192316,4.405722528472036,5.139172249174231,4.927709137523127,5.923994039376583,2.1584794875184077,3.201366700931958,2.6177758522524956,2.5363431919140385,4.052204563909148,4.568365900081785,4.884121794152009,4.756147016174511,5.896344913431792,5.171021530925128,6.207771051553419,5.362476593488902,4.585145917606565,3.4455661888274554,5.553339652800419,4.718419950792271,4.606948970956091,5.965150619059628,6.467086932613368
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0951761881449282,1.0966536372566156,1.5162750352540495,2.5513578979448615,2.73918200142477,2.5321848726928353,2.720131206603912,3.8335743919246696,4.7014862441486684,3.8255882861746664,4.687581553430509,4.34065728886711,5.428856694677569,2.5606139450681993,2.841850547767642,3.7648168348481867,4.083125439513359,4.98930147999925,5.0821240886170695,6.1729376375574825,6.348858890522907,7.073697775539614,6.3953995944086275,7.488017080785711,6.228684442942071,6.008276975594372,5.100103343884652,6.884332761438519,5.573963349063817,5.60916580940393,6.5627956745562335,7.057861302268695
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7739222296892285,2.145462856361428,3.4212944511847776,3.7640965519069653,2.6165816930018178,2.3632287868008217,4.567953558132163,5.525001634756255,4.004833514480282,4.677743882853535,4.808688701447036,5.875466467540252,3.447800525097605,3.844251127338222,4.537791978394945,4.65416128258589,5.828894249588407,5.915254261981361,6.880267564247459,7.028016315825303,7.838794501563878,6.9117376002879425,7.982481146984397,6.738964005760762,6.3104497853169645,5.3825812461529745,7.044013860331609,6.5465236581593755,6.595766315066129,7.560987462777737,8.095409192046027
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150344718721421,2.7577926406986597,2.611895808077834,3.3265103306990698,3.609980705852,4.106387578498138,4.825967639973304,4.51266054040161,5.432368010899377,4.829638235180609,5.897996328357817,2.646911808830662,2.4893697340890006,3.9706907080852596,4.4523933050792275,4.979945443131751,4.840416010466491,6.269181131636518,6.619905176697893,7.077860744938002,6.465469713286655,7.553829287579086,6.123975541637543,6.267743598694587,5.536898532999844,7.121921883208442,5.56481414849417,5.764491987432095,6.367038917929093,6.893596119346447
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4048410914598817,2.1463186190781736,1.4032201382266194,2.1540030803102215,2.434669871679078,3.415343860493152,2.440638395247301,3.421501596280445,2.824491125637853,3.9126945179978345,3.2961057988581683,3.4118358666316793,4.423628129238982,4.851907046271432,5.5930636053391725,5.827856223956931,6.85806394218877,6.891077108108075,7.700637264022541,7.353010203586176,8.438507293764019,7.304491951345233,7.0487396974636605,6.034365017719926,8.026981066409215,5.800867631721466,5.542615399097096,6.815846859938901,7.116489040648706
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858292036414012,2.4079575575212195,3.3952024603094793,1.3959811633035148,2.1514743697155843,2.7904070506452103,3.878831711208266,2.4258666950829166,3.4124430760735467,3.424471443244569,3.1706640907183363,4.504046751146156,5.169283309519045,5.408721783362729,5.619829746258252,6.804703427657268,6.868631934213875,7.499941055264852,7.54465208333888,8.608360503338835,7.48849279794337,7.515326221066123,6.58241806110874,8.597143923666264,5.268692368209745,4.912396534074066,6.146444972467685,6.296663296127863
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.387949062804857,4.286106631930774,2.1631465275934953,2.4874790723116984,3.876102367462212,4.964490051790289,3.4131791797445317,4.314237104055306,2.9240814175835275,2.3496282347596655,4.019327744039998,4.839628416524723,4.7131092257851535,4.7952291806701455,6.194426532373739,6.391194742412741,6.799294676432033,6.977181265462993,8.025789186497692,6.835825175113009,7.143578673325953,6.3508944493262645,8.247011578168756,4.526214125384655,4.33099498163475,5.265214001107016,5.445059636674329
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088704675772613,2.779257738086072,3.867472869853358,1.3969051431177097,2.1558369877620054,2.4192248956452027,3.407560541823217,4.503671032167764,4.778901505860583,5.492330007825215,5.7490142874028125,6.753829827663446,7.09483342575057,7.903925595578735,7.7984142143673685,8.798331062983758,8.362965172632679,9.430011440299984,8.408811898587633,7.871766833323927,6.746940719029466,8.792209482464292,6.945686512113576,6.544426931672748,8.040280978627441,8.29058116305004
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8679563610871623,4.956176434049644,2.1540175630958136,2.475974740456881,3.403094047959383,4.303679572232006,4.891075884026597,5.327798148828209,5.825382893416139,5.90878792970517,7.179793482893713,7.521600943226083,8.211444289571862,8.088016751853228,9.17550922326391,8.494156356532903,9.54643777821825,8.546603121407445,7.816395761252097,6.671706889613215,8.62462453308444,7.559552296927893,7.227109704792934,8.703136525849335,9.03388107681968
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882471056625995,2.410868600726111,3.400911687438091,1.397498674626419,2.1621123531987596,4.672837185210407,4.418270417757624,5.6037182924672795,6.257651024487987,6.4299125800784385,6.731015612957066,7.792466099462738,7.743307872475603,8.427381998002907,8.672569010697998,9.706925788304982,8.698967718777059,8.6653148492285,7.679566823100379,9.781459798372044,6.031556051630676,5.447390567423883,6.870267366777261,6.836481774223174
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3991299481631927,4.303692650886701,2.1578408739201524,2.4910754215019058,5.154236178666754,4.727418015824607,5.9991257305678625,6.756292710366359,6.6147561788268785,6.885774283081759,8.00606448366664,7.980598611212273,8.518472431698335,9.017979320182274,10.016210383505763,9.036544069033821,9.18057569688909,8.265907306637164,10.339855506618502,5.985620759122322,5.350992380675121,6.66694788193413,6.496943224470338
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884603769269197,1.3961706167815635,2.1605361640467864,5.517166513775389,5.688446880778869,6.428886808534925,6.747889179504238,7.600117172813577,8.00767870852524,8.772096086783607,8.582003919138424,9.604559605323626,9.396207044492266,10.445415774926909,9.505969601486969,8.978931422131598,7.823797882049409,9.95577458206109,7.544789095512447,6.959055173154768,8.610279057602686,8.711679953249346
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1590058301419957,2.492635766680472,6.473985483433504,6.726586753574851,7.328674543400775,7.551555027580418,8.547481545104198,8.999366756381711,9.647041567190787,9.388482548789206,10.509977489550877,10.230054524180131,11.264193427598638,10.385701694298557,9.703072561007076,8.503615438474728,10.631860059092256,8.515227121737254,7.882308072455871,9.619602427499593,9.70922378780446
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088204796010188,5.592987394031399,5.545715398952015,6.482385642742421,6.976642130532755,7.463001264698752,7.853725514318613,8.726991613572359,8.561825371744394,9.441072931504204,9.5412570443129,10.577103413185151,9.641443952009018,9.343695516353348,8.249212725642598,10.413762387672834,7.144150633732424,6.471816743435057,8.0904589623024,8.057409160938358
