 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,O33,O34,C35,O36,O37,H38
N1,0.0,1.842147526930022,1.7483063828494316,2.953039149022241,0.09230450737967222,0.19716141617528982,0.03189938665372505,0.003775702113056223,0.03132255809468194,0.006252852675229348,0.00028501397005575857,0.00476889611507611,0.00019439915854069234,0.001097345706591743,8.524963635914151e-05,0.0009480519905290252,7.85142666117622e-05,0.0017624661332902025,4.194917769817508e-06,0.23073977700692758,0.049912648803705946,0.03724392263776305,0.010163001981524089,0.00416089671904285,0.000438950028996854,0.0006937650779389182,0.00011431265901307164,0.00016002494104017106,0.0013795312824113476,2.9638773454854217e-05,0.00031679508872994866,0.00986601647729074,0.047758681320095336,0.004085501277543008,0.0017865495760633343,0.00015791812669826988,0.00021724744421049158,2.542683478634622e-05
H2,0.0,0.0,0.029564649658564424,0.10720381158233938,0.008210984767713647,0.02808069008210179,0.0016733692309860437,0.00018068233577639425,0.0036324731436592206,0.000656054177825327,3.7324180725217815e-05,0.0007873918457457219,3.6106540396207976e-05,0.00014236123301070158,2.3473435645238183e-05,0.00011988988847666526,2.1830292521007877e-05,0.0002532493492564125,2.604925852800477e-07,0.005256194705548167,0.00042687869265167766,0.00615258970015875,0.009125030454864458,0.0004687087016583824,1.0993838365003228e-05,0.00030690927113719013,0.00011803082043915225,1.5707885262727928e-05,0.004718740799405818,3.227117681459113e-05,0.00022873209592400023,0.02234795111459309,0.150216126222248,0.0066922808406923995,0.0002781568461419637,2.3837040087459904e-05,3.903444031738701e-05,1.3856159412739544e-05
H3,0.0,0.0,0.0,0.0978616133842265,0.03579241360272145,0.006710815765140432,0.0007374579895349509,0.0021821983607726025,0.0010396101668084246,0.0001959261187846062,2.24462058788788e-05,0.00024060689162164195,1.4455313222638821e-05,3.066207599833337e-05,5.204905673128479e-06,5.075786305375196e-05,9.50702092827882e-06,3.02440950037397e-05,6.959553702223786e-07,0.014280104278664885,0.00376647094473892,0.0016073845012143373,9.779738648463265e-06,0.0001598858542961601,1.746002099367594e-05,2.6917372060952793e-05,1.9054582665045672e-06,4.1844141929203715e-06,4.45510423795481e-05,1.4859097179353853e-06,9.133452800513808e-06,0.00029933870715248556,0.0009577760708845418,9.222998665792126e-05,6.525703153126283e-05,4.0960384616206547e-05,5.707848154012929e-06,9.199307999807615e-07
C4,0.0,0.0,0.0,0.0,1.8130329028644423,2.6478523152518187,0.0915408823166115,0.08501380952359505,0.17349902708451653,0.032984085658791296,0.0005752104144240988,0.034847796071967,0.0005168856683619438,0.0035430370519059506,9.567590062342646e-05,0.004629052195757974,0.00025507745530295445,0.012564810589582753,3.079295391095194e-05,2.6150168482484215,0.2658176819956616,0.23399459627626726,0.012511017072585284,0.038322578746539104,0.003045191782085288,0.0035830609030505084,0.00019614951750157594,0.001391143079396917,0.00028724169054035464,2.2368916099413383e-05,3.2747074491856765e-05,0.0011123598459135964,0.0038899309592256293,0.000337406057734288,0.005293858373670246,0.0009016191898172654,0.0010036142080144944,0.00012252581945682017
H5,0.0,0.0,0.0,0.0,0.0,0.07935512365045572,0.001996742287570852,0.03260800809811548,0.015256231155897915,0.0014705933657921388,6.473050740507524e-05,0.0029939177127162875,0.00014891262948868444,0.00024833812587066184,1.1596001062708083e-05,0.0003062064743958315,5.70333725888883e-05,0.0006126006437559006,3.1190962437310787e-06,0.09686408094758936,0.02375725362120573,0.01136360691939875,0.0021357525059784166,0.0016198919747023588,0.00038196941199619694,0.0001008067424778103,1.2848701637757642e-05,1.5189159048079048e-05,3.984244099852763e-05,3.45980177307581e-06,8.182859962957423e-07,0.00013520993183346874,0.0005085781289831948,7.06309184226317e-05,0.00018084261324058382,6.360392447279928e-05,1.713371212685999e-05,1.2128883337680918e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0045349084359962,1.9549280886970921,2.780600081473983,0.22763756042723415,0.012449378020319868,0.24771081512098683,0.016404864151585707,0.03583862065783301,0.0025946894070625337,0.03520841343447598,0.0027098629896031845,0.020392390473074992,0.0005006228875776841,0.16479560649720754,0.04694017810074148,0.026010556064233525,0.0019176920642958173,0.005805927549730999,0.00023055310848507649,0.000841336637840806,3.4957859828987914e-05,0.0002087659696397015,7.899390510786308e-05,4.820099194891014e-06,1.2758051666672543e-05,0.000397372781995059,0.001205914934066299,0.00014836929594094772,0.0005628312345581921,0.00011143976450345844,0.00013832192181351122,3.615054043937249e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244128366471843,0.10400968962854451,0.024272163742566022,0.0007822177348404402,0.021047453660187454,0.009098065147268297,0.00282825949033505,0.0007879139063977636,0.0018339687092998602,6.79917246477757e-05,0.0016445478397677515,4.005660865957772e-05,0.025793813345614813,0.0035996791658792215,0.0036977657950481024,0.00016701699266641334,0.0010421673295155642,1.9350298011255873e-05,0.00015642095073276074,1.6570851586461544e-06,4.755306083170652e-05,1.094381860222704e-05,9.950961845639483e-07,2.0865013454773873e-06,3.0261612657511705e-05,0.0001172301277272414,1.577641474204139e-05,6.159112909309705e-05,1.0179581523050985e-05,1.4778707338458652e-05,2.2664341039480007e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09649585589476373,0.015366676462646778,0.0026206445959291447,0.02793109076552036,0.00055820372038351,0.0016386768814358188,4.976810909029794e-05,0.002936540148483102,0.000499203428478312,0.0052300672855651875,8.285384333284185e-06,0.019882329753839523,0.03200169189506741,0.0030744068920162126,0.0003293692988830532,0.0002914309712283014,1.9939061748353026e-05,7.118044352993902e-05,5.562811052017835e-06,1.6789630586711013e-05,5.558648694892199e-06,9.640081473083484e-07,9.104129650161497e-08,1.9620823940247334e-05,7.719474019396433e-05,1.051498533188866e-05,4.60310289933652e-05,3.2475477864224445e-05,5.2410156028415145e-06,6.206697671373718e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.707068073361473,0.1297641178747595,3.7560984513063373,0.12510498753855748,0.3310917658904069,0.026678055462787453,0.32661606060549897,0.02663683322409005,0.3019032094091194,0.0040342100593855346,0.008924210477243733,0.006139988605018715,0.0018071709816153275,9.892373511399821e-05,0.00030335067168951735,2.572670960154788e-05,4.654922750803314e-05,2.758166668836992e-06,1.0232800766285521e-05,1.4846723044720234e-05,4.2178426684635895e-07,4.238841037063068e-06,8.947732535055652e-05,0.00028292404058316567,4.1223142720259176e-05,4.965213671301316e-05,1.193949029174024e-05,1.1165939135179825e-05,1.8210854006994737e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0576511008180214,0.3303975686056929,0.029023742071936587,3.8878137143426446,0.1281562749887284,0.31508262768348605,0.003631034665275923,0.3325647537659101,0.027052771515412077,0.011516967846945642,0.0329208763364474,0.0029599008033788787,4.604893109916297e-05,0.0004533179781676111,0.00015248179286775354,6.038012051871877e-05,8.443081580988832e-06,9.991766783290501e-06,9.531310889113187e-06,7.763585305742282e-07,1.1202497576245918e-06,2.0890828020980745e-05,5.613701696945139e-05,8.609484175539639e-06,9.369430465613893e-05,4.045204382721601e-05,1.5108577762795727e-05,1.7264091186630637e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027526797716374674,0.0014181786251132866,0.1320644539128284,0.008325972072862786,0.0037505512794804297,0.0004742613234527404,0.02642167737584855,0.0012565669866744233,0.012036115292921368,0.057683854708769244,0.0037166607461638357,8.132334976096445e-06,0.0002847456368773038,9.141357929731697e-05,1.9928999616447562e-05,5.197984427773861e-06,5.032126337845e-08,5.075502365503581e-06,1.2697006803730204e-06,3.8934172841287307e-07,5.713389932715529e-06,1.3921277907225083e-05,1.5919120163188083e-06,9.657548769892443e-05,7.11566980567957e-05,9.24754537290351e-06,2.156341980530385e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9613458926083793,0.31281700599459844,0.003618792964321882,3.869025506686644,0.1286078737286125,0.3320623390813743,0.027473746254257136,0.00210409976071696,0.00098446605568972,0.00048450062187312126,2.2268375214462566e-05,0.00011228926586986931,4.994148742554216e-06,1.4344643128647028e-05,1.3160282124058398e-06,4.7540920147248755e-06,2.9711453483904915e-06,1.8567091197851937e-07,7.478567498608868e-07,1.6743005695263324e-05,4.696014633447099e-05,6.739152341325716e-06,1.8236674091037797e-05,4.588075432396255e-06,3.988201418406168e-06,7.539754387497766e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937636244940368,0.0005498148428733085,0.1272638034255651,0.008229935124677734,0.02720653906568926,0.0012976768454504573,0.00017964107132417695,0.00016261873552159134,3.0345095016870438e-05,1.3388610722309124e-06,8.033778806426639e-06,6.501071005970971e-07,1.100900746120459e-06,1.6009082726142765e-08,1.6208911324255837e-07,3.1791162324878997e-07,2.260663944930741e-08,7.965854886826662e-08,1.415927464609723e-06,5.102798741107861e-06,6.915251336003791e-07,9.97274005376525e-07,1.369733915179694e-07,1.3564024103907002e-07,2.0472660455794767e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9684675678903276,0.33384653291796007,0.02794427660120058,3.8386795488428254,0.1258697232700905,0.0015778346901553775,0.004239027352550537,0.000384443384852301,5.930317753644054e-06,6.692033279745435e-05,2.3047016949107046e-05,9.691033810960148e-06,1.261870823832112e-06,1.0298755450666164e-06,1.7827648100543492e-06,1.1406234756705658e-07,2.339240052773306e-07,4.5540460480442135e-06,1.3304885303946912e-05,1.8304478482944475e-06,1.6011841878493804e-05,6.271015914410816e-06,3.5828002695470484e-06,3.362463997236276e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027819054984721037,0.0014632025554042194,0.12687273004614696,0.00790312738233312,6.541611825428006e-05,0.00017624677378158538,2.882064150289132e-05,3.8880833730381426e-07,3.005193567107156e-06,1.3685776505401037e-06,3.381747011310665e-07,5.4550605366188165e-08,4.915476470301883e-09,1.165639662570328e-07,3.762064215706573e-09,5.4662961934681675e-08,6.16740564396423e-07,1.9751238362619716e-06,3.261236702911674e-07,1.0357219051293498e-06,2.1921341941677497e-07,1.0441029951735459e-07,1.489823175937488e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096340398901987,3.820113171709219,0.12483791936485655,0.0010102022220514761,0.0006304590085779299,0.0001554713835029975,5.188731852401318e-06,3.48382649682788e-05,2.844101536059185e-06,6.359501796324163e-06,2.1741791655927045e-07,2.2343323518025926e-06,8.854884858133794e-07,5.951869908038532e-08,1.0711118436645961e-07,3.761119283740566e-06,1.0585520094572032e-05,1.9051145747350784e-06,8.022124563744626e-06,1.8668713451797103e-06,2.0755878716166576e-06,3.0400678163733375e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12526831250635517,0.007914343414060276,1.4286426682552644e-05,1.5034641643207891e-05,2.8822247282178637e-06,3.3839564106408204e-07,5.98792280648297e-07,2.146585509343879e-08,8.068349988121781e-08,1.0644562786765732e-08,1.2138350991008906e-08,6.91331145663554e-08,1.774459912340376e-09,1.5310436474180733e-08,4.5347172483722886e-07,1.4835528883150317e-06,2.629185172908777e-07,1.764136596804633e-07,2.8485551473167448e-08,2.6068389225031297e-08,8.472466062059425e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0330675637884306,0.0008849059242356239,0.0010539075840252515,0.00030528150928124664,5.73719601848488e-06,7.228410130258323e-05,9.016678001572132e-06,9.606724310870507e-06,1.288605710136892e-06,4.178932218046327e-06,1.5042337012105556e-06,6.426029441897185e-08,3.954071958744976e-07,6.6726952498985526e-06,1.799718634144798e-05,3.2012407020776124e-06,9.684924163089192e-06,3.0784195029914807e-06,2.5334880348060196e-06,4.533849015109226e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23261035199063e-05,0.0001348745326922307,1.4119252297772888e-05,4.505006903077202e-07,2.7373575244293846e-06,1.5764239433835314e-06,4.273415945554859e-07,4.7503442290874887e-08,2.8589597356187824e-10,4.4610569238656694e-08,2.5841153661332328e-09,3.9263261530919635e-09,4.335679104627843e-08,1.3819358035682683e-07,1.1357293772107369e-08,4.981802612658015e-07,1.370807171108268e-07,5.568477390305304e-08,8.235883086626927e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.586345925317049,3.6437636372780657,0.13196321333579675,0.29651679408211784,0.028892825691166912,0.030395679752844462,0.0013789271415327597,0.0043677925718090815,0.0015595382189761142,0.0002702097112541324,0.0001230253403969872,0.0031728347518614197,0.020354662168792365,0.0011891597246586477,0.03863766582046116,0.006334291186718799,0.005582691534284007,0.0005972960120358417
