,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23O,24H,25C,26O,27O,28H
1N,0.0,1.0220680842888024,1.0190280401275773,1.4689508906610473,2.0719968597416174,2.5294118910534276,2.850212077021592,2.7759547131767,3.2969525916923326,3.8839048708552757,4.672374491665641,4.267292078987495,4.1242563646997565,2.4657945399748695,3.612423965529774,2.640721058916164,2.1962219017725877,4.083754310545463,4.640464916591015,4.879627507059496,5.918236180789061,4.896852141566978,4.8582234525573345,4.046424207572245,4.664810107264581,4.328496309557205,5.997006006711541,6.458879873096648
2H,0.0,0.0,1.615646022032344,2.0426692837495004,2.9244201114017763,2.7085196020568594,2.6201320774545303,2.968712086703825,3.7132073123789824,4.1803769120234175,4.836821267829853,4.512676691934809,4.647749481954747,2.742118052795615,3.8038880906988295,2.8219318530348074,2.4861638920261457,4.1921000706442495,4.887034518170406,4.672553028949521,5.7494674931903065,4.639278970381352,4.4312119423748,3.5247646103336012,4.84639958341202,4.574081763963403,6.152377363184632,6.638744121339941
3H,0.0,0.0,0.0,2.0236176725031503,2.3395021003559004,2.6719832983935277,3.134344466537709,2.3703603747495734,2.7854697569681974,4.023317310345106,4.687330226885325,4.633350274144148,4.139701997910028,3.3392542738292366,4.410126503502484,3.637439393742827,3.1360258077690704,5.079314709957727,5.589176656835155,5.8969916894330625,6.93724080125322,5.883914449392979,5.8354771987018,4.991505418289072,5.591717679923234,5.146277772464221,6.931660110691814,7.341485652888625
4C,0.0,0.0,0.0,0.0,1.1022182191169665,1.5553543114483428,2.1654041522524925,2.4275146032455845,2.8022928214938907,2.5926880510122716,3.528698944510591,2.8596519793626785,2.841762992157395,1.541548930001386,2.444139079345892,2.441063093744826,2.5241078987669527,3.8070489641204457,4.047960347391643,4.642105110342524,5.642976256534021,4.421390724695341,5.011097250387607,4.328277642818988,4.739998867345236,4.727119485065788,5.968270322538475,6.588772788513744
5H,0.0,0.0,0.0,0.0,0.0,2.157760041709454,3.0538573091837877,2.769976989447704,2.762989361709045,2.734837688019486,3.740159598444221,3.0653028107963354,2.5350530938042914,2.1220055006572833,2.8737575216453473,2.943467056525854,2.9261012577554726,4.192418900193939,4.243415321884085,5.275577684245354,6.190718620097745,5.129267128164164,5.781331177055131,5.180948292880314,4.970489674448235,4.891117726950319,6.159634632356749,6.726358915483057
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0981156166273134,1.4356314666421754,1.9573737426843756,1.525652215924599,2.159340490766965,2.167760943748621,2.1685757360671123,2.5883231086737566,2.94817098626931,3.7370019868489943,3.9680426518537537,5.005519269470868,5.165791952093456,5.542328814212793,6.555208670896514,5.048886529830959,5.893405324921037,5.163908952898529,6.125508289338002,6.208086771745613,7.300359667703943,7.991633768271975
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0173205431309,2.794587615224239,2.1598508695490954,2.4936599084391613,2.51220383662317,3.0752307701004225,2.7817646489962295,3.0398896369876174,3.8131731643954314,4.135247052047402,4.997537089081009,5.2731661519809485,5.227465017637777,6.258563868162542,4.63593862103656,5.443262285945899,4.6858989250544765,6.20176587097486,6.361229205399539,7.341763758195998,8.068308837661881
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9712281045430806,2.436302525130635,2.656131143488515,3.381471348333371,2.7373100932003367,3.8096167682869075,4.347223239240188,4.771222343836826,4.740487114151762,6.152054178472906,6.406953230352241,6.7442983518833355,7.7934904294198395,6.337620531525141,6.912300409155798,6.0853670660857295,7.100109700510383,6.973587969408023,8.355660489826121,8.955794139531125
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437791905683081,2.6422650842788498,3.484035536646908,2.3483434425496026,4.2227073087004054,4.695885805261976,5.240632004167347,5.192802245778191,6.599773293063202,6.737824297650327,7.338015597844656,8.354024379246972,6.944993022771886,7.619665661275415,6.832568267290063,7.507696696909947,7.360502791788008,8.747462061626267,9.331882369313195
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956599596242182,1.0910006032130595,1.1006196112754363,3.1980591467346438,3.0105260579690123,4.539049461990156,4.966977665684733,5.582735265671781,5.445366081088224,6.134558636084155,7.030701923905928,5.4935824390127275,6.76186230436054,6.171641243561328,6.82353296062625,7.076996339257014,7.862704689761673,8.62762793956384
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7896106151976185,1.7788740441567314,4.182523473722168,3.926375542730121,5.511379076350836,5.936213129878258,6.550959096085893,6.435333780644674,6.95845515805864,7.857060420898244,6.22693134877352,7.522222665253565,6.902078505428218,7.833822440437746,8.092658582172966,8.867907783353463,9.650266691029582
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7713436269010723,2.895923559877077,2.312317967511765,4.252686024707967,4.877509918602302,5.064911278792462,4.794059420952444,5.519173485229531,6.325562277238845,4.793558993349849,6.309182082582331,5.846650548933619,6.412519603554987,6.843585867439487,7.326240748787013,8.155771519574031
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5826739158156724,3.4847420193089476,4.869971964492761,5.197776726364615,5.91288145003695,5.6773516779582645,6.689234617038652,7.548096570642898,6.153897658905263,7.387033275326989,6.820745372772714,7.026875145995023,7.205876358886478,8.062120202389742,8.775662944499405
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293933779064143,1.3645397456766228,2.0455610349175832,2.451808496226372,2.610530061926267,3.247530988261823,4.19068518282817,3.0082547983919325,3.8935824942755715,3.422105524872448,3.655636467097584,3.9913145998719486,4.748332514288301,5.493509986768848
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2746900713424982,3.155969714608117,2.7859457028604253,2.553497364632445,3.300541155754425,4.0902916225659345,2.7446741607822878,4.244297604388927,3.956007166457592,4.203752087346135,4.807653951956493,5.052915429399718,5.912994807032827
