 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,O23,H24,C25,O26,O27,H28
N1,0.0,1.7307506671269322,1.7424316634740293,2.958714284469684,0.0897452659594008,0.209966343932309,0.007554476246301234,0.049559873536497275,0.002435157239226271,0.03469002784528743,0.004683692326897693,0.001340010169551209,0.0007520742859288276,0.1882417802557746,0.03695494300330784,0.0825252673295178,0.11763697266777728,0.010774189202043316,0.0015285013813539639,0.0010855796357106956,0.0001858769165719032,0.00014759677300169027,0.0002005961994069952,0.00033385140537145475,0.0014247981122712111,0.0010370885568400726,0.00025850900091316936,2.6013194544760587e-05
H2,0.0,0.0,0.028951066625545474,0.09810173163283964,0.037497282716845604,0.011102798486216092,0.005129069223882565,0.001926366449022332,5.861053828670748e-05,0.0011590392451882314,0.00016146719592846637,4.8313816938927445e-05,0.0006537657504466221,0.008469611800772658,0.0011618664130492729,0.008843693040052503,0.002494099981902531,0.0006715344251837507,0.00040163266231307837,0.00018265329783118123,2.210036367222834e-05,6.703557181575448e-06,0.00015786757598146295,0.00027427446727790183,6.800085068303652e-05,1.5901198962997576e-05,2.690557040807562e-05,5.352384689460976e-06
H3,0.0,0.0,0.0,0.11283417185389633,0.006794844902129116,0.01007693188706238,0.00043989868019145284,0.05911844167280145,0.0006022550123589987,0.0016752874055157019,0.00020901103237558338,0.00012750061110988753,3.871744147154743e-05,0.03097064849630904,0.005049565355940366,0.006003767961293316,0.0012929914662656028,0.0007206474040324373,0.0004925468148122558,5.821020013696554e-05,3.195532687794156e-06,4.538746794469084e-05,1.8764590787534452e-05,1.4701020334406678e-06,4.539046562368476e-05,4.8671835193303536e-05,6.952608580967912e-06,1.9462513900503353e-06
C4,0.0,0.0,0.0,0.0,1.7988787967071953,2.695935835687252,0.0825220929761672,0.21420059380023154,0.007000366468207342,0.16380672965795978,0.030671982978791368,0.004344177817019568,0.010931791492005072,2.4853616103914424,0.27332921818794276,0.22665245736916673,0.01923337827866023,0.03651868670397468,0.003121685999800561,0.003279328832741235,0.0007143375098508375,0.0010133655504382943,0.00040545193007156255,0.0004699553973811499,0.004306119593018715,0.0003784976734259732,0.0012565945813717422,0.0002489661061424453
H5,0.0,0.0,0.0,0.0,0.0,0.08188936021073134,0.03462095980724622,0.006975036254215583,0.00280923870175398,0.012449653055886523,0.0005588325693568486,0.00015789356564099855,0.006773892838306095,0.1096556255705099,0.026065965361880106,0.01746066899172527,0.00030285758269466,0.0015517125783635066,0.0002978565257472088,0.0006598568512257152,4.706997916059663e-05,0.0001462724661698278,0.00013738665959517338,0.00031020010614679627,0.00022181898294126867,3.038079823658446e-05,7.10142309766626e-05,2.3924984299927843e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.920435009554988,2.859197779086025,0.10749047650523247,2.815775331256092,0.09793578777365641,0.10128530653770484,0.08647353687308557,0.16480213592672566,0.029395537544422715,0.024291453420706988,0.004980616477472832,0.00446332173673783,0.00044005443967010116,0.0006623914985759427,0.0001260643564358066,3.205944499473645e-05,9.147946288995401e-05,0.00016273131435562416,0.0006364209852966207,9.252434856708847e-05,0.0001810488968239654,3.855342401382078e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796739776658014,0.035154768456998386,0.08576573839734136,0.005001780520226484,0.0037297330891299385,0.035730100275140675,0.008402973712427153,0.002855958989610774,0.0005155711679967201,5.0867215861671866e-05,0.00010418319566896095,1.106341435352931e-05,1.2595994100195185e-05,4.839967711056659e-07,3.936198356591092e-06,9.789351054001472e-06,2.491162112949752e-05,2.0003311535621293e-05,3.2855426082001316e-06,6.0330950777398584e-06,1.313901637711723e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142495823204564,0.20382571406091884,0.011594562715680823,0.031834870651828995,0.01085021378777662,0.03220096834564651,0.003979787727877729,0.007583193983660155,0.0009973551949935544,0.0017303740515014765,7.970123368694626e-05,0.00018475042496352012,5.6646593507236886e-05,1.3579010302522398e-05,2.3824423805274275e-05,4.304918977482419e-05,0.0001931344773361543,1.3657458501396824e-05,6.615855523037228e-05,1.9679577654363456e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03195243124992175,0.0017055754954669045,0.002510189264403495,0.014013724809088579,0.001182099075088261,0.0008437460756971493,0.0005057804395975918,2.3725600811097536e-05,8.065197607165508e-05,2.771187965766586e-06,1.0215330846663484e-05,3.5071055168867105e-06,1.4599736224418791e-06,1.0833713275371082e-06,5.606637971666828e-07,8.373853851217916e-06,1.0225611317693506e-06,2.996830243517934e-06,8.927822754412063e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.071526894365777,1.9172204685049468,1.96946239392264,0.013588625328434717,0.04112469815961295,0.0033835244863064246,0.0005593146222570011,0.0005118925676850655,9.838600180978041e-05,8.886119823370286e-05,7.770485928149107e-06,5.046849740852899e-05,2.240670752005902e-05,1.2313067648928033e-05,7.679360068840735e-05,4.3972138076490974e-05,1.3659980520941417e-05,3.892667763572e-06
