 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,H11,H11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,H24,H24,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,H28,H28
1N1S,N1,0.0,0.023609570281961645,0.0012785590672146352,0.000600926491763909,6.353293128258386e-06,6.583061593246065e-05,0.002947592235768237,0.000837632195795246,8.91073671516196e-06,5.184731536966858e-05,0.00010190344858125588,1.0484302866320405e-05,3.86741847535621e-06,1.4775085551615996e-05,0.007855862959541104,0.0012032650158777525,0.007984152988280924,0.0014195487745889412,0.0011341006795789477,0.0020897747383059606,0.005441689295850649,0.000140887461622885,0.0038047169298882633,0.000578487419688134,0.0005272062976120484,1.4637915948245706e-06,0.00030120156400204046,0.0004016838821759017,1.0308480345999627e-06,0.0005946849477000138,7.639870989770148e-05,1.3868790971205414e-07,0.00020284727005503989,9.74551544297153e-06,7.109858972675909e-07,4.07450870931747e-06,1.473052092904048e-05,3.244561272985891e-07,2.007747469390253e-05,3.329273019980761e-05,0.00016276091938838277,1.4884693529282345e-05,8.093589026536563e-06,1.1264563652524373e-05,2.475374033861222e-06,1.2481635150163317e-05,1.3015519939596487e-08,4.810202282962139e-06,2.1028790269328468e-05,1.7607379194650719e-06,1.811519115407778e-06,4.990340793264991e-06,6.372934132170549e-05,4.387548261952645e-05,1.296535538930499e-07,1.734204719161525e-06,1.1695288096413847e-05,1.5164988909077692e-07,2.39767858678519e-07,6.99906392787053e-07,1.6636159706762133e-07,1.414526206847122e-06,2.045265651284822e-09,3.457231279035966e-08,7.561002579592468e-08,8.88501754059412e-07,1.193181455416692e-06,7.206760581857097e-06,1.8543012022087524e-05,1.4363238465264772e-06,4.501222106156888e-06,4.735349721229909e-06,1.5562472144292627e-06,5.647183516366283e-07,3.0355006079840763e-06,3.54813700503831e-08,3.945036350372355e-08,8.424157790232201e-07,2.845296692699506e-09,7.095729023798292e-08,1.4694512515678326e-06,1.5233226080546558e-06,2.3031355533831288e-07,2.252434034621942e-06,5.0340362101053415e-08,7.263414298908089e-07,3.0249492514011767e-05,0.00015918634592537728,7.11406626638933e-05,0.0001645025022596336,1.9604372556436545e-06,6.922367574713206e-07,0.00017013367726836925,9.577088567591652e-05,6.916473475493401e-05,8.613202898577477e-06,2.26988085026969e-05,1.868727001275161e-05,2.9221930382683503e-06,2.6653382783875523e-05,3.3167337835926514e-06,1.2573750299615938e-05,2.875470704410965e-05,8.892638036162026e-05,1.287414560646738e-05,5.678172637413326e-06,1.7607287050580567e-07,8.588776947648924e-06,1.6089691934340067e-05,1.7227254178742157e-08,5.520480362952718e-06,6.588172321575492e-08,7.258661305353797e-08,7.355468370495721e-07,3.045723992067817e-05,0.00015809182557835477,0.00013937347399339828,0.00014422893244891988,6.259262090435591e-05,1.831783078998228e-05,1.994750071787621e-07,0.0001637086221473183,1.5886778463869433e-06,1.6462372288972293e-06,2.1510957616932558e-05,6.110916143525769e-07,1.0323141788504131e-05,5.8030533262865e-06,2.029759594934788e-05,0.0006954078591617785,1.004930395176462e-06,2.1646067033698202e-05,9.249532844091135e-07,4.692229269842585e-05,2.6347739789933655e-07,1.4304478899163087e-06,3.924646798658671e-06,7.089290953166127e-07,1.1255388847608572e-06,7.927393846918207e-08,4.010130874032569e-06,3.396330152394267e-07,1.7038902902499764e-07,2.0678074666713453e-06,4.302821960511238e-06,2.453681974712296e-06,8.12621719636919e-08,7.75868060909346e-08,5.891436694049901e-08,1.3873548310172623e-08,9.828910729758888e-08,3.4465942744255074e-07,1.0097171831979779e-07,1.777475686637331e-07,3.227537123118296e-07,1.1995611948201201e-08,2.512499952811442e-07,3.741582138561128e-08,4.251199700600061e-07,3.6420409457726954e-07,3.8430770610276e-07,4.4109250363355557e-08,1.7097044668901162e-08,2.2164690505199758e-07,9.516706728218693e-10,6.234797123028102e-10,8.828686137718478e-08,6.116650053122896e-08,1.217733878178251e-07,8.097379944338456e-08,3.454254771106946e-08,7.718270467194088e-12,1.2188282982883436e-07,7.06172648134995e-10,8.997659242671041e-09,2.4289445454961367e-09,6.229814525360311e-09,1.840229538196958e-08,2.9382507982234074e-08,2.0228723165427454e-06,6.772494426376952e-08,1.0875141887023432e-06,3.165377389091617e-07,6.875161655539586e-07,6.51686311581301e-08,5.664332003441075e-09,5.788619487079316e-07,1.7395484713800258e-06,2.8011948316475355e-09,9.439863335458654e-10,3.7578209366451176e-07,1.5603385555840177e-08,1.4286074434544105e-08,9.966010017237181e-09,2.490860760984148e-07,2.8541013996630227e-10,2.5974319806110202e-08,9.868306838356489e-07,1.757014533865231e-10,5.089182602002751e-07,6.503003364688453e-07,5.180469420329459e-06,4.8892585979842806e-08,2.7571440464058128e-08,2.3551725644721522e-07,2.980055452406205e-09,3.857977291799042e-08,2.8947175767513045e-09,6.131917473783943e-09,3.6952851889537897e-09,1.8805919466124976e-07,5.4636747792713436e-08,7.16577295278853e-08,6.572784361225104e-08,1.968350149539333e-08,8.220523528557067e-08,3.555153949008627e-10,2.7916715217291e-08,6.136248648092035e-09,4.5946139948238596e-09,1.9931901129588425e-09,6.035999547404636e-09,6.119872297816187e-08,6.20170604870296e-08
2N1S,N1,0.0,0.0,0.02266135182604545,0.01387510918032353,0.0008427332060434445,0.2644120275945223,0.04370982169145021,0.02120019965513764,0.00023693045563177861,0.000981087966535954,0.004063294551686969,4.95820093981969e-06,0.00017746788238182098,0.0005831465610042219,0.10256275319702768,0.153106512791215,0.10928979584324505,0.1616119239713707,0.0033659152412848226,0.005118390761692293,0.05066264667455611,0.001626443414485923,0.04147903191750402,0.03951061948086698,0.1473534177225968,0.0016998964525876126,0.09373414980678785,0.02025772460227304,7.147597311996101e-05,0.03193478736911648,0.0032798770013986456,3.232973073830081e-05,0.006878254771269354,2.0563632072256866e-05,3.575818086010152e-05,7.575342230525806e-05,0.0005437183426439951,8.113579279545036e-07,0.0012703714110804398,0.00022843567617192306,0.00031397377784747604,0.0005960376642217824,0.0005476004697007042,1.1449375566741082e-05,1.8611872352192194e-06,0.000137483523428239,1.0021591603459612e-05,1.2424396431454099e-05,0.00039852572063603375,0.0005030903495333305,1.5680680057528207e-05,3.739136510372276e-05,0.002345908026180954,0.0009984253466388537,7.5337816629605925e-06,0.00016582826517996807,0.002988579100004163,0.0008251385752027218,7.351048591752729e-05,2.960639222671091e-07,5.059204446489218e-05,3.2407326323147245e-05,1.696642027670947e-05,2.5467374134002796e-05,3.3242302599489904e-06,0.00014132041435876985,2.428821686062399e-05,8.803548056146582e-05,0.0008331839822410814,0.00012076710832564785,0.000168997849771646,0.00015614849082012938,0.0005865131528786094,0.00021033493028088657,7.635611366696438e-05,1.3555518021846069e-05,6.467075357452501e-07,0.00012619109287936858,5.333761681214355e-07,8.714733855219592e-06,0.00012275120764071445,4.143305387671603e-08,4.507325724656397e-06,0.00010090660045714017,1.4232422973492476e-06,1.0153717204808288e-06,0.000178471983049322,0.0020048962885961252,0.0022002253737154476,0.0036573301416478188,0.0003886474678873597,0.000311284555484459,0.0014517820301755968,0.0017343169538381886,0.00015802188344826718,0.0001860491715137691,1.3696839440413555e-08,0.0003352358218178253,1.1888189576980679e-05,0.0002745135672630461,4.163709633964174e-06,0.0001298401210299005,0.000802039586050185,0.00227013111448926,0.00027714663483235924,3.01234945436768e-05,0.00013884468020242124,0.0010503593601582928,0.00034715332646406694,2.2946280300306654e-05,8.791520129092234e-05,1.18109051072679e-06,8.018913364438163e-07,2.627220571760347e-05,0.0001077694190534384,0.0017476648370511327,0.002434808224633933,0.0027276430914424665,0.0014645322014006368,0.0007800185177679886,7.824642085818567e-05,0.000107853209935449,0.000430834264402602,4.250149069173759e-05,0.0005044726479852546,2.5378215684490613e-06,8.037768431967685e-05,0.00012897424200097873,0.0008233163323554393,0.009812497094493278,1.0347676724364874e-05,0.000219303237255275,1.972910430936281e-05,0.0011187299013339924,1.514053674345206e-05,3.9504938191825545e-06,1.495456560007824e-05,3.779852892682456e-05,3.533678048839306e-06,1.2718613384921085e-05,0.00011110327837160483,2.5060700882928444e-05,3.898973020133312e-05,9.68595462680355e-05,0.0001781602314325781,0.00017925052494449645,3.905156731320858e-08,3.712780286768691e-06,5.160382535063235e-06,3.3954454936591105e-07,1.6857574696160782e-06,3.2398152716162087e-06,2.7398011281931645e-07,6.345952190400794e-07,1.9222654090267355e-05,6.415126658776416e-07,8.454848622330147e-06,3.4676337423711345e-07,2.0023022101245402e-05,9.34873204605502e-06,1.4401456137402846e-05,2.400390892720594e-06,1.8285373215576328e-11,1.7679017467298053e-05,5.688874260556531e-09,3.2904748259454664e-08,2.9720900265317596e-06,3.3900748128701252e-06,2.6967031523383866e-06,5.206159903181629e-07,9.069950186457731e-07,3.0017095786760706e-07,2.4737283843556668e-06,2.8060178403066516e-08,4.175397727568253e-07,3.0496309588734505e-07,1.2183325104331288e-07,1.1443242435849044e-06,9.181773785726932e-07,5.5407051458455925e-05,2.113083041876962e-09,6.5387538308314674e-06,4.414712093669948e-07,2.7604347558884967e-06,1.684534553625383e-06,2.932416643730562e-06,6.455578649422478e-08,2.9890991526837496e-05,2.7573354710597187e-08,2.1508660454916395e-06,5.0447823307653294e-06,6.691829104177316e-07,2.4020448963213425e-08,5.143340309210487e-08,3.116615676646006e-08,2.6694020327511225e-09,1.8564150261468626e-07,2.257483596501686e-06,1.9613457435951887e-07,2.6942588360334696e-06,8.296104693439332e-06,2.1579979923025405e-05,1.3026547751593398e-07,7.801007462227005e-08,5.262178837561748e-06,4.495882199861967e-08,2.7927637202829203e-07,1.3895505546202003e-07,1.7889177250651755e-07,2.367523991964049e-06,5.388242635184781e-06,1.689104571767075e-07,1.4260761314055515e-06,2.2345512107335708e-09,5.5563197154384625e-08,7.7147478716455e-07,8.406133789051751e-08,1.111425992794679e-06,8.935238251517319e-07,2.3338179411247495e-07,1.0429888286367373e-08,2.820742281972599e-07,3.147697575478503e-06,3.258884334389478e-06
3N1P+1,N1,0.0,0.0,0.0,0.027194673828926152,0.004183249241076048,0.028178445353898685,0.24063611763297033,0.029759946219333866,0.005947890234514475,0.010173240163024566,0.004014793093700231,0.004211218624531998,0.016418797726427847,0.001085604544557306,0.059667551684032816,0.016662930249645047,0.0695500322637006,0.054242974722537696,0.010497972242484277,0.055859384244421495,0.1643367313409856,0.009881344416581506,0.1311874676764253,0.018175588893284633,0.015267169175555484,0.008436421218171564,0.0653943820087659,0.007315536776047127,0.010250855739196707,0.019765983697343392,0.015800107523903817,0.003912668337028524,0.00031250414625150214,0.0002745312436647218,0.0004074645423486345,0.010821196829700508,0.012797105462148295,0.013553188592459353,0.0004572718328792469,0.0007084045764518265,0.004127667601941276,0.0026719370389449715,0.002818313247324511,0.005798689461664175,0.0010353697658964656,0.005094565851862187,0.0011927983858286417,0.0011934295600848355,0.0019664706698230283,3.806989295940255e-05,3.2357053687537274e-05,0.0007927169126245026,2.508295908754121e-07,0.0016934025871977454,2.5783001511570092e-08,0.0003875503649255485,0.00012529166699914995,0.00043879291313420055,2.9189026776066385e-05,0.0005279133865516705,1.1322497623034167e-05,0.00019717525446738549,0.0001608647442790101,9.395652152521805e-05,4.870878587937e-05,0.0002084657666681089,0.00011018232366777347,0.003302271643692567,0.0044106882570780215,0.0003485556459845718,0.004002784478342569,0.0005687994792507034,0.0003021136440835015,1.7530276003707712e-05,0.0012027817296202947,0.0004985176570280192,0.0011364346838558248,8.571554903702427e-05,8.69886126522168e-05,0.0003133165149715733,0.0014321733029905026,0.0008756854386335888,0.0004087214553867291,8.072208290732519e-05,5.154649306993164e-05,6.61230453458117e-06,8.588396376540963e-05,0.0005103209791568197,0.00015761643409106796,0.0014787320288212058,0.00013540722810256867,6.8525687182408035e-06,0.0031734222025492365,0.0003204689166791397,0.0010571421882707988,0.001453704394672961,0.0014248367365778947,0.0006327566456365563,0.000736602697279265,0.0026586696776336183,1.853337254265064e-05,0.0005057340993435133,0.001192094963527346,0.0016731706524981682,0.00014837331483841254,3.604209687013693e-05,4.577457365062543e-05,0.00020699008261626517,0.000518925207454668,2.249485818306418e-05,0.00012051290895653821,4.624339324021953e-05,8.464254102302782e-05,3.0499315868848242e-05,6.176009947012062e-06,0.0004810734284190765,0.004621172593143097,1.1084848487108445e-05,9.97344450528459e-05,9.749400066638714e-05,0.0005132348252381291,0.0008444766770403511,9.367807962545882e-05,3.075337712088455e-05,0.0002486327436703739,5.476086423872317e-06,0.0003443782057432898,3.53461099100727e-06,5.6357579269583624e-05,0.015386274382380272,2.5254622615378253e-08,5.2080420587685694e-05,3.373827489161485e-05,7.995803388372025e-05,1.8572608739830798e-07,7.833543457014258e-06,6.349048555120973e-05,2.2029526602906913e-05,3.51564019984707e-06,4.148264834524795e-06,0.0005238487439580553,4.3208570565944626e-07,3.986220648233285e-06,9.21573535928033e-07,1.8020973166166243e-05,4.445375385575545e-06,1.3502607787430065e-06,4.703211053547207e-05,2.1405251260375735e-06,3.874163068795511e-05,6.629541507807701e-05,5.102480857832603e-06,4.9875588103986956e-08,2.110634313101656e-06,2.0507204728126283e-05,2.1401591610015203e-09,6.7218223580578496e-06,2.4105321738687735e-08,2.0491309716819117e-05,7.283508185684795e-06,2.713715368862779e-05,1.3632299007415583e-05,8.181862001244156e-06,1.8801933315160113e-05,4.009011123073947e-08,1.4208065324261554e-06,3.3762557194449982e-09,6.004659982572491e-07,1.5187502677704856e-07,8.470633181545395e-07,5.862707963544267e-07,8.358816305786831e-09,5.618462139977964e-09,4.1536796224761474e-10,2.840220820310435e-06,1.6183304363259765e-07,1.0381958526206603e-06,1.6637091451165986e-06,1.9999719258478876e-06,7.10594096009487e-07,3.076431545956382e-06,9.249122227394935e-05,7.625416513645789e-05,4.137217967503659e-05,9.089293762087891e-10,9.432171147683022e-06,1.2722637152684513e-05,7.051521624967805e-05,8.966774247554099e-07,7.475342848506372e-06,1.067535682341969e-05,6.048819911619319e-07,3.037748366319093e-05,1.8267394434889894e-06,7.231182688194338e-07,4.3892303480674855e-06,4.1559298855631255e-06,4.3663718974240595e-05,2.366369269868329e-06,3.2360195447722617e-06,9.791598085229225e-06,5.5333130469570335e-05,1.2566437406213993e-06,1.420464162071866e-06,3.066883049962499e-06,3.528161784949191e-08,6.220423198755043e-08,1.6808422365066633e-07,2.0242631237898934e-07,6.657524823872052e-06,1.9971889031467072e-07,2.3300940767523315e-05,8.333501608781546e-07,3.620592790909427e-06,3.9765251802492685e-07,3.2323380505516752e-06,5.1026090908123933e-08,1.4550239446631252e-06,2.9505726770739926e-06,3.6172110151611037e-07,3.1958799735498644e-06,8.212181112909889e-08,1.1468818446047635e-06,3.029683310451503e-06
4N1P-1,N1,0.0,0.0,0.0,0.0,0.0014313750525873914,0.013711155719641432,0.03535860583213779,0.226009340059381,0.0010718104377076543,0.006148814756115284,0.0025759559957621025,0.0005406864629824426,0.029550363913549926,7.142192880382758e-05,0.004004341451065319,0.003146446184461027,0.29855634846093615,0.16740659246268663,0.00020064540063957637,0.0011883692728433815,0.006851065023031566,0.001783695662047613,0.002105619195215347,0.001720617733814933,0.010135002864579246,0.025742900427999427,0.002071538277653495,0.010582823829893284,0.034504691281400435,0.001246160460203205,0.0017542762625979424,0.013622877179308102,0.00013096738272766473,6.221985541898789e-06,9.733966246128212e-05,0.005109222816907177,0.0044374926389805225,0.0030217895408419793,0.00012552001747412334,0.0008629852309254282,0.00045611788410360177,0.0016212976009608582,0.0016060032332645413,5.321654065992831e-05,0.0009290020641499197,0.00014341107976911793,1.597772306172196e-05,4.8566577426356616e-08,0.00011961651512848448,4.414254429851994e-05,0.00014524259778081472,0.002668726425426815,0.00926184533940777,0.001752775009509655,0.0004884169868866195,0.0007954907793323862,0.0008261732953593892,0.00015302729844179908,9.901572379789059e-07,0.0007661708999093797,0.00036525936037734574,0.00028647516763413705,8.174567695373725e-05,0.00036690239232584076,7.572913577869045e-05,0.0006918885610165404,3.729632380711223e-08,7.421321914424794e-05,4.531606951951872e-05,3.6574342815232086e-05,0.000136725031188778,2.0755353484780414e-06,1.0317952419569565e-05,8.666761961073632e-05,5.198496680502984e-05,0.0002736406718386597,0.00030673677460879567,5.005453880935207e-05,2.1582088063354377e-06,0.00015535852035952757,0.0002429767307718933,8.808762938006254e-05,0.00012155436130578678,1.863313188898985e-05,3.054777284461352e-06,2.063305229782486e-06,0.0001952662821613771,0.006962227033286084,0.002505182361562941,0.006421006846101918,2.1964669050689167e-05,0.002199014894027407,0.0024233610245780746,0.0005714156424314609,0.0013279367796315,0.00012876359904323564,0.0003685738166596675,0.00041403263271555524,0.00039444281524381175,0.0001615958949841012,4.944110422844261e-06,0.00025252651279306093,0.00039933454868990026,0.0010357293846672277,6.368051764216176e-05,8.586680531053048e-07,1.590816819563301e-05,3.0274206541669457e-05,0.00011466374470492369,4.9020144610167904e-08,0.0006327744733283236,2.053957903980219e-06,3.2520590735662935e-05,5.622449146325259e-05,0.0001995457282628621,0.0049498293887060285,0.006251101917301938,0.0033853088400146447,0.0007632678376965352,0.00180958643879503,5.845698786144382e-05,0.0013444620666058782,1.5398412678280238e-07,7.915546755987712e-05,0.0018528605456085145,1.4909152874942322e-05,0.0005553605019603669,0.0005465320423012621,0.00044011925818976394,0.022400541448913014,1.2205411050958404e-05,0.0005578491055997503,2.7187757035918025e-05,0.0015607773078660792,4.213958071375146e-09,1.3220229083010793e-05,0.00010062745345340574,1.2220378587279868e-05,1.931814467281967e-05,2.046022601120967e-06,0.0005325802516926714,2.0730434981297563e-05,8.285826181175793e-06,9.395258874000945e-05,0.0001646196985389814,0.000210092588522226,1.0992987409252919e-07,5.550000077292339e-07,1.1423790853726246e-05,6.594552356631311e-06,3.1947703068357924e-05,6.323488039861047e-07,4.680391163525144e-07,8.394493544727766e-09,4.374162023523809e-05,9.690315461163834e-08,1.757635788135481e-05,7.245215083440115e-07,4.138929743691122e-05,2.619939366121926e-05,3.345979106894603e-05,4.952033762606334e-06,1.7302900521265485e-06,2.1225410286263013e-05,2.830338097226104e-08,8.151994759231229e-07,3.317911354994152e-06,1.401879366369485e-06,7.660100349582422e-07,4.277591707513295e-07,1.0246993271678662e-06,4.1464589983775113e-07,9.172365702525553e-07,1.1644991215753464e-07,1.8495270195373337e-06,7.230414553749398e-07,1.0714882314744045e-09,2.7335949883688926e-06,7.51413409716406e-07,3.0999016904509347e-06,7.231390903861268e-07,6.262001683365881e-05,2.712586356468094e-05,2.9768102320471e-05,5.142047609929534e-07,2.5960522620493975e-10,5.14357404490795e-06,0.00010033092600325588,1.5868201286295402e-06,1.6918034306812046e-08,1.769101998738698e-05,2.577038675788401e-07,6.694751886193728e-06,1.932596760179095e-06,4.3792659587538196e-07,6.132856982254964e-07,1.5008413583039726e-06,2.466428997571768e-05,4.4707704205393384e-10,7.433030253078954e-06,2.188590947982405e-05,8.250685041844008e-05,5.228004344992598e-07,1.020717972588514e-06,1.2757377587213625e-05,2.4376143281656937e-07,1.1762457536867998e-06,4.9101545496199606e-08,1.788955117376645e-08,2.892974748647248e-09,5.1236346938488e-06,5.401158072348977e-06,1.2878438129249048e-06,2.2724588846223526e-06,4.3059246479515423e-07,4.26833379174596e-06,6.813447139819573e-09,2.5615381316068664e-06,6.523296569582726e-09,4.109173086241924e-07,8.50677669861355e-07,3.763755336283481e-07,1.0997927373246341e-06,1.151782786035227e-06
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.00013203866536182218,0.008072157032418925,0.0013815973449400332,0.2797613312252496,0.013590452731038205,0.001164614572128242,0.04050775531200412,0.019523868250326037,0.0002578543081579454,0.30124447212549743,0.21467843070291126,0.010197479572222168,0.0030164182850382915,0.005570173743169038,0.038574081119071124,0.11927425892716181,0.0036281667249147276,0.06943770180528519,0.017040222696636853,0.06983890219666211,0.002693213456975485,0.006509414211992581,0.030979473668371726,0.0005996790886590997,0.006253770096992239,0.0022611099225287035,7.616915862262985e-06,0.00985653376525164,0.0010054088699926744,3.7411283826394026e-07,0.00025517218714776746,0.000630935656058984,1.0328848164764537e-05,0.00030977780969365654,0.00027825084869181893,8.252830833832547e-06,5.5891555190701325e-05,3.7558375036716996e-06,0.0009697617958843718,3.718103065342149e-05,0.0005328090486360626,1.5766150054385974e-05,0.0006560040554952629,0.0001141063697565059,0.00032227136123985645,7.766966465538871e-07,8.664012760117856e-06,2.1917538315818774e-05,0.0005509958849891916,0.0001306350684759927,8.580605955099685e-06,2.098265259320442e-05,0.0001047994359062443,3.7757490378709235e-07,5.544633994114534e-05,4.936327662186102e-07,3.368733261455148e-06,3.941072520485811e-05,2.3293456108408606e-06,1.9265924576572502e-05,4.6627825067702133e-07,1.549872143513653e-05,0.0003737360958724345,0.0007513352781138849,5.45252982493416e-05,1.681079003246211e-05,6.466894567669357e-05,7.761514053683527e-08,3.9689286435162785e-06,7.640912149797785e-05,0.00016510852104167917,6.140378249996914e-05,1.4233132443308705e-05,6.461990845885168e-05,2.0215525028621784e-05,0.0002986420233721532,0.00010857010622711272,1.5935441601389044e-05,1.3742014582263096e-05,0.0002395250278182104,2.1246715064648924e-05,4.783488742821085e-05,0.0003238375424099438,0.0008221072958067843,0.0006023888641948361,0.0008312130155339048,7.897336470197303e-05,0.0007609168246802689,0.0006133320753711757,0.00100121823955579,0.0006190290544079158,0.0007591268166573517,0.0009931815554369283,5.909304092721612e-06,0.0014972041957661553,8.560544226821065e-06,0.00021478973134936297,0.0010347740100500324,0.001310356347999253,0.0006487926531844046,4.9520483554221784e-05,0.00012518734998900882,0.00034251561000786523,0.000378192615904549,1.640025897708952e-05,7.749354469077652e-05,2.507270657581273e-05,1.7399798224460028e-05,1.0674406108801548e-05,4.772327765634188e-06,0.0001368392086371628,0.000213233770507415,0.000265776249243288,0.0005035184181183538,4.875810176674378e-05,6.672460005852088e-06,2.9555108636003524e-05,9.097126192791904e-06,6.82400974927333e-06,0.00010325636367403135,4.724433354974522e-06,0.00015507880135756658,3.751502741566881e-06,8.5959507067912e-08,0.00044017898118475784,1.480422711752638e-06,3.847423489355961e-05,2.0677277312586284e-07,0.00014731339271767396,6.026767536138067e-06,9.841116798359195e-06,3.898666986579258e-06,6.5071366970315125e-06,1.7467302804163864e-06,2.2343074139730135e-06,1.533782552254337e-05,4.160240496764445e-06,8.531065787131809e-08,4.102249800141955e-05,9.404460533879444e-06,6.656218252132362e-07,1.55923212341591e-07,2.6286720657964224e-06,3.254285124532075e-05,3.4356658566991882e-06,1.8266367440844533e-05,1.238718612128764e-07,4.49490886067494e-06,2.2809739119722394e-07,1.6287712283347133e-05,3.373902957015673e-08,7.420722992312889e-06,2.391364795073514e-08,7.570855346417105e-06,8.169655003609222e-07,9.780138018999907e-06,7.309229146379437e-06,3.565413431161346e-08,1.9468297907998533e-05,9.527819866406162e-09,2.1311671627444184e-07,6.099144447713201e-06,9.72733377935242e-06,6.032595285532238e-07,4.525852679293507e-07,2.9442120910161407e-06,1.0616837728960604e-05,2.3411482885649093e-07,3.7248883488771867e-07,1.4245752730790429e-06,3.2908032787659636e-07,1.263287728425766e-06,9.916210275129345e-08,4.682212247253403e-06,6.707142225659268e-05,6.055867363130574e-09,3.673443784713015e-07,1.5003888398368304e-07,6.574268729409027e-08,8.923164682705931e-07,5.111234990806679e-08,3.0581118304340293e-07,1.828323050290237e-06,2.9418979119455457e-07,4.0950063029399075e-07,6.850233986721577e-07,9.634830748783685e-07,7.403988311338594e-09,1.7985704037215555e-09,6.90300772099306e-09,5.954694515253323e-10,1.3544894095218751e-08,2.3472153598547152e-07,6.229815414648954e-07,9.53281249493898e-08,4.5414727667392185e-07,9.50187041492967e-07,6.110058512476257e-07,1.102635616145875e-07,5.346779494708187e-07,4.833102362766795e-09,1.2332628029909642e-08,1.1487177831170925e-07,8.56582449415555e-09,1.6171999606129361e-07,3.6058690033868857e-07,6.292657284134862e-08,7.28791342829993e-07,3.063694364868752e-08,2.009312494166693e-08,3.659620739782099e-08,8.407564378032362e-08,1.0084220636308316e-07,2.2299279311965847e-07,8.278601426603416e-08,3.902985268311454e-09,1.030726486384026e-07,2.3358898770808878e-07,1.9613911872440326e-07
