 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,S26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.9375428259515988,1.8242787813433994,2.8290579983178454,0.08729404719137901,0.21109977330306384,0.03388951414136521,0.00296160548994695,0.02997783120934097,0.005814031345144355,0.005729079692444704,0.00024076745467160876,0.0013834834058885637,0.22406389364555263,0.05931257823103263,0.03405411582140326,0.0021050235915669457,0.007175177328075974,0.00041193693333119175,0.0006486458073042684,9.671350599849138e-05,1.0004606608271516e-05,0.00020061218107066126,3.526041639334565e-06,1.0413203603842902e-06,8.614284401896322e-05,3.2036228573145697e-06,8.939909024174852e-08,1.3005044469105442e-06,1.3797614173416406e-06,0.001136999097290342,0.00013460725622970598,0.00032522910053014997,8.757360836231243e-05
H2,0.0,0.0,0.02732387576080897,0.11039475084185413,0.00989824794181593,0.030623336770390752,0.001729165470727434,0.00022571087485601105,0.0039529989060643755,0.0004808188938132396,0.0013422125760647052,4.0538505680087766e-05,0.00030558391763779724,0.005950353764443195,0.003714880209699789,0.0005382503942543693,3.904850073777055e-05,0.00016965132207669154,1.2172372070073934e-05,1.6373233598043768e-05,4.398730454546751e-06,4.471807051320553e-07,1.6093112226167605e-06,2.5876960818571604e-07,5.421598547883377e-08,1.0618298182940578e-06,1.1360264562387812e-07,9.327049799168208e-09,1.843652048805211e-07,4.64984279968661e-08,1.7988996764417564e-05,4.845123292018805e-06,4.520140200914291e-06,1.4209431229428304e-06
H3,0.0,0.0,0.0,0.10833120968207466,0.03309581438466824,0.005437147623630234,0.0003612405316488765,0.0014502883613369821,0.0010319178286479769,0.0007882035874037241,0.00021787050921218132,4.007699494823491e-05,1.2831024083448384e-05,0.027262783961099823,0.07459979151782015,0.004453515506993466,0.00034111479749676654,0.0005570770435062711,5.030595239685631e-05,8.22059757874527e-05,3.0119775431103335e-05,3.5922172481051007e-06,1.2343685340421295e-05,2.139754750274392e-06,9.7580148805676e-07,2.9100318940100678e-06,1.6664266444532672e-07,4.8291571186354076e-08,6.427017162913273e-08,3.3045593594849265e-08,8.208631657036225e-05,4.548054764297316e-05,1.2409646116595674e-05,2.6349557691318637e-06
C4,0.0,0.0,0.0,0.0,2.0023700626037146,2.667688066083213,0.0886724999341939,0.07663193844923244,0.16285487880108454,0.043787238781281435,0.02608404293868391,0.0021863482296823333,0.004324791250588045,2.55352416256732,0.2778882367607714,0.218132208192791,0.012161641310269089,0.035408430508945044,0.00354555565599024,0.003368713792464395,0.0009203745096801885,8.611495777643974e-05,0.0007539102811343068,1.454607321771384e-05,1.1819955032965623e-05,0.00022358973245127645,1.2838558542560552e-05,8.07240350120253e-07,4.081901929797738e-06,2.817980124580899e-06,0.004232478842188886,0.00040394939880557257,0.001253980859914336,0.00026503127706967167
H5,0.0,0.0,0.0,0.0,0.0,0.08347871924383721,0.002155701956367606,0.03173458146795527,0.018516308770167633,0.02508320625675442,0.0029862582655401093,0.0003437359912965565,5.902370700505699e-05,0.09096307596645437,0.02423504993273473,0.010095079930957152,0.0035966095595616476,0.0012423660905727107,0.0002706103681990868,0.00026110778161625436,9.550226409693607e-05,1.4040216859800836e-05,1.9505047555434807e-05,3.7963047918587733e-06,5.836708730999618e-06,6.011341056932906e-06,6.476113350029067e-07,1.2859974107826133e-07,4.385330787393116e-07,1.1104216213198015e-08,9.678478945729374e-05,3.657786708466393e-05,3.524726051040705e-05,1.2991259053407589e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0853075742435645,1.938425255037591,2.6597973395294985,0.2827558050820458,0.22827288795982706,0.014057300004184925,0.04257460454480044,0.17864631415031876,0.03621585122793966,0.027906117117973916,0.0009888795782659887,0.002972530249125055,0.0003210864706808536,0.00117596953164599,0.00023119654537073764,2.2605581679879805e-05,0.0001381553831966975,4.769624928124827e-06,2.0839648158244017e-06,6.511548324385219e-05,3.2853892023149145e-06,3.567120665515233e-07,1.7105958201035776e-06,4.631957482015281e-07,0.00040379153443603766,6.0792056713568354e-05,0.00014312824088939802,4.249426076141649e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026035554842910758,0.11487163768321285,0.03211065839505867,0.013305322503589956,0.0026343964686450505,0.00041364659156206685,0.026043888109657187,0.003722391748166576,0.005751316108849269,0.0002765419656398649,0.0007119523061669408,4.634255397029108e-05,0.00018144765927929907,2.650414631544251e-06,3.094590328434066e-06,1.5120173475047238e-05,8.364258758941645e-07,2.541192782867796e-07,8.93211427466234e-06,4.3472910926656283e-07,7.927867828882995e-08,3.6029027050688e-07,6.56508551966084e-08,0.00010482040825787742,2.282425870114846e-05,3.819958235351528e-05,1.2533344130316593e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076939959891241,0.03004179995133638,0.0121260550784964,0.001976802958131074,0.0005177623902739015,0.016401542405967362,0.004389509709535333,0.0012353060970924368,1.774317958203042e-05,0.00013623222910608135,3.940431487770013e-06,4.1723520767478206e-05,9.632687069327517e-06,9.093012436345305e-07,6.853775271986606e-06,1.927660513212359e-06,2.5836755956909485e-07,1.1067246458162927e-06,1.1553575773870506e-07,2.3025517936758888e-08,4.016554067121092e-08,9.540964018839304e-09,2.755055079450841e-05,2.3955899823957516e-05,6.690041880030861e-06,1.49661877446583e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.600090986997234,3.5808201068255836,0.1304672794045787,0.14252037750660962,0.009114833193743926,0.004145726271168659,0.015563820940891399,0.02393641561029758,0.001740134909950175,0.0001740791032405209,0.00048582260052934534,2.587117926333704e-05,7.549791421368468e-06,0.00011713619729408764,3.9334635082433067e-07,3.279418225865527e-06,5.2289379952913384e-05,2.1176873879757974e-06,4.150808585734467e-08,1.0749333336779188e-06,5.242580805031594e-07,0.00031199091381928223,0.000620727296569118,7.650928605687501e-05,9.434863729063103e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469896429075082,0.033117435733847844,0.02810291964745193,0.0061111816858281515,0.001772124078036258,0.05090521481077205,0.14249797889839622,0.0055881415386594,0.0004370151167250036,0.0006852717807824399,2.622275688235476e-05,1.9190279363923146e-05,0.00023547012431279768,1.2248824204919018e-06,1.4466519846600967e-05,9.813450804973742e-05,3.4012020687368416e-06,2.2307162672596803e-08,1.1190666544536043e-06,7.237654375824576e-07,0.0010589494434222468,0.0019451050033313239,0.00019973203131729012,1.628280078780353e-05
