,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38O,39C,40O,41O,42H
1N,0.0,1.0220270109034877,1.0236910311152694,1.4757496859664685,2.0888828474215524,2.4550474569163914,2.522290649611986,2.7408998766059316,3.8212009439068435,4.439963075506043,4.312732967722403,5.0761355356174835,5.781679767700801,6.419593265148304,6.112561119877058,5.702778579656769,5.312086348962285,7.436200976560822,8.260888735422949,7.084522317857585,7.7252702554606785,7.840644487868463,8.916668362053485,2.476052233610189,2.8134081909699344,3.597018174828174,3.936762324645653,4.811467426140506,4.865592867104895,6.0133674627786196,6.858617625718849,5.9375552514820855,6.615523492699329,6.766629439049373,7.662652916981515,6.216745129264556,7.031109041655456,5.38315875905064,5.432584133986195,5.569548594322718,6.353128731031693,6.883549798484221
2H,0.0,0.0,1.6112921980203767,2.036536618126758,2.311681853356397,3.3363665492679813,3.447393419378635,3.6843702132912437,4.570508715343321,4.969103922968584,4.637157940888653,5.894098287166663,6.32967229542579,6.849767770492731,6.815484186311967,6.618204249408812,6.282611610530718,8.167280795689576,8.92690143883167,7.986314255406675,8.6635843875176,8.667610450319026,9.74610630435745,2.6968699875647246,3.0424811491604253,3.61384803696847,3.935119037182227,4.734163428786651,4.614938746923754,5.857680675779774,6.660743461928667,5.629652261534261,6.630192695561699,6.923086869317488,7.622030337566028,6.286126077679298,7.219250017946138,5.342839453177771,5.5753030459524995,5.916697195698735,6.395303676161061,7.036992398462854
3H,0.0,0.0,0.0,2.004722185835487,2.8930020223202977,2.7431616049408136,2.95727279862135,2.6089342269851787,4.161081325293935,4.95999275881589,4.972122540564749,5.24660287956743,6.228652457780737,6.891998251371964,6.387183096288268,5.673341795800012,5.15606144924417,7.635799570343351,8.51640196690135,7.031415974809788,7.569908833186761,7.897977185302979,8.946146170259368,2.492664732848621,2.3504003182532958,3.783242724314321,4.349973792491325,4.800948062043615,4.757696277052072,6.166488689444892,6.906580338958755,6.221224979134603,6.8580092771808046,6.898169590102485,7.9216397560535645,6.661482783987106,7.493629446324299,5.954634275937872,5.201267462373466,5.335296500917426,5.986777238995265,6.443138174928416
4C,0.0,0.0,0.0,0.0,1.0959590944842368,1.548469875975699,2.1332278044159003,2.1538879155201056,2.5733977129379135,3.054075772574564,2.969453960175185,3.9043214860731204,4.378494183769415,4.9771162504429105,4.78746832721068,4.755048110083465,4.61100624422955,6.1338676615074705,6.899572079357825,6.088185461504527,6.85653756105927,6.670962116357897,7.750420321000304,1.5468206990596098,2.4146994343648993,2.4770419007229094,2.6890009284656,3.8373473941289884,4.18836558235412,4.926135556910963,5.857266476553213,4.953342348319093,5.3115443598202345,5.418385324757446,6.376354528583972,4.841757732808838,5.597123614655377,4.116351200956926,4.440198136227369,4.453223907865873,5.556053318781106,6.068659168310247
5H,0.0,0.0,0.0,0.0,0.0,2.1677985622819174,2.5305855554225642,3.056130117412586,2.7632925557159074,2.766044982760939,2.33467865281603,4.199588878579789,4.133231579099581,4.613403240467127,4.830165811095068,5.263285105151072,5.2820180252750335,6.223600687875565,6.86930792974925,6.545736534033228,7.4084599286589965,6.950669983044839,8.029760727208139,2.177836361434728,3.2716940237621555,2.570480216076472,2.368384758341463,4.008813688249639,4.418477409542317,4.800077904361291,5.815256446933762,4.6350892686229805,5.087328648146249,5.372031987497515,6.087524008630432,4.37288607332818,5.128446259895815,3.454830836241094,4.873523738498923,4.952405817833294,6.041636574640367,6.636995693887817
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.099906455289267,1.0995832618305468,1.5057774418759908,2.576126215842325,3.014011529572467,2.643732811311946,3.7316237186370986,4.568446137738129,3.7774219281579637,3.3438746972817635,3.169435250106245,5.055384244622147,5.941964755441297,4.714919805103538,5.451373708568807,5.418047033691609,6.498988038955527,2.562868952564351,3.1926267187301804,3.428419919131053,3.556709606992727,4.702013982069165,5.2558920956666295,5.752873425519733,6.689856591259678,5.970450568471746,5.801567784502592,5.666950923154797,6.878869006472435,5.219555136572596,5.671753345791214,4.741495793942906,4.90577626774527,4.523053585786557,6.108383293722029,6.411802318628862
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7583315372627586,2.174824607583531,3.1497309893469096,3.5173542558426623,3.190051654856828,4.290262106452225,5.179824075554066,4.333607764296689,3.7494452971048977,3.4515194452705775,5.576769014717369,6.471087944205661,5.111302250998744,5.778212071323153,5.880487631473688,6.946401800608522,3.466780684562099,4.056265823982448,4.367101890486319,4.398033654446992,5.704766888736101,6.197312921557384,6.720787266530987,7.6882887085764855,6.835958610435275,6.75876854130813,6.680878124356028,7.817030229543412,6.029678002367492,6.419256165576071,5.437503737768762,5.989775662189801,5.620681327628415,7.174186853021525,7.486827422733407
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1401697155229242,3.391976743428839,3.9541019655943894,2.79970809804871,4.3637450719900635,5.21701825950162,4.112063700635223,3.0652026045944583,2.618803069618202,5.231734483090601,6.204831882101055,4.430461488665763,5.007130413594664,5.341721877424636,6.381266354786512,2.7155815645234704,2.9087046588333876,3.770501968360188,4.148907809141632,4.839702448464855,5.321261305636331,6.063347717333945,6.891448841536431,6.420384971946132,6.194275966329005,5.91256777357215,7.286938737758,5.845512259473135,6.3052273183722605,5.505092012502904,4.752154550576416,4.284534511516656,5.8360200956364965,6.0169641804367116
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3738620511731618,2.238177974438529,1.443482082105644,2.2746554203458254,3.181621216866632,2.3098114247698933,2.62471190769472,2.9639832317684505,3.647459766153506,4.473748932321472,3.8252000342875077,4.751802120040959,4.220333676339939,5.306759009569565,3.1832172939318815,3.9910434908933143,3.5278584782116242,3.383976708466429,4.691272954590756,5.500138872290363,5.438762742830847,6.407418643542471,5.755033968402747,5.094915539252055,4.857968485864727,6.111597530605585,4.352962685867636,4.532367659705924,4.135944350462887,4.784084860118475,4.180456298304749,6.105597327363888,6.336034292689903
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805280915835693,2.2461746066323554,1.3806098897023698,2.0715695271070733,2.2341927001504462,3.6391796866600616,4.2069905418080005,3.608721580616087,4.146156674142287,4.587651453576067,5.622745381449723,4.57563837216565,5.604475524849509,3.524721260904896,4.5739364674563765,3.3683922485895903,2.842438369954571,4.5004201527653125,5.408161889531268,4.86834126210428,5.902257505940901,5.06640085794566,4.303432367857671,4.243886265891775,5.2285826177460235,3.262586371055775,3.349756658609434,3.0409402674105257,4.849725130639915,4.37286553230114,6.216383208952718,6.550968969867175
